Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em Fevereiro/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
40;13.059.145;EBURY BANCO DE CÂMBIO S.A.;EBURY BANCO DE CÂMBIO - PRUDENCIAL; 105 ; 75.706.646 ; 370 ; 22.139.421 ; 5.597 ; 95.674.695 ; 15.623 ; 171.624.709 ; 21.695 ; 365.145.471 ; 107 ; 136.174.597 ; 127 ; 103.690.975 ; 234 ; 239.865.572 ; 21.929 ; 605.011.043 ;
41;07.656.500;BANCO KDB DO BRASIL S.A.;BCO KDB BRASIL S.A. - PRUDENCIAL; -   ; -   ; 3 ; 502.877 ; 124 ; 168.757.808 ; 263 ; 37.355.471 ; 390 ; 206.616.156 ; 14 ; 64.517.375 ; 92 ; 196.320.000 ; 106 ; 260.837.375 ; 496 ; 467.453.531 ;
42;10.690.848;BANCO DA CHINA BRASIL S.A.;BCO DA CHINA BRASIL S.A. - PRUDENCIAL; 43 ; 93.655.478 ; 60 ; 13.226.302 ; 88 ; 72.518.267 ; 66 ; 7.404.004 ; 257 ; 186.804.051 ; 74 ; 61.519.897 ; 112 ; 207.034.710 ; 186 ; 268.554.607 ; 443 ; 455.358.658 ;
43;00.360.305;CAIXA ECONOMICA FEDERAL;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL; 98 ; 36.497.463 ; 59 ; 1.769.576 ; 7.245 ; 82.074.188 ; 1.874 ; 102.739.801 ; 9.276 ; 223.081.028 ; 151 ; 101.368.082 ; 168 ; 119.937.554 ; 319 ; 221.305.636 ; 9.595 ; 444.386.664 ;
44;28.811.341;STONEX BANCO DE CÂMBIO S.A.;STONEX DTVM - PRUDENCIAL; 80 ; 11.404.329 ; 78 ; 1.872.194 ; 3.990 ; 188.401.837 ; 235 ; 24.084.298 ; 4.383 ; 225.762.658 ; 111 ; 21.997.455 ; 174 ; 195.846.799 ; 285 ; 217.844.254 ; 4.668 ; 443.606.912 ;
45;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;BNDES - PRUDENCIAL; 30 ; 47.073.411 ; -   ; -   ; 34 ; 6.225.665 ; -   ; -   ; 64 ; 53.299.076 ; -   ; -   ; 13 ; 380.301.996 ; 13 ; 380.301.996 ; 77 ; 433.601.072 ;
46;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;BANRISUL - PRUDENCIAL; 453 ; 151.524.200 ; 525 ; 45.368.470 ; 340 ; 22.950.084 ; 451 ; 14.317.390 ; 1.769 ; 234.160.144 ; 28 ; 19.643.997 ; 82 ; 141.044.106 ; 110 ; 160.688.103 ; 1.879 ; 394.848.247 ;
47;00.997.185;BANCO B3 S.A.;BANCO B3 - PRUDENCIAL; -   ; -   ; -   ; -   ; 153 ; 138.630.149 ; 131 ; 108.535.038 ; 284 ; 247.165.187 ; 31 ; 30.108.158 ; 35 ; 60.203.175 ; 66 ; 90.311.333 ; 350 ; 337.476.520 ;
48;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA;ADVANCED CC LTDA - PRUDENCIAL; 181 ; 7.172.002 ; 2.061 ; 37.321.246 ; 1.947 ; 84.067.998 ; 3.083 ; 93.714.723 ; 7.272 ; 222.275.969 ; 298 ; 73.038.742 ; 50 ; 33.330.850 ; 348 ; 106.369.592 ; 7.620 ; 328.645.561 ;
49;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.;ALFA - PRUDENCIAL; 14 ; 21.949.822 ; 23 ; 3.026.370 ; 14 ; 120.150.958 ; 68 ; 123.948.521 ; 119 ; 269.075.671 ; 3 ; 5.679.024 ; 7 ; 25.680.171 ; 10 ; 31.359.195 ; 129 ; 300.434.866 ;
