Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MARÇO / 2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
26;02.801.938;BANCO MORGAN STANLEY S.A.; 16 ; 359.892.284 ; 49 ; 35.823.884 ; 232 ; 846.233.481 ; 237 ; 459.960.675 ; 534 ; 1.701.910.324 ; 2 ; 35.194.908 ; 20 ; 730.195.041 ; 22 ; 765.389.949 ; 556 ; 2.467.300.274 ;
27;78.632.767;BANCO OURINVEST S.A.; 787 ; 86.243.379 ; 2.779 ; 173.218.193 ; 31.663 ; 477.968.638 ; 38.808 ; 729.761.542 ; 74.037 ; 1.467.191.752 ; 849 ; 588.648.237 ; 12.085 ; 304.217.447 ; 12.934 ; 892.865.684 ; 86.971 ; 2.360.057.436 ;
28;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 148 ; 9.904.336 ; 1.166 ; 152.194.743 ; 353 ; 47.865.685 ; 9.735 ; 32.952.198 ; 11.402 ; 242.916.962 ; 409 ; 1.009.327.803 ; 490 ; 894.760.986 ; 899 ; 1.904.088.788 ; 12.301 ; 2.147.005.750 ;
29;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 103 ; 191.016.455 ; 216 ; 95.152.928 ; 79 ; 138.003.317 ; 214 ; 89.133.454 ; 612 ; 513.306.154 ; 129 ; 668.353.520 ; 136 ; 859.224.933 ; 265 ; 1.527.578.453 ; 877 ; 2.040.884.607 ;
30;28.195.667;BANCO ABC BRASIL S.A.; 104 ; 72.814.974 ; 367 ; 80.723.550 ; 251 ; 194.339.986 ; 569 ; 171.001.369 ; 1.291 ; 518.879.879 ; 152 ; 777.196.638 ; 240 ; 732.344.320 ; 392 ; 1.509.540.957 ; 1.683 ; 2.028.420.836 ;
31;62.232.889;BANCO DAYCOVAL S.A.; 236 ; 65.239.411 ; 713 ; 115.847.787 ; 54.152 ; 457.188.354 ; 47.405 ; 481.610.132 ; 102.506 ; 1.119.885.684 ; 391 ; 423.818.471 ; 1.502 ; 439.727.936 ; 1.893 ; 863.546.407 ; 104.399 ; 1.983.432.090 ;
32;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 128 ; 690.544.779 ; 121 ; 689.744.683 ; 249 ; 1.380.289.462 ; 9 ; 125.604.144 ; 5 ; 601.239 ; 14 ; 126.205.383 ; 263 ; 1.506.494.845 ;
33;68.900.810;BANCO RENDIMENTO S.A.; 8 ; 1.565.153 ; 132 ; 76.595.985 ; 87.650 ; 246.753.297 ; 4.069 ; 71.539.589 ; 91.859 ; 396.454.024 ; 1.486 ; 341.266.537 ; 7.451 ; 452.270.203 ; 8.937 ; 793.536.739 ; 100.796 ; 1.189.990.763 ;
34;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 78 ; 130.747.048 ; 243 ; 50.268.789 ; 29 ; 306.748.714 ; 203 ; 267.474.353 ; 553 ; 755.238.904 ; 35 ; 127.411.660 ; 33 ; 139.583.605 ; 68 ; 266.995.265 ; 621 ; 1.022.234.169 ;
35;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;;;;; 680.098 ; 329.545.347 ; 692.882 ; 294.334.259 ; 1.372.980 ; 623.879.606 ; 998 ; 174.560.871 ; 1.007 ; 209.772.630 ; 2.005 ; 384.333.501 ; 1.374.985 ; 1.008.213.108 ;
36;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 76 ; 60.472.609 ; 244 ; 137.679.751 ; 495 ; 141.707.499 ; 1.041 ; 127.626.054 ; 1.856 ; 467.485.914 ; 73 ; 239.470.250 ; 70 ; 204.865.752 ; 143 ; 444.336.001 ; 1.999 ; 911.821.915 ;
