Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em ABRIL / 2016;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
26;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 60 ; 3.518.640 ; 902 ; 37.497.438 ; 563 ; 40.719.831 ; 1.620 ; 66.065.430 ; 3.145 ; 147.801.339 ; 1.233 ; 310.453.230 ; 8.278 ; 253.671.597 ; 9.511 ; 564.124.826 ; 12.656 ; 711.926.166 ;;;;
27;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 130 ; 32.799.069 ; 400 ; 44.649.617 ; 387 ; 245.403.311 ; 452 ; 127.149.518 ; 1.369 ; 450.001.514 ; 55 ; 73.096.703 ; 82 ; 178.124.001 ; 137 ; 251.220.704 ; 1.506 ; 701.222.218 ;;;;
28;78.632.767;BANCO OURINVEST S.A.; 51 ; 14.195.008 ; 358 ; 14.360.151 ; 255 ; 15.676.890 ; 608 ; 34.487.702 ; 1.272 ; 78.719.750 ; 293 ; 289.585.293 ; 6.888 ; 259.475.572 ; 7.181 ; 549.060.865 ; 8.453 ; 627.780.615 ;;;;
29;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 77 ; 235.930.145 ; 10 ; 902.858 ; 57 ; 57.059.102 ; 164 ; 157.065.856 ; 308 ; 450.957.961 ; 6 ; 4.784.618 ; 14 ; 159.787.022 ; 20 ; 164.571.640 ; 328 ; 615.529.601 ;;;;
30;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;;;; 19 ; 302.910.000 ; 19 ; 302.910.000 ; 19 ; 302.910.000 ;;; 19 ; 302.910.000 ; 38 ; 605.820.000 ;;;;
31;13.059.145;BEXS BANCO DE CÂMBIO S/A; 39 ; 201.292.493 ; 113 ; 3.035.108 ; 145 ; 19.238.089 ; 382 ; 50.862.008 ; 679 ; 274.427.698 ; 202 ; 68.124.665 ; 271 ; 234.511.701 ; 473 ; 302.636.366 ; 1.152 ; 577.064.064 ;;;;
32;10.690.848;BANCO DA CHINA BRASIL S.A.; 9 ; 129.997.686 ; 4 ; 2.556.298 ; 11 ; 80.158.867 ; 53 ; 5.102.302 ; 77 ; 217.815.153 ; 32 ; 78.548.737 ; 35 ; 279.004.970 ; 67 ; 357.553.707 ; 144 ; 575.368.860 ;;;;
33;68.900.810;BANCO RENDIMENTO S.A.; 7 ; 125.701 ; 50 ; 5.694.041 ; 20.354 ; 73.178.894 ; 1.335 ; 67.013.591 ; 21.746 ; 146.012.227 ; 378 ; 163.541.813 ; 8.025 ; 184.381.466 ; 8.403 ; 347.923.280 ; 30.149 ; 493.935.507 ;;;;
34;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 2 ; 30.750.000 ;;; 18 ; 32.942.120 ; 62 ; 9.104.762 ; 82 ; 72.796.882 ; 40 ; 163.419.068 ; 42 ; 227.465.005 ; 82 ; 390.884.074 ; 164 ; 463.680.956 ;;;;
35;58.616.418;BANCO FIBRA S.A.; 87 ; 17.799.624 ; 413 ; 25.803.237 ; 22 ; 14.211.865 ; 209 ; 177.504.703 ; 731 ; 235.319.428 ; 11 ; 185.030.327 ; 5 ; 40.030.865 ; 16 ; 225.061.192 ; 747 ; 460.380.620 ;;;;
36;03.609.817;BANCO CARGILL S.A.; 11 ; 126.829.201 ; 4 ; 5.477.294 ; 4 ; 954.877 ; 24 ; 104.493.838 ; 43 ; 237.755.209 ; 5 ; 95.142.000 ; 4 ; 100.000.000 ; 9 ; 195.142.000 ; 52 ; 432.897.209 ;;;;
37;62.232.889;BANCO DAYCOVAL S.A.; 271 ; 30.404.864 ; 364 ; 21.253.426 ; 427 ; 3.836.790 ; 1.550 ; 42.473.441 ; 2.612 ; 97.968.520 ; 394 ; 175.511.863 ; 1.154 ; 144.890.660 ; 1.548 ; 320.402.524 ; 4.160 ; 418.371.044 ;;;;
38;61.146.577;BANCO BARCLAYS S.A.;;;;; 31 ; 169.489.949 ; 34 ; 139.755.924 ; 65 ; 309.245.873 ; 12 ; 27.738.650 ; 13 ; 62.578.853 ; 25 ; 90.317.503 ; 90 ; 399.563.376 ;;;;
39;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 55 ; 122.079.781 ;;; 86 ; 39.620.209 ; 73 ; 58.003.115 ; 214 ; 219.703.105 ; 2 ; 4.090.201 ; 3 ; 140.000.000 ; 5 ; 144.090.201 ; 219 ; 363.793.306 ;;;;
40;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 37 ; 103.117.975 ; 17 ; 32.252.511 ; 3 ; 5.018.297 ; 84 ; 63.787.482 ; 141 ; 204.176.265 ; 4 ; 50.098.619 ; 4 ; 60.098.527 ; 8 ; 110.197.146 ; 149 ; 314.373.411 ;;;;
41;28.195.667;BANCO ABC BRASIL S.A.; 61 ; 23.881.420 ; 139 ; 12.009.220 ; 21 ; 20.834.745 ; 226 ; 45.315.576 ; 447 ; 102.040.961 ; 33 ; 68.083.576 ; 36 ; 115.682.339 ; 69 ; 183.765.915 ; 516 ; 285.806.876 ;;;;
42;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 51 ; 44.578.420 ; 72 ; 12.264.214 ; 56 ; 63.517.391 ; 61 ; 51.662.933 ; 240 ; 172.022.959 ; 62 ; 32.164.056 ; 69 ; 77.197.240 ; 131 ; 109.361.296 ; 371 ; 281.384.255 ;;;;
43;61.186.680;BANCO BMG S.A.; 11 ; 32.291.219 ; 1 ; 690.000 ; 2 ; 175.383 ; 15 ; 99.017.225 ; 29 ; 132.173.827 ; 10 ; 111.600.000 ; 7 ; 31.006.018 ; 17 ; 142.606.018 ; 46 ; 274.779.845 ;;;;
44;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 122 ; 65.402.585 ; 130 ; 108.139.028 ; 252 ; 173.541.613 ; 42 ; 70.446.000 ; 22 ; 27.702.000 ; 64 ; 98.148.000 ; 316 ; 271.689.613 ;;;;
45;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 893 ; 84.383.082 ; 882 ; 47.561.170 ; 375 ; 7.471.396 ; 1.120 ; 18.577.342 ; 3.270 ; 157.992.990 ; 25 ; 32.343.837 ; 43 ; 57.061.876 ; 68 ; 89.405.713 ; 3.338 ; 247.398.703 ;;;;
46;15.357.060;BANCO WOORI BANK DO BRASIL S.A.;;; 35 ; 14.728.304 ; 31 ; 83.326.635 ; 249 ; 32.241.434 ; 315 ; 130.296.374 ; 42 ; 32.441.955 ; 6 ; 68.755.000 ; 48 ; 101.196.955 ; 363 ; 231.493.329 ;;;;
47;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 63 ; 1.102.379 ; 504 ; 9.369.453 ; 1.033 ; 10.851.504 ; 1.873 ; 45.762.746 ; 3.473 ; 67.086.082 ; 2.743 ; 88.999.442 ; 336 ; 45.875.606 ; 3.079 ; 134.875.048 ; 6.552 ; 201.961.130 ;;;;
48;33.923.798;BANCO MÁXIMA S.A.; 25 ; 328.766 ; 103 ; 1.878.215 ; 34 ; 1.525.373 ; 94 ; 2.962.137 ; 256 ; 6.694.491 ; 46 ; 95.571.857 ; 268 ; 88.945.675 ; 314 ; 184.517.532 ; 570 ; 191.212.023 ;;;;
49;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 8 ; 198.051 ; 145 ; 2.278.406 ; 324 ; 3.650.642 ; 1.142 ; 16.266.711 ; 1.619 ; 22.393.810 ; 1.939 ; 55.819.804 ; 340 ; 41.061.991 ; 2.279 ; 96.881.795 ; 3.898 ; 119.275.605 ;;;;
