Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
40;13.059.145;BEXS BANCO DE CÂMBIO S/A; 24 ; 124.651.112 ; 56 ; 10.141.933 ; 9.315 ; 16.908.052 ; 58.592 ; 47.828.590 ; 67.987 ; 199.529.687 ; 106 ; 44.086.801 ; 37 ; 130.267.455 ; 143 ; 174.354.256 ; 68.130 ; 373.883.943 ;
41;33.923.798;BANCO MASTER S/A; 115 ; 23.142.204 ; 385 ; 10.103.978 ; 19.374 ; 107.417.302 ; 43.506 ; 77.241.827 ; 63.380 ; 217.905.311 ; 56 ; 36.821.899 ; 48 ; 75.186.350 ; 104 ; 112.008.249 ; 63.484 ; 329.913.560 ;
42;00.997.185;BANCO B3 S.A.;;;;; 119 ; 75.278.399 ; 109 ; 85.881.016 ; 228 ; 161.159.416 ; 39 ; 87.702.615 ; 36 ; 77.050.486 ; 75 ; 164.753.101 ; 303 ; 325.912.517 ;
43;00.360.305;CAIXA ECONOMICA FEDERAL; 147 ; 58.700.289 ; 88 ; 6.923.207 ; 10.179 ; 42.643.586 ; 616 ; 53.843.194 ; 11.030 ; 162.110.276 ; 185 ; 61.097.772 ; 208 ; 101.428.237 ; 393 ; 162.526.009 ; 11.423 ; 324.636.285 ;
44;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 27 ; 86.766.885 ;;; 32 ; 15.072.480 ;;; 59 ; 101.839.365 ; 7 ; 200.000.000 ; 1 ; 93.048 ; 8 ; 200.093.048 ; 67 ; 301.932.413 ;
45;36.588.217;WISE BRASIL CORRETORA DE CâMBIO LTDA;;;;; 5.540 ; 1.323.114 ; 97.734 ; 80.240.604 ; 103.274 ; 81.563.718 ; 1.180 ; 145.377.179 ; 1.160 ; 66.459.421 ; 2.340 ; 211.836.600 ; 105.614 ; 293.400.318 ;
46;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 4 ; 20.239.726 ; 10 ; 3.060.229 ; 2 ; 2.000.244 ; 139 ; 48.756.133 ; 155 ; 74.056.332 ; 10 ; 64.802.684 ; 9 ; 144.841.222 ; 19 ; 209.643.907 ; 174 ; 283.700.239 ;
47;49.336.860;ING BANK N.V.;;;;; 3 ; 612.221 ; 10 ; 990.930 ; 13 ; 1.603.151 ; 9 ; 135.181.903 ; 9 ; 135.191.898 ; 18 ; 270.373.801 ; 31 ; 271.976.952 ;
48;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 12 ; 824.242 ; 123 ; 3.731.120 ; 190 ; 27.987.444 ; 943 ; 96.931.726 ; 1.268 ; 129.474.532 ; 142 ; 91.364.349 ; 52 ; 19.492.608 ; 194 ; 110.856.958 ; 1.462 ; 240.331.489 ;
49;45.246.410;BANCO GENIAL S.A.; 59 ; 4.306.963 ; 31 ; 9.539.168 ; 228 ; 15.187.892 ; 305 ; 93.544.539 ; 623 ; 122.578.562 ; 25 ; 92.569.998 ; 6 ; 7.611.533 ; 31 ; 100.181.531 ; 654 ; 222.760.093 ;
