Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mai/2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
26;28.195.667;BANCO ABC BRASIL S.A.; 340 ; 205.757.378 ; 826 ; 224.752.108 ; 265 ; 424.677.673 ; 1.341 ; 544.851.084 ; 2.772 ; 1.400.038.243 ; 754 ; 2.499.111.037 ; 1.483 ; 2.503.006.630 ; 2.237 ; 5.002.117.666 ; 5.009 ; 6.402.155.910 ;;;;
27;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 377 ; 730.382.264 ;;; 544 ; 198.186.099 ; 194 ; 1.616.359.246 ; 1.115 ; 2.544.927.609 ; 93 ; 2.856.055.718 ; 16 ; 765.913.998 ; 109 ; 3.621.969.716 ; 1.224 ; 6.166.897.324 ;;;;
28;00.360.305;CAIXA ECONOMICA FEDERAL; 633 ; 330.211.062 ; 521 ; 18.716.291 ; 39.262 ; 364.609.895 ; 7.704 ; 1.769.626.578 ; 48.120 ; 2.483.163.827 ; 672 ; 1.927.843.240 ; 693 ; 879.327.460 ; 1.365 ; 2.807.170.700 ; 49.485 ; 5.290.334.527 ;;;;
29;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 754 ; 376.103.660 ; 3.239 ; 705.266.736 ; 1.930 ; 971.651.375 ; 2.879 ; 363.999.031 ; 8.802 ; 2.417.020.802 ; 419 ; 873.154.664 ; 424 ; 1.157.670.752 ; 843 ; 2.030.825.416 ; 9.645 ; 4.447.846.218 ;;;;
30;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 92 ; 262.918.949 ; 55 ; 26.980.380 ; 70 ; 415.209.279 ; 631 ; 471.381.656 ; 848 ; 1.176.490.265 ; 130 ; 1.493.430.505 ; 128 ; 1.354.422.540 ; 258 ; 2.847.853.044 ; 1.106 ; 4.024.343.309 ;;;;
31;62.232.889;BANCO DAYCOVAL S.A.; 2.576 ; 412.184.964 ; 2.921 ; 204.425.110 ; 3.560 ; 72.418.579 ; 13.894 ; 1.055.255.387 ; 22.951 ; 1.744.284.040 ; 2.340 ; 1.509.554.181 ; 7.435 ; 759.053.291 ; 9.775 ; 2.268.607.472 ; 32.726 ; 4.012.891.512 ;;;;
32;78.632.767;BANCO OURINVEST S.A.; 848 ; 64.156.080 ; 7.101 ; 386.493.402 ; 3.318 ; 441.840.462 ; 9.534 ; 505.320.022 ; 20.801 ; 1.397.809.967 ; 2.598 ; 1.444.255.427 ; 40.078 ; 1.037.099.173 ; 42.676 ; 2.481.354.601 ; 63.477 ; 3.879.164.567 ;;;;
33;13.059.145;BEXS BANCO DE CÂMBIO S/A; 119 ; 680.048.548 ; 182 ; 10.921.873 ; 1.112 ; 304.099.545 ; 3.613 ; 919.716.093 ; 5.026 ; 1.914.786.059 ; 452 ; 681.362.951 ; 300 ; 731.006.619 ; 752 ; 1.412.369.569 ; 5.778 ; 3.327.155.629 ;;;;
34;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 1.285 ; 44.330.694 ; 7.846 ; 291.716.358 ; 5.387 ; 373.586.869 ; 15.323 ; 484.190.997 ; 29.841 ; 1.193.824.918 ; 3.852 ; 1.248.901.473 ; 29.346 ; 872.035.823 ; 33.198 ; 2.120.937.297 ; 63.039 ; 3.314.762.214 ;;;;
35;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 372 ; 16.216.431 ; 3.150 ; 125.533.609 ; 1.609 ; 462.046.711 ; 345.022 ; 680.910.250 ; 350.153 ; 1.284.707.001 ; 1.139 ; 1.008.192.651 ; 1.660 ; 680.247.758 ; 2.799 ; 1.688.440.410 ; 352.952 ; 2.973.147.411 ;;;;
