Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em fevereiro / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
26;00.360.305;CAIXA ECONOMICA FEDERAL; 175 ; 36.852.252 ; 139 ; 2.878.474 ; 3.879 ; 242.132.313 ; 1.857 ; 67.739.368 ; 6.050 ; 349.602.405 ; 122 ; 126.530.232 ; 130 ; 332.029.205 ; 252 ; 458.559.437 ; 6.302 ; 808.161.842 ;;;;
27;62.232.889;BANCO DAYCOVAL S.A.; 190 ; 67.350.245 ; 394 ; 28.175.553 ; 428 ; 13.149.153 ; 2.024 ; 98.830.210 ; 3.036 ; 207.505.162 ; 253 ; 242.593.725 ; 833 ; 210.502.503 ; 1.086 ; 453.096.227 ; 4.122 ; 660.601.389 ;;;;
28;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 110 ; 39.774.751 ; 285 ; 163.804.037 ; 287 ; 101.998.075 ; 403 ; 75.502.711 ; 1.085 ; 381.079.574 ; 54 ; 185.153.913 ; 41 ; 87.441.663 ; 95 ; 272.595.576 ; 1.180 ; 653.675.150 ;;;;
29;28.195.667;BANCO ABC BRASIL S.A.; 43 ; 20.410.662 ; 99 ; 16.808.981 ; 28 ; 58.803.759 ; 284 ; 67.247.018 ; 454 ; 163.270.420 ; 16 ; 150.753.127 ; 34 ; 291.368.521 ; 50 ; 442.121.648 ; 504 ; 605.392.069 ;;;;
30;49.336.860;ING BANK N.V.; 25 ; 228.443.701 ; 30 ; 9.914.365 ; 6 ; 3.859.302 ; 69 ; 2.220.776 ; 130 ; 244.438.144 ; 6 ; 17.562.800 ; 12 ; 196.499.800 ; 18 ; 214.062.600 ; 148 ; 458.500.744 ;;;;
31;68.900.810;BANCO RENDIMENTO S.A.; 13 ; 226.295 ; 46 ; 4.886.803 ; 4.094 ; 52.179.379 ; 1.382 ; 97.940.191 ; 5.535 ; 155.232.668 ; 255 ; 140.744.367 ; 4.739 ; 138.368.975 ; 4.994 ; 279.113.342 ; 10.529 ; 434.346.011 ;;;;
32;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 7 ; 66.896.328 ;;; 11 ; 16.608.289 ; 35 ; 3.772.668 ; 53 ; 87.277.285 ; 49 ; 114.635.022 ; 53 ; 197.039.113 ; 102 ; 311.674.135 ; 155 ; 398.951.420 ;;;;
33;78.632.767;BANCO OURINVEST S.A.; 1 ; 2.745.399 ; 50 ; 4.344.063 ; 130 ; 2.048.286 ; 386 ; 6.635.335 ; 567 ; 15.773.082 ; 293 ; 184.355.543 ; 3.206 ; 185.947.944 ; 3.499 ; 370.303.487 ; 4.066 ; 386.076.569 ;;;;
34;71.027.866;BANCO BONSUCESSO S.A.; 4 ; 84.085 ;;; 40 ; 1.650.969 ; 63 ; 4.045.108 ; 107 ; 5.780.162 ; 162 ; 183.468.736 ; 124 ; 181.150.000 ; 286 ; 364.618.736 ; 393 ; 370.398.898 ;;;;
35;13.059.145;BEXS BANCO DE CÂMBIO S/A; 16 ; 25.772.584 ; 118 ; 4.376.025 ; 168 ; 18.025.584 ; 319 ; 14.742.188 ; 621 ; 62.916.381 ; 228 ; 102.991.468 ; 284 ; 127.649.308 ; 512 ; 230.640.776 ; 1.133 ; 293.557.157 ;;;;
