Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Mar/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 179 ; 647.379.434 ; 35 ; 55.454.699 ; 189 ; 559.931.038 ; 423 ; 913.116.498 ; 826 ; 2.175.881.670 ; 45 ; 519.441.495 ; 59 ; 1.000.414.832 ; 104 ; 1.519.856.327 ; 930 ; 3.695.737.997 ;;;;
26;62.232.889;BANCO DAYCOVAL S.A.; 646 ; 202.395.627 ; 1.241 ; 101.476.461 ; 1.446 ; 101.547.692 ; 7.169 ; 613.191.893 ; 10.502 ; 1.018.611.672 ; 928 ; 1.228.763.479 ; 3.562 ; 815.055.165 ; 4.490 ; 2.043.818.644 ; 14.992 ; 3.062.430.317 ;;;;
27;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 312 ; 219.161.559 ; 1.131 ; 366.968.202 ; 982 ; 756.024.650 ; 1.397 ; 276.859.499 ; 3.822 ; 1.619.013.910 ; 177 ; 421.165.912 ; 207 ; 753.241.870 ; 384 ; 1.174.407.782 ; 4.206 ; 2.793.421.692 ;;;;
28;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 22 ; 150.253.507 ; 9 ; 2.942.928 ; 45 ; 169.696.706 ; 128 ; 32.059.185 ; 204 ; 354.952.326 ; 244 ; 1.003.998.080 ; 262 ; 1.285.420.623 ; 506 ; 2.289.418.703 ; 710 ; 2.644.371.029 ;;;;
29;49.336.860;ING BANK N.V.; 68 ; 532.719.987 ; 45 ; 100.971.021 ; 31 ; 423.175.082 ; 203 ; 212.389.489 ; 347 ; 1.269.255.579 ; 27 ; 260.092.075 ; 55 ; 908.265.660 ; 82 ; 1.168.357.735 ; 429 ; 2.437.613.314 ;;;;
30;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 99 ; 607.261.065 ;;; 146 ; 207.194.425 ; 186 ; 558.942.880 ; 431 ; 1.373.398.369 ; 9 ; 465.515.772 ; 11 ; 573.928.603 ; 20 ; 1.039.444.375 ; 451 ; 2.412.842.745 ;;;;
31;68.900.810;BANCO RENDIMENTO S.A.; 24 ; 1.265.413 ; 164 ; 13.910.649 ; 13.033 ; 175.820.222 ; 5.330 ; 408.818.700 ; 18.551 ; 599.814.984 ; 1.004 ; 870.157.814 ; 19.244 ; 605.695.200 ; 20.248 ; 1.475.853.014 ; 38.799 ; 2.075.667.998 ;;;;
32;28.195.667;BANCO ABC BRASIL S.A.; 138 ; 70.421.796 ; 324 ; 48.204.435 ; 84 ; 394.976.956 ; 936 ; 198.312.734 ; 1.482 ; 711.915.921 ; 63 ; 433.728.366 ; 91 ; 854.106.696 ; 154 ; 1.287.835.062 ; 1.636 ; 1.999.750.983 ;;;;
33;78.632.767;BANCO OURINVEST S.A.; 19 ; 5.658.150 ; 142 ; 14.555.978 ; 492 ; 10.100.902 ; 1.511 ; 36.591.485 ; 2.164 ; 66.906.515 ; 969 ; 961.691.289 ; 13.467 ; 919.935.224 ; 14.436 ; 1.881.626.512 ; 16.600 ; 1.948.533.027 ;;;;
34;71.027.866;BANCO BONSUCESSO S.A.; 5 ; 146.063 ; 3 ; 15.360 ; 114 ; 2.464.354 ; 247 ; 13.038.917 ; 369 ; 15.664.693 ; 693 ; 701.522.144 ; 569 ; 690.700.876 ; 1.262 ; 1.392.223.020 ; 1.631 ; 1.407.887.713 ;;;;
