Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Nov/2015;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;
25;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 507 ; 124.881.013 ; 3.716 ; 239.046.031 ; 2.441 ; 472.597.383 ; 11.332 ; 684.677.354 ; 17.996 ; 1.521.201.780 ; 14.318 ; 6.237.787.018 ; 102.354 ; 5.915.591.316 ; 116.672 ; 12.153.378.334 ; 134.668 ; 13.674.580.115 ;
26;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 587 ; 1.907.262.744 ; 164 ; 177.156.586 ; 868 ; 2.005.716.522 ; 2.549 ; 2.086.923.225 ; 4.168 ; 6.177.059.076 ; 145 ; 1.430.919.877 ; 216 ; 2.898.689.908 ; 361 ; 4.329.609.786 ; 4.529 ; 10.506.668.862 ;
27;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.449 ; 730.553.752 ; 4.651 ; 1.143.386.379 ; 3.601 ; 2.733.712.188 ; 5.212 ; 1.020.508.189 ; 14.913 ; 5.628.160.509 ; 683 ; 1.733.299.796 ; 891 ; 3.033.194.490 ; 1.574 ; 4.766.494.286 ; 16.487 ; 10.394.654.795 ;
28;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 390 ; 1.305.592.321 ;;; 547 ; 1.025.365.124 ; 703 ; 2.116.709.142 ; 1.640 ; 4.447.666.587 ; 75 ; 3.122.209.000 ; 44 ; 1.864.861.239 ; 119 ; 4.987.070.238 ; 1.759 ; 9.434.736.825 ;
29;62.232.889;BANCO DAYCOVAL S.A.; 2.372 ; 447.162.377 ; 4.075 ; 275.128.527 ; 5.135 ; 583.265.046 ; 21.045 ; 1.321.071.705 ; 32.627 ; 2.626.627.655 ; 3.622 ; 3.524.718.003 ; 15.609 ; 2.935.844.219 ; 19.231 ; 6.460.562.222 ; 51.858 ; 9.087.189.877 ;
30;71.027.866;BANCO BONSUCESSO S.A.; 24 ; 1.218.697 ; 9 ; 258.013 ; 423 ; 11.755.839 ; 861 ; 45.531.049 ; 1.317 ; 58.763.597 ; 2.827 ; 3.855.313.212 ; 2.451 ; 3.819.284.845 ; 5.278 ; 7.674.598.056 ; 6.595 ; 7.733.361.654 ;
31;49.336.860;ING BANK N.V.; 333 ; 1.885.491.350 ; 118 ; 274.970.356 ; 103 ; 583.549.488 ; 717 ; 440.734.603 ; 1.271 ; 3.184.745.796 ; 124 ; 1.230.579.537 ; 184 ; 2.901.747.939 ; 308 ; 4.132.327.475 ; 1.579 ; 7.317.073.271 ;
32;68.900.810;BANCO RENDIMENTO S.A.; 87 ; 7.153.438 ; 615 ; 82.163.369 ; 69.931 ; 707.959.737 ; 17.734 ; 1.011.543.884 ; 88.367 ; 1.808.820.427 ; 3.789 ; 2.456.598.668 ; 71.642 ; 2.083.483.574 ; 75.431 ; 4.540.082.241 ; 163.798 ; 6.348.902.669 ;
33;28.195.667;BANCO ABC BRASIL S.A.; 539 ; 233.695.287 ; 1.099 ; 194.022.008 ; 322 ; 1.136.847.533 ; 3.149 ; 1.125.290.309 ; 5.109 ; 2.689.855.136 ; 313 ; 1.792.917.022 ; 321 ; 1.765.486.843 ; 634 ; 3.558.403.865 ; 5.743 ; 6.248.259.001 ;
34;13.059.145;BEXS BANCO DE CÂMBIO S/A; 329 ; 1.597.923.051 ; 1.367 ; 51.798.523 ; 1.862 ; 290.562.294 ; 5.385 ; 493.961.540 ; 8.943 ; 2.434.245.408 ; 2.521 ; 1.088.103.846 ; 2.359 ; 2.430.273.079 ; 4.880 ; 3.518.376.925 ; 13.823 ; 5.952.622.333 ;
35;78.632.767;BANCO OURINVEST S.A.; 74 ; 33.734.147 ; 510 ; 38.377.224 ; 1.943 ; 118.468.650 ; 5.691 ; 190.087.237 ; 8.218 ; 380.667.258 ; 3.465 ; 2.692.689.755 ; 61.009 ; 2.603.540.221 ; 64.474 ; 5.296.229.975 ; 72.692 ; 5.676.897.233 ;
36;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 330 ; 804.412.979 ; 397 ; 81.263.831 ; 306 ; 914.882.292 ; 443 ; 428.569.563 ; 1.476 ; 2.229.128.666 ; 418 ; 631.852.888 ; 531 ; 1.874.733.296 ; 949 ; 2.506.586.184 ; 2.425 ; 4.735.714.850 ;
37;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 47 ; 1.127.440.000 ; 69 ; 769.052.000 ; 116 ; 1.896.492.000 ; 70 ; 802.552.000 ; 49 ; 1.160.940.000 ; 119 ; 1.963.492.000 ; 235 ; 3.859.984.000 ;
38;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 1.200 ; 428.696.960 ; 1.226 ; 182.893.623 ; 576 ; 757.730.699 ; 2.199 ; 696.729.443 ; 5.201 ; 2.066.050.726 ; 278 ; 717.204.428 ; 261 ; 991.144.845 ; 539 ; 1.708.349.273 ; 5.740 ; 3.774.399.999 ;
39;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 8.653 ; 864.448.735 ; 12.606 ; 633.436.422 ; 4.031 ; 120.497.261 ; 14.617 ; 330.323.458 ; 39.907 ; 1.948.705.876 ; 343 ; 490.562.530 ; 348 ; 501.400.701 ; 691 ; 991.963.231 ; 40.598 ; 2.940.669.107 ;
40;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 113 ; 305.080.097 ; 206 ; 234.285.598 ; 98 ; 870.021.095 ; 851 ; 336.769.888 ; 1.268 ; 1.746.156.677 ; 96 ; 299.417.024 ; 117 ; 881.846.881 ; 213 ; 1.181.263.905 ; 1.481 ; 2.927.420.583 ;
41;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 20 ; 5.987.595 ; 5 ; 38.292 ; 1.443 ; 235.028.643 ; 796 ; 481.071.863 ; 2.264 ; 722.126.393 ; 315 ; 1.100.445.777 ; 377 ; 916.807.753 ; 692 ; 2.017.253.530 ; 2.956 ; 2.739.379.923 ;
42;33.923.798;BANCO MÁXIMA S.A.; 409 ; 9.299.330 ; 3.223 ; 163.175.833 ; 916 ; 299.194.754 ; 2.533 ; 256.800.175 ; 7.081 ; 728.470.091 ; 2.733 ; 941.155.348 ; 13.451 ; 833.151.456 ; 16.184 ; 1.774.306.804 ; 23.265 ; 2.502.776.895 ;
43;03.609.817;BANCO CARGILL S.A.; 201 ; 855.325.795 ; 34 ; 80.126.572 ; 35 ; 264.178.709 ; 204 ; 265.972.534 ; 474 ; 1.465.603.610 ; 31 ; 119.393.000 ; 84 ; 891.940.952 ; 115 ; 1.011.333.952 ; 589 ; 2.476.937.563 ;
44;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 563 ; 9.474.774 ; 4.847 ; 111.601.846 ; 8.588 ; 95.206.574 ; 19.880 ; 622.170.492 ; 33.878 ; 838.453.687 ; 31.520 ; 1.120.432.918 ; 1.299 ; 491.173.019 ; 32.819 ; 1.611.605.936 ; 66.697 ; 2.450.059.623 ;
45;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 2.477 ; 4.556.540 ; 25.826 ; 116.727.296 ; 28.303 ; 121.283.836 ; 6.510 ; 1.180.257.184 ; 1.247 ; 1.067.993.289 ; 7.757 ; 2.248.250.472 ; 36.060 ; 2.369.534.308 ;
46;58.616.418;BANCO FIBRA S.A.; 1.320 ; 107.721.020 ; 3.382 ; 221.164.449 ; 800 ; 578.699.055 ; 2.434 ; 746.734.032 ; 7.936 ; 1.654.318.555 ; 416 ; 444.946.827 ; 325 ; 109.631.312 ; 741 ; 554.578.140 ; 8.677 ; 2.208.896.695 ;
47;07.656.500;BANCO KDB DO BRASIL S.A.;;; 5 ; 6.123.749 ; 1.364 ; 442.029.026 ; 1.711 ; 592.613.497 ; 3.080 ; 1.040.766.272 ; 175 ; 544.770.293 ; 347 ; 512.899.565 ; 522 ; 1.057.669.857 ; 3.602 ; 2.098.436.129 ;
48;15.114.366;BANCO BBM S/A; 240 ; 163.765.891 ; 25 ; 57.204.527 ; 108 ; 193.301.022 ; 386 ; 106.405.432 ; 759 ; 520.676.872 ; 77 ; 662.811.413 ; 108 ; 820.310.342 ; 185 ; 1.483.121.755 ; 944 ; 2.003.798.627 ;
49;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 18 ; 51.050.082 ; 88 ; 21.317.428 ; 245 ; 211.572.667 ; 667 ; 84.140.228 ; 1.018 ; 368.080.406 ; 242 ; 698.959.123 ; 450 ; 919.836.101 ; 692 ; 1.618.795.223 ; 1.710 ; 1.986.875.629 ;
50;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS; 43 ; 1.752.821 ; 11.530 ; 768.482.979 ; 2.140 ; 26.097.585 ; 20.960 ; 163.261.678 ; 34.673 ; 959.595.063 ; 10.474 ; 914.144.421 ; 284 ; 11.996.086 ; 10.758 ; 926.140.507 ; 45.431 ; 1.885.735.570 ;
51;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 46 ; 185.350.310 ; 164 ; 246.313.016 ; 215 ; 518.974.956 ; 181 ; 163.050.102 ; 606 ; 1.113.688.384 ; 90 ; 131.983.986 ; 192 ; 421.889.511 ; 282 ; 553.873.497 ; 888 ; 1.667.561.882 ;
52;03.532.415;BANCO ABN AMRO S.A.; 225 ; 736.598.330 ; 3 ; 10.274.455 ; 51 ; 15.012.141 ; 183 ; 11.846.661 ; 462 ; 773.731.587 ; 22 ; 83.654.577 ; 326 ; 786.619.552 ; 348 ; 870.274.129 ; 810 ; 1.644.005.716 ;
53;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 110 ; 672.622 ; 8.981 ; 102.083.622 ; 32.732 ; 567.376.280 ; 41.823 ; 670.132.523 ; 19.714 ; 716.547.688 ; 1.153 ; 249.101.502 ; 20.867 ; 965.649.190 ; 62.690 ; 1.635.781.713 ;
54;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 126 ; 2.956.380 ; 1.035 ; 17.650.365 ; 3.889 ; 32.847.778 ; 13.174 ; 200.472.062 ; 18.224 ; 253.926.584 ; 17.938 ; 718.653.049 ; 3.654 ; 536.174.505 ; 21.592 ; 1.254.827.554 ; 39.816 ; 1.508.754.138 ;
55;62.144.175;BANCO PINE S.A.; 93 ; 122.551.006 ; 128 ; 79.137.742 ; 61 ; 122.421.015 ; 622 ; 309.004.127 ; 904 ; 633.113.888 ; 35 ; 547.180.283 ; 22 ; 317.181.847 ; 57 ; 864.362.130 ; 961 ; 1.497.476.019 ;
56;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 342 ; 6.870.591 ; 1.631 ; 18.697.207 ; 12.924 ; 106.714.980 ; 63.033 ; 712.991.054 ; 77.930 ; 845.273.832 ; 8.795 ; 620.308.023 ; 85 ; 2.231.337 ; 8.880 ; 622.539.361 ; 86.810 ; 1.467.813.193 ;
57;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 540 ; 208.123.614 ; 427 ; 62.091.146 ; 179 ; 41.809.171 ; 476 ; 352.977.118 ; 1.622 ; 665.001.050 ; 152 ; 467.559.212 ; 224 ; 288.418.722 ; 376 ; 755.977.934 ; 1.998 ; 1.420.978.983 ;
58;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 570 ; 12.057.278 ; 9.414 ; 239.361.176 ; 7.012 ; 108.129.780 ; 24.314 ; 438.156.202 ; 41.310 ; 797.704.435 ; 9.287 ; 563.338.511 ; 52 ; 6.281.136 ; 9.339 ; 569.619.647 ; 50.649 ; 1.367.324.082 ;
59;72.760.713;RENOVA S.A. CORRETORA DE CÂMBIO; 32 ; 818.555 ; 801 ; 16.501.325 ; 2.472 ; 19.859.304 ; 10.825 ; 102.114.115 ; 14.130 ; 139.293.299 ; 9.456 ; 651.741.652 ; 1.083 ; 553.781.777 ; 10.539 ; 1.205.523.429 ; 24.669 ; 1.344.816.728 ;
60;30.723.886;BANCO MODAL S.A.; 182 ; 54.473.867 ; 568 ; 86.494.902 ; 247 ; 313.208.361 ; 637 ; 114.060.792 ; 1.634 ; 568.237.922 ; 158 ; 260.953.945 ; 190 ; 420.971.068 ; 348 ; 681.925.013 ; 1.982 ; 1.250.162.935 ;
61;59.118.133;BANCO LUSO BRASILEIRO S.A.; 220 ; 58.635.913 ; 5.622 ; 446.773.131 ; 218 ; 29.987.930 ; 1.648 ; 74.351.543 ; 7.708 ; 609.748.518 ; 3.125 ; 526.015.565 ; 388 ; 93.083.687 ; 3.513 ; 619.099.252 ; 11.221 ; 1.228.847.769 ;
62;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 1.013 ; 30.953.053 ; 12.414 ; 328.107.646 ; 10.077 ; 120.006.700 ; 29.267 ; 227.758.510 ; 52.771 ; 706.825.909 ; 6.934 ; 458.389.177 ; 1.221 ; 53.615.485 ; 8.155 ; 512.004.662 ; 60.926 ; 1.218.830.571 ;
63;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 28 ; 337.874 ; 352 ; 3.102.427 ; 5.545 ; 164.324.259 ; 11.555 ; 521.195.702 ; 17.480 ; 688.960.262 ; 7.426 ; 396.011.949 ; 3.800 ; 38.152.311 ; 11.226 ; 434.164.260 ; 28.706 ; 1.123.124.522 ;
64;59.285.411;BANCO PAN S.A.; 95 ; 79.188.486 ;;; 63 ; 23.245.853 ; 284 ; 380.642.504 ; 442 ; 483.076.843 ; 16 ; 377.109.164 ; 108 ; 192.640.326 ; 124 ; 569.749.490 ; 566 ; 1.052.826.334 ;
