Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em ABRIL / 2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
27;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 52 ; 326.585.857 ; 158 ; 29.473.051 ; 73 ; 186.107.623 ; 165 ; 111.302.050 ; 448 ; 653.468.582 ; 81 ; 403.094.306 ; 111 ; 785.112.626 ; 192 ; 1.188.206.932 ; 640 ; 1.841.675.513 ;
28;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 44 ; 56.821.136 ; 162 ; 26.506.266 ; 25 ; 301.082.921 ; 270 ; 329.481.107 ; 501 ; 713.891.429 ; 59 ; 543.560.137 ; 43 ; 560.193.189 ; 102 ; 1.103.753.326 ; 603 ; 1.817.644.755 ;
29;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 57 ; 184.868.126 ; 7 ; 939.615 ; 82 ; 192.399.128 ; 221 ; 201.902.255 ; 367 ; 580.109.125 ; 68 ; 515.108.760 ; 71 ; 530.160.049 ; 139 ; 1.045.268.809 ; 506 ; 1.625.377.934 ;
30;62.232.889;BANCO DAYCOVAL S.A.; 171 ; 41.262.293 ; 490 ; 145.008.557 ; 42.383 ; 198.754.772 ; 47.440 ; 236.034.948 ; 90.484 ; 621.060.570 ; 459 ; 399.844.515 ; 1.726 ; 316.364.023 ; 2.185 ; 716.208.538 ; 92.669 ; 1.337.269.107 ;
31;58.160.789;BANCO SAFRA S.A.; 234 ; 69.775.545 ; 398 ; 100.310.359 ; 20.210 ; 225.923.498 ; 17.640 ; 398.133.341 ; 38.482 ; 794.142.743 ; 326 ; 355.519.806 ; 314 ; 104.617.756 ; 640 ; 460.137.562 ; 39.122 ; 1.254.280.304 ;
32;68.900.810;BANCO RENDIMENTO S.A.; 1 ; 77.622 ; 125 ; 117.798.172 ; 56.151 ; 174.899.496 ; 3.543 ; 64.552.073 ; 59.820 ; 357.327.364 ; 1.172 ; 384.298.348 ; 7.147 ; 390.737.320 ; 8.319 ; 775.035.668 ; 68.139 ; 1.132.363.031 ;
33;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;;;;; 616.587 ; 296.291.842 ; 808.778 ; 359.314.655 ; 1.425.365 ; 655.606.496 ; 966 ; 233.833.766 ; 961 ; 170.811.195 ; 1.927 ; 404.644.961 ; 1.427.292 ; 1.060.251.457 ;
34;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 18 ; 11.554.865 ; 47 ; 438.804.785 ; 65 ; 450.359.650 ; 18 ; 446.697.290 ; 5 ; 15.874.419 ; 23 ; 462.571.709 ; 88 ; 912.931.359 ;
35;58.616.418;BANCO FIBRA S.A.; 70 ; 47.526.033 ; 405 ; 141.271.425 ; 32 ; 18.142.254 ; 542 ; 15.075.098 ; 1.049 ; 222.014.810 ; 101 ; 419.155.447 ; 86 ; 246.230.350 ; 187 ; 665.385.796 ; 1.236 ; 887.400.606 ;
36;15.114.366;BANCO BOCOM BBM S.A.; 17 ; 1.551.450 ; 37 ; 3.326.265 ; 25 ; 100.940.925 ; 251 ; 38.172.020 ; 330 ; 143.990.660 ; 28 ; 332.520.342 ; 42 ; 364.277.433 ; 70 ; 696.797.775 ; 400 ; 840.788.435 ;
37;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;;; 8 ; 5.839.942 ; 11 ; 176.199.110 ; 133 ; 198.069.233 ; 152 ; 380.108.284 ; 10 ; 152.177.123 ; 20 ; 296.433.114 ; 30 ; 448.610.237 ; 182 ; 828.718.521 ;
38;10.690.848;BANCO DA CHINA BRASIL S.A.; 24 ; 267.670.248 ; 11 ; 22.550.483 ; 34 ; 48.599.241 ; 106 ; 12.175.470 ; 175 ; 350.995.442 ; 36 ; 15.581.140 ; 56 ; 297.066.055 ; 92 ; 312.647.196 ; 267 ; 663.642.637 ;
39;71.027.866;BANCO BS2 S.A.; 292 ; 86.413.781 ; 1.172 ; 61.717.466 ; 6.470 ; 110.421.524 ; 10.459 ; 146.932.848 ; 18.393 ; 405.485.619 ; 21 ; 92.050.414 ; 25 ; 100.823.764 ; 46 ; 192.874.178 ; 18.439 ; 598.359.797 ;
40;13.059.145;BEXS BANCO DE CÂMBIO S/A; 23 ; 60.214.435 ; 66 ; 12.073.187 ; 9.327 ; 40.810.583 ; 113.381 ; 187.126.717 ; 122.797 ; 300.224.922 ; 83 ; 162.157.873 ; 38 ; 73.366.766 ; 121 ; 235.524.640 ; 122.918 ; 535.749.561 ;
41;00.997.185;BANCO B3 S.A.;;;;; 183 ; 232.683.947 ; 151 ; 243.216.513 ; 334 ; 475.900.459 ; 29 ; 27.860.279 ; 36 ; 17.250.608 ; 65 ; 45.110.887 ; 399 ; 521.011.347 ;
42;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 59 ; 123.736.185 ; 179 ; 54.188.393 ; 362 ; 73.156.747 ; 846 ; 73.194.140 ; 1.446 ; 324.275.465 ; 45 ; 47.072.925 ; 47 ; 95.136.888 ; 92 ; 142.209.813 ; 1.538 ; 466.485.278 ;
43;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 62 ; 10.938.500 ; 57 ; 2.479.886 ; 3.754 ; 168.163.209 ; 205 ; 10.832.354 ; 4.078 ; 192.413.949 ; 38 ; 6.935.499 ; 158 ; 172.725.789 ; 196 ; 179.661.289 ; 4.274 ; 372.075.237 ;
44;00.360.305;CAIXA ECONOMICA FEDERAL; 88 ; 40.006.071 ; 87 ; 4.648.565 ; 7.313 ; 36.938.086 ; 3.590 ; 82.979.017 ; 11.078 ; 164.571.740 ; 131 ; 78.965.571 ; 139 ; 83.268.156 ; 270 ; 162.233.727 ; 11.348 ; 326.805.466 ;
45;03.609.817;BANCO CARGILL S.A.; 8 ; 102.052.907 ;;; 5 ; 7.496.265 ; 104 ; 52.386.719 ; 117 ; 161.935.891 ; 5 ; 45.000.000 ; 2 ; 100.000.000 ; 7 ; 145.000.000 ; 124 ; 306.935.891 ;
46;07.656.500;BANCO KDB DO BRASIL S.A.;;; 2 ; 244.866 ; 130 ; 47.985.585 ; 336 ; 131.957.827 ; 468 ; 180.188.278 ; 62 ; 112.854.917 ; 11 ; 8.460.000 ; 73 ; 121.314.917 ; 541 ; 301.503.195 ;
47;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 69 ; 27.373.016 ; 187 ; 106.788.321 ; 256 ; 134.161.337 ; 10 ; 6.188.817 ; 16 ; 131.238.505 ; 26 ; 137.427.322 ; 282 ; 271.588.659 ;
48;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 259 ; 50.478.270 ; 359 ; 31.577.146 ; 417 ; 46.356.976 ; 725 ; 16.396.357 ; 1.760 ; 144.808.749 ; 38 ; 32.159.952 ; 48 ; 77.650.443 ; 86 ; 109.810.394 ; 1.846 ; 254.619.143 ;
49;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 146 ; 3.649.258 ; 1.575 ; 37.741.276 ; 1.675 ; 44.317.918 ; 4.525 ; 73.792.197 ; 7.921 ; 159.500.648 ; 474 ; 77.085.818 ; 97 ; 13.380.386 ; 571 ; 90.466.204 ; 8.492 ; 249.966.852 ;
50;33.923.798;BANCO MASTER S/A; 67 ; 53.532.339 ; 129 ; 9.982.256 ; 2.463 ; 55.515.152 ; 372 ; 23.151.277 ; 3.031 ; 142.181.024 ; 11 ; 12.528.406 ; 34 ; 85.915.178 ; 45 ; 98.443.584 ; 3.076 ; 240.624.607 ;
51;71.677.850;FRENTE CORRETORA DE CÂMBIO S.A.;;; 3 ; 165.943 ; 620 ; 58.724.627 ; 4.015 ; 106.829.658 ; 4.638 ; 165.720.229 ; 613 ; 57.535.054 ; 13 ; 9.875.191 ; 626 ; 67.410.245 ; 5.264 ; 233.130.474 ;
52;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 4 ; 5.480.000 ;;; 4 ; 213.421 ; 27 ; 23.675.561 ; 35 ; 29.368.982 ; 19 ; 105.314.532 ; 14 ; 85.704.543 ; 33 ; 191.019.075 ; 68 ; 220.388.057 ;
