Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em NOVEMBRO / 2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
31;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 4 ; 14.679.734 ; 16 ; 8.115.155 ; 20 ; 42.340.739 ; 93 ; 84.069.408 ; 133 ; 149.205.036 ; 16 ; 199.884.405 ; 19 ; 234.885.474 ; 35 ; 434.769.879 ; 168 ; 583.974.916 ;
32;13.059.145;BEXS BANCO DE CÂMBIO S/A; 11 ; 21.901.720 ; 11 ; 172.095 ; 3.752 ; 39.444.010 ; 56.754 ; 254.812.971 ; 60.528 ; 316.330.797 ; 148 ; 221.327.057 ; 40 ; 34.017.313 ; 188 ; 255.344.370 ; 60.716 ; 571.675.167 ;
33;58.616.418;BANCO FIBRA S.A.; 74 ; 56.041.442 ; 571 ; 111.738.726 ; 19 ; 9.532.759 ; 153 ; 50.225.641 ; 817 ; 227.538.569 ; 71 ; 195.576.075 ; 62 ; 107.911.337 ; 133 ; 303.487.412 ; 950 ; 531.025.981 ;
34;31.872.495;BANCO C6 S.A.; 30 ; 56.761.853 ; 226 ; 14.720.192 ; 218 ; 20.865.325 ; 3.785 ; 53.359.860 ; 4.259 ; 145.707.230 ; 61 ; 163.994.313 ; 161 ; 157.366.550 ; 222 ; 321.360.863 ; 4.481 ; 467.068.093 ;
35;07.679.404;BANCO TOPÁZIO S.A.; 45 ; 28.065.294 ; 41 ; 7.134.116 ; 305 ; 17.478.854 ; 445 ; 123.015.473 ; 836 ; 175.693.738 ; 390 ; 179.875.697 ; 1.225 ; 94.810.223 ; 1.615 ; 274.685.920 ; 2.451 ; 450.379.657 ;
36;33.923.798;BANCO MÁXIMA S.A.; 103 ; 69.836.453 ; 352 ; 28.018.938 ; 8.207 ; 47.665.673 ; 33.250 ; 137.839.610 ; 41.912 ; 283.360.673 ; 93 ; 98.050.930 ; 56 ; 67.592.517 ; 149 ; 165.643.447 ; 42.061 ; 449.004.120 ;
37;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 141 ; 37.482.167 ; 612 ; 91.780.968 ; 298 ; 43.775.778 ; 394 ; 44.844.583 ; 1.445 ; 217.883.496 ; 94 ; 100.733.615 ; 94 ; 100.757.835 ; 188 ; 201.491.450 ; 1.633 ; 419.374.946 ;
38;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 43 ; 42.067.196 ; 222 ; 27.405.063 ; 51 ; 27.143.939 ; 141 ; 71.991.169 ; 457 ; 168.607.367 ; 77 ; 148.598.192 ; 71 ; 85.764.119 ; 148 ; 234.362.311 ; 605 ; 402.969.678 ;
39;33.264.668;BANCO XP S.A.; 16 ; 13.461.824 ; 376 ; 67.315.721 ; 124 ; 23.068.446 ; 370 ; 130.093.839 ; 886 ; 233.939.831 ; 28 ; 153.268.896 ; 3 ; 2.517.404 ; 31 ; 155.786.300 ; 917 ; 389.726.131 ;
40;71.027.866;BANCO BS2 S.A.; 224 ; 21.973.374 ; 1.280 ; 56.694.823 ; 4.090 ; 70.044.436 ; 12.966 ; 72.899.480 ; 18.560 ; 221.612.112 ; 63 ; 95.178.207 ; 106 ; 70.809.762 ; 169 ; 165.987.969 ; 18.729 ; 387.600.082 ;
41;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 8 ; 48.988.057 ; 11 ; 1.591.014 ; 4 ; 1.080.475 ; 336 ; 153.242.306 ; 359 ; 204.901.853 ; 23 ; 130.112.137 ; 11 ; 46.016.084 ; 34 ; 176.128.221 ; 393 ; 381.030.074 ;
42;45.246.410;PLURAL S.A. BANCO MÚLTIPLO; 20 ; 1.482.201 ; 39 ; 1.314.797 ; 155 ; 40.364.455 ; 440 ; 152.489.564 ; 654 ; 195.651.016 ; 48 ; 112.313.137 ; 6 ; 433.556 ; 54 ; 112.746.693 ; 708 ; 308.397.709 ;
43;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 83 ; 50.315.213 ; 485 ; 46.967.264 ; 17 ; 109.819.723 ; 277 ; 32.095.782 ; 862 ; 239.197.983 ; 43 ; 48.749.511 ; 28 ; 18.712.620 ; 71 ; 67.462.131 ; 933 ; 306.660.114 ;
44;62.144.175;BANCO PINE S.A.; 27 ; 14.194.797 ; 196 ; 20.129.202 ; 5 ; 3.982.402 ; 47 ; 3.660.572 ; 275 ; 41.966.973 ; 22 ; 115.427.000 ; 148 ; 112.178.918 ; 170 ; 227.605.918 ; 445 ; 269.572.890 ;
45;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 201 ; 5.679.863 ; 2.378 ; 45.043.339 ; 1.524 ; 18.957.099 ; 3.786 ; 41.318.861 ; 7.889 ; 110.999.162 ; 632 ; 72.657.666 ; 81 ; 10.779.791 ; 713 ; 83.437.457 ; 8.602 ; 194.436.619 ;
46;00.360.305;CAIXA ECONOMICA FEDERAL; 91 ; 15.851.178 ; 100 ; 8.539.957 ; 7.778 ; 31.312.353 ; 501 ; 28.974.622 ; 8.470 ; 84.678.110 ; 171 ; 49.161.397 ; 188 ; 60.401.696 ; 359 ; 109.563.092 ; 8.829 ; 194.241.202 ;
47;00.997.185;BANCO B3 S.A.;;;;; 84 ; 66.768.801 ; 79 ; 62.345.055 ; 163 ; 129.113.856 ; 38 ; 29.695.000 ; 34 ; 34.062.100 ; 72 ; 63.757.100 ; 235 ; 192.870.956 ;
48;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 201 ; 3.531.453 ; 1.192 ; 35.698.044 ; 3.515 ; 25.655.155 ; 3.055 ; 35.600.322 ; 7.963 ; 100.484.974 ; 832 ; 64.567.171 ; 208 ; 22.363.330 ; 1.040 ; 86.930.502 ; 9.003 ; 187.415.476 ;
49;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 19 ; 21.950.646 ;;; 27 ; 7.053.108 ; 6 ; 121.376 ; 52 ; 29.125.130 ; 6 ; 125.000.000 ; 1 ; 154.089 ; 7 ; 125.154.089 ; 59 ; 154.279.219 ;
50;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 19 ; 64.819.860 ; 7 ; 9.059.339 ; 26 ; 73.879.199 ; 2 ; 8.969.953 ; 18 ; 64.631.778 ; 20 ; 73.601.731 ; 46 ; 147.480.930 ;
51;30.723.886;BANCO MODAL S.A.; 4 ; 159.889 ; 45 ; 9.394.662 ; 100 ; 18.991.190 ; 140 ; 59.685.965 ; 289 ; 88.231.706 ; 8 ; 45.249.638 ; 1 ; 468.320 ; 9 ; 45.717.958 ; 298 ; 133.949.664 ;
52;03.609.817;BANCO CARGILL S.A.; 41 ; 63.182.870 ; 1 ; 55.036 ; 4 ; 3.586.576 ; 33 ; 1.600.109 ; 79 ; 68.424.591 ;;; 4 ; 62.000.000 ; 4 ; 62.000.000 ; 83 ; 130.424.591 ;
53;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 118 ; 2.127.777 ; 1.650 ; 43.253.813 ; 267 ; 7.035.060 ; 1.102 ; 13.464.799 ; 3.137 ; 65.881.450 ; 549 ; 48.572.317 ; 13 ; 1.259.586 ; 562 ; 49.831.902 ; 3.699 ; 115.713.352 ;
54;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 101 ; 2.374.081 ; 1.444 ; 39.838.475 ; 419 ; 8.378.041 ; 1.283 ; 14.005.932 ; 3.247 ; 64.596.529 ; 706 ; 45.927.337 ; 22 ; 3.213.016 ; 728 ; 49.140.352 ; 3.975 ; 113.736.882 ;
55;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 5 ; 1.016.635 ; 14 ; 1.130.076 ; 15 ; 3.553.729 ; 44 ; 291.814 ; 78 ; 5.992.254 ; 6 ; 50.950.710 ; 9 ; 54.403.349 ; 15 ; 105.354.059 ; 93 ; 111.346.313 ;
56;59.118.133;BANCO LUSO BRASILEIRO S.A.; 98 ; 15.935.189 ; 309 ; 29.676.505 ; 20 ; 2.563.728 ; 95 ; 2.265.185 ; 522 ; 50.440.607 ; 284 ; 35.283.492 ; 121 ; 21.847.686 ; 405 ; 57.131.178 ; 927 ; 107.571.786 ;
57;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 628 ; 38.438.006 ; 554 ; 24.061.208 ; 346 ; 4.896.940 ; 538 ; 19.700.364 ; 2.066 ; 87.096.517 ; 18 ; 10.738.572 ; 12 ; 9.137.837 ; 30 ; 19.876.409 ; 2.096 ; 106.972.926 ;
58;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 19 ; 2.098.456 ; 65 ; 2.072.001 ; 3.162 ; 46.314.727 ; 197 ; 5.574.518 ; 3.443 ; 56.059.701 ; 77 ; 4.400.224 ; 103 ; 45.166.560 ; 180 ; 49.566.783 ; 3.623 ; 105.626.484 ;
