Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Julho/2025.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
24;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 112 ; 210.554.787 ; 270 ; 74.172.347 ; 122 ; 64.237.673 ; 190 ; 63.949.641 ; 694 ; 412.914.448 ; 175 ; 1.164.721.452 ; 177 ; 1.170.438.234 ; 352 ; 2.335.159.686 ; 1.046 ; 2.748.074.134 ;
25;78.632.767;OURIBANK S.A. BANCO MÚLTIPLO;OURIBANK - PRUDENCIAL; 1.097 ; 359.653.989 ; 4.841 ; 299.585.614 ; 30.642 ; 427.027.708 ; 42.315 ; 506.290.915 ; 78.895 ; 1.592.558.226 ; 1.144 ; 609.745.998 ; 8.713 ; 541.352.870 ; 9.857 ; 1.151.098.868 ; 88.752 ; 2.743.657.094 ;
26;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 242 ; 137.985.723 ; 784 ; 152.443.450 ; 2.791 ; 395.009.026 ; 5.937 ; 668.648.966 ; 9.754 ; 1.354.087.165 ; 77 ; 523.350.684 ; 133 ; 252.699.164 ; 210 ; 776.049.848 ; 9.964 ; 2.130.137.013 ;
27;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 8.981 ; 3.617.554 ; 336 ; 284.759 ; 1.433.132 ; 592.911.920 ; 1.906.803 ; 737.436.017 ; 3.349.252 ; 1.334.250.250 ; 1.118 ; 418.909.979 ; 1.058 ; 278.311.594 ; 2.176 ; 697.221.573 ; 3.351.428 ; 2.031.471.823 ;
28;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 110 ; 67.650.579 ; 484 ; 129.038.998 ; 44 ; 64.549.834 ; 158 ; 4.991.044 ; 796 ; 266.230.455 ; 105 ; 1.015.182.213 ; 104 ; 748.099.342 ; 209 ; 1.763.281.555 ; 1.005 ; 2.029.512.010 ;
29;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 461 ; 82.106.794 ; 1.389 ; 387.190.657 ; 61.949 ; 610.859.531 ; 47.276 ; 225.072.264 ; 111.075 ; 1.305.229.246 ; 300 ; 199.609.552 ; 932 ; 330.482.220 ; 1.232 ; 530.091.772 ; 112.307 ; 1.835.321.018 ;
30;11.703.662;BANCO TRAVELEX S.A.;BANCO TRAVELEX - PRUDENCIAL; 579 ; 48.762.669 ; 2.498 ; 86.947.556 ; 7.497 ; 120.760.520 ; 5.398 ; 330.419.734 ; 15.972 ; 586.890.479 ; 2.254 ; 708.075.322 ; 4.590 ; 414.306.813 ; 6.844 ; 1.122.382.135 ; 22.816 ; 1.709.272.614 ;
31;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 447 ; 261.508.527 ; 1.261 ; 133.827.775 ; 20.820 ; 140.563.428 ; 18.888 ; 256.738.158 ; 41.416 ; 792.637.888 ; 468 ; 505.695.561 ; 461 ; 259.762.617 ; 929 ; 765.458.178 ; 42.345 ; 1.558.096.066 ;
32;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 29 ; 20.336.630 ; 93 ; 13.666.170 ; 58 ; 153.848.992 ; 289 ; 157.089.079 ; 469 ; 344.940.871 ; 97 ; 494.702.191 ; 109 ; 689.080.103 ; 206 ; 1.183.782.294 ; 675 ; 1.528.723.165 ;
33;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOP ZIO S.A. - PRUDENCIAL; 224 ; 37.098.094 ; 864 ; 6.189.065 ; 36.074 ; 135.340.505 ; 66.974 ; 551.853.659 ; 104.136 ; 730.481.323 ; 932 ; 559.308.900 ; 3.621 ; 168.274.629 ; 4.553 ; 727.583.529 ; 108.689 ; 1.458.064.852 ;
