Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Outubro/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
24;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 128 ; 183.241.847 ; 664 ; 88.967.761 ; 162 ; 119.246.854 ; 550 ; 48.529.626 ; 1.504 ; 439.986.088 ; 111 ; 1.030.667.994 ; 152 ; 1.006.249.506 ; 263 ; 2.036.917.500 ; 1.767 ; 2.476.903.588 ;
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 67 ; 187.032.754 ; 10 ; 16.146.680 ; 73 ; 363.873.929 ; 235 ; 357.688.565 ; 385 ; 924.741.928 ; 66 ; 530.299.827 ; 81 ; 835.627.218 ; 147 ; 1.365.927.045 ; 532 ; 2.290.668.973 ;
26;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.;CONFIDENCE - PRUDENCIAL; 760 ; 124.709.875 ; 1.923 ; 58.295.010 ; 5.643 ; 429.212.502 ; 5.415 ; 583.262.399 ; 13.741 ; 1.195.479.786 ; 1.813 ; 583.881.807 ; 4.467 ; 462.359.589 ; 6.280 ; 1.046.241.396 ; 20.021 ; 2.241.721.182 ;
27;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 421 ; 92.174.570 ; 1.702 ; 284.791.031 ; 61.585 ; 358.600.877 ; 39.392 ; 342.279.414 ; 103.100 ; 1.077.845.892 ; 344 ; 611.148.657 ; 2.528 ; 448.574.077 ; 2.872 ; 1.059.722.734 ; 105.972 ; 2.137.568.626 ;
28;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 24 ; 248.596.539 ; 7 ; 14.535.239 ; 34 ; 27.574.861 ; 33 ; 5.754.901 ; 98 ; 296.461.540 ; 62 ; 730.986.905 ; 74 ; 992.510.295 ; 136 ; 1.723.497.200 ; 234 ; 2.019.958.740 ;
29;78.632.767;OURIBANK S.A. BANCO MÚLTIPLO;OURIBANK - PRUDENCIAL; 848 ; 86.637.131 ; 3.777 ; 172.630.284 ; 64.044 ; 321.377.830 ; 62.626 ; 495.510.611 ; 131.295 ; 1.076.155.856 ; 1.136 ; 553.502.481 ; 8.005 ; 260.494.373 ; 9.141 ; 813.996.854 ; 140.436 ; 1.890.152.710 ;
30;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 574 ; 83.456.880 ; 1.951 ; 333.196.957 ; 5.758 ; 140.187.609 ; 6.005 ; 191.229.897 ; 14.288 ; 748.071.343 ; 149 ; 720.307.445 ; 129 ; 369.913.087 ; 278 ; 1.090.220.532 ; 14.566 ; 1.838.291.875 ;
31;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 156 ; 170.049.762 ; 221 ; 186.095.551 ; 5.807 ; 162.382.546 ; 902 ; 231.440.994 ; 7.086 ; 749.968.853 ; 75 ; 538.722.168 ; 118 ; 439.104.098 ; 193 ; 977.826.266 ; 7.279 ; 1.727.795.119 ;
32;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 480 ; 131.601.268 ; 1.252 ; 207.598.351 ; 26.877 ; 245.617.588 ; 19.144 ; 443.588.391 ; 47.753 ; 1.028.405.598 ; 298 ; 415.302.599 ; 280 ; 109.319.225 ; 578 ; 524.621.824 ; 48.331 ; 1.553.027.422 ;
33;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 7.435 ; 2.318.862 ; 97 ; 194.292 ; 1.242.381 ; 466.781.085 ; 1.508.107 ; 511.414.952 ; 2.758.020 ; 980.709.191 ; 1.069 ; 279.108.682 ; 1.043 ; 236.600.443 ; 2.112 ; 515.709.125 ; 2.760.132 ; 1.496.418.316 ;
34;68.900.810;BANCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL; 33 ; 3.519.828 ; 340 ; 26.329.611 ; 257.924 ; 389.517.125 ; 4.256 ; 65.384.237 ; 262.553 ; 484.750.801 ; 1.784 ; 232.320.411 ; 5.311 ; 520.936.274 ; 7.095 ; 753.256.685 ; 269.648 ; 1.238.007.486 ;
35;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 65 ; 28.103.302 ; 61 ; 13.777.606 ; 63 ; 174.297.476 ; 292 ; 48.706.645 ; 481 ; 264.885.029 ; 69 ; 181.657.690 ; 98 ; 572.861.068 ; 167 ; 754.518.758 ; 648 ; 1.019.403.787 ;
36;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 97 ; 56.353.731 ; 494 ; 80.330.423 ; 40 ; 17.704.474 ; 158 ; 6.654.129 ; 789 ; 161.042.757 ; 90 ; 417.562.149 ; 93 ; 396.000.113 ; 183 ; 813.562.262 ; 972 ; 974.605.019 ;
37;28.811.341;STONEX BANCO DE CÂMBIO S.A.;STONEX DTVM - PRUDENCIAL; 108 ; 17.125.222 ; 62 ; 8.292.064 ; 5.918 ; 380.271.616 ; 337 ; 13.711.634 ; 6.425 ; 419.400.536 ; 100 ; 25.462.245 ; 287 ; 400.846.899 ; 387 ; 426.309.144 ; 6.812 ; 845.709.680 ;
38;13.059.145;EBURY BANCO DE CÂMBIO S.A.;EBURY BANCO DE CÂMBIO - PRUDENCIAL; 203 ; 253.344.084 ; 550 ; 22.478.996 ; 9.498 ; 65.247.587 ; 23.821 ; 85.559.378 ; 34.072 ; 426.630.045 ; 160 ; 92.357.415 ; 190 ; 275.837.973 ; 350 ; 368.195.388 ; 34.422 ; 794.825.433 ;
39;00.997.185;BANCO B3 S.A.;BANCO B3 - PRUDENCIAL; -   ; -   ; -   ; -   ; 174 ; 234.191.365 ; 129 ; 284.730.237 ; 303 ; 518.921.602 ; 28 ; 136.628.790 ; 48 ; 86.130.032 ; 76 ; 222.758.822 ; 379 ; 741.680.424 ;
40;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;SCOTIABANK BRASIL - PRUDENCIAL; 3 ; 11.790.000 ; -   ; -   ; 9 ; 2.906.567 ; 96 ; 117.927.809 ; 108 ; 132.624.376 ; 22 ; 520.724.966 ; 3 ; 4.735.523 ; 25 ; 525.460.489 ; 133 ; 658.084.865 ;
41;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL; 226 ; 74.885.671 ; 679 ; 71.859.690 ; 320 ; 106.523.536 ; 440 ; 96.061.750 ; 1.665 ; 349.330.647 ; 56 ; 125.516.675 ; 57 ; 145.564.794 ; 113 ; 271.081.469 ; 1.778 ; 620.412.116 ;
42;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;UBS (BRASIL) - PRUDENCIAL; -   ; -   ; -   ; -   ; 72 ; 84.301.399 ; 120 ; 304.945.345 ; 192 ; 389.246.744 ; 13 ; 167.298.801 ; 9 ; 2.292.089 ; 22 ; 169.590.890 ; 214 ; 558.837.634 ;
43;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;BNDES - PRUDENCIAL; 42 ; 86.570.489 ; -   ; -   ; 43 ; 24.977.626 ; 3 ; 145.533 ; 88 ; 111.693.648 ; -   ; -   ; 16 ; 404.569.600 ; 16 ; 404.569.600 ; 104 ; 516.263.248 ;
44;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;BANRISUL - PRUDENCIAL; 778 ; 174.038.444 ; 832 ; 43.484.692 ; 391 ; 64.001.338 ; 389 ; 10.331.796 ; 2.390 ; 291.856.270 ; 8 ; 10.204.055 ; 118 ; 192.005.000 ; 126 ; 202.209.055 ; 2.516 ; 494.065.325 ;
