Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Mai/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
49;62.144.175;BANCO PINE S.A.; 62 ; 201.776.037 ; 272 ; 115.183.135 ; 40 ; 117.444.253 ; 375 ; 171.137.568 ; 749 ; 605.540.993 ; 22 ; 250.506.039 ; 22 ; 285.495.076 ; 44,0 ; 536.001.114,9 ; 793 ; 1.141.542.108 ;
50;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÈLTIPLO; 32 ; 195.911.584 ; 54 ; 119.131.257 ; 30 ; 234.730.548 ; 204 ; 8.688.355 ; 320 ; 558.461.745 ; 32 ; 138.452.119 ; 54 ; 441.427.536 ; 86,0 ; 579.879.654,8 ; 406 ; 1.138.341.400 ;
51;33.923.798;BANCO MµXIMA S.A.; 186 ; 5.364.291 ; 1.610 ; 71.384.515 ; 290 ; 78.177.733 ; 1.305 ; 114.961.285 ; 3.391 ; 269.887.824 ; 1.250 ; 484.335.654 ; 5.993 ; 378.177.037 ; 7.243,0 ; 862.512.691,0 ; 10.634 ; 1.132.400.515 ;
52;78.632.767;BANCO OURINVEST S.A.; 7 ; 39.052.695 ; 81 ; 8.131.235 ; 655 ; 13.587.506 ; 2.249 ; 46.102.608 ; 2.992 ; 106.874.044 ; 1.019 ; 500.856.377 ; 12.598 ; 499.189.206 ; 13.617,0 ; 1.000.045.582,5 ; 16.609 ; 1.106.919.626 ;
53;74.451.022;TOV CORRETORA DE C∂MBIO, T÷TULOS E VALORES MOBILIµRIOS LTDA; 141 ; 5.130.691 ; 7.212 ; 351.190.308 ; 1.818 ; 11.847.927 ; 14.100 ; 181.775.740 ; 23.271 ; 549.944.666 ; 6.002 ; 529.819.275 ; 155 ; 13.942.682 ; 6.157,0 ; 543.761.957,4 ; 29.428 ; 1.093.706.624 ;
54;02.992.317;TREVISO CORRETORA DE C∂MBIO S.A.; 27 ; 397.111 ; 476 ; 13.775.511 ; 1.955 ; 15.966.363 ; 9.594 ; 171.704.017 ; 12.052 ; 201.843.002 ; 8.757 ; 476.090.640 ; 1.564 ; 308.338.776 ; 10.321,0 ; 784.429.415,7 ; 22.373 ; 986.272.418 ;
55;03.512.293;FITTA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.; 21 ; 660.550 ; 71 ; 1.182.007 ; 1.103 ; 13.760.835 ; 3.681 ; 74.757.240 ; 4.876 ; 90.360.632 ; 6.734 ; 456.681.197 ; 1.541 ; 396.031.448 ; 8.275,0 ; 852.712.645,4 ; 13.151 ; 943.073.277 ;
56;61.186.680;BANCO BMG S.A.; 4 ; 3.500.000 ;;;;; 45 ; 416.302.380 ; 49 ; 419.802.380 ; 21 ; 416.058.215 ; 5 ; 28.500.000 ; 26,0 ; 444.558.214,9 ; 75 ; 864.360.595 ;
57;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 53 ; 1.288.407 ; 432 ; 6.206.988 ; 4.713 ; 48.522.410 ; 31.660 ; 422.212.715 ; 36.858 ; 478.230.519 ; 3.691 ; 379.538.255 ; 27 ; 695.929 ; 3.718,0 ; 380.234.184,3 ; 40.576 ; 858.464.704 ;
58;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS; 24 ; 765.489 ; 4.724 ; 354.783.276 ; 1.366 ; 5.443.878 ; 17.282 ; 36.386.400 ; 23.396 ; 397.379.043 ; 3.859 ; 390.242.704 ; 128 ; 4.885.520 ; 3.987,0 ; 395.128.224,2 ; 27.383 ; 792.507.267 ;
