Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Dez/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
43;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 9.778 ; 727.216.630 ; 13.547 ; 630.838.731 ; 5.025 ; 300.240.398 ; 14.904 ; 384.159.808 ; 43.254 ; 2.042.455.567 ; 539 ; 617.561.934 ; 439 ; 624.120.831 ; 978 ; 1.241.682.765 ; 44.232 ; 3.284.138.332 
44;58.616.418;BANCO FIBRA S.A.; 999 ; 625.035.664 ; 5.179 ; 677.905.266 ; 774 ; 442.273.665 ; 3.115 ; 395.923.206 ; 10.067 ; 2.141.137.800 ; 279 ; 510.925.039 ; 220 ; 536.381.082 ; 499 ; 1.047.306.121 ; 10.566 ; 3.188.443.922 
45;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 1.951 ; 36.617.586 ; 8.365 ; 207.147.703 ; 18.908 ; 204.616.752 ; 34.421 ; 615.912.846 ; 63.645 ; 1.064.294.887 ; 33.444 ; 1.178.064.884 ; 2.551 ; 596.237.268 ; 35.995 ; 1.774.302.152 ; 99.640 ; 2.838.597.039 
46;30.723.886;BANCO MODAL S.A.; 136 ; 129.671.135 ; 902 ; 121.081.367 ; 1.060 ; 763.249.795 ; 1.346 ; 271.424.776 ; 3.444 ; 1.285.427.073 ; 146 ; 414.192.585 ; 160 ; 916.782.166 ; 306 ; 1.330.974.751 ; 3.750 ; 2.616.401.825 
47;15.114.366;BANCO BOCOM BBM S.A.; 297 ; 224.843.390 ; 91 ; 13.667.402 ; 252 ; 523.037.347 ; 1.138 ; 452.631.504 ; 1.778 ; 1.214.179.642 ; 79 ; 485.394.564 ; 112 ; 812.395.761 ; 191 ; 1.297.790.326 ; 1.969 ; 2.511.969.968 
48;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;;;;; 49 ; 199.272.577 ; 171 ; 131.003.507 ; 220 ; 330.276.084 ; 60 ; 1.050.534.942 ; 60 ; 1.119.040.140 ; 120 ; 2.169.575.082 ; 340 ; 2.499.851.166 
49;03.609.817;BANCO CARGILL S.A.; 212 ; 398.702.828 ; 34 ; 28.369.111 ; 39 ; 68.628.501 ; 337 ; 98.725.886 ; 622 ; 594.426.326 ; 17 ; 632.000.000 ; 44 ; 1.205.750.000 ; 61 ; 1.837.750.000 ; 683 ; 2.432.176.326 
50;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 113 ; 37.093.493 ; 1.013 ; 87.245.200 ; 1.564 ; 353.946.961 ; 3.305 ; 800.270.652 ; 5.995 ; 1.278.556.306 ; 1.468 ; 793.671.380 ; 491 ; 296.955.180 ; 1.959 ; 1.090.626.560 ; 7.954 ; 2.369.182.866 
51;00.997.185;BANCO B3 S.A.;;;;; 1.192 ; 655.776.191 ; 1.275 ; 945.500.723 ; 2.467 ; 1.601.276.914 ; 398 ; 517.148.600 ; 236 ; 227.376.114 ; 634 ; 744.524.714 ; 3.101 ; 2.345.801.628 
52;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 114 ; 1.210.043 ; 519 ; 9.132.335 ; 8.864 ; 453.980.733 ; 53.733 ; 894.514.419 ; 63.230 ; 1.358.837.530 ; 8.016 ; 562.875.047 ; 5.718 ; 105.150.655 ; 13.734 ; 668.025.703 ; 76.964 ; 2.026.863.233 
53;92.894.922;BANCO ORIGINAL S.A.; 248 ; 952.101.901 ; 472 ; 78.922.298 ; 595 ; 19.814.805 ; 2.620 ; 110.222.233 ; 3.935 ; 1.161.061.236 ; 100 ; 46.276.868 ; 80 ; 817.209.374 ; 180 ; 863.486.242 ; 4.115 ; 2.024.547.479 
54;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 2.533 ; 59.915.064 ; 19.904 ; 365.898.909 ; 20.181 ; 173.079.366 ; 52.536 ; 416.014.360 ; 95.154 ; 1.014.907.697 ; 8.817 ; 714.485.328 ; 1.833 ; 166.035.954 ; 10.650 ; 880.521.283 ; 105.804 ; 1.895.428.980 
55;00.460.065;COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 1.096 ; 1.588.281 ; 2.798 ; 13.251.671 ; 3.894 ; 14.839.952 ; 7.154 ; 772.020.211 ; 4.243 ; 760.345.822 ; 11.397 ; 1.532.366.033 ; 15.291 ; 1.547.205.985 
