Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Setembro/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
24;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 333 ; 106.378.439 ; 1.709 ; 175.741.737 ; 54.829 ; 352.030.398 ; 39.965 ; 519.137.629 ; 96.836 ; 1.153.288.203 ; 310 ; 690.523.501 ; 2.309 ; 416.647.466 ; 2.619 ; 1.107.170.967 ; 99.455 ; 2.260.459.170 ;
25;78.632.767;OURIBANK S.A. BANCO MÚLTIPLO;OURIBANK - PRUDENCIAL; 619 ; 61.370.724 ; 4.272 ; 208.222.579 ; 49.865 ; 241.486.332 ; 73.835 ; 571.777.509 ; 128.591 ; 1.082.857.144 ; 980 ; 767.264.744 ; 9.199 ; 326.538.284 ; 10.179 ; 1.093.803.028 ; 138.770 ; 2.176.660.172 ;
26;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 482 ; 44.049.566 ; 2.173 ; 380.160.976 ; 4.990 ; 150.000.206 ; 6.576 ; 244.200.289 ; 14.221 ; 818.411.037 ; 154 ; 858.439.100 ; 133 ; 422.651.394 ; 287 ; 1.281.090.494 ; 14.508 ; 2.099.501.531 ;
27;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.;CONFIDENCE - PRUDENCIAL; 629 ; 53.904.253 ; 2.187 ; 71.675.198 ; 4.596 ; 391.182.296 ; 6.082 ; 582.354.859 ; 13.494 ; 1.099.116.606 ; 1.587 ; 580.255.921 ; 4.626 ; 376.009.435 ; 6.213 ; 956.265.356 ; 19.707 ; 2.055.381.962 ;
28;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 16 ; 218.523.427 ; 12 ; 18.606.722 ; 30 ; 54.243.349 ; 56 ; 75.364.507 ; 114 ; 366.738.005 ; 45 ; 741.991.708 ; 52 ; 909.523.308 ; 97 ; 1.651.515.016 ; 211 ; 2.018.253.021 ;
29;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 90 ; 70.097.809 ; 592 ; 307.022.780 ; 52 ; 2.908.307 ; 174 ; 15.204.234 ; 908 ; 395.233.130 ; 112 ; 835.872.833 ; 98 ; 728.701.928 ; 210 ; 1.564.574.761 ; 1.118 ; 1.959.807.891 ;
30;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 111 ; 122.019.398 ; 257 ; 333.130.383 ; 5.274 ; 109.323.949 ; 802 ; 102.381.234 ; 6.444 ; 666.854.964 ; 45 ; 669.323.969 ; 41 ; 480.787.710 ; 86 ; 1.150.111.679 ; 6.530 ; 1.816.966.643 ;
31;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 52 ; 193.776.323 ; 206 ; 148.421.585 ; 214 ; 224.543.732 ; 320 ; 225.759.834 ; 792 ; 792.501.474 ; 242 ; 364.551.568 ; 246 ; 572.464.867 ; 488 ; 937.016.435 ; 1.280 ; 1.729.517.909 ;
32;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 7.365 ; 2.193.857 ; 101 ; 167.057 ; 1.175.091 ; 410.371.736 ; 1.716.985 ; 603.162.033 ; 2.899.542 ; 1.015.894.683 ; 1.050 ; 428.607.190 ; 936 ; 237.545.247 ; 1.986 ; 666.152.437 ; 2.901.528 ; 1.682.047.120 ;
33;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 381 ; 138.353.088 ; 1.439 ; 207.880.428 ; 24.547 ; 152.384.194 ; 19.909 ; 398.569.031 ; 46.276 ; 897.186.741 ; 345 ; 393.398.168 ; 331 ; 87.667.459 ; 676 ; 481.065.627 ; 46.952 ; 1.378.252.368 ;
34;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 49 ; 30.213.413 ; 101 ; 37.955.280 ; 37 ; 107.577.946 ; 260 ; 128.395.730 ; 447 ; 304.142.369 ; 110 ; 724.317.875 ; 94 ; 347.141.910 ; 204 ; 1.071.459.785 ; 651 ; 1.375.602.154 ;
35;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 103 ; 127.530.867 ; 732 ; 84.635.213 ; 73 ; 40.865.116 ; 446 ; 86.811.350 ; 1.354 ; 339.842.546 ; 107 ; 321.753.187 ; 146 ; 522.028.717 ; 253 ; 843.781.904 ; 1.607 ; 1.183.624.450 ;
36;68.900.810;BANCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL; 27 ; 1.301.093 ; 361 ; 32.286.671 ; 197.219 ; 271.609.967 ; 3.868 ; 78.743.826 ; 201.475 ; 383.941.557 ; 1.377 ; 230.916.348 ; 5.612 ; 414.462.877 ; 6.989 ; 645.379.225 ; 208.464 ; 1.029.320.782 ;
37;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;UBS (BRASIL) - PRUDENCIAL; -   ; -   ; -   ; -   ; 65 ; 410.966.647 ; 180 ; 325.906.213 ; 245 ; 736.872.860 ; 8 ; 101.619.308 ; 10 ; 111.625.306 ; 18 ; 213.244.614 ; 263 ; 950.117.474 ;
38;28.811.341;STONEX BANCO DE CÂMBIO S.A.;STONEX DTVM - PRUDENCIAL; 93 ; 16.121.788 ; 69 ; 4.195.631 ; 4.833 ; 404.535.267 ; 329 ; 22.071.042 ; 5.324 ; 446.923.728 ; 120 ; 24.222.822 ; 241 ; 418.612.841 ; 361 ; 442.835.663 ; 5.685 ; 889.759.391 ;
39;13.059.145;EBURY BANCO DE CÂMBIO S.A.;EBURY BANCO DE CÂMBIO - PRUDENCIAL; 117 ; 267.243.165 ; 705 ; 42.926.375 ; 8.092 ; 63.869.794 ; 23.595 ; 96.768.773 ; 32.509 ; 470.808.107 ; 180 ; 98.996.778 ; 221 ; 309.679.537 ; 401 ; 408.676.315 ; 32.910 ; 879.484.422 ;
