Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em SETEMBRO / 2016;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
26;49.336.860;ING BANK N.V.; 26 ; 140.397.632 ; 6 ; 17.544.401 ; 13 ; 683.516 ; 69 ; 76.944.274 ; 114 ; 235.569.823 ; 27 ; 340.179.242 ; 33 ; 525.263.824 ; 60 ; 865.443.066 ; 174 ; 1.101.012.889 ;;;;
27;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 103 ; 38.408.407 ; 71 ; 12.110.974 ; 32 ; 203.148.005 ; 225 ; 210.453.102 ; 431 ; 464.120.487 ; 27 ; 267.475.695 ; 34 ; 236.007.817 ; 61 ; 503.483.513 ; 492 ; 967.604.000 ;;;;
28;58.160.789;BANCO SAFRA S.A.; 203 ; 103.697.190 ; 1.196 ; 150.655.777 ; 869 ; 136.334.356 ; 1.998 ; 178.376.531 ; 4.266 ; 569.063.855 ; 149 ; 220.465.955 ; 135 ; 124.811.588 ; 284 ; 345.277.543 ; 4.550 ; 914.341.398 ;;;;
29;00.360.305;CAIXA ECONOMICA FEDERAL; 285 ; 213.036.873 ; 236 ; 9.153.507 ; 3.159 ; 139.349.443 ; 848 ; 130.900.077 ; 4.528 ; 492.439.900 ; 77 ; 97.370.203 ; 100 ; 305.357.908 ; 177 ; 402.728.111 ; 4.705 ; 895.168.011 ;;;;
30;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 89 ; 163.171.158 ; 26 ; 14.054.970 ; 90 ; 228.973.941 ; 249 ; 173.013.253 ; 454 ; 579.213.322 ; 5 ; 2.888.093 ; 15 ; 267.882.348 ; 20 ; 270.770.441 ; 474 ; 849.983.763 ;;;;
31;62.232.889;BANCO DAYCOVAL S.A.; 244 ; 19.481.853 ; 479 ; 29.773.067 ; 520 ; 37.662.953 ; 1.535 ; 66.910.295 ; 2.778 ; 153.828.168 ; 473 ; 303.374.904 ; 1.497 ; 291.917.016 ; 1.970 ; 595.291.920 ; 4.748 ; 749.120.088 ;;;;
32;92.894.922;BANCO ORIGINAL S.A.; 25 ; 13.528.731 ; 181 ; 18.110.193 ; 45 ; 312.995.770 ; 185 ; 1.600.549 ; 436 ; 346.235.243 ; 6 ; 1.423.920 ; 7 ; 392.355.650 ; 13 ; 393.779.570 ; 449 ; 740.014.813 ;;;;
33;68.900.810;BANCO RENDIMENTO S.A.; 23 ; 1.276.878 ; 51 ; 8.082.504 ; 16.276 ; 96.983.693 ; 1.114 ; 115.577.022 ; 17.464 ; 221.920.098 ; 448 ; 249.334.492 ; 9.437 ; 234.603.134 ; 9.885 ; 483.937.626 ; 27.349 ; 705.857.724 ;;;;
34;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 24 ; 29.612.327 ; 30 ; 314.293.976 ; 54 ; 343.906.303 ; 26 ; 314.143.080 ; 15 ; 29.471.349 ; 41 ; 343.614.429 ; 95 ; 687.520.733 ;;;;
35;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 108 ; 2.591.396 ; 856 ; 41.021.252 ; 510 ; 63.270.533 ; 1.732 ; 63.517.011 ; 3.206 ; 170.400.192 ; 1.028 ; 270.502.121 ; 7.986 ; 236.147.667 ; 9.014 ; 506.649.787 ; 12.220 ; 677.049.979 ;;;;
