Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Janeiro-Fevereiro/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
27;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 624 ; 130.402.725 ; 1.887 ; 215.893.811 ; 50.821 ; 1.327.607.865 ; 35.445 ; 427.464.102 ; 88.777 ; 2.101.368.503 ; 535 ; 634.540.225 ; 572 ; 1.440.884.184 ; 1.107 ; 2.075.424.409 ; 89.884 ; 4.176.792.912 ;
28;78.632.767;BANCO OURINVEST S.A.;OURINVEST - PRUDENCIAL; 1.294 ; 227.203.517 ; 6.073 ; 319.713.444 ; 74.217 ; 750.061.593 ; 80.828 ; 968.403.659 ; 162.412 ; 2.265.382.213 ; 1.944 ; 1.108.302.435 ; 15.772 ; 767.805.729 ; 17.716 ; 1.876.108.164 ; 180.128 ; 4.141.490.377 ;
29;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 215 ; 202.814.386 ; 770 ; 121.348.103 ; 78 ; 148.611.302 ; 764 ; 389.508.465 ; 1.827 ; 862.282.256 ; 223 ; 1.576.740.014 ; 313 ; 1.372.080.340 ; 536 ; 2.948.820.354 ; 2.363 ; 3.811.102.610 ;
30;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 74 ; 35.511.824 ; 74 ; 69.354.162 ; 59 ; 231.034.384 ; 458 ; 283.057.990 ; 665 ; 618.958.360 ; 111 ; 1.386.732.964 ; 119 ; 1.444.167.915 ; 230 ; 2.830.900.879 ; 895 ; 3.449.859.239 ;
31;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 722 ; 131.134.309 ; 3.620 ; 356.160.166 ; 108.937 ; 709.207.599 ; 72.626 ; 438.915.370 ; 185.905 ; 1.635.417.444 ; 747 ; 766.274.514 ; 3.064 ; 743.306.061 ; 3.811 ; 1.509.580.575 ; 189.716 ; 3.144.998.019 ;
32;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 23 ; 410.905.690 ; 5 ; 14.039.896 ; 47 ; 19.905.127 ; 58 ; 2.604.091 ; 133 ; 447.454.804 ; 107 ; 1.124.339.571 ; 119 ; 1.526.248.423 ; 226 ; 2.650.587.994 ; 359 ; 3.098.042.798 ;
33;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 12.127 ; 3.218.465 ; 12 ; 2.440 ; 2.101.033 ; 801.758.114 ; 2.342.259 ; 858.907.660 ; 4.455.431 ; 1.663.886.679 ; 1.874 ; 379.299.641 ; 1.858 ; 327.831.744 ; 3.732 ; 707.131.385 ; 4.459.163 ; 2.371.018.064 ;
34;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A;CCB - PRUDENCIAL; 67 ; 96.252.451 ; 176 ; 46.846.211 ; 49 ; 896.588.656 ; 329 ; 728.989.301 ; 621 ; 1.768.676.619 ; 67 ; 96.891.143 ; 49 ; 405.380.765 ; 116 ; 502.271.908 ; 737 ; 2.270.948.527 ;
35;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;SCOTIABANK BRASIL - PRUDENCIAL; 2 ; 1.716.111 ; 4 ; 233.408 ; 33 ; 139.595.769 ; 228 ; 480.410.408 ; 267 ; 621.955.696 ; 30 ; 959.494.704 ; 16 ; 650.512.202 ; 46 ; 1.610.006.906 ; 313 ; 2.231.962.602 ;
36;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 185 ; 107.212.131 ; 484 ; 390.434.200 ; 4.588 ; 60.999.629 ; 949 ; 170.901.291 ; 6.206 ; 729.547.251 ; 125 ; 921.999.099 ; 100 ; 542.631.484 ; 225 ; 1.464.630.583 ; 6.431 ; 2.194.177.834 ;
