Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em SETEMBRO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
48;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 44 ; 957.395 ; 483 ; 10.194.463 ; 829 ; 10.242.894 ; 1.862 ; 39.130.868 ; 3.218 ; 60.525.620 ; 2.413 ; 72.490.284 ; 108 ; 34.318.417 ; 2.521 ; 106.808.701 ; 5.739 ; 167.334.321 ;;;;
49;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 78 ; 11.685.926 ; 199 ; 18.121.512 ; 277 ; 29.807.438 ; 28 ; 63.300.000 ; 14 ; 56.850.000 ; 42 ; 120.150.000 ; 319 ; 149.957.438 ;;;;
50;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 285 ; 313.508 ; 2.022 ; 6.431.450 ; 2.307 ; 6.744.958 ; 594 ; 69.627.231 ; 74 ; 63.516.827 ; 668 ; 133.144.058 ; 2.975 ; 139.889.016 ;;;;
51;30.723.886;BANCO MODAL S.A.; 31 ; 16.222.273 ; 43 ; 10.247.171 ; 26 ; 33.889.083 ; 54 ; 12.073.788 ; 154 ; 72.432.314 ; 10 ; 15.685.556 ; 28 ; 47.166.935 ; 38 ; 62.852.491 ; 192 ; 135.284.805 ;;;;
52;92.894.922;BANCO ORIGINAL S.A.; 20 ; 16.422.970 ; 128 ; 23.391.775 ; 9 ; 79.064 ; 119 ; 4.920.502 ; 276 ; 44.814.311 ; 11 ; 87.809.342 ;;; 11 ; 87.809.342 ; 287 ; 132.623.653 ;;;;
53;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 8 ; 31.100 ; 82 ; 1.581.693 ; 364 ; 3.333.613 ; 1.131 ; 16.026.366 ; 1.585 ; 20.972.771 ; 1.620 ; 60.898.885 ; 337 ; 46.749.189 ; 1.957 ; 107.648.074 ; 3.542 ; 128.620.845 ;;;;
54;72.760.713;RENOVA S.A. CORRETORA DE CÂMBIO; 2 ; 28.225 ; 76 ; 1.350.062 ; 217 ; 2.156.434 ; 905 ; 6.498.941 ; 1.200 ; 10.033.662 ; 832 ; 58.889.437 ; 72 ; 53.199.209 ; 904 ; 112.088.646 ; 2.104 ; 122.122.308 ;;;;
55;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 35 ; 766.551 ; 134 ; 1.731.509 ; 1.218 ; 10.207.096 ; 5.241 ; 57.426.657 ; 6.628 ; 70.131.814 ; 767 ; 48.292.955 ; 4 ; 186.890 ; 771 ; 48.479.845 ; 7.399 ; 118.611.659 ;;;;
56;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 60 ; 79.093 ; 142 ; 1.490.411 ; 202 ; 1.569.504 ; 354 ; 58.788.647 ; 184 ; 57.388.592 ; 538 ; 116.177.239 ; 740 ; 117.746.742 ;;;;
57;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 708 ; 9.810.254 ; 2.280 ; 42.335.660 ; 2.988 ; 52.145.914 ; 1.936 ; 46.681.502 ; 91 ; 13.744.933 ; 2.027 ; 60.426.435 ; 5.015 ; 112.572.349 ;;;;
58;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 88 ; 2.549.403 ; 1.107 ; 28.307.199 ; 961 ; 9.786.479 ; 2.613 ; 19.911.648 ; 4.769 ; 60.554.729 ; 603 ; 43.743.811 ; 150 ; 7.841.232 ; 753 ; 51.585.042 ; 5.522 ; 112.139.771 ;;;;
59;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO; 758 ; 31.456.140 ; 180 ; 7.720.406 ; 77 ; 16.514.022 ; 287 ; 16.806.486 ; 1.302 ; 72.497.053 ; 11 ; 4.095.791 ; 84 ; 27.363.055 ; 95 ; 31.458.847 ; 1.397 ; 103.955.900 ;;;;
60;03.532.415;BANCO ABN AMRO S.A.; 24 ; 42.066.000 ;;; 5 ; 706.232 ; 11 ; 388.616 ; 40 ; 43.160.848 ; 5 ; 18.110.000 ; 24 ; 42.050.000 ; 29 ; 60.160.000 ; 69 ; 103.320.848 ;;;;
61;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 61 ; 1.688.868 ; 794 ; 20.886.250 ; 741 ; 9.566.757 ; 2.362 ; 26.668.384 ; 3.958 ; 58.810.259 ; 836 ; 37.284.516 ; 8 ; 967.068 ; 844 ; 38.251.584 ; 4.802 ; 97.061.843 ;;;;
62;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 28 ; 1.327.916 ; 845 ; 25.669.714 ; 449 ; 3.707.316 ; 1.294 ; 16.435.995 ; 2.616 ; 47.140.940 ; 1.424 ; 43.132.004 ; 175 ; 6.030.738 ; 1.599 ; 49.162.742 ; 4.215 ; 96.303.682 ;;;;
63;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 5 ; 71.970 ; 30 ; 236.705 ; 532 ; 16.417.895 ; 1.090 ; 41.368.559 ; 1.657 ; 58.095.129 ; 715 ; 28.832.838 ; 288 ; 2.905.302 ; 1.003 ; 31.738.140 ; 2.660 ; 89.833.269 ;;;;
64;58.616.418;BANCO FIBRA S.A.; 128 ; 14.569.167 ; 339 ; 17.712.224 ; 56 ; 4.689.493 ; 152 ; 14.290.207 ; 675 ; 51.261.091 ; 34 ; 22.693.084 ; 27 ; 6.689.985 ; 61 ; 29.383.069 ; 736 ; 80.644.160 ;;;;
65;15.114.366;BANCO BBM S/A; 26 ; 22.941.302 ; 1 ; 14.064 ; 7 ; 541.610 ; 33 ; 4.066.762 ; 67 ; 27.563.737 ; 5 ; 50.012.693 ; 3 ; 3.012.729 ; 8 ; 53.025.422 ; 75 ; 80.589.159 ;;;;
66;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 43 ; 15.621.783 ; 54 ; 25.687.126 ; 97 ; 41.308.908 ; 42 ; 24.484.000 ; 18 ; 14.415.000 ; 60 ; 38.899.000 ; 157 ; 80.207.908 ;;;;
67;60.889.128;BANCO SOFISA S.A.; 76 ; 25.307.656 ; 69 ; 3.688.323 ; 17 ; 748.443 ; 86 ; 1.374.247 ; 248 ; 31.118.670 ; 20 ; 14.096.980 ; 28 ; 34.573.287 ; 48 ; 48.670.267 ; 296 ; 79.788.937 ;;;;
68;12.586.596;MULTIMONEY CORRETORA DE CÂMBIO LTDA; 23 ; 978.228 ; 164 ; 2.620.395 ; 600 ; 3.948.380 ; 1.475 ; 13.797.523 ; 2.262 ; 21.344.526 ; 1.585 ; 31.487.340 ; 638 ; 19.944.540 ; 2.223 ; 51.431.880 ; 4.485 ; 72.776.406 ;;;;
69;11.495.073;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;;; 6 ; 130.510 ; 879 ; 3.704.134 ; 1.503 ; 12.035.373 ; 2.388 ; 15.870.016 ; 1.553 ; 32.363.820 ; 91 ; 23.909.091 ; 1.644 ; 56.272.912 ; 4.032 ; 72.142.928 ;;;;
