Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MARÇO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
27;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 113 ; 6.451.586 ; 755 ; 31.555.896 ; 304 ; 13.369.820 ; 19.044 ; 26.842.896 ; 20.216 ; 78.220.199 ; 367 ; 557.236.092 ; 508 ; 529.500.304 ; 875 ; 1.086.736.396 ; 21.091 ; 1.164.956.595 ;
28;31.872.495;BANCO C6 S.A.; 20 ; 20.531.794 ; 148 ; 89.581.788 ; 502 ; 72.856.814 ; 4.872 ; 110.246.202 ; 5.542 ; 293.216.598 ; 105 ; 419.347.061 ; 167 ; 314.286.688 ; 272 ; 733.633.749 ; 5.814 ; 1.026.850.347 ;
29;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 181 ; 93.169.443 ; 768 ; 64.097.197 ; 352 ; 178.230.142 ; 501 ; 103.662.052 ; 1.802 ; 439.158.834 ; 133 ; 191.713.825 ; 145 ; 346.594.600 ; 278 ; 538.308.425 ; 2.080 ; 977.467.259 ;
30;58.616.418;BANCO FIBRA S.A.; 128 ; 106.904.060 ; 834 ; 103.264.342 ; 47 ; 105.896.506 ; 207 ; 220.550.669 ; 1.216 ; 536.615.577 ; 109 ; 264.558.542 ; 94 ; 139.511.187 ; 203 ; 404.069.729 ; 1.419 ; 940.685.305 ;
31;62.232.889;BANCO DAYCOVAL S.A.; 655 ; 97.515.143 ; 1.031 ; 87.303.088 ; 74.685 ; 198.507.397 ; 1.383 ; 100.501.046 ; 77.754 ; 483.826.673 ; 338 ; 146.269.366 ; 410 ; 308.786.406 ; 748 ; 455.055.772 ; 78.502 ; 938.882.445 ;
32;58.160.789;BANCO SAFRA S.A.; 279 ; 177.379.184 ; 1.396 ; 130.305.658 ; 990 ; 103.015.699 ; 1.382 ; 162.936.017 ; 4.047 ; 573.636.558 ; 262 ; 179.958.024 ; 259 ; 169.583.658 ; 521 ; 349.541.682 ; 4.568 ; 923.178.240 ;
33;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 31 ; 256.401.772 ; 19 ; 178.532.640 ; 50 ; 434.934.412 ; 11 ; 176.184.476 ; 19 ; 250.715.140 ; 30 ; 426.899.616 ; 80 ; 861.834.028 ;
34;78.632.767;BANCO OURINVEST S.A.; 921 ; 95.085.511 ; 2.278 ; 167.153.464 ; 7.278 ; 99.283.193 ; 4.148 ; 105.617.541 ; 14.625 ; 467.139.710 ; 856 ; 157.164.240 ; 937 ; 87.957.126 ; 1.793 ; 245.121.366 ; 16.418 ; 712.261.075 ;
35;33.264.668;BANCO XP S.A.; 115 ; 56.383.023 ; 813 ; 161.535.275 ; 457 ; 181.269.382 ; 1.160 ; 70.703.381 ; 2.545 ; 469.891.061 ; 31 ; 118.958.986 ; 7 ; 100.000.023 ; 38 ; 218.959.009 ; 2.583 ; 688.850.070 ;
36;71.027.866;BANCO BS2 S.A.; 428 ; 79.201.714 ; 1.213 ; 51.717.029 ; 7.118 ; 185.140.032 ; 14.774 ; 75.595.673 ; 23.533 ; 391.654.447 ; 60 ; 78.689.502 ; 104 ; 207.474.192 ; 164 ; 286.163.694 ; 23.697 ; 677.818.141 ;
37;00.997.185;BANCO B3 S.A.;;;;; 136 ; 241.001.027 ; 143 ; 272.857.511 ; 279 ; 513.858.539 ; 62 ; 62.152.644 ; 45 ; 30.298.724 ; 107 ; 92.451.368 ; 386 ; 606.309.907 ;
38;09.274.232;STATE STREET BRASIL S.A. – BANCO COMERCIAL;;;;; 29 ; 214.744.666 ; 19 ; 27.666.221 ; 48 ; 242.410.887 ; 13 ; 78.366.258 ; 31 ; 280.362.143 ; 44 ; 358.728.401 ; 92 ; 601.139.288 ;
39;07.679.404;BANCO TOPÁZIO S.A.; 81 ; 50.564.896 ; 78 ; 8.183.355 ; 249 ; 17.777.166 ; 442 ; 194.949.811 ; 850 ; 271.475.228 ; 391 ; 227.266.047 ; 888 ; 92.609.537 ; 1.279 ; 319.875.585 ; 2.129 ; 591.350.813 ;
40;33.042.953;CITIBANK N.A.;;;;; 1 ; 106 ; 12 ; 202.246 ; 13 ; 202.352 ; 2 ; 556.000.000 ;;; 2 ; 556.000.000 ; 15 ; 556.202.352 ;
41;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 87 ; 98.047.072 ; 238 ; 32.608.543 ; 73 ; 38.883.325 ; 197 ; 88.325.324 ; 595 ; 257.864.264 ; 97 ; 126.536.424 ; 98 ; 160.588.265 ; 195 ; 287.124.689 ; 790 ; 544.988.954 ;
42;15.114.366;BANCO BOCOM BBM S.A.; 23 ; 31.446.074 ; 76 ; 15.589.893 ; 40 ; 163.365.127 ; 168 ; 127.178.360 ; 307 ; 337.579.454 ; 6 ; 52.238.060 ; 8 ; 102.238.360 ; 14 ; 154.476.420 ; 321 ; 492.055.874 ;
43;33.923.798;BANCO MÁXIMA S.A.; 150 ; 11.777.543 ; 373 ; 39.657.287 ; 13.019 ; 94.946.879 ; 65.196 ; 118.956.794 ; 78.738 ; 265.338.502 ; 123 ; 119.922.401 ; 98 ; 70.442.031 ; 221 ; 190.364.432 ; 78.959 ; 455.702.934 ;
44;13.059.145;BEXS BANCO DE CÂMBIO S/A; 17 ; 76.753.678 ; 9 ; 2.306.207 ; 6.914 ; 30.358.145 ; 62.993 ; 106.478.222 ; 69.933 ; 215.896.252 ; 144 ; 90.657.718 ; 52 ; 91.276.801 ; 196 ; 181.934.519 ; 70.129 ; 397.830.771 ;
45;45.246.410;BANCO GENIAL S.A.; 22 ; 1.750.802 ; 33 ; 3.288.437 ; 234 ; 70.915.283 ; 453 ; 141.161.484 ; 742 ; 217.116.005 ; 55 ; 113.977.325 ; 9 ; 42.199.232 ; 64 ; 156.176.557 ; 806 ; 373.292.563 ;
46;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 91 ; 82.291.244 ; 520 ; 53.430.973 ; 32 ; 47.394.601 ; 260 ; 51.749.600 ; 903 ; 234.866.419 ; 32 ; 51.928.887 ; 28 ; 75.614.653 ; 60 ; 127.543.539 ; 963 ; 362.409.958 ;
