Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em JANEIRO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
49;33.886.862;MAXIMA S.A. CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS;;;;; 129 ; 374.937 ; 2.513 ; 44.967.593 ; 2.642 ; 45.342.530 ; 402 ; 57.159.066 ; 76 ; 11.470.626 ; 478 ; 68.629.692 ; 3.120 ; 113.972.222 ;;;;
50;03.609.817;BANCO CARGILL S.A.; 20 ; 52.290.368 ;;; 1 ; 27.500 ; 12 ; 2.920.918 ; 33 ; 55.238.786 ; 2 ; 2.750.000 ; 4 ; 49.750.000 ; 6 ; 52.500.000 ; 39 ; 107.738.786 ;;;;
51;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 59 ; 1.610.261 ; 1.076 ; 29.444.802 ; 731 ; 8.330.746 ; 2.739 ; 21.569.197 ; 4.605 ; 60.955.005 ; 504 ; 43.804.410 ; 87 ; 2.528.465 ; 591 ; 46.332.875 ; 5.196 ; 107.287.880 ;;;;
52;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 2 ; 13.000.000 ; 18 ; 28.538.049 ; 8 ; 14.381.319 ; 65 ; 9.224.447 ; 93 ; 65.143.815 ; 17 ; 24.680.045 ; 9 ; 16.176.824 ; 26 ; 40.856.869 ; 119 ; 106.000.685 ;;;;
53;61.024.352;BANCO INDUSVAL S.A.; 43 ; 17.268.874 ; 27 ; 4.381.055 ; 14 ; 249.278 ; 127 ; 10.417.500 ; 211 ; 32.316.707 ; 35 ; 27.448.387 ; 41 ; 43.945.521 ; 76 ; 71.393.909 ; 287 ; 103.710.616 ;;;;
54;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 15 ; 567.405 ; 15 ; 314.899 ; 32 ; 19.163.342 ; 240 ; 31.951.169 ; 302 ; 51.996.815 ; 17 ; 29.854.410 ; 9 ; 17.874.670 ; 26 ; 47.729.080 ; 328 ; 99.725.896 ;;;;
55;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO; 517 ; 27.126.755 ; 287 ; 12.372.894 ; 113 ; 4.660.816 ; 409 ; 2.202.037 ; 1.326 ; 46.362.502 ; 24 ; 16.549.903 ; 61 ; 33.637.500 ; 85 ; 50.187.403 ; 1.411 ; 96.549.904 ;;;;
56;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 16 ; 18.779.159 ; 1 ; 660.705 ; 10 ; 1.570.232 ; 29 ; 1.737.398 ; 56 ; 22.747.493 ; 18 ; 22.965.907 ; 26 ; 48.010.114 ; 44 ; 70.976.021 ; 100 ; 93.723.514 ;;;;
57;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 8 ; 193.322 ; 523 ; 18.390.672 ; 180 ; 1.545.971 ; 730 ; 21.756.514 ; 1.441 ; 41.886.479 ; 1.070 ; 43.611.241 ; 109 ; 5.149.499 ; 1.179 ; 48.760.740 ; 2.620 ; 90.647.219 ;;;;
58;12.586.596;MULTIMONEY CORRETORA DE CÂMBIO LTDA; 4 ; 202.945 ; 248 ; 6.689.324 ; 483 ; 1.828.950 ; 2.076 ; 21.249.909 ; 2.811 ; 29.971.128 ; 1.140 ; 42.176.969 ; 443 ; 16.060.535 ; 1.583 ; 58.237.504 ; 4.394 ; 88.208.632 ;;;;
59;59.118.133;BANCO LUSO BRASILEIRO S.A.; 5 ; 825.394 ; 395 ; 33.554.708 ; 4 ; 46.069 ; 127 ; 7.890.696 ; 531 ; 42.316.866 ; 151 ; 42.698.937 ; 7 ; 2.280.000 ; 158 ; 44.978.937 ; 689 ; 87.295.803 ;;;;
60;58.616.418;BANCO FIBRA S.A.; 50 ; 6.037.747 ; 293 ; 21.879.612 ; 56 ; 1.503.803 ; 172 ; 16.107.378 ; 571 ; 45.528.540 ; 42 ; 26.676.337 ; 31 ; 9.950.949 ; 73 ; 36.627.286 ; 644 ; 82.155.826 ;;;;
61;60.889.128;BANCO SOFISA S.A.; 91 ; 12.932.334 ; 88 ; 7.116.756 ; 24 ; 1.012.216 ; 106 ; 12.857.733 ; 309 ; 33.919.039 ; 12 ; 6.830.280 ; 6 ; 30.062.877 ; 18 ; 36.893.157 ; 327 ; 70.812.196 ;;;;
62;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 45 ; 60.173 ; 132 ; 4.768.668 ; 177 ; 4.828.840 ; 378 ; 34.651.316 ; 207 ; 29.936.977 ; 585 ; 64.588.293 ; 762 ; 69.417.133 ;;;;
63;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 1 ; 5.460.000 ;;; 1 ; 28.500.000 ; 8 ; 96.410 ; 10 ; 34.056.410 ; 1 ; 294.100 ; 2 ; 34.000.000 ; 3 ; 34.294.100 ; 13 ; 68.350.510 ;;;;
64;17.184.037;BANCO MERCANTIL DO BRASIL S.A.; 6 ; 238.153 ; 17 ; 1.193.537 ; 22 ; 856.691 ; 63 ; 16.011.352 ; 108 ; 18.299.733 ; 40 ; 31.856.242 ; 19 ; 16.105.052 ; 59 ; 47.961.294 ; 167 ; 66.261.027 ;;;;
