Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jul/2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
37;71.027.866;BANCO BS2 S.A.; 580 ; 82.914.359 ; 3.085 ; 170.017.566 ; 5.498 ; 752.581.936 ; 9.059 ; 622.544.464 ; 18.222 ; 1.628.058.325 ; 1.042 ; 966.432.691 ; 21.007 ; 1.002.109.320 ; 22.049 ; 1.968.542.011 ; 40.271 ; 3.596.600.336 ;;;;
38;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 517 ; 353.873.177 ; 1.176 ; 249.126.950 ; 694 ; 354.447.320 ; 850 ; 485.263.169 ; 3.237 ; 1.442.710.616 ; 689 ; 1.073.169.933 ; 691 ; 1.010.809.815 ; 1.380 ; 2.083.979.749 ; 4.617 ; 3.526.690.365 ;;;;
39;58.616.418;BANCO FIBRA S.A.; 402 ; 449.437.333 ; 2.842 ; 460.695.512 ; 499 ; 626.127.454 ; 1.731 ; 305.476.580 ; 5.474 ; 1.841.736.880 ; 183 ; 669.761.752 ; 215 ; 987.899.451 ; 398 ; 1.657.661.202 ; 5.872 ; 3.499.398.082 ;;;;
40;33.923.798;BANCO MÁXIMA S.A.; 340 ; 452.721.881 ; 1.760 ; 77.510.783 ; 6.346 ; 119.727.015 ; 92.010 ; 1.047.596.877 ; 100.456 ; 1.697.556.557 ; 374 ; 926.859.038 ; 144 ; 377.528.433 ; 518 ; 1.304.387.471 ; 100.974 ; 3.001.944.028 ;;;;
41;10.690.848;BANCO DA CHINA BRASIL S.A.; 106 ; 1.102.532.591 ; 139 ; 34.574.496 ; 118 ; 127.648.361 ; 362 ; 182.617.863 ; 725 ; 1.447.373.311 ; 189 ; 188.470.759 ; 227 ; 1.201.415.651 ; 416 ; 1.389.886.411 ; 1.141 ; 2.837.259.721 ;;;;
42;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 27 ; 146.288.439 ; 132 ; 77.421.731 ; 99 ; 423.781.421 ; 174 ; 269.544.078 ; 432 ; 917.035.669 ; 138 ; 836.905.341 ; 168 ; 1.049.650.966 ; 306 ; 1.886.556.307 ; 738 ; 2.803.591.976 ;;;;
43;30.723.886;BANCO MODAL S.A.; 80 ; 35.101.201 ; 310 ; 31.741.282 ; 909 ; 791.612.007 ; 874 ; 321.184.446 ; 2.173 ; 1.179.638.936 ; 103 ; 409.385.360 ; 107 ; 882.560.547 ; 210 ; 1.291.945.907 ; 2.383 ; 2.471.584.843 ;;;;
44;62.144.175;BANCO PINE S.A.; 179 ; 132.363.298 ; 1.519 ; 190.752.988 ; 116 ; 225.621.115 ; 424 ; 190.571.524 ; 2.238 ; 739.308.926 ; 135 ; 920.115.052 ; 586 ; 809.335.462 ; 721 ; 1.729.450.514 ; 2.959 ; 2.468.759.439 ;;;;
45;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 294 ; 373.473.164 ; 1.302 ; 130.822.517 ; 68 ; 114.508.415 ; 1.255 ; 379.312.795 ; 2.919 ; 998.116.891 ; 201 ; 649.879.297 ; 151 ; 677.919.892 ; 352 ; 1.327.799.188 ; 3.271 ; 2.325.916.079 ;;;;
46;03.609.817;BANCO CARGILL S.A.; 79 ; 167.094.987 ; 17 ; 9.271.185 ; 27 ; 49.579.417 ; 207 ; 54.142.227 ; 330 ; 280.087.815 ; 21 ; 749.000.000 ; 25 ; 1.011.250.000 ; 46 ; 1.760.250.000 ; 376 ; 2.040.337.815 ;;;;
