Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Mai/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
25;71.027.866;BANCO BONSUCESSO S.A.; 11 ; 333.084 ; 14 ; 4.568.719 ; 177 ; 26.082.629 ; 731 ; 28.123.879 ; 933 ; 59.108.311 ; 1.182 ; 1.939.858.059 ; 1.979 ; 1.926.405.697 ; 3.161 ; 3.866.263.755 ; 4.094 ; 3.925.372.066 ;
26;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 1 ; 3.863.000 ; 93 ; 1.951.270.000 ; 94 ; 1.955.133.000 ; 93 ; 1.951.270.000 ; 1 ; 3.863.000 ; 94 ; 1.955.133.000 ; 188 ; 3.910.266.000 ;
27;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 305 ; 940.642.411 ; 65 ; 53.618.000 ; 358 ; 579.066.041 ; 843 ; 704.149.674 ; 1.571 ; 2.277.476.125 ; 71 ; 248.765.114 ; 109 ; 1.198.837.938 ; 180 ; 1.447.603.051 ; 1.751 ; 3.725.079.177 ;
28;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 321 ; 11.095.724 ; 3.871 ; 186.396.201 ; 2.103 ; 198.977.764 ; 6.995 ; 264.296.463 ; 13.290 ; 660.766.152 ; 6.340 ; 1.580.563.115 ; 38.512 ; 1.336.889.914 ; 44.852 ; 2.917.453.029 ; 58.142 ; 3.578.219.181 ;
29;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 33 ; 354.416.362 ; 2 ; 5.470.242 ; 102 ; 186.181.894 ; 248 ; 39.452.072 ; 385 ; 585.520.571 ; 300 ; 1.234.774.465 ; 323 ; 1.734.519.676 ; 623 ; 2.969.294.141 ; 1.008 ; 3.554.814.713 ;
30;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 435 ; 187.006.110 ; 313 ; 50.014.601 ; 188 ; 952.746.886 ; 819 ; 281.574.054 ; 1.755 ; 1.471.341.651 ; 106 ; 472.868.777 ; 147 ; 1.271.694.154 ; 253 ; 1.744.562.931 ; 2.008 ; 3.215.904.582 ;
31;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 281 ; 554.112.478 ;;; 415 ; 217.682.992 ; 338 ; 386.532.482 ; 1.034 ; 1.158.327.951 ; 27 ; 467.480.702 ; 28 ; 1.420.918.725 ; 55 ; 1.888.399.427 ; 1.089 ; 3.046.727.379 ;
32;62.232.889;BANCO DAYCOVAL S.A.; 1.299 ; 142.908.473 ; 1.578 ; 121.301.660 ; 2.282 ; 92.597.337 ; 7.166 ; 552.298.767 ; 12.325 ; 909.106.236 ; 1.896 ; 1.240.918.213 ; 6.226 ; 874.148.989 ; 8.122 ; 2.115.067.203 ; 20.447 ; 3.024.173.439 ;
33;13.059.145;BEXS BANCO DE CÂMBIO S/A; 153 ; 877.065.722 ; 577 ; 15.400.970 ; 821 ; 174.612.005 ; 2.036 ; 306.282.678 ; 3.587 ; 1.373.361.375 ; 994 ; 302.400.076 ; 1.274 ; 1.032.740.156 ; 2.268 ; 1.335.140.232 ; 5.855 ; 2.708.501.607 ;
34;61.146.577;BANCO BARCLAYS S.A.;;; 1 ; 39.012.310 ; 198 ; 400.445.558 ; 226 ; 758.433.938 ; 425 ; 1.197.891.805 ; 179 ; 799.419.706 ; 186 ; 500.043.217 ; 365 ; 1.299.462.923 ; 790 ; 2.497.354.728 ;
35;68.900.810;BANCO RENDIMENTO S.A.; 46 ; 3.623.719 ; 237 ; 25.642.609 ; 67.328 ; 389.044.490 ; 6.263 ; 289.408.538 ; 73.874 ; 707.719.356 ; 1.708 ; 805.021.737 ; 36.900 ; 921.623.428 ; 38.608 ; 1.726.645.165 ; 112.482 ; 2.434.364.520 ;
36;78.632.767;BANCO OURINVEST S.A.; 170 ; 71.272.510 ; 1.365 ; 55.319.932 ; 1.291 ; 136.010.049 ; 3.203 ; 167.950.218 ; 6.029 ; 430.552.708 ; 1.552 ; 935.793.826 ; 27.662 ; 886.777.717 ; 29.214 ; 1.822.571.543 ; 35.243 ; 2.253.124.251 ;
37;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 163 ; 170.075.952 ; 356 ; 49.292.620 ; 219 ; 496.567.343 ; 266 ; 125.263.288 ; 1.004 ; 841.199.202 ; 288 ; 453.434.315 ; 316 ; 941.400.725 ; 604 ; 1.394.835.039 ; 1.608 ; 2.236.034.242 ;
38;28.195.667;BANCO ABC BRASIL S.A.; 266 ; 70.736.722 ; 600 ; 57.565.851 ; 105 ; 231.915.995 ; 1.226 ; 371.566.733 ; 2.197 ; 731.785.301 ; 201 ; 857.951.107 ; 235 ; 511.211.946 ; 436 ; 1.369.163.053 ; 2.633 ; 2.100.948.354 ;
39;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 128 ; 270.283.371 ; 66 ; 118.456.042 ; 41 ; 330.855.475 ; 394 ; 144.518.168 ; 629 ; 864.113.056 ; 15 ; 98.987.075 ; 33 ; 408.991.842 ; 48 ; 507.978.918 ; 677 ; 1.372.091.974 ;
40;10.690.848;BANCO DA CHINA BRASIL S.A.; 52 ; 394.326.675 ; 60 ; 14.911.962 ; 54 ; 135.379.791 ; 230 ; 12.488.362 ; 396 ; 557.106.791 ; 116 ; 129.078.592 ; 124 ; 618.782.537 ; 240 ; 747.861.129 ; 636 ; 1.304.967.920 ;
41;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 4.091 ; 378.378.982 ; 4.762 ; 231.796.643 ; 1.764 ; 96.167.447 ; 5.525 ; 185.936.688 ; 16.142 ; 892.279.759 ; 129 ; 175.957.657 ; 181 ; 230.191.443 ; 310 ; 406.149.100 ; 16.452 ; 1.298.428.859 ;
42;07.656.500;BANCO KDB DO BRASIL S.A.;;; 1 ; 334.848 ; 475 ; 207.179.472 ; 860 ; 201.714.578 ; 1.336 ; 409.228.898 ; 106 ; 352.387.461 ; 109 ; 406.786.679 ; 215 ; 759.174.140 ; 1.551 ; 1.168.403.038 ;
43;03.609.817;BANCO CARGILL S.A.; 92 ; 332.224.746 ; 8 ; 10.181.625 ; 42 ; 109.000.874 ; 92 ; 167.133.377 ; 234 ; 618.540.623 ; 11 ; 122.639.716 ; 23 ; 384.500.000 ; 34 ; 507.139.716 ; 268 ; 1.125.680.338 ;
44;58.616.418;BANCO FIBRA S.A.; 531 ; 81.242.784 ; 1.470 ; 121.880.518 ; 123 ; 84.935.206 ; 772 ; 272.696.036 ; 2.896 ; 560.754.544 ; 87 ; 353.858.680 ; 58 ; 122.848.297 ; 145 ; 476.706.977 ; 3.041 ; 1.037.461.521 ;
45;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 347 ; 7.958.573 ; 2.363 ; 51.745.469 ; 5.192 ; 57.313.082 ; 9.362 ; 201.899.298 ; 17.264 ; 318.916.421 ; 12.454 ; 400.584.327 ; 1.561 ; 212.055.873 ; 14.015 ; 612.640.200 ; 31.279 ; 931.556.622 ;
46;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 432 ; 191.621.691 ; 422 ; 317.245.280 ; 854 ; 508.866.971 ; 145 ; 211.522.232 ; 111 ; 85.962.681 ; 256 ; 297.484.913 ; 1.110 ; 806.351.885 ;
