Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Junho/2025;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
23;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 342 ; 1.721.376.086 ; 1.225 ; 478.614.278 ; 1.289 ; 2.054.851.099 ; 1.943 ; 1.774.088.669 ; 4.799 ; 6.028.930.132 ; 1.643 ; 6.011.554.717 ; 1.701 ; 7.584.766.046 ; 3.344 ; 13.596.320.763 ; 8.143 ; 19.625.250.895 ;
24;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 440 ; 904.260.621 ; 1.163 ; 413.166.379 ; 620 ; 1.205.566.834 ; 1.015 ; 745.285.670 ; 3.238 ; 3.268.279.504 ; 873 ; 6.665.816.724 ; 933 ; 7.401.083.279 ; 1.806 ; 14.066.900.003 ; 5.044 ; 17.335.179.507 ;
25;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 1.078 ; 858.208.885 ; 4.773 ; 950.310.463 ; 13.848 ; 3.314.941.281 ; 31.179 ; 2.927.633.551 ; 50.878 ; 8.051.094.180 ; 547 ; 4.120.140.237 ; 857 ; 4.823.493.294 ; 1.404 ; 8.943.633.531 ; 52.282 ; 16.994.727.711 ;
26;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 2.801 ; 422.303.845 ; 12.543 ; 2.379.136.260 ; 29.339 ; 801.380.226 ; 47.070 ; 2.065.964.008 ; 91.753 ; 5.668.784.339 ; 941 ; 5.595.919.907 ; 786 ; 2.390.436.665 ; 1.727 ; 7.986.356.572 ; 93.480 ; 13.655.140.911 ;
27;78.632.767;OURIBANK S.A. BANCO MÚLTIPLO;OURIBANK - PRUDENCIAL; 4.664 ; 640.832.378 ; 24.701 ; 1.406.913.673 ; 327.590 ; 1.725.566.500 ; 1.657.962 ; 2.873.998.055 ; 2.014.917 ; 6.647.310.606 ; 6.329 ; 4.170.217.920 ; 42.577 ; 2.235.295.594 ; 48.906 ; 6.405.513.514 ; 2.063.823 ; 13.052.824.120 ;
28;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOP ZIO S.A. - PRUDENCIAL; 956 ; 176.668.591 ; 4.246 ; 50.307.642 ; 203.640 ; 838.175.866 ; 420.519 ; 4.245.462.523 ; 629.361 ; 5.310.614.622 ; 4.399 ; 4.949.705.937 ; 17.648 ; 1.667.984.691 ; 22.047 ; 6.617.690.628 ; 651.408 ; 11.928.305.250 ;
29;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 2.233 ; 618.962.776 ; 8.922 ; 1.595.194.942 ; 361.474 ; 2.896.952.911 ; 207.921 ; 2.073.520.766 ; 580.550 ; 7.184.631.395 ; 1.915 ; 2.106.737.954 ; 10.105 ; 1.930.015.089 ; 12.020 ; 4.036.753.043 ; 592.570 ; 11.221.384.438 ;
30;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 46.510 ; 13.325.489 ; 1.769 ; 1.529.007 ; 7.650.075 ; 2.750.461.089 ; 9.803.665 ; 3.403.531.418 ; 17.502.019 ; 6.168.847.003 ; 5.943 ; 2.127.570.305 ; 5.617 ; 1.487.934.372 ; 11.560 ; 3.615.504.677 ; 17.513.579 ; 9.784.351.680 ;
31;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 72 ; 1.417.941.845 ; 17 ; 12.147.235 ; 147 ; 644.369.202 ; 288 ; 386.513.812 ; 524 ; 2.460.972.094 ; 315 ; 2.413.554.823 ; 355 ; 4.076.423.297 ; 670 ; 6.489.978.120 ; 1.194 ; 8.950.950.214 ;
32;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL; 919 ; 841.701.569 ; 3.983 ; 401.356.548 ; 1.796 ; 799.601.792 ; 2.526 ; 696.671.233 ; 9.224 ; 2.739.331.142 ; 519 ; 2.615.336.878 ; 550 ; 3.230.600.556 ; 1.069 ; 5.845.937.434 ; 10.293 ; 8.585.268.576 ;
