Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em DEZEMBRO / 2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
27;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 77 ; 5.802.450 ; 778 ; 33.945.359 ; 315 ; 142.490.777 ; 92.067 ; 144.327.628 ; 93.237 ; 326.566.214 ; 348 ; 454.172.133 ; 485 ; 426.309.383 ; 833 ; 880.481.517 ; 94.070 ; 1.207.047.731 ;
28;78.632.767;BANCO OURINVEST S.A.; 567 ; 91.978.411 ; 2.441 ; 248.447.460 ; 3.766 ; 97.509.801 ; 2.873 ; 182.332.222 ; 9.647 ; 620.267.893 ; 616 ; 388.301.617 ; 2.175 ; 131.626.395 ; 2.791 ; 519.928.012 ; 12.438 ; 1.140.195.905 ;
29;68.900.810;BANCO RENDIMENTO S.A.; 53 ; 3.551.540 ; 188 ; 30.197.409 ; 100.569 ; 339.879.847 ; 2.603 ; 89.614.998 ; 103.413 ; 463.243.793 ; 1.153 ; 192.642.086 ; 7.794 ; 413.105.616 ; 8.947 ; 605.747.703 ; 112.360 ; 1.068.991.496 ;
30;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 24 ; 29.249.259 ;;; 38 ; 10.961.109 ; 3 ; 130.518 ; 65 ; 40.340.886 ; 3 ; 110.000.000 ; 30 ; 889.599.900 ; 33 ; 999.599.900 ; 98 ; 1.039.940.786 ;
31;33.042.953;CITIBANK N.A.;;;;; 1 ; 131 ; 12 ; 383.358 ; 13 ; 383.489 ; 2 ; 771.000.000 ;;; 2 ; 771.000.000 ; 15 ; 771.383.489 ;
32;62.232.889;BANCO DAYCOVAL S.A.; 542 ; 98.631.975 ; 1.011 ; 130.545.107 ; 76.974 ; 160.643.324 ; 1.742 ; 118.440.038 ; 80.269 ; 508.260.444 ; 220 ; 102.247.675 ; 617 ; 155.101.401 ; 837 ; 257.349.076 ; 81.106 ; 765.609.521 ;
33;33.264.668;BANCO XP S.A.; 23 ; 17.863.124 ; 415 ; 66.945.552 ; 188 ; 295.835.956 ; 542 ; 95.278.181 ; 1.168 ; 475.922.814 ; 16 ; 58.535.820 ; 16 ; 205.107.451 ; 32 ; 263.643.271 ; 1.200 ; 739.566.085 ;
34;31.872.495;BANCO C6 S.A.; 20 ; 48.429.000 ; 218 ; 63.838.052 ; 270 ; 63.816.042 ; 4.577 ; 107.390.551 ; 5.085 ; 283.473.644 ; 73 ; 251.647.444 ; 175 ; 187.133.072 ; 248 ; 438.780.517 ; 5.333 ; 722.254.161 ;
35;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 64 ; 59.397.674 ; 233 ; 27.554.522 ; 65 ; 102.114.271 ; 132 ; 85.482.783 ; 494 ; 274.549.250 ; 92 ; 136.544.334 ; 105 ; 247.713.072 ; 197 ; 384.257.406 ; 691 ; 658.806.656 ;
36;58.616.418;BANCO FIBRA S.A.; 104 ; 86.792.263 ; 776 ; 146.876.525 ; 39 ; 21.653.407 ; 182 ; 79.491.920 ; 1.101 ; 334.814.116 ; 100 ; 204.522.353 ; 82 ; 94.386.558 ; 182 ; 298.908.910 ; 1.283 ; 633.723.026 ;
37;71.027.866;BANCO BS2 S.A.; 230 ; 25.076.021 ; 1.298 ; 66.664.387 ; 5.295 ; 125.594.625 ; 15.233 ; 155.240.522 ; 22.056 ; 372.575.555 ; 69 ; 145.154.584 ; 115 ; 81.712.401 ; 184 ; 226.866.984 ; 22.240 ; 599.442.540 ;
38;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 58 ; 57.682.692 ; 384 ; 34.213.528 ; 26 ; 144.431.037 ; 289 ; 115.190.463 ; 757 ; 351.517.720 ; 43 ; 35.615.713 ; 33 ; 207.554.279 ; 76 ; 243.169.992 ; 833 ; 594.687.712 ;
39;07.679.404;BANCO TOPÁZIO S.A.; 52 ; 22.948.552 ; 48 ; 7.899.965 ; 337 ; 43.452.312 ; 514 ; 190.321.273 ; 951 ; 264.622.102 ; 384 ; 221.649.776 ; 886 ; 90.173.002 ; 1.270 ; 311.822.777 ; 2.221 ; 576.444.880 ;
40;13.059.145;BEXS BANCO DE CÂMBIO S/A; 4 ; 102.456 ; 9 ; 629.097 ; 4.151 ; 47.773.178 ; 61.334 ; 249.424.225 ; 65.498 ; 297.928.955 ; 122 ; 213.909.667 ; 30 ; 18.990.750 ; 152 ; 232.900.417 ; 65.650 ; 530.829.372 ;
41;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 158 ; 39.015.276 ; 660 ; 59.025.672 ; 263 ; 25.944.145 ; 555 ; 60.093.134 ; 1.636 ; 184.078.227 ; 92 ; 130.023.878 ; 91 ; 133.060.582 ; 183 ; 263.084.460 ; 1.819 ; 447.162.687 ;
42;33.923.798;BANCO MÁXIMA S.A.; 98 ; 5.148.347 ; 330 ; 12.065.794 ; 10.096 ; 100.172.527 ; 34.187 ; 142.548.527 ; 44.711 ; 259.935.195 ; 83 ; 104.633.284 ; 49 ; 68.386.650 ; 132 ; 173.019.934 ; 44.843 ; 432.955.130 ;
43;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 8 ; 2.873.605 ; 10 ; 2.685.936 ; 15 ; 171.985.490 ; 51 ; 35.887.931 ; 84 ; 213.432.961 ; 7 ; 28.860.379 ; 7 ; 167.360.387 ; 14 ; 196.220.766 ; 98 ; 409.653.728 ;
44;30.723.886;BANCO MODAL S.A.; 3 ; 361.900 ; 46 ; 10.579.246 ; 161 ; 131.768.114 ; 130 ; 80.440.468 ; 340 ; 223.149.728 ; 10 ; 48.005.851 ; 13 ; 87.076.703 ; 23 ; 135.082.553 ; 363 ; 358.232.282 ;
45;10.690.848;BANCO DA CHINA BRASIL S.A.; 14 ; 104.007.269 ; 34 ; 11.312.191 ; 26 ; 11.529.072 ; 84 ; 37.562.044 ; 158 ; 164.410.576 ; 51 ; 54.200.594 ; 36 ; 120.812.504 ; 87 ; 175.013.098 ; 245 ; 339.423.674 ;
46;62.144.175;BANCO PINE S.A.; 15 ; 13.520.593 ; 227 ; 28.628.466 ; 5 ; 5.475.174 ; 64 ; 12.283.037 ; 311 ; 59.907.271 ; 23 ; 146.130.800 ; 169 ; 131.501.240 ; 192 ; 277.632.040 ; 503 ; 337.539.310 ;
