Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Fev/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
25;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 65 ; 478.019.366 ;;; 96 ; 144.360.363 ; 103 ; 233.326.882 ; 264 ; 855.706.611 ; 5 ; 430.522.835 ; 9 ; 560.000.000 ; 14 ; 990.522.835 ; 278 ; 1.846.229.446 ;;;;
26;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 183 ; 84.958.299 ; 662 ; 265.788.913 ; 620 ; 512.697.660 ; 883 ; 188.794.392 ; 2.348 ; 1.052.239.264 ; 116 ; 311.113.366 ; 122 ; 454.419.590 ; 238 ; 765.532.956 ; 2.586 ; 1.817.772.220 ;;;;
27;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 18 ; 106.553.507 ; 9 ; 2.942.928 ; 28 ; 20.366.081 ; 77 ; 9.552.682 ; 132 ; 139.415.198 ; 158 ; 683.249.282 ; 168 ; 805.581.397 ; 326 ; 1.488.830.679 ; 458 ; 1.628.245.877 ;;;;
28;62.232.889;BANCO DAYCOVAL S.A.; 419 ; 157.179.373 ; 857 ; 64.928.461 ; 922 ; 26.070.023 ; 5.136 ; 173.979.419 ; 7.334 ; 422.157.276 ; 570 ; 606.207.798 ; 2.095 ; 551.744.717 ; 2.665 ; 1.157.952.515 ; 9.999 ; 1.580.109.791 ;;;;
29;28.195.667;BANCO ABC BRASIL S.A.; 89 ; 32.360.780 ; 212 ; 32.207.505 ; 57 ; 228.817.791 ; 604 ; 136.874.196 ; 962 ; 430.260.273 ; 43 ; 386.062.540 ; 67 ; 649.955.081 ; 110 ; 1.036.017.621 ; 1.072 ; 1.466.277.894 ;;;;
30;68.900.810;BANCO RENDIMENTO S.A.; 15 ; 428.397 ; 107 ; 9.487.609 ; 8.290 ; 118.529.148 ; 3.568 ; 304.265.326 ; 11.980 ; 432.710.481 ; 613 ; 599.561.216 ; 12.380 ; 408.267.535 ; 12.993 ; 1.007.828.751 ; 24.973 ; 1.440.539.232 ;;;;
31;78.632.767;BANCO OURINVEST S.A.; 1 ; 2.745.399 ; 97 ; 9.841.079 ; 317 ; 5.539.322 ; 908 ; 17.823.816 ; 1.323 ; 35.949.616 ; 659 ; 678.814.518 ; 8.392 ; 652.849.500 ; 9.051 ; 1.331.664.018 ; 10.374 ; 1.367.613.635 ;;;;
32;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 26 ; 601.240.000 ; 1 ; 76.432.000 ; 27 ; 677.672.000 ; 1 ; 76.432.000 ; 26 ; 601.240.000 ; 27 ; 677.672.000 ; 54 ; 1.355.344.000 ;;;;
33;49.336.860;ING BANK N.V.; 43 ; 367.444.362 ; 36 ; 47.796.992 ; 18 ; 151.066.700 ; 125 ; 60.059.284 ; 222 ; 626.367.338 ; 15 ; 87.825.550 ; 34 ; 516.820.450 ; 49 ; 604.646.000 ; 271 ; 1.231.013.338 ;;;;
34;71.027.866;BANCO BONSUCESSO S.A.; 4 ; 84.085 ; 2 ; 14.360 ; 92 ; 1.681.690 ; 163 ; 6.291.503 ; 261 ; 8.071.639 ; 406 ; 416.180.367 ; 325 ; 411.497.979 ; 731 ; 827.678.346 ; 992 ; 835.749.985 ;;;;
35;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 267 ; 95.891.666 ; 307 ; 301.568.225 ; 574 ; 397.459.891 ; 39 ; 274.812.195 ; 63 ; 69.200.000 ; 102 ; 344.012.195 ; 676 ; 741.472.086 ;;;;
36;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 408 ; 2.791.358 ; 4.966 ; 61.696.528 ; 5.374 ; 64.487.886 ; 1.215 ; 310.666.797 ; 281 ; 251.741.661 ; 1.496 ; 562.408.458 ; 6.870 ; 626.896.344 ;;;;
37;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 66 ; 935.158 ; 817 ; 20.995.290 ; 1.375 ; 13.180.384 ; 3.463 ; 168.980.363 ; 5.721 ; 204.091.195 ; 6.073 ; 298.142.467 ; 194 ; 122.159.163 ; 6.267 ; 420.301.630 ; 11.988 ; 624.392.825 ;;;;
38;13.059.145;BEXS BANCO DE CÂMBIO S/A; 35 ; 43.366.159 ; 262 ; 9.035.685 ; 315 ; 59.525.457 ; 860 ; 65.200.862 ; 1.472 ; 177.128.163 ; 479 ; 201.618.759 ; 597 ; 230.712.169 ; 1.076 ; 432.330.928 ; 2.548 ; 609.459.091 ;;;;
39;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 1.315 ; 139.043.164 ; 2.516 ; 124.314.881 ; 667 ; 29.567.682 ; 2.768 ; 93.291.611 ; 7.266 ; 386.217.337 ; 75 ; 137.513.872 ; 50 ; 81.355.203 ; 125 ; 218.869.075 ; 7.391 ; 605.086.412 ;;;;
40;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 4 ; 11.142.120 ; 2 ; 488.333 ; 36 ; 36.800.811 ; 94 ; 7.241.254 ; 136 ; 55.672.518 ; 73 ; 214.773.463 ; 139 ; 256.843.798 ; 212 ; 471.617.261 ; 348 ; 527.289.779 ;;;;
41;33.923.798;BANCO MÁXIMA S.A.; 56 ; 2.648.746 ; 618 ; 28.552.393 ; 115 ; 21.568.867 ; 518 ; 25.293.019 ; 1.307 ; 78.063.026 ; 588 ; 220.992.776 ; 2.531 ; 193.160.495 ; 3.119 ; 414.153.271 ; 4.426 ; 492.216.296 ;;;;
42;15.114.366;BANCO BBM S/A; 31 ; 17.862.897 ; 9 ; 33.897.650 ; 18 ; 21.139.928 ; 66 ; 9.562.422 ; 124 ; 82.462.898 ; 16 ; 200.989.847 ; 26 ; 205.492.249 ; 42 ; 406.482.096 ; 166 ; 488.944.994 ;;;;
43;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS; 8 ; 390.109 ; 2.565 ; 183.308.032 ; 554 ; 2.359.455 ; 6.117 ; 20.162.425 ; 9.244 ; 206.220.022 ; 1.556 ; 202.635.284 ; 63 ; 2.029.338 ; 1.619 ; 204.664.622 ; 10.863 ; 410.884.643 ;;;;
