Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em AGOSTO / 2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
27;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 347 ; 36.863.471 ; 1.390 ; 52.217.799 ; 1.404 ; 161.170.994 ; 3.474 ; 196.392.359 ; 6.615 ; 446.644.623 ; 886 ; 289.616.385 ; 6.451 ; 224.722.236 ; 7.337 ; 514.338.621 ; 13.952 ; 960.983.244 ;;;;
28;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 19 ; 105.806.777 ; 32 ; 8.834.436 ; 19 ; 21.885.674 ; 44 ; 8.039.497 ; 114 ; 144.566.384 ; 50 ; 337.906.495 ; 97 ; 456.723.796 ; 147 ; 794.630.291 ; 261 ; 939.196.675 ;;;;
29;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 18 ; 80.235.331 ; 7 ; 8.959.966 ; 11 ; 224.545.232 ; 112 ; 72.035.187 ; 148 ; 385.775.716 ; 7 ; 90.000.000 ; 17 ; 415.000.000 ; 24 ; 505.000.000 ; 172 ; 890.775.716 ;;;;
30;68.900.810;BANCO RENDIMENTO S.A.; 51 ; 5.873.451 ; 180 ; 8.016.935 ; 75.745 ; 261.668.991 ; 9.734 ; 141.247.127 ; 85.710 ; 416.806.504 ; 1.040 ; 159.227.596 ; 7.568 ; 287.130.227 ; 8.608 ; 446.357.823 ; 94.318 ; 863.164.327 ;;;;
31;00.360.305;CAIXA ECONOMICA FEDERAL; 137 ; 40.974.098 ; 84 ; 1.405.558 ; 8.686 ; 131.515.959 ; 1.359 ; 121.062.848 ; 10.266 ; 294.958.463 ; 170 ; 201.709.435 ; 196 ; 244.696.706 ; 366 ; 446.406.141 ; 10.632 ; 741.364.604 ;;;;
32;13.059.145;BEXS BANCO DE CÂMBIO S/A; 24 ; 186.588.319 ; 21 ; 2.046.628 ; 408 ; 18.062.255 ; 1.784 ; 174.108.087 ; 2.237 ; 380.805.289 ; 95 ; 160.924.293 ; 58 ; 189.227.079 ; 153 ; 350.151.371 ; 2.390 ; 730.956.661 ;;;;
33;62.232.889;BANCO DAYCOVAL S.A.; 613 ; 97.180.067 ; 552 ; 30.484.310 ; 1.312 ; 42.177.241 ; 2.642 ; 56.204.110 ; 5.119 ; 226.045.728 ; 399 ; 179.706.883 ; 1.263 ; 284.923.789 ; 1.662 ; 464.630.672 ; 6.781 ; 690.676.399 ;;;;
34;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 40 ; 21.127.512 ; 176 ; 31.902.828 ; 12 ; 53.309.111 ; 182 ; 198.033.653 ; 410 ; 304.373.103 ; 23 ; 195.579.329 ; 22 ; 99.981.659 ; 45 ; 295.560.988 ; 455 ; 599.934.091 ;;;;
35;61.820.817;BANCO PAULISTA S.A.; 65 ; 29.558.015 ; 119 ; 5.345.452 ; 49.524 ; 67.008.417 ; 763 ; 8.779.870 ; 50.471 ; 110.691.754 ; 1.216 ; 194.394.192 ; 6.037 ; 290.343.252 ; 7.253 ; 484.737.444 ; 57.724 ; 595.429.198 ;;;;
36;71.027.866;BANCO BS2 S.A.; 98 ; 31.182.706 ; 497 ; 17.271.457 ; 1.168 ; 98.894.696 ; 1.295 ; 56.085.586 ; 3.058 ; 203.434.445 ; 122 ; 161.814.539 ; 2.263 ; 217.403.963 ; 2.385 ; 379.218.502 ; 5.443 ; 582.652.947 ;;;;
