Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Abril/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
34;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 457 ; 143.958.052 ; 1.030 ; 167.795.977 ; 24.684 ; 198.098.187 ; 20.573 ; 170.574.277 ; 46.744 ; 680.426.493 ; 289 ; 229.661.644 ; 297 ; 284.779.431 ; 586 ; 514.441.075 ; 47.330 ; 1.194.867.568 ;
35;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 542 ; 58.136.300 ; 2.125 ; 241.687.875 ; 6.726 ; 174.558.003 ; 6.682 ; 150.069.733 ; 16.075 ; 624.451.911 ; 93 ; 352.371.306 ; 86 ; 190.849.128 ; 179 ; 543.220.434 ; 16.254 ; 1.167.672.345 ;
36;68.900.810;BANCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL; 24 ; 190.140 ; 380 ; 22.829.780 ; 187.820 ; 338.827.226 ; 3.722 ; 71.914.292 ; 191.946 ; 433.761.438 ; 1.576 ; 180.269.067 ; 5.251 ; 424.808.262 ; 6.827 ; 605.077.329 ; 198.773 ; 1.038.838.767 ;
37;13.059.145;EBURY BANCO DE CÂMBIO S.A.;EBURY BANCO DE CÂMBIO - PRUDENCIAL; 115 ; 191.640.245 ; 539 ; 27.169.581 ; 7.412 ; 159.070.064 ; 19.702 ; 256.587.297 ; 27.768 ; 634.467.187 ; 121 ; 133.874.675 ; 180 ; 204.090.835 ; 301 ; 337.965.510 ; 28.069 ; 972.432.697 ;
38;28.811.341;STONEX BANCO DE CÂMBIO S.A.;STONEX DTVM - PRUDENCIAL; 122 ; 22.368.356 ; 75 ; 4.415.967 ; 4.778 ; 415.270.028 ; 276 ; 9.544.841 ; 5.251 ; 451.599.192 ; 96 ; 10.369.315 ; 247 ; 434.046.631 ; 343 ; 444.415.946 ; 5.594 ; 896.015.138 ;
39;00.997.185;BANCO B3 S.A.;BANCO B3 - PRUDENCIAL; -   ; -   ; -   ; -   ; 177 ; 246.930.108 ; 139 ; 329.804.080 ; 316 ; 576.734.188 ; 33 ; 179.392.888 ; 48 ; 96.490.480 ; 81 ; 275.883.368 ; 397 ; 852.617.556 ;
40;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL; 149 ; 100.150.305 ; 551 ; 90.951.830 ; 359 ; 115.535.141 ; 472 ; 60.505.385 ; 1.531 ; 367.142.661 ; 62 ; 196.502.873 ; 66 ; 259.156.512 ; 128 ; 455.659.385 ; 1.659 ; 822.802.046 ;
41;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 109 ; 28.794.106 ; 594 ; 157.456.195 ; 39 ; 35.112.286 ; 136 ; 4.044.217 ; 878 ; 225.406.804 ; 64 ; 383.776.518 ; 48 ; 168.415.466 ; 112 ; 552.191.984 ; 990 ; 777.598.788 ;
42;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;CREDIT SUISSE - PRUDENCIAL; -   ; -   ; -   ; -   ; 96 ; 234.773.981 ; 108 ; 259.463.059 ; 204 ; 494.237.040 ; 11 ; 36.025.133 ; 14 ; 176.022.405 ; 25 ; 212.047.538 ; 229 ; 706.284.578 ;
43;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;BNDES - PRUDENCIAL; 44 ; 96.112.403 ; -   ; -   ; 44 ; 21.155.943 ; 4 ; 365.166 ; 92 ; 117.633.512 ; 8 ; 530.000.000 ; -   ; -   ; 8 ; 530.000.000 ; 100 ; 647.633.512 ;
44;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.;ICBC DO BRASIL BM S.A. - PRUDENCIAL; 7 ; 115.300.000 ; 4 ; 246.471 ; 7 ; 2.237.197 ; 13 ; 3.050.403 ; 31 ; 120.834.071 ; 15 ; 129.965.000 ; 36 ; 243.965.000 ; 51 ; 373.930.000 ; 82 ; 494.764.071 ;
45;07.656.500;BANCO KDB DO BRASIL S.A.;BCO KDB BRASIL S.A. - PRUDENCIAL; -   ; -   ; -   ; -   ; 202 ; 161.828.993 ; 259 ; 51.983.129 ; 461 ; 213.812.122 ; 18 ; 77.646.204 ; 76 ; 162.050.000 ; 94 ; 239.696.204 ; 555 ; 453.508.326 ;
46;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;BANRISUL - PRUDENCIAL; 676 ; 181.180.303 ; 754 ; 55.901.676 ; 403 ; 10.119.442 ; 453 ; 8.373.219 ; 2.286 ; 255.574.640 ; 35 ; 35.076.424 ; 76 ; 161.525.789 ; 111 ; 196.602.213 ; 2.397 ; 452.176.853 ;
47;10.690.848;BANCO DA CHINA BRASIL S.A.;BCO DA CHINA BRASIL S.A. - PRUDENCIAL; 39 ; 144.986.509 ; 24 ; 3.484.740 ; 86 ; 4.758.125 ; 75 ; 20.832.246 ; 224 ; 174.061.620 ; 50 ; 39.295.695 ; 72 ; 164.619.825 ; 122 ; 203.915.520 ; 346 ; 377.977.140 ;
48;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA;ADVANCED CC LTDA - PRUDENCIAL; 254 ; 8.938.712 ; 2.678 ; 45.790.656 ; 2.282 ; 83.033.935 ; 3.472 ; 95.676.878 ; 8.686 ; 233.440.181 ; 295 ; 95.717.092 ; 82 ; 45.235.221 ; 377 ; 140.952.313 ; 9.063 ; 374.392.494 ;
49;71.677.850;FRENTE CORRETORA DE CÂMBIO S.A.;FRENTE CC - PRUDENCIAL; 4 ; 65.832 ; 165 ; 3.638.729 ; 925 ; 125.752.747 ; 5.894 ; 149.575.360 ; 6.988 ; 279.032.668 ; 509 ; 57.767.917 ; 120 ; 31.022.767 ; 629 ; 88.790.684 ; 7.617 ; 367.823.352 ;
50;00.360.305;CAIXA ECONOMICA FEDERAL;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL; 81 ; 34.004.217 ; 114 ; 14.822.415 ; 7.636 ; 31.327.595 ; 2.177 ; 74.839.482 ; 10.008 ; 154.993.709 ; 135 ; 83.391.339 ; 142 ; 66.937.747 ; 277 ; 150.329.086 ; 10.285 ; 305.322.795 ;
51;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.;MONEYCORP - PRUDENCIAL; 19 ; 989.093 ; 285 ; 12.866.737 ; 251 ; 64.091.774 ; 902 ; 101.622.975 ; 1.457 ; 179.570.579 ; 256 ; 73.362.017 ; 51 ; 24.097.624 ; 307 ; 97.459.641 ; 1.764 ; 277.030.220 ;
52;61.024.352;BANCO VOITER S.A.;BANCO MASTER - PRUDENCIAL; 22 ; 28.584.973 ; 240 ; 27.895.662 ; 229 ; 79.875.600 ; 948 ; 51.517.720 ; 1.439 ; 187.873.955 ; 75 ; 20.935.433 ; 84 ; 50.963.361 ; 159 ; 71.898.794 ; 1.598 ; 259.772.749 ;
53;62.144.175;BANCO PINE S.A.;PINE - PRUDENCIAL; 44 ; 22.525.643 ; 356 ; 50.377.960 ; 23 ; 32.501.440 ; 356 ; 28.254.753 ; 779 ; 133.659.796 ; 25 ; 71.749.093 ; 24 ; 48.214.824 ; 49 ; 119.963.917 ; 828 ; 253.623.713 ;
54;00.416.968;BANCO INTER S.A.;INTER - PRUDENCIAL; 99 ; 5.984.573 ; 282 ; 883.966 ; 81.457 ; 92.349.812 ; 177.476 ; 94.416.611 ; 259.314 ; 193.634.962 ; 7 ; 31.170.732 ; 6 ; 17.406.515 ; 13 ; 48.577.247 ; 259.327 ; 242.212.209 ;
55;01.181.521;BANCO COOPERATIVO SICREDI S.A.;BCO COOPERATIVO SICREDI - PRUDENCIAL; 1.280 ; 72.810.256 ; 1.474 ; 59.683.488 ; 971 ; 19.659.728 ; 459 ; 42.713.941 ; 4.184 ; 194.867.413 ; 25 ; 31.310.346 ; 12 ; 13.834.323 ; 37 ; 45.144.669 ; 4.221 ; 240.012.082 ;
56;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A;CCB - PRUDENCIAL; 49 ; 69.648.975 ; 165 ; 31.377.520 ; 22 ; 9.569.693 ; 99 ; 28.849.311 ; 335 ; 139.445.499 ; 48 ; 45.573.522 ; 34 ; 41.831.418 ; 82 ; 87.404.940 ; 417 ; 226.850.439 ;
57;45.246.410;BANCO GENIAL S.A.;GENIAL - PRUDENCIAL; 13 ; 2.022.238 ; 16 ; 1.404.921 ; 243 ; 53.833.282 ; 434 ; 96.841.252 ; 706 ; 154.101.693 ; 16 ; 46.114.190 ; 3 ; 2.010.804 ; 19 ; 48.124.994 ; 725 ; 202.226.687 ;
58;61.186.680;BANCO BMG S.A.;BMG - PRUDENCIAL; 4 ; 5.193.366 ; -   ; -   ; 17 ; 6.644.868 ; 75 ; 4.189.500 ; 96 ; 16.027.734 ; 1 ; 50.000.000 ; 4 ; 112.027.000 ; 5 ; 162.027.000 ; 101 ; 178.054.734 ;
59;60.889.128;BANCO SOFISA S.A.;SOFISA - PRUDENCIAL; 286 ; 57.181.384 ; 237 ; 21.109.933 ; 29 ; 9.137.593 ; 108 ; 5.109.412 ; 660 ; 92.538.322 ; 13 ; 17.701.281 ; 16 ; 56.206.737 ; 29 ; 73.908.018 ; 689 ; 166.446.340 ;
60;61.384.004;AVENUE SECURITIES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;AVENUE SECURITIES DTVM - PRUDENCIAL; -   ; -   ; -   ; -   ; 14.019 ; 27.885.276 ; 59.262 ; 82.440.695 ; 73.281 ; 110.325.971 ; 133 ; 54.344.876 ; -   ; -   ; 133 ; 54.344.876 ; 73.414 ; 164.670.847 ;
61;32.648.370;FAIR CORRETORA DE CAMBIO S.A.;FAIR CC S.A. - PRUDENCIAL; 127 ; 4.174.100 ; 1.049 ; 30.797.997 ; 1.596 ; 14.691.670 ; 2.662 ; 15.845.530 ; 5.434 ; 65.509.297 ; 555 ; 59.121.452 ; 148 ; 31.360.100 ; 703 ; 90.481.552 ; 6.137 ; 155.990.849 ;
62;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.;BR PARTNERS - PRUDENCIAL; 8 ; 25.248.425 ; 6 ; 347.740 ; 6 ; 42.678.789 ; 43 ; 4.849.474 ; 63 ; 73.124.428 ; 3 ; 6.500.000 ; 4 ; 71.000.000 ; 7 ; 77.500.000 ; 70 ; 150.624.428 ;
63;73.622.748;B&T CORRETORA DE CAMBIO LTDA.;B & T ASSOCIADOS CC LTDA. - PRUDENCIAL; 236 ; 5.549.213 ; 733 ; 21.515.127 ; 9.798 ; 24.505.985 ; 26.450 ; 32.467.832 ; 37.217 ; 84.038.157 ; 1.110 ; 36.859.931 ; 98 ; 12.928.984 ; 1.208 ; 49.788.915 ; 38.425 ; 133.827.072 ;
