Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Ago/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
25;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.148 ; 319.416.643 ; 3.462 ; 467.958.811 ; 2.762 ; 1.898.302.235 ; 3.924 ; 1.061.385.167 ; 11.296 ; 3.747.062.855 ; 433 ; 1.118.005.383 ; 572 ; 1.804.571.804 ; 1.005 ; 2.922.577.187 ; 12.301 ; 6.669.640.042 ;
26;71.027.866;BANCO BONSUCESSO S.A.; 75 ; 2.290.429 ; 91 ; 7.965.148 ; 315 ; 59.063.383 ; 1.426 ; 58.879.418 ; 1.907 ; 128.198.377 ; 1.932 ; 3.015.478.338 ; 4.126 ; 3.006.010.754 ; 6.058 ; 6.021.489.092 ; 7.965 ; 6.149.687.469 ;
27;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 504 ; 1.437.226.528 ; 122 ; 101.547.810 ; 615 ; 1.050.395.067 ; 1.574 ; 1.210.326.654 ; 2.815 ; 3.799.496.059 ; 133 ; 467.247.659 ; 185 ; 1.822.343.097 ; 318 ; 2.289.590.757 ; 3.133 ; 6.089.086.815 ;
28;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 43 ; 51.003.946 ; 189 ; 2.995.421.484 ; 232 ; 3.046.425.430 ; 175 ; 2.992.274.608 ; 20 ; 47.751.973 ; 195 ; 3.040.026.581 ; 427 ; 6.086.452.011 ;
29;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 550 ; 19.811.796 ; 6.654 ; 289.745.161 ; 3.567 ; 303.169.697 ; 12.478 ; 423.755.915 ; 23.249 ; 1.036.482.569 ; 10.052 ; 2.627.277.503 ; 65.278 ; 2.234.333.325 ; 75.330 ; 4.861.610.827 ; 98.579 ; 5.898.093.396 ;
30;62.232.889;BANCO DAYCOVAL S.A.; 2.056 ; 284.917.859 ; 2.772 ; 194.125.738 ; 3.853 ; 165.089.744 ; 12.346 ; 899.787.044 ; 21.027 ; 1.543.920.386 ; 3.348 ; 2.196.467.030 ; 10.381 ; 1.623.416.457 ; 13.729 ; 3.819.883.487 ; 34.756 ; 5.363.803.873 ;
31;68.900.810;BANCO RENDIMENTO S.A.; 90 ; 8.892.348 ; 495 ; 112.212.860 ; 125.313 ; 664.403.041 ; 11.119 ; 613.996.828 ; 137.017 ; 1.399.505.078 ; 3.007 ; 1.684.704.014 ; 67.565 ; 1.667.603.716 ; 70.572 ; 3.352.307.730 ; 207.589 ; 4.751.812.807 ;
32;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 721 ; 286.735.918 ; 467 ; 93.428.827 ; 335 ; 1.163.315.245 ; 1.327 ; 515.086.404 ; 2.850 ; 2.058.566.395 ; 167 ; 761.655.470 ; 231 ; 1.588.267.646 ; 398 ; 2.349.923.115 ; 3.248 ; 4.408.489.510 ;
33;78.632.767;BANCO OURINVEST S.A.; 354 ; 148.843.747 ; 2.753 ; 111.576.845 ; 2.292 ; 226.769.235 ; 5.772 ; 279.726.165 ; 11.171 ; 766.915.991 ; 2.494 ; 1.721.692.336 ; 53.637 ; 1.671.424.851 ; 56.131 ; 3.393.117.187 ; 67.302 ; 4.160.033.178 ;
34;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 409 ; 742.816.129 ;;; 653 ; 440.073.532 ; 528 ; 597.832.917 ; 1.590 ; 1.780.722.578 ; 40 ; 724.273.644 ; 33 ; 1.559.107.981 ; 73 ; 2.283.381.625 ; 1.663 ; 4.064.104.203 ;
35;13.059.145;BEXS BANCO DE CÂMBIO S/A; 276 ; 1.191.835.748 ; 819 ; 21.581.174 ; 1.305 ; 227.023.183 ; 3.241 ; 493.900.647 ; 5.641 ; 1.934.340.753 ; 1.639 ; 554.015.525 ; 2.039 ; 1.457.849.936 ; 3.678 ; 2.011.865.461 ; 9.319 ; 3.946.206.214 ;
36;28.195.667;BANCO ABC BRASIL S.A.; 504 ; 173.625.701 ; 1.010 ; 79.425.569 ; 199 ; 599.519.303 ; 1.910 ; 523.053.112 ; 3.623 ; 1.375.623.685 ; 309 ; 1.118.168.367 ; 359 ; 1.060.287.151 ; 668 ; 2.178.455.518 ; 4.291 ; 3.554.079.202 ;
37;61.146.577;BANCO BARCLAYS S.A.;;; 1 ; 39.012.310 ; 236 ; 723.395.261 ; 272 ; 1.038.824.938 ; 509 ; 1.801.232.509 ; 220 ; 1.022.669.123 ; 229 ; 676.589.761 ; 449 ; 1.699.258.884 ; 958 ; 3.500.491.393 ;
38;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 278 ; 269.075.718 ; 740 ; 89.202.947 ; 415 ; 557.449.758 ; 485 ; 190.249.242 ; 1.918 ; 1.105.977.665 ; 550 ; 625.699.751 ; 583 ; 1.175.112.943 ; 1.133 ; 1.800.812.694 ; 3.051 ; 2.906.790.360 ;
