Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Abr/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
51;74.451.022;TOV CORRETORA DE C∂MBIO, T÷TULOS E VALORES MOBILIµRIOS LTDA; 116 ; 4.000.831 ; 5.859 ; 286.499.086 ; 1.661 ; 9.341.948 ; 10.771 ; 141.559.619 ; 18.407 ; 441.401.484 ; 4.998 ; 427.495.820 ; 149 ; 12.605.576 ; 5.147,0 ; 440.101.395,8 ; 23.554 ; 881.502.880 ;
52;78.632.767;BANCO OURINVEST S.A.; 7 ; 39.052.695 ; 60 ; 5.551.730 ; 523 ; 11.861.232 ; 1.763 ; 35.488.898 ; 2.353 ; 91.954.555 ; 782 ; 384.677.887 ; 9.868 ; 393.338.230 ; 10.650,0 ; 778.016.116,9 ; 13.003 ; 869.970.672 ;
53;61.186.680;BANCO BMG S.A.; 1 ; 1.000.000 ;;;;; 37 ; 400.978.330 ; 38 ; 401.978.330 ; 20 ; 415.014.150 ; 2 ; 26.000.000 ; 22,0 ; 441.014.150,0 ; 60 ; 842.992.480 ;
54;33.923.798;BANCO MµXIMA S.A.; 138 ; 3.665.912 ; 1.275 ; 59.342.907 ; 214 ; 57.091.498 ; 1.046 ; 73.725.108 ; 2.673 ; 193.825.424 ; 994 ; 368.016.883 ; 4.778 ; 275.771.364 ; 5.772,0 ; 643.788.247,1 ; 8.445 ; 837.613.671 ;
55;02.992.317;TREVISO CORRETORA DE C∂MBIO S.A.; 24 ; 373.698 ; 384 ; 10.936.445 ; 1.568 ; 12.879.987 ; 7.782 ; 137.639.542 ; 9.758 ; 161.829.672 ; 6.983 ; 376.352.428 ; 1.249 ; 242.246.494 ; 8.232,0 ; 618.598.922,9 ; 17.990 ; 780.428.595 ;
56;03.609.817;BANCO CARGILL S.A.; 30 ; 281.732.873 ; 32 ; 26.365.268 ; 6 ; 12.278.961 ; 54 ; 35.683.416 ; 122 ; 356.060.517 ; 14 ; 56.925.000 ; 22 ; 277.500.000 ; 36,0 ; 334.425.000,0 ; 158 ; 690.485.517 ;
57;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 38 ; 787.988 ; 323 ; 4.643.562 ; 3.547 ; 37.454.942 ; 25.187 ; 336.764.380 ; 29.095 ; 379.650.872 ; 3.008 ; 303.735.748 ; 21 ; 566.686 ; 3.029,0 ; 304.302.433,3 ; 32.124 ; 683.953.306 ;
58;92.894.922;BANCO ORIGINAL S.A.; 23 ; 236.550.987 ; 14 ; 8.746.791 ;;; 32 ; 20.598.396 ; 69 ; 265.896.175 ; 9 ; 72.962.233 ; 16 ; 258.750.000 ; 25,0 ; 331.712.232,9 ; 94 ; 597.608.408 ;
59;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS; 21 ; 654.988 ; 3.202 ; 242.302.846 ; 1.061 ; 3.602.120 ; 14.068 ; 28.832.014 ; 18.352 ; 275.391.968 ; 2.988 ; 270.678.546 ; 91 ; 3.401.443 ; 3.079,0 ; 274.079.988,8 ; 21.431 ; 549.471.957 ;
60;16.944.141;BROKER BRASIL CORRETORA DE C∂MBIO LTDA.; 2 ; 6.717 ; 532 ; 18.592.588 ; 540 ; 2.021.127 ; 3.849 ; 219.257.086 ; 4.923 ; 239.877.517 ; 3.563 ; 256.725.577 ; 249 ; 20.928.168 ; 3.812,0 ; 277.653.745,1 ; 8.735 ; 517.531.262 ;
61;92.856.905;ADVANCED CORRETORA DE C∂MBIO LTDA; 355 ; 9.794.772 ; 4.390 ; 133.931.763 ; 2.355 ; 29.602.902 ; 9.363 ; 91.654.674 ; 16.463 ; 264.984.111 ; 2.155 ; 198.504.635 ; 200 ; 11.268.147 ; 2.355,0 ; 209.772.782,5 ; 18.818 ; 474.756.894 ;
62;58.616.418;BANCO FIBRA S.A.; 296 ; 64.163.600 ; 728 ; 50.796.816 ; 391 ; 12.117.967 ; 999 ; 85.604.632 ; 2.414 ; 212.683.016 ; 160 ; 183.534.681 ; 92 ; 54.050.060 ; 252,0 ; 237.584.740,4 ; 2.666 ; 450.267.756 ;
