Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Out/2015;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;
25;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 445 ; 94.537.552 ; 3.329 ; 221.399.382 ; 2.203 ; 455.944.508 ; 10.120 ; 625.624.369 ; 16.097 ; 1.397.505.812 ; 13.078 ; 5.923.464.821 ; 94.019 ; 5.635.549.733 ; 107.097 ; 11.559.014.554 ; 123.194 ; 12.956.520.366 ;
26;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.308 ; 652.726.323 ; 4.244 ; 1.097.133.719 ; 3.260 ; 2.519.133.952 ; 4.776 ; 936.262.710 ; 13.588 ; 5.205.256.704 ; 644 ; 1.637.299.840 ; 808 ; 2.774.971.095 ; 1.452 ; 4.412.270.934 ; 15.040 ; 9.617.527.638 ;
27;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 553 ; 1.859.113.713 ; 153 ; 165.200.102 ; 774 ; 1.749.560.220 ; 2.311 ; 1.849.980.498 ; 3.791 ; 5.623.854.533 ; 120 ; 1.300.256.203 ; 172 ; 2.639.542.449 ; 292 ; 3.939.798.652 ; 4.083 ; 9.563.653.185 ;
28;62.232.889;BANCO DAYCOVAL S.A.; 2.156 ; 383.609.766 ; 3.734 ; 248.783.326 ; 4.691 ; 557.730.914 ; 19.609 ; 1.179.244.371 ; 30.190 ; 2.369.368.376 ; 3.269 ; 3.205.012.251 ; 14.212 ; 2.708.994.359 ; 17.481 ; 5.914.006.610 ; 47.671 ; 8.283.374.986 ;
29;49.336.860;ING BANK N.V.; 313 ; 1.841.554.157 ; 115 ; 270.864.828 ; 97 ; 575.354.707 ; 662 ; 428.115.877 ; 1.187 ; 3.115.889.569 ; 120 ; 1.227.201.191 ; 174 ; 2.759.378.850 ; 294 ; 3.986.580.041 ; 1.481 ; 7.102.469.610 ;
30;71.027.866;BANCO BONSUCESSO S.A.; 20 ; 1.033.491 ; 7 ; 89.467 ; 406 ; 11.646.051 ; 788 ; 41.222.679 ; 1.221 ; 53.991.688 ; 2.574 ; 3.448.320.695 ; 2.245 ; 3.419.047.233 ; 4.819 ; 6.867.367.928 ; 6.040 ; 6.921.359.616 ;
31;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 338 ; 1.243.898.284 ;;; 481 ; 965.292.170 ; 647 ; 1.431.088.549 ; 1.466 ; 3.640.279.004 ; 38 ; 1.112.354.623 ; 34 ; 1.444.861.239 ; 72 ; 2.557.215.862 ; 1.538 ; 6.197.494.866 ;
32;68.900.810;BANCO RENDIMENTO S.A.; 81 ; 6.923.240 ; 539 ; 58.057.146 ; 64.046 ; 630.860.116 ; 16.573 ; 963.996.815 ; 81.239 ; 1.659.837.318 ; 3.494 ; 2.336.465.138 ; 66.240 ; 1.968.059.039 ; 69.734 ; 4.304.524.178 ; 150.973 ; 5.964.361.495 ;
33;28.195.667;BANCO ABC BRASIL S.A.; 479 ; 217.006.495 ; 1.019 ; 183.284.028 ; 302 ; 1.104.290.192 ; 2.847 ; 963.108.177 ; 4.647 ; 2.467.688.892 ; 268 ; 1.545.184.288 ; 289 ; 1.718.499.776 ; 557 ; 3.263.684.064 ; 5.204 ; 5.731.372.956 ;
34;13.059.145;BEXS BANCO DE CÂMBIO S/A; 279 ; 1.510.150.682 ; 1.238 ; 47.929.130 ; 1.687 ; 278.993.645 ; 4.856 ; 446.381.572 ; 8.060 ; 2.283.455.029 ; 2.327 ; 1.024.297.759 ; 2.162 ; 2.319.304.656 ; 4.489 ; 3.343.602.415 ; 12.549 ; 5.627.057.444 ;
