Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Março/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
24;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 45 ; 327.140.830 ; 133 ; 13.711.420 ; 228 ; 827.722.618 ; 281 ; 521.274.639 ; 687 ; 1.689.849.507 ; 190 ; 584.980.523 ; 204 ; 1.032.826.046 ; 394 ; 1.617.806.569 ; 1.081 ; 3.307.656.076 ;
25;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 146 ; 137.527.502 ; 1.105 ; 170.620.097 ; 1.479 ; 401.731.681 ; 3.443 ; 429.579.665 ; 6.173 ; 1.139.458.945 ; 113 ; 835.357.256 ; 129 ; 772.449.259 ; 242 ; 1.607.806.515 ; 6.415 ; 2.747.265.460 ;
26;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.;CONFIDENCE - PRUDENCIAL; 503 ; 99.602.491 ; 1.945 ; 89.770.200 ; 4.615 ; 475.130.986 ; 6.343 ; 725.055.707 ; 13.406 ; 1.389.559.384 ; 1.613 ; 643.243.392 ; 4.277 ; 388.985.959 ; 5.890 ; 1.032.229.351 ; 19.296 ; 2.421.788.735 ;
27;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 7 ; 75.661.712 ; 1 ; 8.640 ; 20 ; 32.577.809 ; 76 ; 40.518.982 ; 104 ; 148.767.143 ; 94 ; 1.023.337.798 ; 93 ; 1.087.529.396 ; 187 ; 2.110.867.194 ; 291 ; 2.259.634.337 ;
28;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 103 ; 53.863.596 ; 410 ; 60.407.610 ; 64 ; 83.773.879 ; 410 ; 89.931.088 ; 987 ; 287.976.173 ; 110 ; 1.083.827.862 ; 145 ; 853.938.300 ; 255 ; 1.937.766.162 ; 1.242 ; 2.225.742.335 ;
29;78.632.767;BANCO OURINVEST S.A.;OURINVEST - PRUDENCIAL; 528 ; 85.464.649 ; 3.277 ; 147.207.094 ; 35.710 ; 287.225.246 ; 39.096 ; 503.208.537 ; 78.611 ; 1.023.105.526 ; 940 ; 549.088.222 ; 8.237 ; 266.633.950 ; 9.177 ; 815.722.172 ; 87.788 ; 1.838.827.698 ;
30;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 410 ; 58.740.685 ; 1.927 ; 211.849.076 ; 49.604 ; 590.374.193 ; 36.542 ; 276.596.697 ; 88.483 ; 1.137.560.651 ; 422 ; 381.462.389 ; 1.806 ; 196.914.628 ; 2.228 ; 578.377.017 ; 90.711 ; 1.715.937.668 ;
31;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 97 ; 254.718.325 ; 229 ; 212.063.035 ; 2.258 ; 96.012.377 ; 441 ; 86.571.488 ; 3.025 ; 649.365.225 ; 54 ; 426.331.718 ; 57 ; 429.310.761 ; 111 ; 855.642.479 ; 3.136 ; 1.505.007.704 ;
32;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL; 166 ; 118.837.476 ; 609 ; 158.627.423 ; 305 ; 145.447.214 ; 507 ; 209.888.575 ; 1.587 ; 632.800.688 ; 79 ; 364.270.639 ; 70 ; 234.349.199 ; 149 ; 598.619.838 ; 1.736 ; 1.231.420.526 ;
33;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 5.595 ; 1.562.062 ; 13 ; 4.647 ; 997.926 ; 377.274.567 ; 1.095.797 ; 398.253.941 ; 2.099.331 ; 777.095.217 ; 886 ; 180.920.132 ; 884 ; 161.500.974 ; 1.770 ; 342.421.106 ; 2.101.101 ; 1.119.516.323 ;
