Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Dez/2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
27;28.195.667;BANCO ABC BRASIL S.A.; 1.244 ; 970.317.342 ; 4.266 ; 996.048.877 ; 1.788 ; 2.293.775.687 ; 5.941 ; 2.382.483.612 ; 13.239 ; 6.642.625.518 ; 1.419 ; 10.071.181.470 ; 2.543 ; 9.899.841.597 ; 3.962 ; 19.971.023.067 ; 17.201 ; 26.613.648.585 ;;
28;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 70 ; 817.714.390 ; 28 ; 5.524.996 ; 285 ; 1.087.353.112 ; 520 ; 826.306.340 ; 903 ; 2.736.898.838 ; 841 ; 10.676.345.086 ; 901 ; 11.775.669.024 ; 1.742 ; 22.452.014.110 ; 2.645 ; 25.188.912.948 ;;
29;62.232.889;BANCO DAYCOVAL S.A.; 3.317 ; 781.324.770 ; 11.448 ; 1.748.547.630 ; 575.973 ; 4.631.888.018 ; 551.784 ; 4.531.914.430 ; 1.142.522 ; 11.693.674.848 ; 4.868 ; 6.322.689.044 ; 20.353 ; 5.351.112.994 ; 25.221 ; 11.673.802.038 ; 1.167.743 ; 23.367.476.886 ;;
30;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 627 ; 893.117.691 ; 2.350 ; 473.765.029 ; 305 ; 5.141.363.322 ; 2.450 ; 5.306.625.711 ; 5.732 ; 11.814.871.753 ; 603 ; 3.865.628.808 ; 473 ; 4.071.632.086 ; 1.076 ; 7.937.260.894 ; 6.808 ; 19.752.132.647 ;;
31;58.160.789;BANCO SAFRA S.A.; 3.347 ; 1.595.330.045 ; 7.446 ; 1.383.546.646 ; 277.668 ; 3.913.945.835 ; 223.525 ; 3.177.041.750 ; 511.986 ; 10.069.864.276 ; 3.553 ; 3.622.174.507 ; 3.765 ; 4.925.039.066 ; 7.318 ; 8.547.213.573 ; 519.304 ; 18.617.077.849 ;;
32;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 39 ; 564.492.937 ; 67 ; 215.665.683 ; 223 ; 2.438.782.318 ; 1.448 ; 2.436.521.512 ; 1.777 ; 5.655.462.450 ; 224 ; 5.892.395.399 ; 284 ; 6.608.903.751 ; 508 ; 12.501.299.150 ; 2.285 ; 18.156.761.600 ;;
33;71.027.866;BANCO BS2 S.A.; 4.500 ; 1.191.749.020 ; 16.993 ; 3.265.242.241 ; 83.910 ; 1.892.287.051 ; 106.793 ; 1.891.129.508 ; 212.196 ; 8.240.407.820 ; 715 ; 4.181.632.688 ; 549 ; 2.109.028.591 ; 1.264 ; 6.290.661.279 ; 213.460 ; 14.531.069.099 ;;
34;15.114.366;BANCO BOCOM BBM S.A.; 280 ; 185.380.150 ; 432 ; 360.732.252 ; 458 ; 1.682.750.303 ; 2.790 ; 803.378.690 ; 3.960 ; 3.032.241.395 ; 529 ; 5.412.931.338 ; 636 ; 5.828.106.601 ; 1.165 ; 11.241.037.939 ; 5.125 ; 14.273.279.334 ;;
35;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA; 22.606 ; 5.951.300 ; 53 ; 11.799 ; 9.823.497 ; 4.134.329.896 ; 11.068.236 ; 4.562.460.809 ; 20.914.392 ; 8.702.753.804 ; 11.303 ; 2.637.179.384 ; 11.256 ; 2.211.997.432 ; 22.559 ; 4.849.176.816 ; 20.936.951 ; 13.551.930.620 ;;
36;68.900.810;BANCO RENDIMENTO S.A.; 153 ; 37.684.266 ; 2.121 ; 933.053.931 ; 969.982 ; 2.812.854.312 ; 45.283 ; 1.097.686.075 ; 1.017.539 ; 4.881.278.584 ; 15.816 ; 3.843.446.722 ; 79.583 ; 4.673.095.541 ; 95.399 ; 8.516.542.263 ; 1.112.938 ; 13.397.820.847 ;;
