Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Fev/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
26;61.146.577;BANCO BARCLAYS S.A.;;; 1 ; 39.012.310 ; 109 ; 148.006.742 ; 120 ; 314.331.113 ; 230 ; 501.350.164 ; 137 ; 497.954.460 ; 148 ; 368.715.965 ; 285 ; 866.670.426 ; 515 ; 1.368.020.590 ;
27;71.027.866;BANCO BONSUCESSO S.A.; 5 ; 142.459 ; 3 ; 72.468 ; 63 ; 12.380.586 ; 230 ; 10.366.515 ; 301 ; 22.962.028 ; 397 ; 663.774.209 ; 511 ; 668.537.064 ; 908 ; 1.332.311.273 ; 1.209 ; 1.355.273.301 ;
28;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 88 ; 247.037.190 ; 25 ; 30.374.049 ; 150 ; 236.412.072 ; 250 ; 226.579.876 ; 513 ; 740.403.188 ; 30 ; 33.652.624 ; 48 ; 573.739.033 ; 78 ; 607.391.658 ; 591 ; 1.347.794.845 ;
29;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 138 ; 3.757.312 ; 1.303 ; 64.710.637 ; 677 ; 78.827.301 ; 2.109 ; 68.191.475 ; 4.227 ; 215.486.724 ; 2.330 ; 533.637.680 ; 12.560 ; 480.339.988 ; 14.890 ; 1.013.977.668 ; 19.117 ; 1.229.464.392 ;
30;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 1 ; 3.863.000 ; 33 ; 568.840.000 ; 34 ; 572.703.000 ; 33 ; 568.840.000 ; 1 ; 3.863.000 ; 34 ; 572.703.000 ; 68 ; 1.145.406.000 ;
31;49.336.860;ING BANK N.V.; 45 ; 114.221.598 ; 21 ; 14.589.550 ; 14 ; 22.084.617 ; 137 ; 74.389.576 ; 217 ; 225.285.341 ; 34 ; 420.739.579 ; 34 ; 476.452.142 ; 68 ; 897.191.721 ; 285 ; 1.122.477.062 ;
32;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 235 ; 59.111.086 ; 782 ; 119.266.577 ; 630 ; 246.137.446 ; 854 ; 139.238.432 ; 2.501 ; 563.753.541 ; 98 ; 211.104.917 ; 97 ; 257.015.743 ; 195 ; 468.120.660 ; 2.696 ; 1.031.874.202 ;
33;28.195.667;BANCO ABC BRASIL S.A.; 87 ; 15.845.728 ; 213 ; 32.280.558 ; 41 ; 148.147.641 ; 469 ; 79.570.671 ; 810 ; 275.844.597 ; 91 ; 441.479.830 ; 99 ; 196.874.521 ; 190 ; 638.354.351 ; 1.000 ; 914.198.948 ;
34;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 35 ; 47.489.064 ; 111 ; 17.586.292 ; 55 ; 186.075.166 ; 74 ; 13.352.098 ; 275 ; 264.502.619 ; 92 ; 210.628.955 ; 100 ; 415.020.389 ; 192 ; 625.649.344 ; 467 ; 890.151.962 ;
35;13.059.145;BEXS BANCO DE CÂMBIO S/A; 54 ; 266.119.273 ; 260 ; 6.763.291 ; 312 ; 43.061.852 ; 781 ; 80.909.677 ; 1.407 ; 396.854.093 ; 400 ; 97.844.407 ; 443 ; 319.700.526 ; 843 ; 417.544.932 ; 2.250 ; 814.399.025 ;
36;68.900.810;BANCO RENDIMENTO S.A.; 22 ; 1.784.937 ; 78 ; 10.315.713 ; 12.525 ; 156.498.094 ; 2.112 ; 66.329.481 ; 14.737 ; 234.928.225 ; 546 ; 160.637.317 ; 10.522 ; 272.501.154 ; 11.068 ; 433.138.471 ; 25.805 ; 668.066.696 ;
37;78.632.767;BANCO OURINVEST S.A.; 35 ; 22.019.934 ; 312 ; 13.213.783 ; 473 ; 76.824.798 ; 894 ; 43.697.985 ; 1.714 ; 155.756.499 ; 578 ; 226.457.662 ; 7.253 ; 246.219.171 ; 7.831 ; 472.676.833 ; 9.545 ; 628.433.332 ;
38;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 1.537 ; 128.600.962 ; 1.780 ; 92.678.272 ; 676 ; 70.965.655 ; 1.949 ; 109.107.825 ; 5.942 ; 401.352.714 ; 48 ; 85.006.417 ; 66 ; 80.985.993 ; 114 ; 165.992.409 ; 6.056 ; 567.345.123 ;
39;10.690.848;BANCO DA CHINA BRASIL S.A.; 21 ; 219.633.497 ; 23 ; 5.118.739 ; 20 ; 8.632.891 ; 74 ; 3.684.099 ; 138 ; 237.069.227 ; 26 ; 7.175.779 ; 38 ; 226.682.842 ; 64 ; 233.858.621 ; 202 ; 470.927.847 ;
40;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 158 ; 49.812.249 ; 332 ; 156.848.106 ; 490 ; 206.660.355 ; 56 ; 151.166.461 ; 12 ; 43.918.601 ; 68 ; 195.085.062 ; 558 ; 401.745.417 ;
41;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 12 ; 65.764.358 ; 27 ; 53.046.963 ; 13 ; 127.041.796 ; 152 ; 9.291.585 ; 204 ; 255.144.703 ; 5 ; 9.058.896 ; 12 ; 124.060.140 ; 17 ; 133.119.035 ; 221 ; 388.263.738 ;
42;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 178 ; 42.459.880 ; 152 ; 31.640.856 ; 72 ; 102.541.492 ; 323 ; 11.986.411 ; 725 ; 188.628.638 ; 34 ; 28.790.822 ; 37 ; 129.771.564 ; 71 ; 158.562.386 ; 796 ; 347.191.024 ;
43;61.186.680;BANCO BMG S.A.; 18 ; 29.659.621 ; 4 ; 1.280.556 ; 3 ; 4.856.946 ; 29 ; 98.611.493 ; 54 ; 134.408.617 ; 12 ; 117.875.340 ; 20 ; 71.096.238 ; 32 ; 188.971.578 ; 86 ; 323.380.195 ;
44;33.923.798;BANCO MÁXIMA S.A.; 59 ; 757.052 ; 317 ; 9.638.696 ; 91 ; 5.827.493 ; 194 ; 3.917.818 ; 661 ; 20.141.058 ; 145 ; 146.266.989 ; 443 ; 138.252.848 ; 588 ; 284.519.837 ; 1.249 ; 304.660.895 ;
45;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 137 ; 3.622.443 ; 839 ; 19.806.740 ; 1.980 ; 24.314.716 ; 3.394 ; 59.704.591 ; 6.350 ; 107.448.490 ; 3.619 ; 121.661.771 ; 632 ; 69.895.941 ; 4.251 ; 191.557.712 ; 10.601 ; 299.006.202 ;
46;58.616.418;BANCO FIBRA S.A.; 248 ; 39.214.370 ; 486 ; 49.576.566 ; 52 ; 37.451.720 ; 231 ; 59.587.713 ; 1.017 ; 185.830.369 ; 63 ; 76.764.373 ; 50 ; 32.754.346 ; 113 ; 109.518.719 ; 1.130 ; 295.349.088 ;
47;15.357.060;BANCO WOORI BANK DO BRASIL S.A.;;; 87 ; 63.657.728 ; 47 ; 67.075.767 ; 771 ; 17.028.704 ; 905 ; 147.762.200 ; 75 ; 68.812.847 ; 5 ; 55.153.519 ; 80 ; 123.966.366 ; 985 ; 271.728.566 ;
48;03.609.817;BANCO CARGILL S.A.; 39 ; 97.826.933 ; 3 ; 165.841 ; 15 ; 10.010.635 ; 18 ; 14.165.857 ; 75 ; 122.169.266 ; 3 ; 3.250.000 ; 8 ; 97.000.000 ; 11 ; 100.250.000 ; 86 ; 222.419.266 ;
49;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 215 ; 5.487.328 ; 1.938 ; 41.863.766 ; 1.829 ; 14.773.863 ; 4.763 ; 36.911.525 ; 8.745 ; 99.036.482 ; 911 ; 70.599.465 ; 265 ; 11.995.313 ; 1.176 ; 82.594.779 ; 9.921 ; 181.631.261 ;
50;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 19 ; 266.960 ; 154 ; 2.171.841 ; 657 ; 7.040.766 ; 1.859 ; 21.060.854 ; 2.689 ; 30.540.422 ; 2.690 ; 79.873.297 ; 587 ; 63.782.508 ; 3.277 ; 143.655.805 ; 5.966 ; 174.196.226 ;
51;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 97 ; 741.778 ; 197 ; 1.005.850 ; 294 ; 1.747.628 ; 386 ; 82.762.022 ; 232 ; 82.501.527 ; 618 ; 165.263.549 ; 912 ; 167.011.177 ;
52;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 67 ; 1.245.591 ; 221 ; 2.708.113 ; 2.548 ; 21.379.292 ; 6.886 ; 74.862.585 ; 9.722 ; 100.195.582 ; 1.071 ; 55.755.124 ; 14 ; 704.064 ; 1.085 ; 56.459.188 ; 10.807 ; 156.654.770 ;
53;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 76 ; 19.265.777 ; 79 ; 6.529.604 ; 38 ; 24.652.696 ; 78 ; 1.556.791 ; 271 ; 52.004.868 ; 21 ; 32.197.060 ; 46 ; 66.714.735 ; 67 ; 98.911.795 ; 338 ; 150.916.663 ;
54;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 130 ; 2.621.481 ; 1.560 ; 38.001.351 ; 1.182 ; 19.379.428 ; 3.311 ; 31.421.149 ; 6.183 ; 91.423.408 ; 1.051 ; 52.416.169 ; 57 ; 5.127.160 ; 1.108 ; 57.543.329 ; 7.291 ; 148.966.738 ;
