Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Out/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
25;68.900.810;BANCO RENDIMENTO S.A.; 203 ; 28.719.751 ; 1.325 ; 256.215.369 ; 410.859 ; 1.518.124.156 ; 90.414 ; 1.699.385.165 ; 502.801 ; 3.502.444.442 ; 6.044 ; 3.771.691.273 ; 94.854 ; 3.382.469.244 ; 100.898 ; 7.154.160.517 ; 603.699 ; 10.656.604.959 
26;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.793 ; 794.852.169 ; 7.027 ; 1.563.923.367 ; 3.612 ; 1.567.062.790 ; 5.878 ; 1.063.469.975 ; 18.310 ; 4.989.308.300 ; 1.152 ; 2.503.092.327 ; 1.136 ; 2.244.257.466 ; 2.288 ; 4.747.349.793 ; 20.598 ; 9.736.658.093 
27;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 2.398 ; 103.853.888 ; 15.297 ; 624.479.477 ; 9.688 ; 1.039.323.848 ; 30.618 ; 1.288.365.895 ; 58.001 ; 3.056.023.108 ; 8.684 ; 3.599.997.815 ; 80.280 ; 2.845.808.611 ; 88.964 ; 6.445.806.425 ; 146.965 ; 9.501.829.533 
28;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 329 ; 783.483.718 ; 314 ; 87.357.457 ; 156 ; 1.868.865.196 ; 903 ; 925.532.442 ; 1.702 ; 3.665.238.813 ; 119 ; 1.848.420.192 ; 186 ; 3.329.691.397 ; 305 ; 5.178.111.589 ; 2.007 ; 8.843.350.402 
29;00.360.305;CAIXA ECONOMICA FEDERAL; 2.043 ; 667.028.042 ; 1.522 ; 45.976.227 ; 74.732 ; 1.388.562.979 ; 17.344 ; 2.281.115.210 ; 95.641 ; 4.382.682.458 ; 1.130 ; 1.968.296.597 ; 1.218 ; 1.615.111.058 ; 2.348 ; 3.583.407.655 ; 97.989 ; 7.966.090.112 
30;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 611 ; 1.116.197.534 ;;; 949 ; 899.253.078 ; 406 ; 2.593.000.687 ; 1.966 ; 4.608.451.299 ; 102 ; 2.093.829.211 ; 50 ; 943.708.191 ; 152 ; 3.037.537.402 ; 2.118 ; 7.645.988.701 
31;78.632.767;BANCO OURINVEST S.A.; 1.225 ; 142.407.992 ; 8.659 ; 484.473.477 ; 5.393 ; 759.636.231 ; 14.850 ; 1.244.157.439 ; 30.127 ; 2.630.675.139 ; 5.650 ; 2.904.961.628 ; 96.992 ; 2.095.990.508 ; 102.642 ; 5.000.952.136 ; 132.769 ; 7.631.627.275 
32;62.232.889;BANCO DAYCOVAL S.A.; 4.937 ; 717.802.253 ; 6.305 ; 397.157.065 ; 6.596 ; 256.581.834 ; 23.945 ; 902.692.510 ; 41.783 ; 2.274.233.662 ; 5.051 ; 2.463.715.464 ; 23.194 ; 2.200.437.421 ; 28.245 ; 4.664.152.885 ; 70.028 ; 6.938.386.548 
33;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 231 ; 1.299.488.907 ; 236 ; 1.919.343.173 ; 467 ; 3.218.832.080 ; 179 ; 1.896.592.475 ; 152 ; 1.276.164.906 ; 331 ; 3.172.757.381 ; 798 ; 6.391.589.461 
34;03.532.415;BANCO ABN AMRO S.A.; 119 ; 496.831.139 ;;; 439 ; 2.434.054.983 ; 529 ; 2.422.234.067 ; 1.087 ; 5.353.120.189 ; 44 ; 122.019.820 ; 125 ; 631.234.308 ; 169 ; 753.254.128 ; 1.256 ; 6.106.374.317 
35;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 568 ; 34.585.376 ; 5.565 ; 241.885.358 ; 2.102 ; 495.826.437 ; 350.146 ; 992.758.256 ; 358.381 ; 1.765.055.426 ; 2.202 ; 2.444.960.199 ; 3.552 ; 1.740.831.948 ; 5.754 ; 4.185.792.147 ; 364.135 ; 5.950.847.573 
36;13.059.145;BEXS BANCO DE CÂMBIO S/A; 235 ; 1.218.724.788 ; 482 ; 16.921.368 ; 1.539 ; 327.644.600 ; 4.140 ; 1.260.703.116 ; 6.396 ; 2.823.993.871 ; 1.599 ; 1.190.519.266 ; 809 ; 1.460.029.892 ; 2.408 ; 2.650.549.157 ; 8.804 ; 5.474.543.028 
37;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 5 ; 56.348.307 ; 94 ; 59.546.318 ; 98 ; 1.486.582.644 ; 147 ; 1.021.723.610 ; 344 ; 2.624.200.879 ; 110 ; 1.044.074.632 ; 106 ; 1.500.857.252 ; 216 ; 2.544.931.884 ; 560 ; 5.169.132.763 
38;71.027.866;BANCO BONSUCESSO S.A.; 506 ; 63.031.370 ; 2.211 ; 120.629.675 ; 5.152 ; 653.358.429 ; 9.556 ; 830.733.278 ; 17.425 ; 1.667.752.752 ; 4.829 ; 1.824.970.359 ; 24.370 ; 1.592.956.995 ; 29.199 ; 3.417.927.354 ; 46.624 ; 5.085.680.106 
39;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 652 ; 464.606.917 ; 1.671 ; 198.303.957 ; 136 ; 689.733.779 ; 2.341 ; 999.849.822 ; 4.800 ; 2.352.494.475 ; 338 ; 1.216.208.294 ; 264 ; 1.232.066.311 ; 602 ; 2.448.274.605 ; 5.402 ; 4.800.769.081 
40;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 527 ; 450.169.975 ; 1.822 ; 310.659.254 ; 919 ; 493.869.514 ; 1.063 ; 539.960.443 ; 4.331 ; 1.794.659.186 ; 859 ; 1.139.230.996 ; 871 ; 1.299.910.367 ; 1.730 ; 2.439.141.363 ; 6.061 ; 4.233.800.549 
41;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 1.678 ; 763.896.543 ; 2.563 ; 924.209.820 ; 4.241 ; 1.688.106.364 ; 219 ; 1.075.353.263 ; 539 ; 999.531.125 ; 758 ; 2.074.884.388 ; 4.999 ; 3.762.990.751 
42;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 8.196 ; 608.752.081 ; 11.474 ; 532.348.859 ; 4.207 ; 262.393.874 ; 12.747 ; 316.754.373 ; 36.624 ; 1.720.249.187 ; 451 ; 525.616.487 ; 365 ; 542.256.720 ; 816 ; 1.067.873.207 ; 37.440 ; 2.788.122.393 
43;10.690.848;BANCO DA CHINA BRASIL S.A.; 314 ; 152.485.532 ; 194 ; 137.152.296 ; 178 ; 825.292.550 ; 515 ; 340.668.259 ; 1.201 ; 1.455.598.637 ; 287 ; 356.019.502 ; 257 ; 856.129.797 ; 544 ; 1.212.149.299 ; 1.745 ; 2.667.747.936 
44;58.616.418;BANCO FIBRA S.A.; 801 ; 518.953.257 ; 4.388 ; 563.449.406 ; 641 ; 343.292.341 ; 2.585 ; 321.777.909 ; 8.415 ; 1.747.472.912 ; 244 ; 440.074.505 ; 186 ; 441.407.044 ; 430 ; 881.481.549 ; 8.845 ; 2.628.954.461 
45;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 1.653 ; 31.503.407 ; 6.919 ; 172.155.299 ; 15.474 ; 167.665.373 ; 28.853 ; 526.295.444 ; 52.899 ; 897.619.523 ; 28.671 ; 1.010.766.242 ; 2.109 ; 511.254.634 ; 30.780 ; 1.522.020.876 ; 83.679 ; 2.419.640.399 
46;15.114.366;BANCO BBM S/A; 260 ; 195.471.630 ; 67 ; 9.215.642 ; 213 ; 490.029.010 ; 971 ; 444.437.084 ; 1.511 ; 1.139.153.365 ; 72 ; 432.152.264 ; 99 ; 675.153.351 ; 171 ; 1.107.305.615 ; 1.682 ; 2.246.458.980 
47;30.723.886;BANCO MODAL S.A.; 105 ; 115.346.045 ; 808 ; 111.592.876 ; 879 ; 631.780.644 ; 1.143 ; 235.309.770 ; 2.935 ; 1.094.029.334 ; 130 ; 334.892.965 ; 132 ; 733.008.366 ; 262 ; 1.067.901.331 ; 3.197 ; 2.161.930.665 
48;03.609.817;BANCO CARGILL S.A.; 154 ; 346.158.031 ; 29 ; 23.913.138 ; 36 ; 63.555.064 ; 282 ; 92.340.483 ; 501 ; 525.966.715 ; 14 ; 529.000.000 ; 37 ; 1.040.750.000 ; 51 ; 1.569.750.000 ; 552 ; 2.095.716.715 
49;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;;;;; 31 ; 89.243.036 ; 132 ; 20.384.493 ; 163 ; 109.627.530 ; 53 ; 900.308.122 ; 53 ; 968.812.580 ; 106 ; 1.869.120.702 ; 269 ; 1.978.748.232 
50;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 922 ; 516.312.710 ; 1.008 ; 753.960.700 ; 1.930 ; 1.270.273.410 ; 333 ; 429.854.600 ; 195 ; 192.140.394 ; 528 ; 621.994.994 ; 2.458 ; 1.892.268.405 
51;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 90 ; 34.286.518 ; 861 ; 70.695.829 ; 1.177 ; 306.604.382 ; 2.393 ; 564.443.162 ; 4.521 ; 976.029.890 ; 1.305 ; 573.551.407 ; 455 ; 279.132.662 ; 1.760 ; 852.684.068 ; 6.281 ; 1.828.713.958 
52;92.894.922;BANCO ORIGINAL S.A.; 213 ; 880.354.340 ; 428 ; 65.881.100 ; 503 ; 12.029.078 ; 2.196 ; 67.628.736 ; 3.340 ; 1.025.893.254 ; 88 ; 35.445.058 ; 69 ; 727.209.374 ; 157 ; 762.654.432 ; 3.497 ; 1.788.547.686 
53;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 89 ; 919.681 ; 463 ; 8.681.165 ; 7.277 ; 377.659.615 ; 39.418 ; 756.572.075 ; 47.247 ; 1.143.832.536 ; 7.284 ; 485.827.146 ; 4.891 ; 88.709.851 ; 12.175 ; 574.536.997 ; 59.422 ; 1.718.369.534 
54;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 2.144 ; 51.009.359 ; 16.853 ; 313.117.112 ; 16.925 ; 145.210.369 ; 44.290 ; 361.058.252 ; 80.212 ; 870.395.092 ; 7.590 ; 609.862.871 ; 1.514 ; 132.250.382 ; 9.104 ; 742.113.252 ; 89.316 ; 1.612.508.344 
55;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 910 ; 1.317.445 ; 2.298 ; 11.295.612 ; 3.208 ; 12.613.057 ; 6.099 ; 676.781.444 ; 3.538 ; 666.782.696 ; 9.637 ; 1.343.564.140 ; 12.845 ; 1.356.177.197 
56;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 390 ; 8.328.854 ; 2.219 ; 28.352.057 ; 13.739 ; 88.608.535 ; 52.129 ; 613.067.808 ; 68.477 ; 738.357.254 ; 12.266 ; 545.419.762 ; 51 ; 1.168.243 ; 12.317 ; 546.588.005 ; 80.794 ; 1.284.945.258 
57;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 9.302 ; 90.029.387 ; 39.224 ; 594.989.447 ; 48.526 ; 685.018.834 ; 28.682 ; 511.605.125 ; 366 ; 7.533.613 ; 29.048 ; 519.138.738 ; 77.574 ; 1.204.157.572 
58;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 24 ; 1.712.465 ; 527 ; 138.273.046 ; 748 ; 406.848.336 ; 1.347 ; 381.279.826 ; 2.646 ; 928.113.674 ; 329 ; 176.503.942 ; 78 ; 65.489.000 ; 407 ; 241.992.942 ; 3.053 ; 1.170.106.616 
59;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 1.054 ; 19.253.898 ; 12.743 ; 268.274.953 ; 6.731 ; 87.293.676 ; 23.101 ; 265.138.668 ; 43.629 ; 639.961.196 ; 14.446 ; 462.613.705 ; 188 ; 35.580.124 ; 14.634 ; 498.193.829 ; 58.263 ; 1.138.155.025 
60;59.118.133;BANCO LUSO BRASILEIRO S.A.; 671 ; 101.671.671 ; 3.224 ; 286.226.150 ; 596 ; 101.231.891 ; 1.649 ; 87.452.511 ; 6.140 ; 576.582.223 ; 2.851 ; 358.043.689 ; 947 ; 186.617.775 ; 3.798 ; 544.661.464 ; 9.938 ; 1.121.243.688 
61;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 5.744 ; 295.672.902 ; 3.936 ; 113.016.908 ; 2.674 ; 78.646.394 ; 2.349 ; 228.837.799 ; 14.703 ; 716.174.003 ; 174 ; 158.844.446 ; 163 ; 202.397.252 ; 337 ; 361.241.699 ; 15.040 ; 1.077.415.701 
62;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 513 ; 288.479.984 ; 694 ; 50.950.990 ; 577 ; 28.975.901 ; 658 ; 25.687.730 ; 2.442 ; 394.094.605 ; 393 ; 179.270.019 ; 388 ; 415.142.056 ; 781 ; 594.412.075 ; 3.223 ; 988.506.680 
63;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 71 ; 255.760.036 ; 38 ; 16.076.482 ; 84 ; 182.959.698 ; 154 ; 22.270.907 ; 347 ; 477.067.122 ; 35 ; 44.378.324 ; 248 ; 443.346.850 ; 283 ; 487.725.174 ; 630 ; 964.792.297 
64;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 244 ; 3.573.964 ; 2.982 ; 54.577.731 ; 5.438 ; 58.942.210 ; 18.835 ; 218.139.309 ; 27.499 ; 335.233.213 ; 21.431 ; 416.437.499 ; 2.996 ; 206.245.466 ; 24.427 ; 622.682.965 ; 51.926 ; 957.916.178 
65;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 62 ; 16.147.295 ; 41 ; 7.570.047 ; 15.396 ; 418.988.149 ; 1.003 ; 15.474.319 ; 16.502 ; 458.179.811 ; 256 ; 19.307.988 ; 672 ; 431.507.434 ; 928 ; 450.815.421 ; 17.430 ; 908.995.232 
66;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 1.585 ; 34.427.696 ; 9.802 ; 262.798.823 ; 4.227 ; 52.985.368 ; 8.310 ; 101.914.771 ; 23.924 ; 452.126.657 ; 4.299 ; 303.263.362 ; 240 ; 25.759.020 ; 4.539 ; 329.022.381 ; 28.463 ; 781.149.039 
67;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 60 ; 92.302.605 ; 255 ; 38.675.418 ; 202 ; 98.506.415 ; 367 ; 206.216.706 ; 884 ; 435.701.144 ; 163 ; 195.347.078 ; 105 ; 130.639.559 ; 268 ; 325.986.638 ; 1.152 ; 761.687.782 
68;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; 249 ; 41.148.378 ; 208 ; 4.446.338 ; 70 ; 11.565.528 ; 444 ; 309.737.584 ; 971 ; 366.897.828 ; 60 ; 324.726.552 ; 25 ; 59.278.246 ; 85 ; 384.004.798 ; 1.056 ; 750.902.626 
69;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 25 ; 28.338.033 ; 103 ; 30.261.562 ; 93 ; 78.093.687 ; 746 ; 110.448.554 ; 967 ; 247.141.837 ; 117 ; 249.079.014 ; 118 ; 242.083.226 ; 235 ; 491.162.240 ; 1.202 ; 738.304.077 
70;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 124 ; 164.214.040 ; 102 ; 102.129.767 ; 14 ; 19.334.716 ; 698 ; 98.155.878 ; 938 ; 383.834.401 ; 74 ; 153.275.502 ; 35 ; 144.610.183 ; 109 ; 297.885.685 ; 1.047 ; 681.720.086 
71;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 409 ; 9.450.350 ; 9.176 ; 221.693.792 ; 3.932 ; 37.658.936 ; 9.870 ; 82.386.507 ; 23.387 ; 351.189.585 ; 13.493 ; 287.654.386 ; 1.649 ; 30.757.812 ; 15.142 ; 318.412.198 ; 38.529 ; 669.601.783 
72;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 781 ; 15.531.074 ; 11.080 ; 241.900.619 ; 2.697 ; 53.980.581 ; 9.924 ; 83.495.603 ; 24.482 ; 394.907.877 ; 4.083 ; 261.054.502 ; 58 ; 5.178.243 ; 4.141 ; 266.232.745 ; 28.623 ; 661.140.622 
