Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Abr/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
40;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 3 ; 1.348.307 ;;; 33 ; 487.823.830 ; 57 ; 174.287.250 ; 93 ; 663.459.387 ; 21 ; 330.836.820 ; 25 ; 647.807.069 ; 46 ; 978.643.890 ; 139 ; 1.642.103.276 
41;10.690.848;BANCO DA CHINA BRASIL S.A.; 59 ; 52.473.905 ; 58 ; 44.044.933 ; 68 ; 412.681.609 ; 151 ; 92.771.767 ; 336 ; 601.972.215 ; 82 ; 192.650.503 ; 124 ; 521.022.734 ; 206 ; 713.673.236 ; 542 ; 1.315.645.451 
42;15.114.366;BANCO BBM S/A; 108 ; 87.491.673 ; 30 ; 2.296.494 ; 78 ; 243.958.899 ; 373 ; 227.635.307 ; 589 ; 561.382.373 ; 44 ; 314.230.993 ; 45 ; 329.550.437 ; 89 ; 643.781.430 ; 678 ; 1.205.163.803 
43;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 234 ; 139.053.837 ; 648 ; 68.602.441 ; 54 ; 78.413.596 ; 944 ; 221.850.741 ; 1.880 ; 507.920.615 ; 133 ; 326.401.467 ; 84 ; 328.014.236 ; 217 ; 654.415.703 ; 2.097 ; 1.162.336.317 
44;30.723.886;BANCO MODAL S.A.; 20 ; 29.523.770 ; 234 ; 23.697.755 ; 327 ; 389.544.827 ; 400 ; 117.137.273 ; 981 ; 559.903.625 ; 34 ; 80.272.704 ; 46 ; 361.306.818 ; 80 ; 441.579.522 ; 1.061 ; 1.001.483.147 
45;58.616.418;BANCO FIBRA S.A.; 291 ; 137.865.420 ; 1.839 ; 216.121.362 ; 249 ; 108.617.181 ; 1.176 ; 71.436.963 ; 3.555 ; 534.040.927 ; 111 ; 222.249.267 ; 51 ; 181.018.066 ; 162 ; 403.267.333 ; 3.717 ; 937.308.260 
46;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 567 ; 12.783.639 ; 2.620 ; 63.837.884 ; 5.643 ; 64.782.130 ; 10.661 ; 211.434.333 ; 19.491 ; 352.837.986 ; 10.491 ; 388.661.476 ; 724 ; 190.785.635 ; 11.215 ; 579.447.110 ; 30.706 ; 932.285.096 
47;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 3.154 ; 237.275.283 ; 4.288 ; 198.002.306 ; 1.532 ; 67.913.584 ; 4.934 ; 113.430.651 ; 13.908 ; 616.621.825 ; 152 ; 153.142.518 ; 134 ; 142.350.474 ; 286 ; 295.492.993 ; 14.194 ; 912.114.818 
48;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 10 ; 546.876 ; 203 ; 59.303.051 ; 306 ; 344.345.184 ; 554 ; 318.697.978 ; 1.073 ; 722.893.090 ; 125 ; 74.876.033 ; 29 ; 41.656.000 ; 154 ; 116.532.033 ; 1.227 ; 839.425.123 
49;03.609.817;BANCO CARGILL S.A.; 61 ; 103.702.224 ; 18 ; 18.045.729 ; 7 ; 3.711.062 ; 109 ; 52.461.154 ; 195 ; 177.920.169 ; 8 ; 229.000.000 ; 12 ; 414.500.000 ; 20 ; 643.500.000 ; 215 ; 821.420.169 
50;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 41 ; 420.633 ; 221 ; 5.239.310 ; 2.733 ; 142.124.630 ; 10.608 ; 347.444.513 ; 13.603 ; 495.229.086 ; 3.887 ; 234.528.644 ; 1.240 ; 17.447.689 ; 5.127 ; 251.976.333 ; 18.730 ; 747.205.419 
51;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;;;;; 18 ; 5.209.141 ; 65 ; 4.799.784 ; 83 ; 10.008.924 ; 20 ; 362.036.833 ; 20 ; 362.046.670 ; 40 ; 724.083.503 ; 123 ; 734.092.427 
52;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 834 ; 19.512.115 ; 6.522 ; 129.254.118 ; 6.309 ; 56.904.632 ; 16.487 ; 151.890.044 ; 30.152 ; 357.560.909 ; 2.765 ; 246.679.800 ; 464 ; 43.296.331 ; 3.229 ; 289.976.131 ; 33.381 ; 647.537.040 
53;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 28 ; 14.388.679 ; 353 ; 12.269.819 ; 428 ; 170.732.056 ; 616 ; 96.509.499 ; 1.425 ; 293.900.054 ; 468 ; 93.874.364 ; 229 ; 170.202.277 ; 697 ; 264.076.641 ; 2.122 ; 557.976.695 
54;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 354 ; 136.823.390 ; 394 ; 229.155.234 ; 748 ; 365.978.624 ; 126 ; 133.514.000 ; 69 ; 41.168.000 ; 195 ; 174.682.000 ; 943 ; 540.660.624 
