Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em DEZEMBRO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
27;03.532.415;BANCO ABN AMRO S.A.; 6 ; 18.501.267 ;;; 57 ; 479.145.702 ; 74 ; 481.497.513 ; 137 ; 979.144.481 ; 5 ; 57.475.769 ; 10 ; 80.301.267 ; 15 ; 137.777.036 ; 152 ; 1.116.921.517 
28;68.900.810;BANCO RENDIMENTO S.A.; 21 ; 10.971.349 ; 130 ; 32.024.859 ; 33.789 ; 147.532.954 ; 12.554 ; 166.431.246 ; 46.494 ; 356.960.408 ; 623 ; 402.458.259 ; 9.268 ; 336.341.520 ; 9.891 ; 738.799.779 ; 56.385 ; 1.095.760.187 
29;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 16 ; 187.575.735 ; 19 ; 319.516.606 ; 35 ; 507.092.341 ; 18 ; 324.640.485 ; 10 ; 193.387.747 ; 28 ; 518.028.232 ; 63 ; 1.025.120.573 
30;00.360.305;CAIXA ECONOMICA FEDERAL; 146 ; 73.503.734 ; 94 ; 2.600.143 ; 7.593 ; 221.590.626 ; 1.638 ; 145.623.258 ; 9.471 ; 443.317.761 ; 158 ; 137.014.352 ; 167 ; 284.037.204 ; 325 ; 421.051.556 ; 9.796 ; 864.369.317 
31;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 243 ; 8.267.476 ; 1.423 ; 59.203.462 ; 1.036 ; 67.555.731 ; 2.675 ; 98.455.680 ; 5.377 ; 233.482.349 ; 672 ; 319.206.209 ; 6.318 ; 254.585.879 ; 6.990 ; 573.792.088 ; 12.367 ; 807.274.437 
32;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 62 ; 103.321.808 ;;; 93 ; 87.708.581 ; 53 ; 392.573.867 ; 208 ; 583.604.255 ; 6 ; 32.894.616 ; 3 ; 75.756.522 ; 9 ; 108.651.138 ; 217 ; 692.255.393 
33;78.632.767;BANCO OURINVEST S.A.; 148 ; 8.201.131 ; 1.314 ; 79.333.814 ; 696 ; 97.041.132 ; 1.740 ; 104.609.396 ; 3.898 ; 289.185.473 ; 617 ; 236.978.640 ; 8.731 ; 162.609.305 ; 9.348 ; 399.587.944 ; 13.246 ; 688.773.418 
34;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 52 ; 3.203.057 ; 576 ; 24.346.421 ; 309 ; 73.955.045 ; 49.994 ; 119.656.049 ; 50.931 ; 221.160.573 ; 191 ; 229.326.846 ; 349 ; 160.615.410 ; 540 ; 389.942.256 ; 51.471 ; 611.102.829 
35;10.690.848;BANCO DA CHINA BRASIL S.A.; 16 ; 120.494.299 ; 25 ; 77.914.586 ; 39 ; 40.194.990 ; 56 ; 70.798.723 ; 136 ; 309.402.599 ; 34 ; 124.676.134 ; 28 ; 136.606.686 ; 62 ; 261.282.821 ; 198 ; 570.685.420 
36;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 54 ; 47.594.180 ; 170 ; 33.800.937 ; 114 ; 89.593.336 ; 120 ; 65.687.554 ; 458 ; 236.676.008 ; 83 ; 120.820.511 ; 88 ; 178.877.761 ; 171 ; 299.698.272 ; 629 ; 536.374.280 
37;71.027.866;BANCO BS2 S.A.; 74 ; 13.734.810 ; 321 ; 26.914.696 ; 759 ; 87.870.229 ; 1.146 ; 83.995.655 ; 2.300 ; 212.515.390 ; 173 ; 122.643.361 ; 2.189 ; 115.140.095 ; 2.362 ; 237.783.457 ; 4.662 ; 450.298.846 
