Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MAIO / 2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
26;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 221 ; 41.953.940 ; 432 ; 69.198.238 ; 5.469 ; 505.738.203 ; 8.635 ; 767.987.094 ; 14.757 ; 1.384.877.474 ; 1.603 ; 596.924.740 ; 5.264 ; 291.460.733 ; 6.867 ; 888.385.473 ; 21.624 ; 2.273.262.947 ;;
27;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 79 ; 110.477.076 ; 229 ; 50.422.476 ; 78 ; 140.669.014 ; 211 ; 299.312.005 ; 597 ; 600.880.571 ; 96 ; 838.806.282 ; 113 ; 784.249.675 ; 209 ; 1.623.055.956 ; 806 ; 2.223.936.528 ;;
28;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 5 ; 13.500.000 ; 6 ; 899.735 ; 33 ; 103.686.691 ; 41 ; 28.994.893 ; 85 ; 147.081.319 ; 64 ; 878.307.119 ; 72 ; 964.998.660 ; 136 ; 1.843.305.780 ; 221 ; 1.990.387.099 ;;
29;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 5 ; 178.774.554 ; 4 ; 37.545.357 ; 31 ; 506.352.537 ; 115 ; 278.341.331 ; 155 ; 1.001.013.779 ; 2 ; 1.357.110 ; 54 ; 885.607.117 ; 56 ; 886.964.227 ; 211 ; 1.887.978.006 ;;
30;28.195.667;BANCO ABC BRASIL S.A.; 140 ; 126.111.816 ; 460 ; 143.978.854 ; 249 ; 153.135.841 ; 545 ; 227.924.366 ; 1.394 ; 651.150.877 ; 134 ; 566.528.633 ; 239 ; 552.436.231 ; 373 ; 1.118.964.864 ; 1.767 ; 1.770.115.741 ;;
31;62.232.889;BANCO DAYCOVAL S.A.; 233 ; 69.002.098 ; 573 ; 141.496.769 ; 49.055 ; 320.945.840 ; 48.923 ; 170.806.079 ; 98.784 ; 702.250.786 ; 458 ; 285.532.777 ; 1.756 ; 359.421.851 ; 2.214 ; 644.954.628 ; 100.998 ; 1.347.205.414 ;;
32;58.616.418;BANCO FIBRA S.A.; 75 ; 51.849.636 ; 393 ; 144.773.451 ; 49 ; 64.608.798 ; 483 ; 72.931.099 ; 1.000 ; 334.162.985 ; 106 ; 530.586.194 ; 93 ; 432.624.858 ; 199 ; 963.211.052 ; 1.199 ; 1.297.374.037 ;;
33;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION; -   ; -   ; -   ; -   ; 19 ; 7.916.808 ; 62 ; 586.040.933 ; 81 ; 593.957.742 ; 29 ; 580.796.191 ; 6 ; 5.634.317 ; 35 ; 586.430.508 ; 116 ; 1.180.388.250 ;;
34;15.114.366;BANCO BOCOM BBM S.A.; 10 ; 10.124.298 ; 19 ; 16.262.048 ; 40 ; 150.124.195 ; 221 ; 59.824.029 ; 290 ; 236.334.569 ; 28 ; 403.473.699 ; 47 ; 518.157.496 ; 75 ; 921.631.195 ; 365 ; 1.157.965.765 ;;
35;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA; -   ; -   ; -   ; -   ; 762.019 ; 360.264.031 ; 934.805 ; 386.799.642 ; 1.696.824 ; 747.063.673 ; 1.026 ; 218.705.149 ; 1.026 ; 192.169.838 ; 2.052 ; 410.874.987 ; 1.698.876 ; 1.157.938.660 ;;
36;68.900.810;BANCO RENDIMENTO S.A.; 11 ; 2.606.319 ; 152 ; 103.843.000 ; 66.673 ; 198.575.750 ; 3.804 ; 74.303.108 ; 70.640 ; 379.328.177 ; 1.498 ; 348.606.969 ; 7.618 ; 356.030.510 ; 9.116 ; 704.637.479 ; 79.756 ; 1.083.965.656 ;;
37;58.160.789;BANCO SAFRA S.A.; 465 ; 183.159.284 ; 495 ; 134.039.971 ; 21.005 ; 183.026.583 ; 19.769 ; 196.220.087 ; 41.734 ; 696.445.926 ; 362 ; 171.742.491 ; 365 ; 203.186.887 ; 727 ; 374.929.378 ; 42.461 ; 1.071.375.304 ;;
38;10.690.848;BANCO DA CHINA BRASIL S.A.; 40 ; 218.406.665 ; 17 ; 57.403.298 ; 33 ; 35.710.486 ; 104 ; 13.798.836 ; 194 ; 325.319.285 ; 56 ; 210.816.259 ; 80 ; 393.820.718 ; 136 ; 604.636.977 ; 330 ; 929.956.262 ;;
39;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 87 ; 106.418.320 ; 181 ; 152.932.824 ; 474 ; 200.133.600 ; 1.011 ; 58.812.035 ; 1.753 ; 518.296.779 ; 68 ; 130.022.649 ; 73 ; 236.008.761 ; 141 ; 366.031.410 ; 1.894 ; 884.328.189 ;;
40;13.059.145;BEXS BANCO DE CÂMBIO S/A; 45 ; 161.022.899 ; 71 ; 13.062.138 ; 11.897 ; 59.034.705 ; 84.238 ; 202.318.000 ; 96.251 ; 435.437.741 ; 117 ; 151.839.704 ; 87 ; 153.550.651 ; 204 ; 305.390.355 ; 96.455 ; 740.828.096 ;;
41;71.027.866;BANCO BS2 S.A.; 432 ; 92.339.885 ; 1.408 ; 100.509.368 ; 7.795 ; 144.423.175 ; 9.442 ; 127.623.421 ; 19.077 ; 464.895.849 ; 42 ; 111.794.258 ; 40 ; 98.177.487 ; 82 ; 209.971.744 ; 19.159 ; 674.867.593 ;;
42;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 5 ; 102.118.183 ; 2 ; 559.068 ; 4 ; 7.252.297 ; 17 ; 279.416 ; 28 ; 110.208.965 ; 9 ; 161.881.705 ; 20 ; 262.423.121 ; 29 ; 424.304.826 ; 57 ; 534.513.791 ;;
43;00.997.185;BANCO B3 S.A.; -   ; -   ; -   ; -   ; 228 ; 191.612.659 ; 180 ; 204.570.712 ; 408 ; 396.183.370 ; 28 ; 57.408.440 ; 48 ; 44.498.427 ; 76 ; 101.906.867 ; 484 ; 498.090.237 ;;
44;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; -   ; -   ; 1 ; 1.995.411 ; 87 ; 223.132.500 ; 150 ; 109.844.659 ; 238 ; 334.972.569 ; 8 ; 17.143.086 ; 12 ; 137.191.152 ; 20 ; 154.334.239 ; 258 ; 489.306.807 ;;
45;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 4 ; 23.306.285 ; 9 ; 698.376 ; 24 ; 65.569.291 ; 32 ; 162.524.353 ; 69 ; 252.098.304 ; 4 ; 101.330.240 ; 9 ; 26.973.205 ; 13 ; 128.303.445 ; 82 ; 380.401.749 ;;
46;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 53 ; 6.933.080 ; 56 ; 4.358.663 ; 4.243 ; 163.606.185 ; 236 ; 18.498.407 ; 4.588 ; 193.396.336 ; 79 ; 18.362.456 ; 197 ; 166.043.566 ; 276 ; 184.406.022 ; 4.864 ; 377.802.358 ;;
47;62.144.175;BANCO PINE S.A.; 34 ; 35.045.223 ; 151 ; 90.862.122 ; 22 ; 58.900.046 ; 239 ; 49.684.288 ; 446 ; 234.491.680 ; 16 ; 100.428.270 ; 11 ; 41.095.870 ; 27 ; 141.524.140 ; 473 ; 376.015.820 ;;
48;07.656.500;BANCO KDB DO BRASIL S.A.; -   ; -   ; 3 ; 644.054 ; 108 ; 77.714.620 ; 365 ; 110.613.256 ; 476 ; 188.971.931 ; 41 ; 84.756.676 ; 35 ; 71.232.916 ; 76 ; 155.989.593 ; 552 ; 344.961.524 ;;
49;71.677.850;FRENTE CORRETORA DE CÂMBIO S.A.; -   ; -   ; 3 ; 143.397 ; 811 ; 115.913.225 ; 4.104 ; 146.638.731 ; 4.918 ; 262.695.352 ; 558 ; 45.795.026 ; 43 ; 15.205.256 ; 601 ; 61.000.282 ; 5.519 ; 323.695.634 ;;
50;33.923.798;BANCO MASTER S/A; 71 ; 75.715.761 ; 166 ; 10.462.933 ; 3.193 ; 36.408.706 ; 362 ; 45.055.584 ; 3.792 ; 167.642.984 ; 12 ; 46.895.404 ; 25 ; 99.719.732 ; 37 ; 146.615.136 ; 3.829 ; 314.258.120 ;;
51;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 205 ; 6.029.643 ; 1.679 ; 38.652.463 ; 2.224 ; 58.307.241 ; 4.812 ; 73.049.692 ; 8.920 ; 176.039.040 ; 515 ; 78.933.673 ; 130 ; 31.644.629 ; 645 ; 110.578.302 ; 9.565 ; 286.617.341 ;;
