Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em AGOSTO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
44;33.923.798;BANCO MÁXIMA S.A.; 44 ; 649.136 ; 308 ; 14.906.648 ; 61 ; 3.615.674 ; 149 ; 2.352.086 ; 562 ; 21.523.544 ; 266 ; 87.847.523 ; 1.460 ; 75.186.546 ; 1.726 ; 163.034.069 ; 2.288 ; 184.557.613 ;;;;
45;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.;;; 9 ; 72.062.695 ; 14 ; 69.196.116 ; 11 ; 4.111.450 ; 34 ; 145.370.261 ; 6 ; 18.895.000 ; 8 ; 10.380.000 ; 14 ; 29.275.000 ; 48 ; 174.645.261 ;;;;
46;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 224 ; 194.175 ; 1.849 ; 5.897.883 ; 2.073 ; 6.092.059 ; 565 ; 72.973.730 ; 86 ; 67.779.890 ; 651 ; 140.753.620 ; 2.724 ; 146.845.678 ;;;;
47;92.894.922;BANCO ORIGINAL S.A.; 8 ; 8.507.956 ; 138 ; 27.117.621 ; 7 ; 268.099 ; 118 ; 33.517.724 ; 271 ; 69.411.401 ; 7 ; 5.683.629 ; 4 ; 65.013.757 ; 11 ; 70.697.385 ; 282 ; 140.108.786 ;;;;
48;59.118.133;BANCO LUSO BRASILEIRO S.A.; 21 ; 4.997.818 ; 710 ; 54.479.034 ; 26 ; 1.638.738 ; 166 ; 5.478.241 ; 923 ; 66.593.830 ; 394 ; 62.061.130 ; 42 ; 8.505.386 ; 436 ; 70.566.515 ; 1.359 ; 137.160.345 ;;;;
49;72.760.713;RENOVA S.A. CORRETORA DE CÂMBIO; 7 ; 272.674 ; 63 ; 1.154.000 ; 233 ; 1.745.680 ; 893 ; 7.279.168 ; 1.196 ; 10.451.521 ; 864 ; 65.210.485 ; 110 ; 58.848.172 ; 974 ; 124.058.657 ; 2.170 ; 134.510.179 ;;;;
50;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 18 ; 542.155 ; 102 ; 1.555.137 ; 355 ; 3.040.596 ; 1.124 ; 16.386.022 ; 1.599 ; 21.523.911 ; 1.660 ; 62.752.361 ; 328 ; 48.425.760 ; 1.988 ; 111.178.121 ; 3.587 ; 132.702.032 ;;;;
51;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 33 ; 671.884 ; 127 ; 1.402.651 ; 1.200 ; 9.943.758 ; 5.528 ; 61.098.726 ; 6.888 ; 73.117.020 ; 785 ; 52.280.181 ; 7 ; 270.134 ; 792 ; 52.550.315 ; 7.680 ; 125.667.334 ;;;;
52;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 1 ; 5.220 ; 829 ; 9.897.440 ; 2.366 ; 46.582.400 ; 3.196 ; 56.485.059 ; 2.001 ; 49.844.877 ; 116 ; 13.256.402 ; 2.117 ; 63.101.279 ; 5.313 ; 119.586.338 ;;;;
53;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 110 ; 44.272.720 ; 107 ; 10.022.557 ; 37 ; 698.543 ; 197 ; 8.741.586 ; 451 ; 63.735.406 ; 25 ; 14.127.212 ; 30 ; 39.621.523 ; 55 ; 53.748.736 ; 506 ; 117.484.142 ;;;;
