Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Fevereiro/2025;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
24;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 290 ; 58.441.237 ; 1.302 ; 29.833.737 ; 66.793 ; 330.596.363 ; 158.537 ; 1.868.168.921 ; 226.922 ; 2.287.040.258 ; 1.585 ; 2.114.402.288 ; 6.509 ; 610.276.947 ; 8.094 ; 2.724.679.235 ; 235.016 ; 5.011.719.493 ;
25;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 297 ; 157.467.213 ; 1.589 ; 277.697.491 ; 4.415 ; 948.230.187 ; 10.658 ; 889.293.718 ; 16.959 ; 2.272.688.609 ; 160 ; 1.252.889.700 ; 258 ; 1.209.944.141 ; 418 ; 2.462.833.841 ; 17.377 ; 4.735.522.450 ;
26;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 144 ; 305.461.060 ; 412 ; 143.279.935 ; 201 ; 156.198.818 ; 353 ; 149.845.115 ; 1.110 ; 754.784.928 ; 283 ; 1.859.408.230 ; 290 ; 1.863.412.684 ; 573 ; 3.722.820.914 ; 1.683 ; 4.477.605.842 ;
27;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 736 ; 117.654.608 ; 3.960 ; 715.015.466 ; 9.771 ; 264.554.941 ; 16.512 ; 660.197.722 ; 30.979 ; 1.757.422.737 ; 325 ; 1.785.102.321 ; 292 ; 773.953.495 ; 617 ; 2.559.055.816 ; 31.596 ; 4.316.478.553 ;
28;78.632.767;OURIBANK S.A. BANCO MÚLTIPLO;OURIBANK - PRUDENCIAL; 1.432 ; 145.756.307 ; 8.166 ; 418.532.611 ; 137.003 ; 449.356.794 ; 902.891 ; 1.023.577.243 ; 1.049.492 ; 2.037.222.955 ; 1.987 ; 1.412.161.911 ; 13.725 ; 499.007.304 ; 15.712 ; 1.911.169.215 ; 1.065.204 ; 3.948.392.170 ;
29;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 123 ; 118.471.395 ; 923 ; 355.874.741 ; 91 ; 64.129.615 ; 246 ; 110.826.862 ; 1.383 ; 649.302.613 ; 211 ; 1.739.164.427 ; 214 ; 1.379.640.527 ; 425 ; 3.118.804.954 ; 1.808 ; 3.768.107.567 ;
30;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 728 ; 173.460.994 ; 2.863 ; 410.807.251 ; 126.765 ; 887.819.188 ; 63.304 ; 782.216.836 ; 193.660 ; 2.254.304.269 ; 732 ; 509.924.315 ; 3.711 ; 461.885.839 ; 4.443 ; 971.810.154 ; 198.103 ; 3.226.114.423 ;
31;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 14.828 ; 4.418.643 ; 451 ; 527.719 ; 2.376.492 ; 759.922.992 ; 3.220.521 ; 1.180.266.595 ; 5.612.292 ; 1.945.135.949 ; 2.119 ; 808.834.243 ; 1.916 ; 394.620.497 ; 4.035 ; 1.203.454.740 ; 5.616.327 ; 3.148.590.689 ;
32;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 128 ; 102.755.803 ; 503 ; 406.155.001 ; 9.942 ; 207.486.663 ; 2.491 ; 463.173.458 ; 13.064 ; 1.179.570.925 ; 112 ; 1.048.234.793 ; 65 ; 458.835.144 ; 177 ; 1.507.069.937 ; 13.241 ; 2.686.640.862 ;
33;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 21 ; 471.590.000 ; 8 ; 10.733.350 ; 52 ; 171.467.460 ; 90 ; 95.838.397 ; 171 ; 749.629.207 ; 117 ; 723.031.958 ; 129 ; 1.169.344.201 ; 246 ; 1.892.376.159 ; 417 ; 2.642.005.366 ;
