Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em Janeiro/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
24;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 153 ; 188.474.430 ; 1.290 ; 196.668.062 ; 1.547 ; 359.372.484 ; 2.818 ; 536.851.862 ; 5.808 ; 1.281.366.838 ; 115 ; 950.145.810 ; 158 ; 758.268.011 ; 273 ; 1.708.413.821 ; 6.081 ; 2.989.780.659 ;
25;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.;CONFIDENCE - PRUDENCIAL; 548 ; 183.312.773 ; 2.119 ; 86.341.874 ; 5.065 ; 555.139.429 ; 6.220 ; 828.154.110 ; 13.952 ; 1.652.948.186 ; 1.811 ; 562.144.539 ; 4.373 ; 350.289.268 ; 6.184 ; 912.433.807 ; 20.136 ; 2.565.381.993 ;
26;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 428 ; 102.933.989 ; 1.874 ; 718.157.588 ; 6.755 ; 160.008.257 ; 7.361 ; 147.142.984 ; 16.418 ; 1.128.242.818 ; 120 ; 978.538.815 ; 77 ; 376.392.892 ; 197 ; 1.354.931.707 ; 16.615 ; 2.483.174.525 ;
27;78.632.767;BANCO OURINVEST S.A.;OURINVEST - PRUDENCIAL; 743 ; 143.926.234 ; 3.424 ; 178.888.790 ; 38.999 ; 433.925.759 ; 43.558 ; 592.180.558 ; 86.724 ; 1.348.921.341 ; 1.043 ; 610.671.724 ; 8.709 ; 419.468.578 ; 9.752 ; 1.030.140.302 ; 96.476 ; 2.379.061.643 ;
28;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 338 ; 62.387.685 ; 1.010 ; 107.383.220 ; 24.384 ; 756.788.299 ; 18.177 ; 247.595.111 ; 43.909 ; 1.174.154.315 ; 270 ; 344.781.721 ; 297 ; 793.133.589 ; 567 ; 1.137.915.310 ; 44.476 ; 2.312.069.625 ;
29;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 26 ; 12.712.514 ; 31 ; 25.851.566 ; 32 ; 139.206.741 ; 271 ; 224.481.324 ; 360 ; 402.252.145 ; 61 ; 909.954.799 ; 65 ; 916.281.776 ; 126 ; 1.826.236.575 ; 486 ; 2.228.488.720 ;
30;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A;CCB - PRUDENCIAL; 40 ; 51.349.552 ; 110 ; 28.895.381 ; 33 ; 890.470.171 ; 184 ; 701.722.959 ; 367 ; 1.672.438.063 ; 40 ; 68.132.688 ; 36 ; 364.844.670 ; 76 ; 432.977.358 ; 443 ; 2.105.415.421 ;
31;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 378 ; 66.340.541 ; 1.877 ; 191.396.514 ; 58.236 ; 411.635.179 ; 39.089 ; 268.592.268 ; 99.580 ; 937.964.502 ; 437 ; 561.407.472 ; 1.674 ; 548.790.219 ; 2.111 ; 1.110.197.691 ; 101.691 ; 2.048.162.193 ;
32;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 96 ; 58.984.111 ; 335 ; 50.045.248 ; 36 ; 63.609.717 ; 362 ; 223.321.166 ; 829 ; 395.960.242 ; 118 ; 765.446.924 ; 154 ; 593.373.347 ; 272 ; 1.358.820.271 ; 1.101 ; 1.754.780.513 ;
33;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 88 ; 26.296.243 ; 679 ; 262.573.712 ; 43 ; 40.329.355 ; 164 ; 9.250.904 ; 974 ; 338.450.214 ; 91 ; 646.618.061 ; 69 ; 454.725.699 ; 160 ; 1.101.343.760 ; 1.134 ; 1.439.793.974 ;
34;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 6.577 ; 1.751.547 ; 5 ; 626 ; 1.107.212 ; 426.753.226 ; 1.268.004 ; 464.035.138 ; 2.381.798 ; 892.540.537 ; 1.026 ; 212.539.904 ; 1.015 ; 180.045.956 ; 2.041 ; 392.585.860 ; 2.383.839 ; 1.285.126.397 ;
35;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 100 ; 47.111.686 ; 279 ; 214.427.032 ; 2.517 ; 39.037.360 ; 546 ; 89.261.728 ; 3.442 ; 389.837.806 ; 66 ; 454.854.118 ; 55 ; 281.598.440 ; 121 ; 736.452.558 ; 3.563 ; 1.126.290.364 ;
36;68.900.810;BANCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL; 18 ; 758.620 ; 287 ; 29.048.614 ; 141.315 ; 295.637.878 ; 3.961 ; 81.999.240 ; 145.581 ; 407.444.352 ; 1.421 ; 168.899.761 ; 5.141 ; 358.102.901 ; 6.562 ; 527.002.662 ; 152.143 ; 934.447.014 ;
37;07.656.500;BANCO KDB DO BRASIL S.A.;BCO KDB BRASIL S.A. - PRUDENCIAL; -   ; -   ; 2 ; 608.674 ; 164 ; 196.570.507 ; 371 ; 256.357.863 ; 537 ; 453.537.044 ; 38 ; 259.906.670 ; 75 ; 158.300.000 ; 113 ; 418.206.670 ; 650 ; 871.743.714 ;
38;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;CREDIT SUISSE - PRUDENCIAL; -   ; -   ; -   ; -   ; 95 ; 237.029.728 ; 87 ; 314.441.578 ; 182 ; 551.471.306 ; 12 ; 221.456.992 ; 8 ; 56.443.175 ; 20 ; 277.900.167 ; 202 ; 829.371.473 ;
39;13.059.145;BEXS BANCO DE CÂMBIO S/A;BEXS - PRUDENCIAL; 83 ; 56.696.271 ; 431 ; 19.795.767 ; 5.793 ; 111.562.321 ; 16.855 ; 190.229.098 ; 23.162 ; 378.283.457 ; 137 ; 165.220.851 ; 160 ; 99.415.756 ; 297 ; 264.636.607 ; 23.459 ; 642.920.064 ;
