Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Outubro/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
24;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 711 ; 4.410.842.328 ; 1.743 ; 610.581.626 ; 2.310 ; 3.848.064.649 ; 3.142 ; 3.252.094.993 ; 7.906 ; 12.121.583.596 ; 2.248 ; 7.320.982.599 ; 2.391 ; 11.778.084.915 ; 4.639 ; 19.099.067.514 ; 12.545 ; 31.220.651.110 ;
25;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.;CONFIDENCE - PRUDENCIAL; 6.403 ; 972.596.509 ; 19.970 ; 775.999.980 ; 49.201 ; 3.966.989.591 ; 59.379 ; 6.212.241.933 ; 134.953 ; 11.927.828.013 ; 16.876 ; 6.374.701.341 ; 44.371 ; 4.276.007.031 ; 61.247 ; 10.650.708.372 ; 196.200 ; 22.578.536.385 ;
26;78.632.767;OURIBANK S.A. BANCO MÚLTIPLO;OURIBANK - PRUDENCIAL; 6.938 ; 935.464.673 ; 36.157 ; 1.971.500.201 ; 443.570 ; 3.687.619.099 ; 475.787 ; 5.869.677.301 ; 962.452 ; 12.464.261.274 ; 10.106 ; 6.570.725.293 ; 85.080 ; 3.303.447.664 ; 95.186 ; 9.874.172.957 ; 1.057.638 ; 22.338.434.231 ;
27;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 3.986 ; 1.249.743.960 ; 11.223 ; 1.413.101.527 ; 244.701 ; 6.175.816.400 ; 192.818 ; 2.678.275.324 ; 452.728 ; 11.516.937.211 ; 2.934 ; 2.876.358.619 ; 3.070 ; 6.169.638.542 ; 6.004 ; 9.045.997.161 ; 458.732 ; 20.562.934.372 ;
28;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 4.793 ; 823.589.498 ; 19.958 ; 4.369.247.458 ; 59.648 ; 1.542.923.178 ; 63.995 ; 1.772.134.628 ; 148.394 ; 8.507.894.762 ; 1.290 ; 7.649.992.894 ; 1.107 ; 3.826.121.476 ; 2.397 ; 11.476.114.370 ; 150.791 ; 19.984.009.132 ;
29;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 4.053 ; 949.323.261 ; 18.359 ; 2.122.567.495 ; 559.878 ; 4.035.790.810 ; 387.516 ; 2.914.556.539 ; 969.806 ; 10.022.238.105 ; 3.470 ; 4.398.728.814 ; 20.958 ; 4.148.680.800 ; 24.428 ; 8.547.409.614 ; 994.234 ; 18.569.647.719 ;
30;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 129 ; 1.743.350.863 ; 58 ; 63.332.928 ; 259 ; 283.099.604 ; 483 ; 288.531.837 ; 929 ; 2.378.315.232 ; 633 ; 6.744.270.115 ; 688 ; 8.396.344.409 ; 1.321 ; 15.140.614.524 ; 2.250 ; 17.518.929.756 ;
31;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 1.167 ; 1.113.923.608 ; 5.790 ; 808.652.418 ; 680 ; 778.063.427 ; 4.509 ; 1.190.097.558 ; 12.146 ; 3.890.737.011 ; 1.062 ; 6.923.725.901 ; 1.392 ; 6.629.578.426 ; 2.454 ; 13.553.304.327 ; 14.600 ; 17.444.041.338 ;
32;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 1.136 ; 1.501.326.019 ; 2.612 ; 2.942.490.551 ; 41.957 ; 888.533.195 ; 5.928 ; 1.039.546.051 ; 51.633 ; 6.371.895.816 ; 571 ; 5.948.924.241 ; 562 ; 4.296.836.192 ; 1.133 ; 10.245.760.433 ; 52.766 ; 16.617.656.249 ;
33;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 65.631 ; 18.934.551 ; 493 ; 707.864 ; 11.468.872 ; 4.412.563.371 ; 14.173.196 ; 4.861.721.721 ; 25.708.192 ; 9.293.927.507 ; 9.837 ; 2.514.617.613 ; 9.615 ; 2.085.861.265 ; 19.452 ; 4.600.478.878 ; 25.727.644 ; 13.894.406.385 ;
34;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 566 ; 363.719.233 ; 649 ; 289.509.357 ; 490 ; 1.562.789.931 ; 2.442 ; 1.232.926.983 ; 4.147 ; 3.448.945.504 ; 668 ; 4.659.770.027 ; 727 ; 4.974.266.094 ; 1.395 ; 9.634.036.121 ; 5.542 ; 13.082.981.625 ;
35;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 1.049 ; 672.299.231 ; 6.004 ; 2.071.878.006 ; 389 ; 204.503.571 ; 1.545 ; 170.455.279 ; 8.987 ; 3.119.136.087 ; 877 ; 4.381.014.007 ; 748 ; 3.078.203.928 ; 1.625 ; 7.459.217.935 ; 10.612 ; 10.578.354.022 ;
36;68.900.810;BANCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL; 236 ; 15.554.525 ; 3.228 ; 255.435.712 ; 1.875.079 ; 3.134.777.710 ; 38.624 ; 756.379.910 ; 1.917.167 ; 4.162.147.857 ; 14.944 ; 1.973.258.260 ; 51.606 ; 4.103.251.187 ; 66.550 ; 6.076.509.447 ; 1.983.717 ; 10.238.657.304 ;
37;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;SCOTIABANK BRASIL - PRUDENCIAL; 24 ; 145.669.556 ; 6 ; 16.560.244 ; 228 ; 1.074.515.833 ; 1.031 ; 1.928.717.813 ; 1.289 ; 3.165.463.446 ; 148 ; 3.786.926.911 ; 86 ; 2.368.214.538 ; 234 ; 6.155.141.449 ; 1.523 ; 9.320.604.895 ;
38;13.059.145;EBURY BANCO DE CÂMBIO S.A.;EBURY BANCO DE CÂMBIO - PRUDENCIAL; 1.326 ; 2.064.191.333 ; 5.276 ; 308.740.202 ; 73.856 ; 1.213.650.601 ; 203.889 ; 1.826.598.362 ; 284.347 ; 5.413.180.498 ; 1.384 ; 1.058.958.613 ; 1.814 ; 2.161.550.456 ; 3.198 ; 3.220.509.069 ; 287.545 ; 8.633.689.567 ;
39;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;UBS (BRASIL) - PRUDENCIAL; -   ; -   ; -   ; -   ; 795 ; 2.434.473.039 ; 1.173 ; 3.168.880.274 ; 1.968 ; 5.603.353.313 ; 118 ; 1.626.421.474 ; 96 ; 831.408.115 ; 214 ; 2.457.829.589 ; 2.182 ; 8.061.182.902 ;
40;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL; 1.591 ; 779.040.103 ; 6.013 ; 865.052.678 ; 3.143 ; 1.399.253.409 ; 4.449 ; 829.336.954 ; 15.196 ; 3.872.683.144 ; 576 ; 1.622.690.315 ; 578 ; 2.105.464.720 ; 1.154 ; 3.728.155.035 ; 16.350 ; 7.600.838.179 ;
41;07.450.604;BANK OF CHINA (BRASIL) BANCO MÚLTIPLO S/A;BANK OF CHINA (BRASIL) - PRUDENCIAL; 455 ; 589.700.313 ; 1.372 ; 240.401.312 ; 248 ; 2.018.493.730 ; 1.319 ; 2.160.506.053 ; 3.394 ; 5.009.101.408 ; 406 ; 1.031.926.113 ; 329 ; 1.235.453.514 ; 735 ; 2.267.379.627 ; 4.129 ; 7.276.481.035 ;
42;00.997.185;BANCO B3 S.A.;BANCO B3 - PRUDENCIAL; -   ; -   ; -   ; -   ; 1.874 ; 2.150.534.389 ; 1.508 ; 2.297.777.131 ; 3.382 ; 4.448.311.520 ; 301 ; 1.032.593.720 ; 456 ; 885.306.126 ; 757 ; 1.917.899.846 ; 4.139 ; 6.366.211.366 ;
43;28.811.341;STONEX BANCO DE CÂMBIO S.A.;STONEX DTVM - PRUDENCIAL; 875 ; 131.923.852 ; 793 ; 47.628.539 ; 47.728 ; 2.532.436.281 ; 2.755 ; 278.887.827 ; 52.151 ; 2.990.876.499 ; 1.020 ; 305.394.754 ; 2.261 ; 2.643.252.533 ; 3.281 ; 2.948.647.287 ; 55.432 ; 5.939.523.786 ;
44;07.656.500;BANCO KDB DO BRASIL S.A.;BCO KDB BRASIL S.A. - PRUDENCIAL; 3 ; 30.000.000 ; 8 ; 4.772.301 ; 1.503 ; 1.387.707.501 ; 2.613 ; 751.678.093 ; 4.127 ; 2.174.157.895 ; 353 ; 1.404.094.941 ; 900 ; 2.108.187.000 ; 1.253 ; 3.512.281.941 ; 5.380 ; 5.686.439.836 ;
45;10.690.848;BANCO DA CHINA BRASIL S.A.;BANK OF CHINA (BRASIL) - PRUDENCIAL; 338 ; 805.534.702 ; 205 ; 38.599.499 ; 1.123 ; 470.677.951 ; 760 ; 263.943.807 ; 2.426 ; 1.578.755.959 ; 601 ; 1.163.313.367 ; 824 ; 2.136.831.459 ; 1.425 ; 3.300.144.826 ; 3.851 ; 4.878.900.785 ;
46;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;BNDES - PRUDENCIAL; 374 ; 632.865.587 ; -   ; -   ; 403 ; 143.269.340 ; 23 ; 907.052 ; 800 ; 777.041.979 ; 15 ; 1.290.056.006 ; 81 ; 2.404.778.997 ; 96 ; 3.694.835.003 ; 896 ; 4.471.876.982 ;
47;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;BANRISUL - PRUDENCIAL; 5.736 ; 1.569.523.221 ; 7.069 ; 464.625.914 ; 3.435 ; 366.446.932 ; 4.011 ; 129.856.009 ; 20.251 ; 2.530.452.076 ; 210 ; 270.466.650 ; 728 ; 1.610.668.265 ; 938 ; 1.881.134.915 ; 21.189 ; 4.411.586.991 ;
48;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA;ADVANCED CC LTDA - PRUDENCIAL; 2.142 ; 77.289.773 ; 25.165 ; 427.286.856 ; 20.250 ; 693.257.782 ; 33.536 ; 849.579.188 ; 81.093 ; 2.047.413.599 ; 3.772 ; 1.001.245.743 ; 1.031 ; 494.962.961 ; 4.803 ; 1.496.208.704 ; 85.896 ; 3.543.622.303 ;
49;00.360.305;CAIXA ECONOMICA FEDERAL;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL; 1.007 ; 428.664.509 ; 926 ; 57.712.370 ; 73.291 ; 587.347.490 ; 20.528 ; 670.814.359 ; 95.752 ; 1.744.538.728 ; 1.457 ; 748.835.874 ; 1.587 ; 1.031.906.441 ; 3.044 ; 1.780.742.315 ; 98.796 ; 3.525.281.043 ;
50;00.416.968;BANCO INTER S.A.;INTER - PRUDENCIAL; 607 ; 25.997.518 ; 2.786 ; 10.221.581 ; 754.056 ; 1.035.075.262 ; 1.814.613 ; 742.162.240 ; 2.572.062 ; 1.813.456.601 ; 55 ; 897.661.866 ; 72 ; 600.779.095 ; 127 ; 1.498.440.961 ; 2.572.189 ; 3.311.897.562 ;
51;01.181.521;BANCO COOPERATIVO SICREDI S.A.;BCO COOPERATIVO SICREDI - PRUDENCIAL; 10.778 ; 620.282.380 ; 13.217 ; 554.852.811 ; 9.824 ; 569.015.961 ; 4.340 ; 494.484.166 ; 38.159 ; 2.238.635.318 ; 198 ; 442.067.997 ; 137 ; 581.602.407 ; 335 ; 1.023.670.404 ; 38.494 ; 3.262.305.722 ;
52;62.144.175;BANCO PINE S.A.;PINE - PRUDENCIAL; 471 ; 686.107.194 ; 2.475 ; 388.955.619 ; 243 ; 182.462.539 ; 4.346 ; 357.571.130 ; 7.535 ; 1.615.096.482 ; 200 ; 572.321.071 ; 193 ; 710.566.933 ; 393 ; 1.282.888.004 ; 7.928 ; 2.897.984.486 ;
53;61.186.680;BANCO BMG S.A.;BMG - PRUDENCIAL; 66 ; 239.035.105 ; -   ; -   ; 88 ; 58.855.988 ; 639 ; 216.228.318 ; 793 ; 514.119.411 ; 44 ; 1.153.450.920 ; 56 ; 1.198.186.804 ; 100 ; 2.351.637.724 ; 893 ; 2.865.757.135 ;
54;45.246.410;BANCO GENIAL S.A.;GENIAL - PRUDENCIAL; 101 ; 8.544.521 ; 476 ; 51.337.259 ; 3.077 ; 648.223.186 ; 5.330 ; 1.271.771.686 ; 8.984 ; 1.979.876.652 ; 247 ; 758.735.732 ; 36 ; 86.118.938 ; 283 ; 844.854.670 ; 9.267 ; 2.824.731.322 ;
55;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.;MONEYCORP - PRUDENCIAL; 211 ; 7.617.658 ; 2.836 ; 126.336.175 ; 2.761 ; 690.001.831 ; 8.254 ; 969.615.459 ; 14.062 ; 1.793.571.123 ; 2.188 ; 592.084.732 ; 549 ; 193.626.451 ; 2.737 ; 785.711.183 ; 16.799 ; 2.579.282.306 ;
56;61.024.352;BANCO VOITER S.A.;BANCO MASTER - PRUDENCIAL; 172 ; 221.330.534 ; 3.053 ; 296.354.202 ; 1.583 ; 602.479.389 ; 8.211 ; 599.880.666 ; 13.019 ; 1.720.044.791 ; 671 ; 398.215.912 ; 678 ; 334.413.135 ; 1.349 ; 732.629.047 ; 14.368 ; 2.452.673.838 ;
57;71.677.850;FRENTE CORRETORA DE CÂMBIO S.A.;FRENTE CC - PRUDENCIAL; 84 ; 4.490.753 ; 1.831 ; 40.454.929 ; 6.110 ; 795.403.859 ; 45.473 ; 890.805.966 ; 53.498 ; 1.731.155.507 ; 5.173 ; 398.343.775 ; 1.123 ; 267.276.588 ; 6.296 ; 665.620.363 ; 59.794 ; 2.396.775.870 ;
58;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;CREDIT AGRICOLE - PRUDENCIAL; 33 ; 234.181.436 ; 104 ; 8.242.724 ; 158 ; 132.267.261 ; 227 ; 317.238.955 ; 522 ; 691.930.376 ; 81 ; 696.854.593 ; 93 ; 737.666.999 ; 174 ; 1.434.521.592 ; 696 ; 2.126.451.968 ;
59;61.384.004;AVENUE SECURITIES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;AVENUE SECURITIES DTVM - PRUDENCIAL; -   ; -   ; -   ; -   ; 125.733 ; 254.353.335 ; 674.371 ; 937.849.864 ; 800.104 ; 1.192.203.199 ; 1.879 ; 683.864.249 ; -   ; -   ; 1.879 ; 683.864.249 ; 801.983 ; 1.876.067.448 ;
60;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;JP MORGAN CHASE - PRUDENCIAL; -   ; -   ; -   ; -   ; 160 ; 535.802.670 ; 250 ; 426.808.285 ; 410 ; 962.610.955 ; 51 ; 394.281.548 ; 32 ; 501.776.226 ; 83 ; 896.057.774 ; 493 ; 1.858.668.729 ;
61;00.038.166;BANCO CENTRAL DO BRASIL; ; -   ; -   ; -   ; -   ; 38 ; 123.895.462 ; -   ; -   ; 38 ; 123.895.462 ; -   ; -   ; 1 ; 1.500.000.000 ; 1 ; 1.500.000.000 ; 39 ; 1.623.895.462 ;
62;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.;ICBC DO BRASIL BM S.A. - PRUDENCIAL; 11 ; 140.038.412 ; 64 ; 90.899.047 ; 85 ; 164.401.361 ; 118 ; 107.075.731 ; 278 ; 502.414.551 ; 107 ; 458.392.077 ; 106 ; 554.503.970 ; 213 ; 1.012.896.047 ; 491 ; 1.515.310.598 ;
