Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JULHO / 2021;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
34;62.232.889;BANCO DAYCOVAL S.A.;596;100.797.919;1.163;93.401.786;72.806;128.123.946;1.620;71.558.444;76.185;393.882.095;269;139.235.061;659;202.434.477;928;341.669.537;77.113;735.551.632
35;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;171;102.209.965;636;113.484.340;390;168.498.192;510;19.137.947;1.707;403.330.443;58;71.429.209;75;236.480.602;133;307.909.811;1.840;711.240.254
36;7.679.404;BANCO TOPÁZIO S.A.;42;25.585.042;11;1.844.496;244;24.887.964;366;251.604.703;663;303.922.205;476;275.123.511;899;72.035.552;1.375;347.159.063;2.038;651.081.268
37;7.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A;68;64.993.524;442;56.116.808;24;148.871.599;234;176.491.203;768;446.473.133;43;77.030.435;24;58.716.706;67;135.747.142;835;582.220.275
38;71.027.866;BANCO BS2 S.A.;396;80.723.617;1.351;68.961.022;8.124;162.212.286;17.410;103.332.722;27.281;415.229.647;35;41.229.672;43;118.931.245;78;160.160.917;27.359;575.390.564
39;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;27;81.434.965;;;29;15.600.336;;;56;97.035.301;2;449.962.354;2;236.100;4;450.198.454;60;547.233.755
40;33.923.798;BANCO MASTER S/A;140;34.019.462;338;12.363.086;17.899;152.690.432;42.911;142.407.726;61.288;341.480.706;82;51.826.495;74;83.157.229;156;134.983.724;61.444;476.464.430
41;7.656.500;BANCO KDB DO BRASIL S.A.;;;1;1.522.170;115;21.397.029;350;216.705.330;466;239.624.529;84;200.255.821;5;3.250.000;89;203.505.821;555;443.130.350
42;60.889.128;BANCO SOFISA S.A.;145;35.702.884;202;17.295.809;14;184.430.465;59;4.762.524;420;242.191.682;1;4.000.000;6;184.000.000;7;188.000.000;427;430.191.682
43;15.114.366;BANCO BOCOM BBM S.A.;12;5.690.484;116;6.623.722;20;11.438.666;160;7.170.537;308;30.923.410;1;708.540;22;366.207.630;23;366.916.170;331;397.839.580
44;00.360.305;CAIXA ECONOMICA FEDERAL;156;41.976.708;96;10.803.178;8.529;90.192.452;520;58.377.954;9.301;201.350.292;191;42.178.903;221;102.437.097;412;144.616.000;9.713;345.966.292
45;30.723.886;BANCO MODAL S.A.;41;10.772.650;55;8.866.844;104;51.457.017;123;82.887.803;323;153.984.314;12;99.361.800;6;70.000.000;18;169.361.800;341;323.346.114
46;00.997.185;BANCO B3 S.A.;;;;;127;105.506.295;129;137.756.933;256;243.263.228;46;55.682.927;35;23.496.298;81;79.179.225;337;322.442.452
47;36.588.217;TRANSFERWISE BRASIL CORRETORA DE CÂMBIO LTDA.;;;;;206;161.418;79.831;76.239.446;80.037;76.400.864;1.163;137.359.178;1.142;61.280.911;2.305;198.640.088;82.342;275.040.952
48;45.246.410;BANCO GENIAL S.A.;37;2.563.570;28;3.836.557;267;84.039.350;400;117.363.642;732;207.803.120;26;47.429.088;7;12.936.783;33;60.365.871;765;268.168.991
49;13.059.145;BEXS BANCO DE CÂMBIO S/A;15;41.577.506;18;190.463;6.647;35.364.858;58.199;70.934.862;64.879;148.067.689;136;53.883.935;47;64.669.640;183;118.553.575;65.062;266.621.264
50;62.144.175;BANCO PINE S.A.;36;13.642.332;207;18.040.717;2;497.858;36;6.840.946;281;39.021.852;20;133.132.200;41;84.108.280;61;217.240.480;342;256.262.332
51;8.609.934;MONEYCORP BANCO DE CÂMBIO S.A.;19;8.243.525;147;4.690.939;227;20.856.804;900;78.848.224;1.293;112.639.493;246;81.662.562;106;27.202.610;352;108.865.172;1.645;221.504.665
52;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;812;58.045.603;450;25.840.924;430;9.804.879;403;43.463.588;2.095;137.154.994;20;34.856.620;19;30.645.052;39;65.501.672;2.134;202.656.666
53;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA;268;7.678.490;1.697;34.129.479;1.708;22.188.584;3.481;33.691.011;7.154;97.687.565;556;70.827.228;221;32.685.088;777;103.512.316;7.931;201.199.881
54;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;1;25.529.540;24;18.775.353;2;3.044.678;14;463.022;41;47.812.593;2;59.887.100;2;64.876.600;4;124.763.700;45;172.576.293
55;73.622.748;B&T CORRETORA DE CAMBIO LTDA.;236;5.133.143;886;27.079.696;10.798;34.704.588;2.794;37.105.909;14.714;104.023.336;930;45.870.077;222;21.420.911;1.152;67.290.988;15.866;171.314.324
56;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.;18;4.182.669;52;2.246.302;3.534;67.886.568;194;4.862.654;3.798;79.178.193;65;4.497.934;155;69.457.802;220;73.955.736;4.018;153.133.930
57;15.357.060;BANCO WOORI BANK DO BRASIL S.A.;3;89.900;62;54.726.943;100;6.251.516;169;3.493.690;334;64.562.049;78;57.798.582;20;5.924.000;98;63.722.582;432;128.284.631
58;61.024.352;BANCO VOITER S.A.;86;17.863.618;210;11.160.395;48;35.051.573;311;14.832.784;655;78.908.369;20;3.930.194;6;42.027.152;26;45.957.346;681;124.865.715
59;3.609.817;BANCO CARGILL S.A.;12;31.585.307;;;10;13.959.882;16;2.585.635;38;48.130.823;1;50.000.000;1;25.000.000;2;75.000.000;40;123.130.823
60;1.181.521;BANCO COOPERATIVO SICREDI S.A.;919;42.082.521;706;35.717.359;596;11.900.413;327;10.243.632;2.548;99.943.926;10;7.839.422;8;14.154.270;18;21.993.691;2.566;121.937.617
61;10.690.848;BANCO DA CHINA BRASIL S.A.;17;14.310.772;29;9.458.097;12;1.182.946;56;29.761.234;114;54.713.050;40;42.532.601;40;18.861.050;80;61.393.651;194;116.106.701
62;59.118.133;BANCO LUSO BRASILEIRO S.A.;56;8.848.882;215;30.011.774;30;1.288.963;175;11.189.962;476;51.339.582;223;41.394.774;82;10.769.289;305;52.164.063;781;103.503.646
63;32.648.370;FAIR CORRETORA DE CAMBIO S.A.;130;2.478.412;1.114;27.998.987;551;10.857.688;1.143;12.916.483;2.938;54.251.569;619;36.555.853;50;8.653.862;669;45.209.715;3.607;99.461.284
64;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;;5.821;39.646.965;10.691;40.722.461;16.512;80.369.426;24;8.596.953;82;5.030.759;106;13.627.712;16.618;93.997.138
65;00.250.699;AGK CORRETORA DE CAMBIO S.A.;188;3.871.777;1.055;29.353.705;504;7.700.906;580;6.766.615;2.327;47.693.004;439;31.222.437;66;6.648.346;505;37.870.783;2.832;85.563.787
66;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO;8;1.680.709;14;4.024.297;9;10.364.315;16;897.234;47;16.966.556;13;30.321.916;15;31.787.896;28;62.109.812;75;79.076.368
67;2.992.317;TREVISO CORRETORA DE CÂMBIO S.A.;94;2.081.381;747;15.150.207;1.297;9.282.649;1.330;12.034.134;3.468;38.548.372;1.562;27.587.251;359;11.628.238;1.921;39.215.489;5.389;77.763.860
68;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.;193;3.985.329;1.244;24.784.545;363;6.080.453;1.165;11.024.187;2.965;45.874.514;464;28.725.109;44;3.023.992;508;31.749.101;3.473;77.623.615
69;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.;26;25.004.590;32;3.787.842;46;514.801;63;2.400.660;167;31.707.893;29;5.408.348;25;24.832.472;54;30.240.820;221;61.948.714
70;2.318.507;BANCO KEB HANA DO BRASIL S.A.;1;20.282;44;9.769.420;43;6.671.889;84;18.173.701;172;34.635.291;47;24.151.775;4;2.889.200;51;27.040.975;223;61.676.267
71;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.;14;15.085.695;16;9.849.751;6;78.241;60;2.387.587;96;27.401.274;6;19.542.547;5;12.543.967;11;32.086.514;107;59.487.788
72;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.;6;28.422.703;;;2;174.821;13;102.499;21;28.700.024;1;90.000;10;28.570.000;11;28.660.000;32;57.360.024
73;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.;29;741.867;583;18.758.611;214;2.217.998;468;5.178.021;1.294;26.896.498;770;23.635.395;152;2.653.128;922;26.288.523;2.216;53.185.021
74;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A;46;1.149.200;228;3.019.721;1.348;10.814.394;2.209;19.840.110;3.831;34.823.426;641;14.085.691;47;3.183.959;688;17.269.649;4.519;52.093.075
75;61.186.680;BANCO BMG S.A.;6;3.129.370;;;17;3.063.651;44;5.248.297;67;11.441.318;2;35.296.150;2;1.156.769;4;36.452.919;71;47.894.237
76;4.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;;675;7.318.272;2.397;19.881.258;3.072;27.199.530;1.210;15.096.202;439;2.013.777;1.649;17.109.979;4.721;44.309.509
77;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.;2;5.151.286;;;8;76.116;33;189.107;43;5.416.509;3;14.140.500;4;24.129.025;7;38.269.525;50;43.686.034
78;92.894.922;BANCO ORIGINAL S.A.;1;4.817.884;7;4.797.843;47;240.646;110;15.522.426;165;25.378.798;5;18.013.988;3;14.107;8;18.028.094;173;43.406.893
79;76.641.497;DOURADA CORRETORA DE CÂMBIO LTDA.;103;11.184.211;285;7.528.847;432;2.748.267;803;3.798.307;1.623;25.259.632;383;6.936.776;125;9.536.674;508;16.473.450;2.131;41.733.082
80;17.184.037;BANCO MERCANTIL DO BRASIL S.A.;;;;;41;307.753;49;5.007.099;90;5.314.853;12;17.180.000;6;12.430.000;18;29.610.000;108;34.924.853
81;50.579.044;LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.;35;1.432.880;486;12.588.467;150;1.287.831;395;2.801.435;1.066;18.110.614;342;13.827.950;34;1.163.426;376;14.991.376;1.442;33.101.990
82;4.062.902;VISION S.A. CORRETORA DE CAMBIO;51;638.061;283;7.452.810;2.142;3.992.718;2.062;5.274.925;4.538;17.358.513;545;11.158.278;171;3.060.690;716;14.218.968;5.254;31.577.481
83;2.038.232;BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB;120;13.482.423;125;3.497.116;46;2.242.439;36;6.266.446;327;25.488.424;2;236.610;4;5.355.650;6;5.592.260;333;31.080.684
