Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Ago/2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
35;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; -   ; -   ; -   ; -   ; 827 ; 2.871.195.424 ; 1.202 ; 3.721.277.818 ; 2.029 ; 6.592.473.242 ; 128 ; 1.290.635.387 ; 96 ; 400.665.248 ; 224 ; 1.691.300.635 ; 2.253 ; 8.283.773.877 ;;
36;15.114.366;BANCO BOCOM BBM S.A.; 178 ; 90.178.901 ; 287 ; 141.381.618 ; 280 ; 1.033.919.815 ; 1.841 ; 514.329.174 ; 2.586 ; 1.779.809.508 ; 291 ; 3.027.134.790 ; 368 ; 3.291.803.072 ; 659 ; 6.318.937.862 ; 3.245 ; 8.098.747.370 ;;
37;58.616.418;BANCO FIBRA S.A.; 602 ; 573.007.097 ; 3.364 ; 1.120.661.970 ; 391 ; 252.925.577 ; 3.693 ; 203.509.327 ; 8.050 ; 2.150.103.971 ; 750 ; 3.101.035.039 ; 675 ; 2.572.732.478 ; 1.425 ; 5.673.767.517 ; 9.475 ; 7.823.871.488 ;;
38;71.027.866;BANCO BS2 S.A.; 2.800 ; 698.082.774 ; 10.198 ; 1.067.452.533 ; 58.185 ; 1.236.423.225 ; 77.360 ; 1.300.144.767 ; 148.543 ; 4.302.103.299 ; 341 ; 1.370.549.118 ; 313 ; 957.036.912 ; 654 ; 2.327.586.030 ; 149.197 ; 6.629.689.329 ;;
39;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 564 ; 785.165.032 ; 1.565 ; 790.488.279 ; 3.277 ; 1.367.035.596 ; 7.236 ; 813.890.809 ; 12.642 ; 3.756.579.716 ; 532 ; 1.063.521.794 ; 550 ; 1.644.091.474 ; 1.082 ; 2.707.613.268 ; 13.724 ; 6.464.192.984 ;;
40;13.059.145;BEXS BANCO DE CÂMBIO S/A; 272 ; 823.632.091 ; 527 ; 128.941.560 ; 105.199 ; 440.465.037 ; 806.713 ; 1.708.467.840 ; 912.711 ; 3.101.506.528 ; 1.563 ; 1.329.448.511 ; 546 ; 753.578.428 ; 2.109 ; 2.083.026.939 ; 914.820 ; 5.184.533.467 ;;
41;10.690.848;BANCO DA CHINA BRASIL S.A.; 193 ; 1.092.997.022 ; 84 ; 129.097.282 ; 357 ; 917.781.235 ; 714 ; 72.246.241 ; 1.348 ; 2.212.121.780 ; 293 ; 407.016.592 ; 482 ; 2.216.382.677 ; 775 ; 2.623.399.269 ; 2.123 ; 4.835.521.049 ;;
42;00.038.166;BANCO CENTRAL DO BRASIL; -   ; -   ; -   ; -   ; 15 ; 168.475.909 ; -   ; -   ; 15 ; 168.475.909 ; 4 ; 2.034.844.375 ; 4 ; 2.000.000.000 ; 8 ; 4.034.844.375 ; 23 ; 4.203.320.284 ;;
43;07.656.500;BANCO KDB DO BRASIL S.A.; 2 ; 24.000.000 ; 25 ; 11.564.618 ; 983 ; 634.395.081 ; 2.476 ; 1.264.490.915 ; 3.486 ; 1.934.450.614 ; 324 ; 1.199.490.044 ; 275 ; 610.464.649 ; 599 ; 1.809.954.693 ; 4.085 ; 3.744.405.307 ;;
44;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION; -   ; -   ; -   ; -   ; 137 ; 186.926.934 ; 327 ; 1.632.882.616 ; 464 ; 1.819.809.550 ; 106 ; 1.604.693.763 ; 27 ; 158.059.133 ; 133 ; 1.762.752.896 ; 597 ; 3.582.562.446 ;;
