Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Nov/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
26;71.027.866;BANCO BONSUCESSO S.A.; 170 ; 17.700.400 ; 176 ; 13.414.992 ; 812 ; 352.121.144 ; 2.183 ; 141.555.707 ; 3.341 ; 524.792.243 ; 2.545 ; 4.548.355.254 ; 5.905 ; 4.757.213.213 ; 8.450 ; 9.305.568.467 ; 11.791 ; 9.830.360.710 ;
27;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 101 ; 188.124.304 ; 274 ; 4.569.622.948 ; 375 ; 4.757.747.252 ; 250 ; 4.563.281.407 ; 54 ; 181.481.890 ; 304 ; 4.744.763.297 ; 679 ; 9.502.510.549 ;
28;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 733 ; 1.886.538.704 ; 210 ; 170.626.762 ; 873 ; 1.896.250.776 ; 2.391 ; 1.720.310.448 ; 4.207 ; 5.673.726.690 ; 163 ; 559.582.871 ; 248 ; 2.717.564.808 ; 411 ; 3.277.147.679 ; 4.618 ; 8.950.874.369 ;
29;68.900.810;BANCO RENDIMENTO S.A.; 172 ; 15.010.551 ; 691 ; 163.033.987 ; 176.617 ; 1.747.180.948 ; 15.167 ; 971.216.076 ; 192.647 ; 2.896.441.562 ; 4.396 ; 2.589.785.230 ; 95.437 ; 3.258.488.979 ; 99.833 ; 5.848.274.209 ; 292.480 ; 8.744.715.771 ;
30;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 896 ; 34.339.052 ; 9.243 ; 410.481.371 ; 5.438 ; 692.416.757 ; 17.858 ; 676.961.069 ; 33.435 ; 1.814.198.249 ; 12.935 ; 3.468.586.622 ; 88.674 ; 3.111.770.826 ; 101.609 ; 6.580.357.448 ; 135.044 ; 8.394.555.697 ;
31;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 551 ; 1.130.550.901 ;;; 902 ; 603.958.944 ; 716 ; 2.694.959.491 ; 2.169 ; 4.429.469.336 ; 85 ; 2.130.711.218 ; 41 ; 1.760.232.464 ; 126 ; 3.890.943.681 ; 2.295 ; 8.320.413.017 ;
32;78.632.767;BANCO OURINVEST S.A.; 533 ; 202.851.586 ; 3.861 ; 154.763.759 ; 5.944 ; 1.385.061.724 ; 7.708 ; 395.827.618 ; 18.046 ; 2.138.504.687 ; 3.352 ; 2.264.342.281 ; 77.766 ; 3.286.332.443 ; 81.118 ; 5.550.674.725 ; 99.164 ; 7.689.179.411 ;
33;62.232.889;BANCO DAYCOVAL S.A.; 2.811 ; 418.227.654 ; 4.028 ; 269.836.962 ; 5.522 ; 403.614.944 ; 17.112 ; 1.044.346.171 ; 29.473 ; 2.136.025.731 ; 4.653 ; 2.855.556.796 ; 15.397 ; 2.419.501.705 ; 20.050 ; 5.275.058.501 ; 49.523 ; 7.411.084.232 ;
34;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 968 ; 366.679.429 ; 712 ; 128.299.228 ; 430 ; 1.712.191.211 ; 2.022 ; 779.805.049 ; 4.132 ; 2.986.974.916 ; 237 ; 1.215.959.666 ; 315 ; 2.322.033.094 ; 552 ; 3.537.992.760 ; 4.684 ; 6.524.967.676 ;
35;13.059.145;BEXS BANCO DE CÂMBIO S/A; 386 ; 1.384.091.811 ; 1.110 ; 30.800.578 ; 1.792 ; 300.749.831 ; 4.554 ; 720.375.201 ; 7.842 ; 2.436.017.421 ; 2.346 ; 851.430.369 ; 2.720 ; 1.785.452.264 ; 5.066 ; 2.636.882.633 ; 12.908 ; 5.072.900.054 ;
