Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Out/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
25;49.336.860;ING BANK N.V.; 291 ; 1.376.297.450 ; 76 ; 89.354.354 ; 109 ; 449.872.284 ; 740 ; 515.090.867 ; 1.216 ; 2.430.614.955 ; 162 ; 2.998.900.474 ; 199 ; 4.243.131.370 ; 361 ; 7.242.031.843 ; 1.577 ; 9.672.646.798 ;
26;71.027.866;BANCO BONSUCESSO S.A.; 134 ; 12.406.317 ; 126 ; 10.619.548 ; 692 ; 321.426.984 ; 1.918 ; 123.874.108 ; 2.870 ; 468.326.957 ; 2.417 ; 4.373.521.896 ; 5.511 ; 4.563.394.175 ; 7.928 ; 8.936.916.071 ; 10.798 ; 9.405.243.028 ;
27;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 82 ; 177.509.710 ; 245 ; 4.025.059.245 ; 327 ; 4.202.568.955 ; 224 ; 4.019.741.402 ; 45 ; 172.096.687 ; 269 ; 4.191.838.088 ; 596 ; 8.394.407.043 ;
28;68.900.810;BANCO RENDIMENTO S.A.; 137 ; 12.610.742 ; 629 ; 143.020.527 ; 159.564 ; 1.627.453.209 ; 13.645 ; 851.199.004 ; 173.975 ; 2.634.283.482 ; 3.902 ; 2.403.716.151 ; 87.474 ; 3.066.100.613 ; 91.376 ; 5.469.816.764 ; 265.351 ; 8.104.100.246 ;
29;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 501 ; 957.105.722 ;;; 815 ; 521.425.546 ; 665 ; 2.582.114.667 ; 1.981 ; 4.060.645.935 ; 81 ; 2.046.069.378 ; 36 ; 1.590.951.214 ; 117 ; 3.637.020.591 ; 2.098 ; 7.697.666.527 ;
30;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 655 ; 1.743.070.205 ; 177 ; 155.485.342 ; 793 ; 1.485.205.219 ; 2.106 ; 1.535.210.149 ; 3.731 ; 4.918.970.915 ; 146 ; 542.832.555 ; 210 ; 2.232.840.834 ; 356 ; 2.775.673.390 ; 4.087 ; 7.694.644.305 ;
31;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 750 ; 24.888.687 ; 8.408 ; 368.929.526 ; 4.805 ; 567.061.766 ; 16.026 ; 554.514.708 ; 29.989 ; 1.515.394.686 ; 12.013 ; 3.192.310.538 ; 81.745 ; 2.868.063.557 ; 93.758 ; 6.060.374.095 ; 123.747 ; 7.575.768.781 ;
32;78.632.767;BANCO OURINVEST S.A.; 466 ; 185.156.796 ; 3.541 ; 142.245.143 ; 5.001 ; 1.289.087.327 ; 7.108 ; 362.724.830 ; 16.116 ; 1.979.214.097 ; 3.118 ; 2.127.742.137 ; 71.054 ; 3.098.518.676 ; 74.172 ; 5.226.260.814 ; 90.288 ; 7.205.474.910 ;
33;62.232.889;BANCO DAYCOVAL S.A.; 2.529 ; 344.816.224 ; 3.676 ; 247.932.132 ; 4.997 ; 374.078.083 ; 15.671 ; 1.015.143.854 ; 26.873 ; 1.981.970.293 ; 4.282 ; 2.719.348.721 ; 13.931 ; 2.246.665.862 ; 18.213 ; 4.966.014.582 ; 45.086 ; 6.947.984.875 ;
34;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 894 ; 349.030.848 ; 620 ; 119.130.534 ; 403 ; 1.599.124.617 ; 1.783 ; 764.312.595 ; 3.700 ; 2.831.598.594 ; 218 ; 1.116.690.065 ; 295 ; 2.136.122.314 ; 513 ; 3.252.812.380 ; 4.213 ; 6.084.410.974 ;
