Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
34;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 167 ; 52.946.656 ; 574 ; 121.863.087 ; 412 ; 105.706.483 ; 555 ; 21.660.654 ; 1.708 ; 302.176.880 ; 77 ; 141.596.012 ; 84 ; 176.603.960 ; 161 ; 318.199.973 ; 1.869 ; 620.376.853 ;;;;
35;33.923.798;BANCO MÁXIMA S.A.; 145 ; 105.923.531 ; 420 ; 15.316.548 ; 2.440 ; 60.690.853 ; 27.163 ; 150.064.644 ; 30.168 ; 331.995.576 ; 65 ; 96.974.453 ; 46 ; 99.537.107 ; 111 ; 196.511.560 ; 30.279 ; 528.507.135 ;;;;
36;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 90 ; 86.181.535 ; 192 ; 39.187.386 ; 95 ; 11.164.721 ; 161 ; 67.598.245 ; 538 ; 204.131.887 ; 110 ; 186.239.061 ; 106 ; 117.678.656 ; 216 ; 303.917.717 ; 754 ; 508.049.604 ;;;;
37;07.679.404;BANCO TOPÁZIO S.A.;;; 6 ; 205.661 ; 583 ; 4.924.763 ; 915 ; 249.564.954 ; 1.504 ; 254.695.378 ; 259 ; 248.570.321 ; 9 ; 3.766.478 ; 268 ; 252.336.799 ; 1.772 ; 507.032.177 ;;;;
38;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 32 ; 11.419.336 ; 281 ; 30.745.561 ; 12 ; 11.830.772 ; 215 ; 199.944.201 ; 540 ; 253.939.870 ; 32 ; 226.917.422 ; 16 ; 19.647.089 ; 48 ; 246.564.511 ; 588 ; 500.504.381 ;;;;
39;58.616.418;BANCO FIBRA S.A.; 70 ; 53.533.399 ; 512 ; 91.508.728 ; 51 ; 9.273.675 ; 224 ; 54.522.184 ; 857 ; 208.837.986 ; 31 ; 176.932.306 ; 24 ; 100.439.743 ; 55 ; 277.372.049 ; 912 ; 486.210.035 ;;;;
40;71.027.866;BANCO BS2 S.A.; 123 ; 9.154.789 ; 805 ; 36.120.969 ; 1.233 ; 68.481.875 ; 2.167 ; 75.555.166 ; 4.328 ; 189.312.798 ; 146 ; 142.160.409 ; 3.807 ; 109.407.749 ; 3.953 ; 251.568.158 ; 8.281 ; 440.880.956 ;;;;
41;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 22 ; 71.002.041 ; 24 ; 50.539.121 ; 12 ; 39.447.544 ; 107 ; 14.331.282 ; 165 ; 175.319.987 ; 13 ; 137.291.969 ; 15 ; 117.290.897 ; 28 ; 254.582.866 ; 193 ; 429.902.853 ;;;;
42;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 93 ; 94.768.549 ;;; 121 ; 21.417.960 ; 32 ; 154.096.076 ; 246 ; 270.282.586 ; 4 ; 62.243.498 ; 1 ; 262.435 ; 5 ; 62.505.933 ; 251 ; 332.788.518 ;;;;
43;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 232 ; 4.584.890 ; 949 ; 21.460.990 ; 12.530 ; 29.301.734 ; 3.753 ; 53.534.938 ; 17.464 ; 108.882.552 ; 2.654 ; 122.753.138 ; 327 ; 81.370.066 ; 2.981 ; 204.123.204 ; 20.445 ; 313.005.756 ;;;;
44;61.186.680;BANCO BMG S.A.; 7 ; 5.289.801 ; 4 ; 4.091.983 ; 3 ; 106.443 ; 36 ; 1.412.138 ; 50 ; 10.900.364 ; 6 ; 280.555.850 ; 3 ; 16.213.817 ; 9 ; 296.769.667 ; 59 ; 307.670.031 ;;;;
