Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em DEZEMBRO / 2016;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
26;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 25 ; 56.834.600 ; 45 ; 487.315.397 ; 70 ; 544.149.997 ; 31 ; 482.118.050 ; 12 ; 51.040.830 ; 43 ; 533.158.881 ; 113 ; 1.077.308.877 ;;;;
27;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 147 ; 125.513.212 ; 431 ; 79.709.742 ; 387 ; 218.217.593 ; 593 ; 68.390.442 ; 1.558 ; 491.830.990 ; 86 ; 160.738.639 ; 63 ; 356.464.244 ; 149 ; 517.202.883 ; 1.707 ; 1.009.033.873 ;;;;
28;00.360.305;CAIXA ECONOMICA FEDERAL; 315 ; 270.223.455 ; 241 ; 10.551.302 ; 5.320 ; 119.468.911 ; 1.765 ; 55.802.283 ; 7.641 ; 456.045.952 ; 83 ; 108.970.440 ; 136 ; 428.733.949 ; 219 ; 537.704.389 ; 7.860 ; 993.750.341 ;;;;
29;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 118 ; 7.833.962 ; 1.024 ; 59.668.257 ; 598 ; 88.947.019 ; 2.403 ; 118.525.602 ; 4.143 ; 274.974.839 ; 1.096 ; 355.132.013 ; 7.580 ; 273.763.820 ; 8.676 ; 628.895.834 ; 12.819 ; 903.870.673 ;;;;
30;68.900.810;BANCO RENDIMENTO S.A.; 24 ; 303.492 ; 63 ; 24.500.330 ; 16.639 ; 117.406.201 ; 1.448 ; 141.734.329 ; 18.174 ; 283.944.352 ; 517 ; 270.140.346 ; 9.769 ; 228.511.257 ; 10.286 ; 498.651.604 ; 28.460 ; 782.595.956 ;;;;
31;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 53 ; 107.402.416 ; 18 ; 4.956.096 ; 110 ; 231.533.059 ; 288 ; 126.217.900 ; 469 ; 470.109.470 ; 14 ; 123.410.690 ; 20 ; 178.888.431 ; 34 ; 302.299.121 ; 503 ; 772.408.592 ;;;;
32;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 5 ; 18.391.606 ; 1 ; 3.790.603 ; 27 ; 14.371.666 ; 54 ; 19.227.363 ; 87 ; 55.781.238 ; 54 ; 346.314.441 ; 59 ; 358.634.758 ; 113 ; 704.949.199 ; 200 ; 760.730.437 ;;;;
33;78.632.767;BANCO OURINVEST S.A.; 57 ; 16.672.196 ; 352 ; 17.588.852 ; 551 ; 61.543.771 ; 745 ; 62.469.043 ; 1.705 ; 158.273.862 ; 298 ; 274.254.836 ; 9.858 ; 271.449.669 ; 10.156 ; 545.704.504 ; 11.861 ; 703.978.366 ;;;;
34;62.232.889;BANCO DAYCOVAL S.A.; 287 ; 47.705.518 ; 417 ; 25.739.534 ; 545 ; 19.216.307 ; 1.687 ; 47.562.997 ; 2.936 ; 140.224.357 ; 483 ; 232.321.780 ; 1.972 ; 195.351.816 ; 2.455 ; 427.673.597 ; 5.391 ; 567.897.953 ;;;;
35;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 38 ; 53.782.187 ; 31 ; 55.204.121 ; 17 ; 82.183.313 ; 123 ; 150.908.838 ; 209 ; 342.078.459 ; 7 ; 10.313.623 ; 29 ; 197.295.582 ; 36 ; 207.609.205 ; 245 ; 549.687.664 ;;;;
36;71.027.866;BANCO BONSUCESSO S.A.; 51 ; 6.151.020 ; 37 ; 1.273.445 ; 176 ; 56.352.702 ; 361 ; 54.781.681 ; 625 ; 118.558.848 ; 138 ; 168.123.348 ; 579 ; 174.145.855 ; 717 ; 342.269.202 ; 1.342 ; 460.828.050 ;;;;
37;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO;;;;; 13 ; 17.313.069 ; 10 ; 168.952.190 ; 23 ; 186.265.259 ; 3 ; 165.000.000 ; 2 ; 47.000.000 ; 5 ; 212.000.000 ; 28 ; 398.265.259 ;;;;
38;13.059.145;BEXS BANCO DE CÂMBIO S/A; 15 ; 18.104.134 ; 95 ; 4.427.603 ; 176 ; 61.380.606 ; 482 ; 124.235.314 ; 768 ; 208.147.657 ; 273 ; 97.855.132 ; 190 ; 48.777.292 ; 463 ; 146.632.424 ; 1.231 ; 354.780.081 ;;;;
39;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 127 ; 80.054.911 ; 115 ; 30.021.663 ; 242 ; 110.076.574 ; 11 ; 76.100.000 ; 51 ; 126.100.000 ; 62 ; 202.200.000 ; 304 ; 312.276.574 ;;;;
40;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 27 ; 14.659.547 ; 132 ; 8.458.824 ; 84 ; 98.757.020 ; 97 ; 29.395.749 ; 340 ; 151.271.140 ; 105 ; 37.579.455 ; 60 ; 112.096.172 ; 165 ; 149.675.627 ; 505 ; 300.946.767 ;;;;
41;03.609.817;BANCO CARGILL S.A.; 13 ; 69.489.829 ; 1 ; 7.982 ; 2 ; 325.000 ; 13 ; 6.006.426 ; 29 ; 75.829.236 ;;; 6 ; 212.500.000 ; 6 ; 212.500.000 ; 35 ; 288.329.236 ;;;;
42;60.889.128;BANCO SOFISA S.A.; 86 ; 21.427.792 ; 133 ; 6.756.975 ; 28 ; 107.798.505 ; 94 ; 30.365.372 ; 341 ; 166.348.644 ; 9 ; 773.909 ; 23 ; 99.060.887 ; 32 ; 99.834.796 ; 373 ; 266.183.439 ;;;;
43;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 2 ; 611.901 ; 8 ; 4.046.183 ; 17 ; 62.423.712 ; 98 ; 19.925.553 ; 125 ; 87.007.350 ; 18 ; 72.612.435 ; 21 ; 101.121.435 ; 39 ; 173.733.870 ; 164 ; 260.741.220 ;;;;
44;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;;;;; 59 ; 1.499.078 ; 110 ; 10.182.922 ; 169 ; 11.682.000 ; 7 ; 127.036.725 ; 6 ; 120.086.125 ; 13 ; 247.122.850 ; 182 ; 258.804.850 ;;;;
45;58.616.418;BANCO FIBRA S.A.; 202 ; 46.842.307 ; 392 ; 52.318.432 ; 75 ; 28.406.148 ; 443 ; 63.052.489 ; 1.112 ; 190.619.375 ; 14 ; 56.526.435 ; 6 ; 11.369.196 ; 20 ; 67.895.630 ; 1.132 ; 258.515.005 ;;;;
46;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 28 ; 2.439.085 ; 227 ; 10.517.298 ; 103 ; 30.515.319 ; 460 ; 42.869.008 ; 818 ; 86.340.711 ; 370 ; 95.146.661 ; 1.410 ; 73.257.340 ; 1.780 ; 168.404.001 ; 2.598 ; 254.744.711 ;;;;
47;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 88 ; 2.520.946 ; 599 ; 14.106.164 ; 1.207 ; 15.116.297 ; 2.168 ; 54.319.532 ; 4.062 ; 86.062.939 ; 3.227 ; 98.947.118 ; 229 ; 48.451.057 ; 3.456 ; 147.398.175 ; 7.518 ; 233.461.114 ;;;;
48;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 83 ; 48.720.108 ; 83 ; 78.829.980 ; 166 ; 127.550.088 ; 28 ; 60.902.605 ; 22 ; 30.770.109 ; 50 ; 91.672.714 ; 216 ; 219.222.802 ;;;;
49;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 83 ; 30.337.443 ; 137 ; 28.725.568 ; 17 ; 18.336.674 ; 216 ; 7.656.932 ; 453 ; 85.056.617 ; 29 ; 29.267.077 ; 23 ; 91.224.743 ; 52 ; 120.491.820 ; 505 ; 205.548.437 ;;;;
50;92.894.922;BANCO ORIGINAL S.A.; 22 ; 20.470.442 ; 129 ; 18.008.505 ; 62 ; 1.926.390 ; 208 ; 43.937.901 ; 421 ; 84.343.238 ; 15 ; 81.015.754 ; 4 ; 30.000.000 ; 19 ; 111.015.754 ; 440 ; 195.358.992 ;;;;
51;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 831 ; 50.513.635 ; 1.015 ; 38.957.832 ; 351 ; 19.522.719 ; 1.115 ; 18.808.996 ; 3.312 ; 127.803.182 ; 33 ; 15.150.976 ; 28 ; 25.655.355 ; 61 ; 40.806.331 ; 3.373 ; 168.609.513 ;;;;
52;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 451 ; 21.202.431 ; 320 ; 10.268.368 ; 172 ; 52.925.398 ; 206 ; 15.652.436 ; 1.149 ; 100.048.633 ; 15 ; 10.136.982 ; 15 ; 58.289.374 ; 30 ; 68.426.356 ; 1.179 ; 168.474.989 ;;;;
53;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 192 ; 7.090.127 ; 1.548 ; 35.866.506 ; 1.289 ; 20.410.186 ; 3.371 ; 35.584.933 ; 6.400 ; 98.951.752 ; 694 ; 54.028.152 ; 207 ; 10.193.827 ; 901 ; 64.221.979 ; 7.301 ; 163.173.731 ;;;;
54;30.723.886;BANCO MODAL S.A.; 8 ; 832.324 ; 42 ; 3.331.322 ; 88 ; 65.115.870 ; 85 ; 8.008.032 ; 223 ; 77.287.549 ; 1 ; 6.000.000 ; 12 ; 62.500.000 ; 13 ; 68.500.000 ; 236 ; 145.787.549 ;;;;
55;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 3 ; 14.937 ; 21 ; 312.661 ; 540 ; 24.195.917 ; 1.106 ; 63.843.106 ; 1.670 ; 88.366.621 ; 737 ; 41.847.550 ; 517 ; 5.079.900 ; 1.254 ; 46.927.450 ; 2.924 ; 135.294.070 ;;;;
56;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS; 16 ; 1.369.189 ;;; 90 ; 419.491 ; 159 ; 1.822.806 ; 265 ; 3.611.486 ; 357 ; 63.019.442 ; 150 ; 62.963.571 ; 507 ; 125.983.013 ; 772 ; 129.594.499 ;;;;
57;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 986 ; 8.251.989 ; 3.807 ; 60.683.599 ; 4.793 ; 68.935.587 ; 2.634 ; 55.083.478 ; 83 ; 1.857.432 ; 2.717 ; 56.940.911 ; 7.510 ; 125.876.498 ;;;;
58;59.118.133;BANCO LUSO BRASILEIRO S.A.; 158 ; 33.228.681 ; 135 ; 7.264.153 ; 52 ; 9.817.273 ; 215 ; 13.160.478 ; 560 ; 63.470.586 ; 215 ; 19.813.769 ; 183 ; 42.438.589 ; 398 ; 62.252.358 ; 958 ; 125.722.944 ;;;;
59;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 34 ; 737.232 ; 154 ; 2.112.486 ; 1.246 ; 8.584.516 ; 5.213 ; 56.838.340 ; 6.647 ; 68.272.574 ; 782 ; 49.754.179 ; 4 ; 114.322 ; 786 ; 49.868.502 ; 7.433 ; 118.141.076 ;;;;
60;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 88 ; 1.668.531 ; 1.170 ; 25.906.003 ; 624 ; 11.461.974 ; 2.760 ; 30.181.170 ; 4.642 ; 69.217.678 ; 1.334 ; 43.854.316 ; 9 ; 973.538 ; 1.343 ; 44.827.854 ; 5.985 ; 114.045.532 ;;;;
61;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 74 ; 40.303.611 ; 53 ; 3.158.573 ; 25 ; 4.943.030 ; 44 ; 751.314 ; 196 ; 49.156.528 ; 15 ; 7.037.341 ; 52 ; 48.358.479 ; 67 ; 55.395.820 ; 263 ; 104.552.348 ;;;;
62;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 23 ; 586.669 ; 1.136 ; 29.779.000 ; 569 ; 10.838.063 ; 1.406 ; 16.463.077 ; 3.134 ; 57.666.809 ; 1.580 ; 40.209.139 ; 199 ; 5.566.254 ; 1.779 ; 45.775.393 ; 4.913 ; 103.442.203 ;;;;
63;15.114.366;BANCO BBM S/A; 32 ; 44.030.153 ; 1 ; 6.300 ; 13 ; 12.034.856 ; 62 ; 14.929.794 ; 108 ; 71.001.103 ; 8 ; 455.767 ; 14 ; 30.448.427 ; 22 ; 30.904.194 ; 130 ; 101.905.297 ;;;;
64;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 278 ; 12.687.475 ; 784 ; 24.631.071 ; 424 ; 12.702.088 ; 846 ; 12.977.329 ; 2.332 ; 62.997.963 ; 295 ; 25.077.150 ; 53 ; 12.929.586 ; 348 ; 38.006.736 ; 2.680 ; 101.004.698 ;;;;
65;33.918.160;GRADUAL CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.; 4 ; 20.561 ; 12 ; 273.986 ; 68 ; 1.546.749 ; 320 ; 46.987.750 ; 404 ; 48.829.045 ; 2.618 ; 46.689.251 ; 13 ; 794.770 ; 2.631 ; 47.484.021 ; 3.035 ; 96.313.067 ;;;;
66;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 10 ; 9.547.200 ; 15 ; 2.245.454 ; 23 ; 34.253.737 ; 36 ; 16.049.760 ; 84 ; 62.096.151 ; 5 ; 4.268.084 ; 6 ; 29.014.538 ; 11 ; 33.282.622 ; 95 ; 95.378.772 ;;;;
67;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 19 ; 363.197 ; 174 ; 2.597.314 ; 419 ; 4.983.146 ; 1.567 ; 23.078.787 ; 2.179 ; 31.022.445 ; 2.151 ; 41.958.874 ; 167 ; 21.809.241 ; 2.318 ; 63.768.115 ; 4.497 ; 94.790.560 ;;;;
68;12.586.596;MULTIMONEY CORRETORA DE CÂMBIO LTDA; 24 ; 776.625 ; 342 ; 7.002.941 ; 1.051 ; 5.704.752 ; 4.361 ; 21.874.912 ; 5.778 ; 35.359.230 ; 1.947 ; 39.349.481 ; 453 ; 17.251.778 ; 2.400 ; 56.601.259 ; 8.178 ; 91.960.488 ;;;;
69;62.144.175;BANCO PINE S.A.; 43 ; 22.408.641 ; 2 ; 2.675.080 ; 6 ; 1.801.603 ; 40 ; 7.467.987 ; 91 ; 34.353.311 ; 3 ; 32.701.334 ; 3 ; 12.711.600 ; 6 ; 45.412.934 ; 97 ; 79.766.245 ;;;;
70;02.318.507;BANCO KEB HANA DO BRASIL S.A.;;; 7 ; 2.944.089 ; 51 ; 19.140.982 ; 84 ; 12.966.588 ; 142 ; 35.051.658 ; 9 ; 17.926.599 ; 17 ; 21.179.674 ; 26 ; 39.106.273 ; 168 ; 74.157.931 ;;;;
71;03.532.415;BANCO ABN AMRO S.A.; 4 ; 26.000.000 ; 7 ; 4.654.124 ; 7 ; 1.199.513 ; 20 ; 2.918.249 ; 38 ; 34.771.885 ; 10 ; 7.861.000 ; 6 ; 27.460.000 ; 16 ; 35.321.000 ; 54 ; 70.092.885 ;;;;
