Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Abr/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
26;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 424 ; 1.262.037.452 ; 66 ; 30.589.689 ; 284 ; 424.546.778 ; 837 ; 630.643.416 ; 1.611 ; 2.347.817.334 ; 149 ; 992.217.376 ; 163 ; 1.525.291.486 ; 312 ; 2.517.508.862 ; 1.923 ; 4.865.326.197 ;
27;68.900.810;BANCO RENDIMENTO S.A.; 180 ; 14.910.677 ; 609 ; 173.077.700 ; 850.461 ; 1.699.013.036 ; 24.424 ; 264.988.654 ; 875.674 ; 2.151.990.068 ; 5.081 ; 588.195.113 ; 24.589 ; 1.852.240.431 ; 29.670 ; 2.440.435.544 ; 905.344 ; 4.592.425.612 ;
28;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 2.649 ; 390.310.855 ; 7.141 ; 301.826.908 ; 6.255 ; 463.488.879 ; 15.471 ; 1.301.282.671 ; 31.516 ; 2.456.909.312 ; 7.024 ; 1.351.472.556 ; 13.739 ; 610.607.810 ; 20.763 ; 1.962.080.366 ; 52.279 ; 4.418.989.678 ;
29;58.160.789;BANCO SAFRA S.A.; 1.008 ; 610.950.493 ; 4.779 ; 552.267.215 ; 3.435 ; 446.921.370 ; 4.989 ; 900.635.665 ; 14.211 ; 2.510.774.744 ; 776 ; 989.063.338 ; 746 ; 578.139.321 ; 1.522 ; 1.567.202.659 ; 15.733 ; 4.077.977.403 ;
30;62.232.889;BANCO DAYCOVAL S.A.; 2.218 ; 372.639.044 ; 3.729 ; 337.118.348 ; 263.638 ; 916.156.728 ; 5.172 ; 260.084.044 ; 274.757 ; 1.885.998.165 ; 1.010 ; 483.248.485 ; 1.612 ; 1.123.584.668 ; 2.622 ; 1.606.833.153 ; 277.379 ; 3.492.831.318 ;
31;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 629 ; 364.096.491 ; 2.558 ; 312.480.037 ; 1.363 ; 590.493.699 ; 1.840 ; 190.795.996 ; 6.390 ; 1.457.866.223 ; 437 ; 699.575.775 ; 456 ; 1.059.594.245 ; 893 ; 1.759.170.020 ; 7.283 ; 3.217.036.243 ;
32;78.632.767;BANCO OURINVEST S.A.; 3.026 ; 308.114.147 ; 8.613 ; 624.775.433 ; 24.797 ; 393.195.493 ; 13.820 ; 417.679.047 ; 50.256 ; 1.743.764.119 ; 2.951 ; 637.426.221 ; 3.915 ; 293.554.748 ; 6.866 ; 930.980.969 ; 57.122 ; 2.674.745.088 ;
33;33.264.668;BANCO XP S.A.; 364 ; 384.542.290 ; 2.904 ; 559.659.864 ; 1.319 ; 527.529.454 ; 4.087 ; 408.577.850 ; 8.674 ; 1.880.309.458 ; 78 ; 435.022.679 ; 30 ; 306.072.057 ; 108 ; 741.094.735 ; 8.782 ; 2.621.404.193 ;
34;07.679.404;BANCO TOPÁZIO S.A.; 240 ; 133.869.124 ; 169 ; 24.480.116 ; 1.065 ; 123.841.292 ; 1.800 ; 886.546.226 ; 3.274 ; 1.168.736.759 ; 1.413 ; 1.003.031.459 ; 3.305 ; 349.814.341 ; 4.718 ; 1.352.845.800 ; 7.992 ; 2.521.582.559 ;
35;58.616.418;BANCO FIBRA S.A.; 402 ; 277.558.218 ; 3.399 ; 440.255.368 ; 141 ; 148.221.142 ; 701 ; 335.041.432 ; 4.643 ; 1.201.076.161 ; 352 ; 684.826.697 ; 299 ; 308.755.075 ; 651 ; 993.581.772 ; 5.294 ; 2.194.657.932 ;
36;09.274.232;STATE STREET BRASIL S.A. – BANCO COMERCIAL;;;;; 100 ; 942.100.705 ; 84 ; 253.032.342 ; 184 ; 1.195.133.047 ; 40 ; 113.961.918 ; 97 ; 870.449.584 ; 137 ; 984.411.502 ; 321 ; 2.179.544.549 ;
37;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 295 ; 393.875.164 ; 1.621 ; 237.078.707 ; 87 ; 370.925.468 ; 1.003 ; 346.880.850 ; 3.006 ; 1.348.760.190 ; 143 ; 266.499.453 ; 99 ; 364.813.745 ; 242 ; 631.313.198 ; 3.248 ; 1.980.073.388 ;
