Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Janeiro-Maio/2025;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
24;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 867 ; 641.049.289 ; 3.874 ; 764.073.805 ; 11.559 ; 2.894.299.146 ; 24.744 ; 2.451.868.562 ; 41.044 ; 6.751.290.802 ; 473 ; 3.527.268.994 ; 723 ; 4.225.520.315 ; 1.196 ; 7.752.789.309 ; 42.240 ; 14.504.080.111 ;
25;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 365 ; 804.677.558 ; 985 ; 341.631.779 ; 531 ; 1.048.699.791 ; 876 ; 688.015.240 ; 2.757 ; 2.883.024.368 ; 728 ; 5.338.457.974 ; 773 ; 5.886.001.433 ; 1.501 ; 11.224.459.407 ; 4.258 ; 14.107.483.775 ;
26;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 2.279 ; 344.297.629 ; 10.410 ; 1.984.527.794 ; 24.666 ; 672.634.191 ; 39.179 ; 1.477.412.764 ; 76.534 ; 4.478.872.378 ; 777 ; 4.597.110.104 ; 666 ; 2.111.446.420 ; 1.443 ; 6.708.556.524 ; 77.977 ; 11.187.428.902 ;
27;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 796 ; 153.646.327 ; 3.462 ; 43.785.951 ; 170.453 ; 718.027.697 ; 355.429 ; 4.001.119.555 ; 530.140 ; 4.916.579.530 ; 3.746 ; 4.686.880.423 ; 14.415 ; 1.505.839.752 ; 18.161 ; 6.192.720.175 ; 548.301 ; 11.109.299.705 ;
28;78.632.767;OURIBANK S.A. BANCO MÚLTIPLO;OURIBANK - PRUDENCIAL; 3.863 ; 536.866.630 ; 20.381 ; 1.121.350.873 ; 299.845 ; 1.308.773.125 ; 1.628.488 ; 2.337.012.092 ; 1.952.577 ; 5.304.002.720 ; 5.263 ; 3.299.457.378 ; 35.411 ; 1.593.540.332 ; 40.674 ; 4.892.997.710 ; 1.993.251 ; 10.197.000.430 ;
29;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 1.850 ; 510.092.833 ; 7.518 ; 1.265.136.171 ; 303.700 ; 2.378.837.661 ; 165.359 ; 1.592.071.563 ; 478.427 ; 5.746.138.228 ; 1.550 ; 1.598.232.027 ; 8.818 ; 1.635.541.828 ; 10.368 ; 3.233.773.855 ; 488.795 ; 8.979.912.083 ;
30;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 38.255 ; 10.761.504 ; 1.521 ; 1.335.861 ; 6.331.185 ; 2.247.254.633 ; 8.052.228 ; 2.803.934.889 ; 14.423.189 ; 5.063.286.887 ; 4.988 ; 1.786.203.529 ; 4.702 ; 1.240.795.544 ; 9.690 ; 3.026.999.073 ; 14.432.879 ; 8.090.285.960 ;
31;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 370 ; 237.624.288 ; 1.219 ; 1.045.456.461 ; 23.852 ; 1.024.913.111 ; 5.535 ; 938.397.056 ; 30.976 ; 3.246.390.916 ; 306 ; 2.609.934.517 ; 203 ; 1.850.805.272 ; 509 ; 4.460.739.789 ; 31.485 ; 7.707.130.705 ;
32;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;JP MORGAN CHASE - PRUDENCIAL; -   ; -   ; -   ; -   ; 127 ; 3.452.360.849 ; 123 ; 88.157.333 ; 250 ; 3.540.518.182 ; 38 ; 203.084.513 ; 48 ; 3.568.760.709 ; 86 ; 3.771.845.222 ; 336 ; 7.312.363.404 ;
33;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL; 776 ; 737.273.079 ; 3.268 ; 311.865.832 ; 1.515 ; 720.626.946 ; 2.125 ; 626.601.538 ; 7.684 ; 2.396.367.395 ; 403 ; 2.152.618.437 ; 430 ; 2.717.225.731 ; 833 ; 4.869.844.168 ; 8.517 ; 7.266.211.563 ;
