Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em SETEMBRO / 2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
49;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 2 ; 6.047.329 ; 3 ; 915.786 ; 1 ; 787 ; 352 ; 118.765.383 ; 358 ; 125.729.286 ; 16 ; 101.998.027 ; 2 ; 6.002.458 ; 18 ; 108.000.485 ; 376 ; 233.729.771 ;
50;92.894.922;BANCO ORIGINAL S.A.; 10 ; 11.129.426 ; 4 ; 39.111 ; 38 ; 19.037 ; 94 ; 2.892.371 ; 146 ; 14.079.944 ; 3 ; 100.191.298 ; 4 ; 110.193.234 ; 7 ; 210.384.532 ; 153 ; 224.464.476 ;
51;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 673 ; 26.352.339 ; 551 ; 27.479.567 ; 379 ; 33.492.194 ; 510 ; 35.231.316 ; 2.113 ; 122.555.417 ; 18 ; 49.198.106 ; 16 ; 45.169.676 ; 34 ; 94.367.783 ; 2.147 ; 216.923.199 ;
52;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 1 ; 131.813 ; 20 ; 1.685.565 ; 16 ; 33.686.871 ; 46 ; 65.300.255 ; 83 ; 100.804.504 ; 15 ; 36.673.789 ; 10 ; 53.549.996 ; 25 ; 90.223.784 ; 108 ; 191.028.288 ;
53;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 3 ; 15.935.527 ;;; 7 ; 568.390 ; 1 ; 56.987 ; 11 ; 16.560.903 ;;; 6 ; 148.905.747 ; 6 ; 148.905.747 ; 17 ; 165.466.650 ;
54;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 245 ; 5.836.653 ; 2.122 ; 31.756.733 ; 1.662 ; 14.426.392 ; 3.761 ; 28.411.566 ; 7.790 ; 80.431.344 ; 582 ; 59.702.384 ; 177 ; 19.841.752 ; 759 ; 79.544.136 ; 8.549 ; 159.975.480 ;
55;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 206 ; 3.961.551 ; 894 ; 23.321.534 ; 2.439 ; 26.643.446 ; 2.592 ; 27.938.323 ; 6.131 ; 81.864.854 ; 566 ; 47.618.590 ; 299 ; 26.592.652 ; 865 ; 74.211.242 ; 6.996 ; 156.076.096 ;
56;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 11 ; 1.639.582 ; 43 ; 1.250.356 ; 3.072 ; 55.432.112 ; 202 ; 7.122.890 ; 3.328 ; 65.444.940 ; 95 ; 5.832.584 ; 119 ; 54.531.191 ; 214 ; 60.363.775 ; 3.542 ; 125.808.715 ;
57;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 102 ; 10.819.607 ; 305 ; 29.935.016 ; 407 ; 40.754.623 ; 31 ; 26.050.000 ; 13 ; 47.400.000 ; 44 ; 73.450.000 ; 451 ; 114.204.623 ;
58;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 714 ; 26.248.268 ; 739 ; 21.889.830 ; 382 ; 9.373.346 ; 281 ; 13.451.708 ; 2.116 ; 70.963.151 ; 12 ; 15.571.110 ; 4 ; 14.485.100 ; 16 ; 30.056.210 ; 2.132 ; 101.019.361 ;
