Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em DEZEMBRO / 2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
26;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 3 ; 20.441.010 ; -   ; -   ; 25 ; 90.785.295 ; 50 ; 70.519.255 ; 78 ; 181.745.560 ; 70 ; 1.158.126.749 ; 71 ; 1.221.939.092 ; 141 ; 2.380.065.841 ; 219 ; 2.561.811.401 ;;
27;78.632.767;BANCO OURINVEST S.A.; 511 ; 74.436.075 ; 2.988 ; 162.263.693 ; 33.716 ; 477.655.458 ; 57.638 ; 573.593.218 ; 94.853 ; 1.287.948.444 ; 1.056 ; 653.191.224 ; 10.446 ; 339.385.382 ; 11.502 ; 992.576.606 ; 106.355 ; 2.280.525.050 ;;
28;71.027.866;BANCO BS2 S.A.; 452 ; 82.184.747 ; 1.735 ; 612.261.791 ; 6.145 ; 135.103.986 ; 7.340 ; 185.121.948 ; 15.672 ; 1.014.672.472 ; 127 ; 911.674.923 ; 80 ; 338.237.102 ; 207 ; 1.249.912.025 ; 15.879 ; 2.264.584.497 ;;
29;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 70 ; 201.736.894 ; 3 ; 358.943 ; 75 ; 347.695.708 ; 191 ; 290.965.264 ; 339 ; 840.756.809 ; 100 ; 604.962.426 ; 111 ; 760.455.552 ; 211 ; 1.365.417.978 ; 550 ; 2.206.174.787 ;;
30;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 534 ; 84.365.383 ; 2.115 ; 108.999.196 ; 4.508 ; 434.049.964 ; 6.059 ; 628.045.156 ; 13.216 ; 1.255.459.699 ; 1.571 ; 498.417.347 ; 4.721 ; 287.716.651 ; 6.292 ; 786.133.998 ; 19.508 ; 2.041.593.697 ;;
31;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; -   ; -   ; 2 ; 28.804 ; 10 ; 234.275.511 ; 129 ; 546.491.199 ; 141 ; 780.795.514 ; 14 ; 548.022.212 ; 13 ; 473.022.144 ; 27 ; 1.021.044.356 ; 168 ; 1.801.839.870 ;;
32;15.114.366;BANCO BOCOM BBM S.A.; 35 ; 19.621.059 ; 33 ; 24.612.353 ; 38 ; 121.988.787 ; 220 ; 98.471.915 ; 326 ; 264.694.114 ; 56 ; 611.499.705 ; 59 ; 666.385.476 ; 115 ; 1.277.885.181 ; 441 ; 1.542.579.295 ;;
33;58.160.789;BANCO SAFRA S.A.; 271 ; 71.996.898 ; 947 ; 102.647.239 ; 22.163 ; 149.302.962 ; 17.239 ; 276.951.872 ; 40.620 ; 600.898.971 ; 258 ; 395.126.207 ; 262 ; 524.651.901 ; 520 ; 919.778.108 ; 41.140 ; 1.520.677.079 ;;
34;58.616.418;BANCO FIBRA S.A.; 86 ; 94.144.720 ; 662 ; 318.506.569 ; 31 ; 43.750.340 ; 130 ; 10.288.235 ; 909 ; 466.689.864 ; 79 ; 405.007.542 ; 69 ; 357.243.158 ; 148 ; 762.250.700 ; 1.057 ; 1.228.940.564 ;;
35;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 35 ; 49.597.005 ; 133 ; 15.013.391 ; 18 ; 304.714.564 ; 143 ; 553.034.357 ; 329 ; 922.359.317 ; 48 ; 248.895.156 ; 27 ; 33.473.241 ; 75 ; 282.368.397 ; 404 ; 1.204.727.714 ;;
36;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA; 6.092 ; 1.637.502 ; 15 ; 3.748 ; 934.867 ; 374.558.053 ; 1.005.927 ; 404.158.936 ; 1.946.901 ; 780.358.239 ; 859 ; 206.956.014 ; 852 ; 175.990.035 ; 1.711 ; 382.946.049 ; 1.948.612 ; 1.163.304.288 ;;
37;68.900.810;BANCO RENDIMENTO S.A.; 31 ; 1.926.908 ; 264 ; 46.853.416 ; 111.807 ; 276.069.624 ; 3.560 ; 113.492.605 ; 115.662 ; 438.342.553 ; 1.240 ; 268.409.761 ; 5.657 ; 380.714.514 ; 6.897 ; 649.124.275 ; 122.559 ; 1.087.466.828 ;;
38;13.059.145;BEXS BANCO DE CÂMBIO S/A; 83 ; 162.428.463 ; 404 ; 24.783.655 ; 4.117 ; 227.561.143 ; 13.525 ; 241.243.365 ; 18.129 ; 656.016.626 ; 120 ; 116.422.837 ; 171 ; 249.573.223 ; 291 ; 365.996.060 ; 18.420 ; 1.022.012.686 ;;
39;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; -   ; -   ; -   ; -   ; 79 ; 365.596.713 ; 148 ; 422.945.706 ; 227 ; 788.542.419 ; 13 ; 93.094.963 ; 14 ; 108.184.155 ; 27 ; 201.279.118 ; 254 ; 989.821.537 ;;
40;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION; -   ; -   ; -   ; -   ; 19 ; 19.467.623 ; 30 ; 381.568.161 ; 49 ; 401.035.784 ; 12 ; 371.383.370 ; 6 ; 9.242.609 ; 18 ; 380.625.979 ; 67 ; 781.661.763 ;;
41;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 171 ; 54.489.102 ; 505 ; 134.711.692 ; 281 ; 54.977.967 ; 443 ; 127.180.820 ; 1.400 ; 371.359.581 ; 80 ; 253.027.609 ; 66 ; 103.036.794 ; 146 ; 356.064.403 ; 1.546 ; 727.423.984 ;;
42;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 79 ; 8.319.612 ; 68 ; 5.787.457 ; 4.482 ; 324.448.117 ; 273 ; 30.309.525 ; 4.902 ; 368.864.711 ; 86 ; 30.806.859 ; 177 ; 327.477.047 ; 263 ; 358.283.906 ; 5.165 ; 727.148.617 ;;
43;33.923.798;BANCO MASTER S/A; 84 ; 33.223.525 ; 268 ; 153.720.876 ; 1.915 ; 43.356.684 ; 421 ; 36.443.164 ; 2.688 ; 266.744.249 ; 61 ; 264.669.143 ; 38 ; 115.865.698 ; 99 ; 380.534.841 ; 2.787 ; 647.279.090 ;;
44;50.585.090;BCV - BANCO DE CRÉDITO E VAREJO S.A.; -   ; -   ; -   ; -   ; -   ; -   ; 4 ; 63.507 ; 4 ; 63.507 ; 4 ; 164.940.718 ; 4 ; 330.406.512 ; 8 ; 495.347.230 ; 12 ; 495.410.737 ;;
45;00.997.185;BANCO B3 S.A.; -   ; -   ; -   ; -   ; 201 ; 208.673.963 ; 177 ; 170.195.116 ; 378 ; 378.869.079 ; 28 ; 33.209.913 ; 40 ; 71.761.472 ; 68 ; 104.971.385 ; 446 ; 483.840.464 ;;
46;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 938 ; 59.897.364 ; 1.104 ; 65.270.111 ; 928 ; 159.796.247 ; 499 ; 26.679.310 ; 3.469 ; 311.643.032 ; 21 ; 17.893.038 ; 10 ; 144.805.286 ; 31 ; 162.698.324 ; 3.500 ; 474.341.356 ;;
47;00.360.305;CAIXA ECONOMICA FEDERAL; 103 ; 26.733.529 ; 96 ; 3.148.923 ; 7.584 ; 119.047.236 ; 2.331 ; 40.507.988 ; 10.114 ; 189.437.676 ; 128 ; 75.790.353 ; 144 ; 193.573.696 ; 272 ; 269.364.049 ; 10.386 ; 458.801.725 ;;
