Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Set/2017;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
32;71.027.866;BANCO BONSUCESSO S.A.; 513 ; 56.369.608 ; 860 ; 68.759.369 ; 1.368 ; 309.449.479 ; 4.642 ; 311.928.258 ; 7.383 ; 746.506.714 ; 2.229 ; 2.574.178.521 ; 8.532 ; 2.562.398.322 ; 10.761 ; 5.136.576.843 ; 18.144 ; 5.883.083.557 ;;;;
33;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 2 ; 13.000.000 ;;; 59 ; 1.180.580.090 ; 50 ; 851.068.827 ; 111 ; 2.044.648.918 ; 16 ; 1.683.898.265 ; 35 ; 2.023.752.971 ; 51 ; 3.707.651.236 ; 162 ; 5.752.300.154 ;;;;
34;28.195.667;BANCO ABC BRASIL S.A.; 652 ; 274.986.798 ; 1.092 ; 195.283.402 ; 222 ; 865.939.701 ; 1.960 ; 1.634.348.264 ; 3.926 ; 2.970.558.164 ; 421 ; 1.496.024.285 ; 378 ; 1.173.406.895 ; 799 ; 2.669.431.180 ; 4.725 ; 5.639.989.344 ;;;;
35;13.059.145;BEXS BANCO DE CÂMBIO S/A; 408 ; 1.650.261.446 ; 811 ; 26.595.592 ; 1.192 ; 183.581.654 ; 4.121 ; 909.613.185 ; 6.532 ; 2.770.051.877 ; 1.899 ; 949.141.560 ; 1.387 ; 1.846.689.765 ; 3.286 ; 2.795.831.325 ; 9.818 ; 5.565.883.202 ;;;;
36;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 259 ; 994.716.047 ; 235 ; 1.680.310.857 ; 494 ; 2.675.026.904 ; 159 ; 1.678.391.537 ; 115 ; 992.233.016 ; 274 ; 2.670.624.552 ; 768 ; 5.345.651.456 ;;;;
37;03.532.415;BANCO ABN AMRO S.A.; 64 ; 215.067.621 ; 24 ; 16.424.459 ; 208 ; 2.369.290.939 ; 433 ; 2.298.063.411 ; 729 ; 4.898.846.430 ; 41 ; 76.782.389 ; 98 ; 347.023.227 ; 139 ; 423.805.616 ; 868 ; 5.322.652.046 ;;;;
38;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 706 ; 709.477.922 ; 1.735 ; 274.639.281 ; 618 ; 592.112.424 ; 972 ; 371.670.849 ; 4.031 ; 1.947.900.476 ; 1.040 ; 877.068.947 ; 1.074 ; 1.534.647.081 ; 2.114 ; 2.411.716.029 ; 6.145 ; 4.359.616.505 ;;;;
39;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 380 ; 22.652.095 ; 2.864 ; 107.835.537 ; 1.136 ; 221.756.572 ; 19.430 ; 591.464.437 ; 23.810 ; 943.708.640 ; 3.280 ; 1.703.090.397 ; 3.218 ; 1.243.620.548 ; 6.498 ; 2.946.710.945 ; 30.308 ; 3.890.419.586 ;;;;
40;30.723.886;BANCO MODAL S.A.; 83 ; 71.125.753 ; 577 ; 50.026.797 ; 700 ; 1.100.270.366 ; 906 ; 947.505.603 ; 2.266 ; 2.168.928.520 ; 97 ; 749.183.297 ; 179 ; 924.478.818 ; 276 ; 1.673.662.115 ; 2.542 ; 3.842.590.634 ;;;;
41;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 443 ; 604.706.256 ; 280 ; 154.248.314 ; 148 ; 919.688.816 ; 871 ; 619.491.622 ; 1.742 ; 2.298.135.008 ; 82 ; 399.196.354 ; 105 ; 969.513.764 ; 187 ; 1.368.710.118 ; 1.929 ; 3.666.845.126 ;;;;
42;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 70 ; 153.041.508 ;;; 70 ; 153.041.508 ; 5 ; 1.550.000.000 ; 5 ; 1.550.000.000 ; 10 ; 3.100.000.000 ; 80 ; 3.253.041.508 ;;;;
43;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 1.123 ; 23.989.064 ; 5.665 ; 132.379.658 ; 11.550 ; 128.201.855 ; 21.390 ; 482.203.941 ; 39.728 ; 766.774.517 ; 26.945 ; 922.409.824 ; 1.934 ; 465.217.510 ; 28.879 ; 1.387.627.334 ; 68.607 ; 2.154.401.852 ;;;;
44;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 56 ; 178.831.467 ; 81 ; 9.026.525 ; 71 ; 515.798.369 ; 192 ; 413.854.132 ; 400 ; 1.117.510.493 ; 80 ; 315.642.203 ; 210 ; 574.969.126 ; 290 ; 890.611.329 ; 690 ; 2.008.121.822 ;;;;
45;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 7.474 ; 588.454.403 ; 9.764 ; 371.964.012 ; 3.176 ; 124.710.518 ; 11.272 ; 260.438.915 ; 31.686 ; 1.345.567.848 ; 319 ; 288.245.447 ; 353 ; 367.618.929 ; 672 ; 655.864.376 ; 32.358 ; 2.001.432.224 ;;;;
46;03.609.817;BANCO CARGILL S.A.; 75 ; 303.562.780 ; 17 ; 19.314.615 ; 21 ; 18.520.294 ; 263 ; 96.293.434 ; 376 ; 437.691.123 ; 25 ; 588.250.000 ; 32 ; 952.500.000 ; 57 ; 1.540.750.000 ; 433 ; 1.978.441.123 ;;;;
47;58.616.418;BANCO FIBRA S.A.; 533 ; 337.514.367 ; 4.057 ; 405.188.118 ; 500 ; 67.002.426 ; 2.720 ; 278.237.615 ; 7.810 ; 1.087.942.527 ; 179 ; 547.151.426 ; 71 ; 207.713.667 ; 250 ; 754.865.093 ; 8.060 ; 1.842.807.620 ;;;;
48;15.114.366;BANCO BBM S/A; 236 ; 221.650.344 ; 42 ; 8.065.689 ; 116 ; 358.714.918 ; 537 ; 175.990.154 ; 931 ; 764.421.106 ; 74 ; 314.688.226 ; 97 ; 650.880.335 ; 171 ; 965.568.561 ; 1.102 ; 1.729.989.667 ;;;;
