Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MAIO / 2020;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
44;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 580 ; 43.356.629 ; 1.015 ; 45.251.136 ; 387 ; 3.169.351 ; 540 ; 22.557.560 ; 2.522 ; 114.334.676 ; 28 ; 36.095.627 ; 16 ; 11.998.440 ; 44 ; 48.094.066 ; 2.566 ; 162.428.742 ;;;;
45;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 42 ; 48.311.407 ; 107 ; 15.414.589 ; 7 ; 8.972.341 ; 188 ; 23.205.002 ; 344 ; 95.903.338 ; 17 ; 21.131.562 ; 17 ; 39.460.095 ; 34 ; 60.591.657 ; 378 ; 156.494.995 ;;;;
46;07.679.404;BANCO TOPÁZIO S.A.; 9 ; 5.077.399 ; 18 ; 1.636.455 ; 58 ; 2.667.770 ; 161 ; 18.354.097 ; 246 ; 27.735.721 ; 240 ; 70.313.623 ; 573 ; 58.326.031 ; 813 ; 128.639.655 ; 1.059 ; 156.375.375 ;;;;
47;03.609.817;BANCO CARGILL S.A.; 3 ; 151.442 ;;;;; 22 ; 4.770.834 ; 25 ; 4.922.277 ; 3 ; 150.000.000 ;;; 3 ; 150.000.000 ; 28 ; 154.922.277 ;;;;
48;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 159 ; 3.509.388 ; 1.630 ; 28.794.005 ; 1.502 ; 13.726.771 ; 3.181 ; 25.846.952 ; 6.472 ; 71.877.116 ; 513 ; 54.819.103 ; 157 ; 17.507.839 ; 670 ; 72.326.942 ; 7.142 ; 144.204.058 ;;;;
49;15.114.366;BANCO BOCOM BBM S.A.; 10 ; 5.861.102 ; 15 ; 509.038 ; 16 ; 2.507.773 ; 191 ; 57.340.548 ; 232 ; 66.218.461 ; 3 ; 50.000.000 ; 1 ; 20.000.000 ; 4 ; 70.000.000 ; 236 ; 136.218.461 ;;;;
50;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 11 ; 33.621.946 ; 89 ; 21.040.994 ; 18 ; 3.816.428 ; 33 ; 2.555.491 ; 151 ; 61.034.859 ; 15 ; 25.925.160 ; 16 ; 38.913.179 ; 31 ; 64.838.339 ; 182 ; 125.873.198 ;;;;
51;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 136 ; 2.764.288 ; 609 ; 17.332.131 ; 2.469 ; 20.647.335 ; 2.329 ; 22.379.797 ; 5.543 ; 63.123.551 ; 398 ; 37.922.453 ; 382 ; 21.491.670 ; 780 ; 59.414.123 ; 6.323 ; 122.537.674 ;;;;
52;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 42 ; 48.822.542 ; 51 ; 4.164.179 ; 36 ; 3.455.129 ; 61 ; 4.372.170 ; 190 ; 60.814.019 ; 48 ; 9.295.419 ; 47 ; 51.617.009 ; 95 ; 60.912.428 ; 285 ; 121.726.447 ;;;;
53;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 17 ; 2.651.178 ; 35 ; 2.052.167 ; 2.559 ; 49.154.085 ; 179 ; 7.898.893 ; 2.790 ; 61.756.323 ; 61 ; 7.744.230 ; 93 ; 49.599.179 ; 154 ; 57.343.410 ; 2.944 ; 119.099.732 ;;;;
