Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em AGOSTO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
25;68.900.810;BANCO RENDIMENTO S.A.; 23 ; 1.386.720 ; 143 ; 13.708.246 ; 3.535 ; 35.512.335 ; 3.054 ; 227.197.404 ; 6.755 ; 277.804.704 ; 392 ; 497.490.216 ; 7.209 ; 327.779.950 ; 7.601 ; 825.270.166 ; 14.356 ; 1.103.074.871 ;;;;
26;62.232.889;BANCO DAYCOVAL S.A.; 191 ; 22.995.838 ; 469 ; 40.092.546 ; 468 ; 113.451.388 ; 3.929 ; 70.177.298 ; 5.057 ; 246.717.069 ; 269 ; 389.118.031 ; 1.189 ; 414.218.093 ; 1.458 ; 803.336.125 ; 6.515 ; 1.050.053.194 ;;;;
27;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 99 ; 100.688.370 ; 435 ; 211.262.288 ; 275 ; 149.146.570 ; 443 ; 57.005.517 ; 1.252 ; 518.102.744 ; 41 ; 221.557.051 ; 35 ; 214.104.317 ; 76 ; 435.661.368 ; 1.328 ; 953.764.112 ;;;;
28;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 46 ; 119.021.864 ; 41 ; 32.057.864 ; 68 ; 238.845.976 ; 310 ; 116.004.489 ; 465 ; 505.930.192 ; 11 ; 124.217.349 ; 13 ; 229.092.321 ; 24 ; 353.309.670 ; 489 ; 859.239.862 ;;;;
29;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 757 ; 93.632.889 ; 1.403 ; 68.114.524 ; 391 ; 205.123.702 ; 1.661 ; 17.335.608 ; 4.212 ; 384.206.723 ; 35 ; 40.222.306 ; 38 ; 253.545.542 ; 73 ; 293.767.848 ; 4.285 ; 677.974.572 ;;;;
30;78.632.767;BANCO OURINVEST S.A.; 1 ; 3.071.501 ; 34 ; 4.387.416 ; 187 ; 2.885.678 ; 673 ; 17.292.535 ; 895 ; 27.637.130 ; 335 ; 322.246.456 ; 3.763 ; 307.597.241 ; 4.098 ; 629.843.696 ; 4.993 ; 657.480.826 ;;;;
31;00.360.305;CAIXA ECONOMICA FEDERAL; 155 ; 48.934.173 ; 216 ; 32.547.547 ; 4.425 ; 47.555.060 ; 2.578 ; 91.397.023 ; 7.374 ; 220.433.803 ; 128 ; 205.324.155 ; 123 ; 178.310.872 ; 251 ; 383.635.027 ; 7.625 ; 604.068.830 ;;;;
32;75.647.891;BANCO CRêDIT AGRICOLE BRASIL S.A.; 9 ; 58.497.900 ; 1 ; 1.459.373 ; 14 ; 28.567.561 ; 53 ; 14.664.697 ; 77 ; 103.189.531 ; 62 ; 195.593.649 ; 66 ; 265.690.634 ; 128 ; 461.284.283 ; 205 ; 564.473.814 ;;;;
33;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 128 ; 152.802.838 ; 109 ; 30.965.479 ; 237 ; 183.768.316 ; 6 ; 93.820.492 ; 70 ; 215.800.000 ; 76 ; 309.620.492 ; 313 ; 493.388.808 ;;;;
34;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 27 ; 12.078.762 ;;; 43 ; 159.626.614 ; 64 ; 155.674.049 ; 134 ; 327.379.425 ; 4 ; 52.041.320 ; 3 ; 111.910.600 ; 7 ; 163.951.920 ; 141 ; 491.331.345 ;;;;
35;52.937.216;BEXS CORRETORA DE C∂MBIO S/A;;;;; 197 ; 625.620 ; 3.447 ; 38.153.614 ; 3.644 ; 38.779.234 ; 765 ; 213.793.965 ; 129 ; 176.268.057 ; 894 ; 390.062.021 ; 4.538 ; 428.841.255 ;;;;
36;13.059.145;BEXS BANCO DE C∂MBIO S/A; 11 ; 41.050.158 ; 143 ; 5.341.857 ; 134 ; 29.109.176 ; 409 ; 16.533.378 ; 697 ; 92.034.569 ; 269 ; 124.632.105 ; 288 ; 173.195.608 ; 557 ; 297.827.712 ; 1.254 ; 389.862.282 ;;;;
37;73.622.748;B & T ASSOCIADOS CORRETORA DE C∂MBIO LTDA.; 45 ; 1.093.144 ; 510 ; 12.424.703 ; 582 ; 6.533.879 ; 1.788 ; 115.537.068 ; 2.925 ; 135.588.794 ; 3.646 ; 185.941.241 ; 99 ; 65.546.633 ; 3.745 ; 251.487.874 ; 6.670 ; 387.076.668 ;;;;
38;28.195.667;BANCO ABC BRASIL S.A.; 75 ; 25.455.804 ; 135 ; 15.350.594 ; 24 ; 125.870.427 ; 234 ; 20.528.869 ; 468 ; 187.205.693 ; 10 ; 19.025.369 ; 23 ; 170.671.025 ; 33 ; 189.696.394 ; 501 ; 376.902.087 ;;;;
39;71.027.866;BANCO BONSUCESSO S.A.;;; 2 ; 15.335 ; 30 ; 50.721 ; 141 ; 3.764.360 ; 173 ; 3.830.415 ; 198 ; 187.157.107 ; 450 ; 183.343.761 ; 648 ; 370.500.868 ; 821 ; 374.331.283 ;;;;
40;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 3 ; 92.796 ; 36 ; 1.496.570 ; 21 ; 2.101.113 ; 267 ; 14.288.707 ; 327 ; 17.979.185 ; 40 ; 155.735.109 ; 74 ; 143.328.732 ; 114 ; 299.063.841 ; 441 ; 317.043.027 ;;;;
41;07.679.404;BANCO TOPµZIO S.A.; 14 ; 1.329.260 ; 2 ; 13.902 ; 4 ; 15.619 ; 106 ; 155.044.955 ; 126 ; 156.403.735 ; 80 ; 154.313.855 ; 6 ; 594.000 ; 86 ; 154.907.855 ; 212 ; 311.311.590 ;;;;
42;30.723.886;BANCO MODAL S.A.; 5 ; 5.766 ; 67 ; 7.747.555 ; 17 ; 16.015.296 ; 39 ; 854.018 ; 128 ; 24.622.635 ; 29 ; 128.525.070 ; 34 ; 137.524.012 ; 63 ; 266.049.082 ; 191 ; 290.671.716 ;;;;
43;04.913.129;CONFIDENCE CORRETORA DE C∂MBIO S.A.;;;;; 904 ; 8.754.810 ; 5.679 ; 89.979.024 ; 6.583 ; 98.733.835 ; 2.741 ; 128.562.347 ; 140 ; 46.953.087 ; 2.881 ; 175.515.434 ; 9.464 ; 274.249.269 ;;;;
44;62.144.175;BANCO PINE S.A.; 10 ; 23.428.043 ; 46 ; 53.662.036 ; 6 ; 391.410 ; 76 ; 6.709.778 ; 138 ; 84.191.267 ; 2 ; 70.000.000 ; 2 ; 100.000.000 ; 4 ; 170.000.000 ; 142 ; 254.191.267 ;;;;
45;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS; 2 ; 122.828 ; 1.629 ; 112.912.614 ; 275 ; 1.138.523 ; 4.470 ; 9.447.332 ; 6.376 ; 123.621.297 ; 946 ; 121.607.883 ; 18 ; 300.134 ; 964 ; 121.908.017 ; 7.340 ; 245.529.314 ;;;;
46;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 24 ; 63.032.968 ; 19 ; 6.504.582 ; 11 ; 37.098.751 ; 36 ; 1.292.832 ; 90 ; 107.929.133 ; 20 ; 35.125.580 ; 26 ; 99.118.692 ; 46 ; 134.244.273 ; 136 ; 242.173.406 ;;;;
47;33.923.798;BANCO MµXIMA S.A.; 38 ; 838.146 ; 407 ; 18.063.089 ; 44 ; 2.306.500 ; 233 ; 16.977.534 ; 722 ; 38.185.269 ; 296 ; 117.435.040 ; 1.340 ; 85.558.180 ; 1.636 ; 202.993.219 ; 2.358 ; 241.178.488 ;;;;
48;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 2 ; 128.950 ; 2 ; 5.152.990 ; 12 ; 1.366.713 ; 38 ; 583.498 ; 54 ; 7.232.150 ; 33 ; 120.767.680 ; 60 ; 96.767.040 ; 93 ; 217.534.720 ; 147 ; 224.766.870 ;;;;
