Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jul/2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
28;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 583 ; 1.118.977.603 ; 1.256 ; 420.961.735 ; 543 ; 1.268.358.491 ; 1.190 ; 883.814.587 ; 3.572 ; 3.692.112.416 ; 679 ; 4.163.681.477 ; 808 ; 5.455.238.507 ; 1.487 ; 9.618.919.984 ; 5.059 ; 13.311.032.400 ;
29;62.232.889;BANCO DAYCOVAL S.A.; 1.608 ; 440.473.339 ; 4.695 ; 908.128.975 ; 333.839 ; 2.651.335.373 ; 339.195 ; 2.706.111.265 ; 679.337 ; 6.706.048.952 ; 3.062 ; 3.258.801.271 ; 11.954 ; 2.811.543.157 ; 15.016 ; 6.070.344.428 ; 694.353 ; 12.776.393.380 ;
30;58.160.789;BANCO SAFRA S.A.; 1.705 ; 632.475.081 ; 3.284 ; 851.943.933 ; 161.467 ; 2.987.434.272 ; 130.255 ; 2.154.107.308 ; 296.711 ; 6.625.960.594 ; 2.187 ; 2.568.830.902 ; 2.322 ; 3.160.472.199 ; 4.509 ; 5.729.303.101 ; 301.220 ; 12.355.263.695 ;
31;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 401 ; 580.234.552 ; 1.712 ; 334.877.749 ; 181 ; 2.421.628.363 ; 1.607 ; 2.259.301.041 ; 3.901 ; 5.596.041.705 ; 381 ; 3.170.213.545 ; 322 ; 3.482.489.986 ; 703 ; 6.652.703.531 ; 4.604 ; 12.248.745.236 ;
32;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 26 ; 414.698.195 ; 57 ; 172.559.576 ; 135 ; 1.721.661.196 ; 863 ; 1.007.868.135 ; 1.081 ; 3.316.787.102 ; 147 ; 2.841.493.377 ; 228 ; 4.053.751.306 ; 375 ; 6.895.244.683 ; 1.456 ; 10.212.031.785 ;
33;68.900.810;BANCO RENDIMENTO S.A.; 52 ; 26.989.759 ; 917 ; 786.240.512 ; 489.697 ; 1.553.780.385 ; 25.983 ; 564.574.195 ; 516.649 ; 2.931.584.851 ; 9.186 ; 2.601.506.029 ; 50.502 ; 2.853.641.714 ; 59.688 ; 5.455.147.743 ; 576.337 ; 8.386.732.594 ;
34;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA; -   ; -   ; -   ; -   ; 4.844.649 ; 2.255.310.820 ; 5.777.015 ; 2.495.411.946 ; 10.621.664 ; 4.750.722.766 ; 6.690 ; 1.490.728.104 ; 6.666 ; 1.250.218.869 ; 13.356 ; 2.740.946.973 ; 10.635.020 ; 7.491.669.739 ;
35;58.616.418;BANCO FIBRA S.A.; 530 ; 475.347.486 ; 2.973 ; 997.047.488 ; 307 ; 169.816.243 ; 3.239 ; 181.854.906 ; 7.049 ; 1.824.066.123 ; 666 ; 2.826.880.547 ; 601 ; 2.347.633.677 ; 1.267 ; 5.174.514.224 ; 8.316 ; 6.998.580.347 ;
36;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; -   ; -   ; -   ; -   ; 724 ; 2.287.350.125 ; 1.082 ; 2.984.610.524 ; 1.806 ; 5.271.960.649 ; 113 ; 1.198.826.819 ; 84 ; 368.854.835 ; 197 ; 1.567.681.654 ; 2.003 ; 6.839.642.303 ;
37;15.114.366;BANCO BOCOM BBM S.A.; 133 ; 55.780.777 ; 243 ; 117.704.784 ; 240 ; 781.345.106 ; 1.614 ; 429.712.230 ; 2.230 ; 1.384.542.897 ; 192 ; 2.179.986.191 ; 259 ; 2.244.335.654 ; 451 ; 4.424.321.845 ; 2.681 ; 5.808.864.742 ;
38;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 478 ; 709.187.201 ; 1.381 ; 706.314.246 ; 2.790 ; 1.162.031.987 ; 6.422 ; 721.442.822 ; 11.071 ; 3.298.976.256 ; 451 ; 918.917.856 ; 474 ; 1.395.971.128 ; 925 ; 2.314.888.984 ; 11.996 ; 5.613.865.240 ;
39;71.027.866;BANCO BS2 S.A.; 2.320 ; 544.270.482 ; 8.691 ; 591.168.908 ; 50.895 ; 1.064.384.184 ; 70.059 ; 1.118.705.346 ; 131.965 ; 3.318.528.920 ; 265 ; 915.044.228 ; 265 ; 789.405.378 ; 530 ; 1.704.449.606 ; 132.495 ; 5.022.978.526 ;
40;13.059.145;BEXS BANCO DE CÂMBIO S/A; 213 ; 697.818.519 ; 463 ; 117.192.776 ; 82.603 ; 385.027.420 ; 732.096 ; 1.499.825.368 ; 815.375 ; 2.699.864.083 ; 1.445 ; 1.220.301.563 ; 441 ; 696.199.932 ; 1.886 ; 1.916.501.495 ; 817.261 ; 4.616.365.578 ;
41;00.038.166;BANCO CENTRAL DO BRASIL; -   ; -   ; -   ; -   ; 15 ; 168.475.909 ; -   ; -   ; 15 ; 168.475.909 ; 4 ; 2.034.844.375 ; 4 ; 2.000.000.000 ; 8 ; 4.034.844.375 ; 23 ; 4.203.320.284 ;
42;10.690.848;BANCO DA CHINA BRASIL S.A.; 174 ; 1.012.962.570 ; 78 ; 128.185.449 ; 267 ; 682.900.444 ; 647 ; 65.472.084 ; 1.166 ; 1.889.520.547 ; 271 ; 338.846.796 ; 418 ; 1.840.903.924 ; 689 ; 2.179.750.720 ; 1.855 ; 4.069.271.267 ;
43;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION; -   ; -   ; -   ; -   ; 125 ; 184.755.907 ; 302 ; 1.610.169.079 ; 427 ; 1.794.924.986 ; 99 ; 1.583.818.797 ; 25 ; 157.341.503 ; 124 ; 1.741.160.300 ; 551 ; 3.536.085.286 ;
44;07.656.500;BANCO KDB DO BRASIL S.A.; 2 ; 24.000.000 ; 22 ; 10.919.957 ; 859 ; 545.309.997 ; 2.089 ; 1.192.164.781 ; 2.972 ; 1.772.394.735 ; 270 ; 1.127.562.772 ; 240 ; 523.244.649 ; 510 ; 1.650.807.421 ; 3.482 ; 3.423.202.156 ;
45;00.997.185;BANCO B3 S.A.; -   ; -   ; -   ; -   ; 1.332 ; 1.187.937.697 ; 1.091 ; 1.223.767.996 ; 2.423 ; 2.411.705.693 ; 223 ; 272.143.394 ; 321 ; 236.385.558 ; 544 ; 508.528.952 ; 2.967 ; 2.920.234.645 ;
46;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 477 ; 83.401.344 ; 402 ; 24.181.399 ; 28.106 ; 1.055.328.654 ; 1.614 ; 128.845.424 ; 30.599 ; 1.291.756.821 ; 482 ; 106.566.214 ; 1.201 ; 1.092.268.924 ; 1.683 ; 1.198.835.138 ; 32.282 ; 2.490.591.959 ;
47;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 201 ; 421.257.598 ; -   ; -   ; 245 ; 91.726.354 ; 11 ; 480.963 ; 457 ; 513.464.915 ; -   ; -   ; 54 ; 1.922.442.115 ; 54 ; 1.922.442.115 ; 511 ; 2.435.907.030 ;
48;00.360.305;CAIXA ECONOMICA FEDERAL; 727 ; 288.954.787 ; 603 ; 25.552.470 ; 51.134 ; 305.275.277 ; 22.800 ; 444.556.333 ; 75.264 ; 1.064.338.867 ; 1.081 ; 475.894.516 ; 1.142 ; 587.724.312 ; 2.223 ; 1.063.618.828 ; 77.487 ; 2.127.957.695 ;
49;33.923.798;BANCO MASTER S/A; 462 ; 381.887.596 ; 1.039 ; 117.985.455 ; 18.000 ; 356.867.790 ; 2.398 ; 194.473.017 ; 21.899 ; 1.051.213.858 ; 94 ; 279.465.658 ; 171 ; 647.511.175 ; 265 ; 926.976.833 ; 22.164 ; 1.978.190.691 ;
50;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 1.148 ; 32.689.049 ; 11.140 ; 269.756.863 ; 13.886 ; 350.773.290 ; 32.265 ; 513.983.398 ; 58.439 ; 1.167.202.600 ; 3.389 ; 554.013.542 ; 785 ; 153.691.856 ; 4.174 ; 707.705.398 ; 62.613 ; 1.874.907.998 ;
51;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 49 ; 287.019.947 ; 12 ; 7.587.758 ; 46 ; 12.976.826 ; 135 ; 147.183.737 ; 242 ; 454.768.268 ; 85 ; 627.146.602 ; 145 ; 784.264.216 ; 230 ; 1.411.410.818 ; 472 ; 1.866.179.086 ;
52;71.677.850;FRENTE CORRETORA DE CÂMBIO S.A.; 3 ; 433.235 ; 30 ; 1.682.895 ; 5.051 ; 512.344.903 ; 24.830 ; 727.861.255 ; 29.914 ; 1.242.322.288 ; 3.892 ; 284.385.467 ; 232 ; 68.449.282 ; 4.124 ; 352.834.749 ; 34.038 ; 1.595.157.037 ;
53;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 5.605 ; 276.565.435 ; 7.506 ; 331.663.318 ; 5.640 ; 261.253.469 ; 3.090 ; 229.521.539 ; 21.841 ; 1.099.003.761 ; 124 ; 238.398.440 ; 50 ; 239.656.177 ; 174 ; 478.054.617 ; 22.015 ; 1.577.058.378 ;
54;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 2.154 ; 456.702.753 ; 2.412 ; 200.951.509 ; 3.758 ; 129.587.963 ; 4.688 ; 122.582.898 ; 13.012 ; 909.825.123 ; 223 ; 175.449.407 ; 372 ; 429.266.839 ; 595 ; 604.716.246 ; 13.607 ; 1.514.541.369 ;
55;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 28 ; 271.731.026 ; 56 ; 7.679.159 ; 116 ; 215.777.551 ; 183 ; 292.072.609 ; 383 ; 787.260.345 ; 37 ; 241.975.647 ; 65 ; 430.168.180 ; 102 ; 672.143.827 ; 485 ; 1.459.404.172 ;
56;62.144.175;BANCO PINE S.A.; 169 ; 199.512.487 ; 887 ; 339.255.134 ; 119 ; 152.405.724 ; 1.562 ; 138.536.315 ; 2.737 ; 829.709.660 ; 99 ; 377.007.161 ; 85 ; 217.443.812 ; 184 ; 594.450.973 ; 2.921 ; 1.424.160.633 ;
57;61.024.352;BANCO VOITER S.A.; 113 ; 106.797.101 ; 699 ; 237.682.568 ; 1.222 ; 267.230.903 ; 5.940 ; 340.742.256 ; 7.974 ; 952.452.828 ; 359 ; 298.541.003 ; 325 ; 83.901.143 ; 684 ; 382.442.146 ; 8.658 ; 1.334.894.974 ;
58;03.609.817;BANCO CARGILL S.A.; 34 ; 262.886.913 ; 3 ; 253.503 ; 35 ; 47.714.489 ; 444 ; 211.882.435 ; 516 ; 522.737.340 ; 20 ; 295.000.000 ; 11 ; 482.000.000 ; 31 ; 777.000.000 ; 547 ; 1.299.737.340 ;
59;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 23 ; 251.024.285 ; 18 ; 6.377.983 ; 15 ; 8.825.123 ; 80 ; 2.648.522 ; 136 ; 268.875.913 ; 43 ; 384.103.462 ; 66 ; 627.815.530 ; 109 ; 1.011.918.992 ; 245 ; 1.280.794.905 ;
60;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 1.188 ; 28.150.280 ; 4.861 ; 157.052.399 ; 87.622 ; 179.188.454 ; 252.609 ; 323.837.615 ; 346.280 ; 688.228.748 ; 11.764 ; 397.605.355 ; 798 ; 123.791.331 ; 12.562 ; 521.396.686 ; 358.842 ; 1.209.625.434 ;
61;45.246.410;BANCO GENIAL S.A.; 80 ; 5.184.987 ; 259 ; 32.125.570 ; 1.964 ; 268.404.759 ; 2.492 ; 517.587.980 ; 4.795 ; 823.303.296 ; 118 ; 303.761.892 ; 34 ; 28.130.833 ; 152 ; 331.892.725 ; 4.947 ; 1.155.196.021 ;
62;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 776 ; 20.673.957 ; 5.797 ; 196.799.517 ; 10.341 ; 94.792.576 ; 27.336 ; 181.390.748 ; 44.250 ; 493.656.798 ; 4.863 ; 395.627.610 ; 491 ; 132.964.725 ; 5.354 ; 528.592.335 ; 49.604 ; 1.022.249.133 ;
63;00.416.968;BANCO INTER S.A.; 75 ; 11.793.487 ; 124 ; 3.019.139 ; 92.257 ; 463.651.623 ; 217.298 ; 386.507.142 ; 309.754 ; 864.971.391 ; 53 ; 24.265.985 ; 66 ; 118.712.024 ; 119 ; 142.978.009 ; 309.873 ; 1.007.949.400 ;
64;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; -   ; -   ; -   ; -   ; 936.708 ; 314.631.817 ; 1.572.491 ; 456.269.043 ; 2.509.199 ; 770.900.860 ; 746 ; 185.535.129 ; 1.304 ; 43.014.980 ; 2.050 ; 228.550.109 ; 2.511.249 ; 999.450.969 ;
65;60.889.128;BANCO SOFISA S.A.; 1.314 ; 296.054.681 ; 522 ; 49.352.076 ; 122 ; 19.261.453 ; 742 ; 127.140.907 ; 2.700 ; 491.809.117 ; 59 ; 114.515.639 ; 116 ; 253.348.541 ; 175 ; 367.864.180 ; 2.875 ; 859.673.297 ;
66;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 155 ; 199.914.194 ; 170 ; 101.946.634 ; 75 ; 5.158.717 ; 522 ; 100.205.908 ; 922 ; 407.225.453 ; 90 ; 224.029.366 ; 90 ; 221.515.584 ; 180 ; 445.544.950 ; 1.102 ; 852.770.403 ;
67;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 80 ; 7.088.303 ; 615 ; 61.160.330 ; 50.536 ; 100.695.080 ; 106.971 ; 252.177.974 ; 158.202 ; 421.121.687 ; 26.441 ; 317.122.861 ; 2.470 ; 111.451.218 ; 28.911 ; 428.574.079 ; 187.113 ; 849.695.766 ;
68;92.894.922;BANCO ORIGINAL S.A.; 2 ; 879.153 ; 4 ; 796.574 ; 529 ; 9.663.054 ; 969 ; 106.175.401 ; 1.504 ; 117.514.182 ; 45 ; 367.563.944 ; 21 ; 275.064.173 ; 66 ; 642.628.117 ; 1.570 ; 760.142.299 ;
69;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 2 ; 538.174 ; 164 ; 164.492.745 ; 420 ; 54.973.871 ; 966 ; 193.147.466 ; 1.552 ; 413.152.256 ; 350 ; 316.150.574 ; 54 ; 14.011.716 ; 404 ; 330.162.290 ; 1.956 ; 743.314.546 ;
70;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 106 ; 9.920.972 ; 1.471 ; 152.972.880 ; 3.499 ; 57.714.251 ; 15.121 ; 181.068.696 ; 20.197 ; 401.676.799 ; 3.139 ; 287.317.823 ; 218 ; 20.925.511 ; 3.357 ; 308.243.334 ; 23.554 ; 709.920.133 ;
71;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 30 ; 2.703.747 ; 175 ; 17.094.261 ; 105.898 ; 117.550.456 ; 376.890 ; 296.106.677 ; 482.993 ; 433.455.141 ; 7.556 ; 218.136.139 ; 388 ; 25.192.354 ; 7.944 ; 243.328.493 ; 490.937 ; 676.783.634 ;
