Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Jul/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
25;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 981 ; 264.850.334 ; 3.001 ; 419.279.473 ; 2.386 ; 1.661.224.244 ; 3.442 ; 938.937.552 ; 9.810 ; 3.284.291.604 ; 394 ; 1.041.690.021 ; 493 ; 1.611.127.109 ; 887 ; 2.652.817.129 ; 10.697 ; 5.937.108.733 ;
26;71.027.866;BANCO BONSUCESSO S.A.; 48 ; 1.596.444 ; 66 ; 6.770.184 ; 267 ; 41.838.287 ; 1.218 ; 51.067.501 ; 1.599 ; 101.272.415 ; 1.692 ; 2.664.875.328 ; 3.447 ; 2.641.524.223 ; 5.139 ; 5.306.399.551 ; 6.738 ; 5.407.671.967 ;
27;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 22 ; 29.381.382 ; 154 ; 2.669.622.352 ; 176 ; 2.699.003.735 ; 142 ; 2.666.957.914 ; 8 ; 26.615.574 ; 150 ; 2.693.573.488 ; 326 ; 5.392.577.222 ;
28;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 426 ; 1.257.864.096 ; 103 ; 84.224.231 ; 507 ; 957.167.760 ; 1.379 ; 1.125.410.031 ; 2.415 ; 3.424.666.119 ; 98 ; 339.920.503 ; 142 ; 1.535.175.732 ; 240 ; 1.875.096.234 ; 2.655 ; 5.299.762.353 ;
29;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 459 ; 16.383.766 ; 5.717 ; 255.727.462 ; 2.975 ; 246.669.084 ; 10.651 ; 364.751.527 ; 19.802 ; 883.531.839 ; 8.865 ; 2.328.371.475 ; 57.021 ; 1.974.862.830 ; 65.886 ; 4.303.234.304 ; 85.688 ; 5.186.766.143 ;
30;62.232.889;BANCO DAYCOVAL S.A.; 1.801 ; 195.584.284 ; 2.346 ; 170.427.523 ; 3.294 ; 156.653.039 ; 10.650 ; 833.340.378 ; 18.091 ; 1.356.005.225 ; 2.905 ; 1.929.365.411 ; 8.963 ; 1.332.942.786 ; 11.868 ; 3.262.308.196 ; 29.959 ; 4.618.313.421 ;
31;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 622 ; 245.739.356 ; 424 ; 84.080.111 ; 291 ; 1.105.636.699 ; 1.160 ; 506.314.841 ; 2.497 ; 1.941.771.007 ; 148 ; 745.846.648 ; 201 ; 1.492.524.485 ; 349 ; 2.238.371.133 ; 2.846 ; 4.180.142.140 ;
32;68.900.810;BANCO RENDIMENTO S.A.; 79 ; 7.323.184 ; 396 ; 80.339.055 ; 104.165 ; 554.047.776 ; 9.521 ; 520.235.455 ; 114.161 ; 1.161.945.470 ; 2.549 ; 1.450.977.763 ; 58.438 ; 1.453.306.585 ; 60.987 ; 2.904.284.348 ; 175.148 ; 4.066.229.817 ;
33;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 363 ; 693.234.423 ;;; 567 ; 258.922.716 ; 486 ; 596.984.811 ; 1.416 ; 1.549.141.950 ; 32 ; 501.776.385 ; 33 ; 1.559.107.981 ; 65 ; 2.060.884.365 ; 1.481 ; 3.610.026.315 ;
34;78.632.767;BANCO OURINVEST S.A.; 276 ; 125.371.768 ; 2.241 ; 94.518.314 ; 1.887 ; 178.713.143 ; 4.995 ; 247.488.614 ; 9.399 ; 646.091.840 ; 2.184 ; 1.524.126.380 ; 45.419 ; 1.435.856.620 ; 47.603 ; 2.959.983.000 ; 57.002 ; 3.606.074.840 ;
