Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Setembro/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
23;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 1.402 ; 1.425.639.736 ; 10.831 ; 1.685.051.837 ; 16.111 ; 4.581.984.257 ; 28.742 ; 5.142.846.884 ; 57.086 ; 12.835.522.714 ; 1.051 ; 9.547.199.893 ; 1.311 ; 8.191.684.143 ; 2.362 ; 17.738.884.036 ; 59.448 ; 30.574.406.750 ;
24;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 603 ; 4.083.225.410 ; 1.529 ; 551.601.002 ; 2.021 ; 3.348.750.486 ; 2.789 ; 2.865.377.733 ; 6.942 ; 10.848.954.631 ; 1.974 ; 6.607.946.240 ; 2.100 ; 10.763.607.803 ; 4.074 ; 17.371.554.043 ; 11.016 ; 28.220.508.674 ;
25;78.632.767;OURIBANK S.A. BANCO MÚLTIPLO;OURIBANK - PRUDENCIAL; 6.090 ; 848.827.542 ; 32.382 ; 1.798.903.842 ; 379.526 ; 3.366.241.269 ; 413.158 ; 5.374.133.485 ; 831.156 ; 11.388.106.138 ; 8.970 ; 6.017.222.812 ; 77.075 ; 3.042.953.291 ; 86.045 ; 9.060.176.103 ; 917.201 ; 20.448.282.241 ;
26;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.;CONFIDENCE - PRUDENCIAL; 5.641 ; 847.782.345 ; 18.048 ; 717.711.009 ; 43.560 ; 3.537.883.060 ; 53.963 ; 5.628.973.494 ; 121.212 ; 10.732.349.908 ; 15.063 ; 5.790.819.534 ; 39.904 ; 3.813.647.441 ; 54.967 ; 9.604.466.975 ; 176.179 ; 20.336.816.883 ;
27;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 3.510 ; 1.120.242.692 ; 9.971 ; 1.205.503.175 ; 217.824 ; 5.930.198.811 ; 173.674 ; 2.234.686.933 ; 404.979 ; 10.490.631.611 ; 2.636 ; 2.461.056.020 ; 2.790 ; 6.060.319.316 ; 5.426 ; 8.521.375.336 ; 410.405 ; 19.012.006.947 ;
28;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 4.219 ; 773.381.346 ; 18.007 ; 4.036.050.501 ; 53.890 ; 1.402.735.569 ; 57.991 ; 1.580.913.534 ; 134.107 ; 7.793.080.950 ; 1.141 ; 6.929.685.450 ; 978 ; 3.456.208.389 ; 2.119 ; 10.385.893.839 ; 136.226 ; 18.178.974.789 ;
29;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 3.632 ; 857.148.691 ; 16.657 ; 1.837.776.464 ; 498.293 ; 3.677.189.932 ; 348.125 ; 2.572.277.138 ; 866.707 ; 8.944.392.225 ; 3.126 ; 3.787.580.157 ; 18.430 ; 3.700.106.723 ; 21.556 ; 7.487.686.880 ; 888.263 ; 16.432.079.105 ;
30;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 105 ; 1.494.754.324 ; 51 ; 48.797.689 ; 225 ; 255.524.743 ; 450 ; 282.776.937 ; 831 ; 2.081.853.693 ; 571 ; 6.013.283.211 ; 614 ; 7.403.834.115 ; 1.185 ; 13.417.117.326 ; 2.016 ; 15.498.971.019 ;
31;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 1.039 ; 930.681.760 ; 5.126 ; 719.684.657 ; 518 ; 658.816.572 ; 3.959 ; 1.141.567.932 ; 10.642 ; 3.450.750.921 ; 951 ; 5.893.057.907 ; 1.240 ; 5.623.328.920 ; 2.191 ; 11.516.386.827 ; 12.833 ; 14.967.137.748 ;
32;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 980 ; 1.331.276.257 ; 2.391 ; 2.756.395.000 ; 36.150 ; 726.150.649 ; 5.026 ; 808.105.057 ; 44.547 ; 5.621.926.963 ; 496 ; 5.410.202.074 ; 444 ; 3.857.732.094 ; 940 ; 9.267.934.168 ; 45.487 ; 14.889.861.131 ;
33;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 58.196 ; 16.615.688 ; 396 ; 513.572 ; 10.226.491 ; 3.945.782.286 ; 12.665.089 ; 4.350.306.769 ; 22.950.172 ; 8.313.218.315 ; 8.768 ; 2.235.508.930 ; 8.572 ; 1.849.260.822 ; 17.340 ; 4.084.769.752 ; 22.967.512 ; 12.397.988.067 ;
34;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 501 ; 335.644.304 ; 588 ; 275.731.750 ; 426 ; 1.388.464.082 ; 2.150 ; 1.184.220.338 ; 3.665 ; 3.184.060.474 ; 599 ; 4.478.112.337 ; 629 ; 4.401.405.027 ; 1.228 ; 8.879.517.364 ; 4.893 ; 12.063.577.838 ;
35;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 952 ; 615.945.500 ; 5.511 ; 1.991.614.235 ; 349 ; 186.799.097 ; 1.386 ; 163.734.498 ; 8.198 ; 2.958.093.330 ; 787 ; 3.963.451.858 ; 655 ; 2.682.203.815 ; 1.442 ; 6.645.655.673 ; 9.640 ; 9.603.749.003 ;
36;68.900.810;BANCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL; 203 ; 12.034.696 ; 2.888 ; 229.106.100 ; 1.617.155 ; 2.745.260.585 ; 34.368 ; 690.995.673 ; 1.654.614 ; 3.677.397.054 ; 13.160 ; 1.740.937.849 ; 46.295 ; 3.582.314.913 ; 59.455 ; 5.323.252.762 ; 1.714.069 ; 9.000.649.816 ;
37;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;SCOTIABANK BRASIL - PRUDENCIAL; 21 ; 133.879.556 ; 6 ; 16.560.244 ; 219 ; 1.071.609.265 ; 935 ; 1.810.790.003 ; 1.181 ; 3.032.839.068 ; 126 ; 3.266.201.945 ; 83 ; 2.363.479.015 ; 209 ; 5.629.680.960 ; 1.390 ; 8.662.520.028 ;
38;13.059.145;EBURY BANCO DE CÂMBIO S.A.;EBURY BANCO DE CÂMBIO - PRUDENCIAL; 1.124 ; 1.810.933.512 ; 4.726 ; 286.261.206 ; 64.357 ; 1.148.324.566 ; 180.068 ; 1.741.038.984 ; 250.275 ; 4.986.558.268 ; 1.224 ; 966.601.198 ; 1.624 ; 1.885.712.484 ; 2.848 ; 2.852.313.682 ; 253.123 ; 7.838.871.950 ;
39;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;UBS (BRASIL) - PRUDENCIAL; -   ; -   ; -   ; -   ; 723 ; 2.350.171.639 ; 1.053 ; 2.863.934.929 ; 1.776 ; 5.214.106.568 ; 105 ; 1.459.122.673 ; 87 ; 829.116.026 ; 192 ; 2.288.238.699 ; 1.968 ; 7.502.345.267 ;
40;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL; 1.365 ; 704.154.432 ; 5.334 ; 793.192.989 ; 2.823 ; 1.292.729.873 ; 4.009 ; 733.275.204 ; 13.531 ; 3.523.352.498 ; 520 ; 1.497.173.641 ; 521 ; 1.959.899.926 ; 1.041 ; 3.457.073.567 ; 14.572 ; 6.980.426.065 ;
41;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A;BANK OF CHINA (BRASIL) - PRUDENCIAL; 401 ; 513.846.665 ; 1.294 ; 225.025.405 ; 224 ; 1.966.758.594 ; 1.205 ; 2.128.668.268 ; 3.124 ; 4.834.298.932 ; 375 ; 977.628.630 ; 287 ; 1.088.435.227 ; 662 ; 2.066.063.857 ; 3.786 ; 6.900.362.789 ;
42;00.997.185;BANCO B3 S.A.;BANCO B3 - PRUDENCIAL; -   ; -   ; -   ; -   ; 1.700 ; 1.916.343.024 ; 1.379 ; 2.013.046.894 ; 3.079 ; 3.929.389.918 ; 273 ; 895.964.930 ; 408 ; 799.176.094 ; 681 ; 1.695.141.024 ; 3.760 ; 5.624.530.942 ;
