Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em JANEIRO/ 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
32;00.360.305;CAIXA ECONOMICA FEDERAL; 220 ; 15.155.444 ; 171 ; 5.101.166 ; 5.393 ; 98.663.399 ; 5.854 ; 77.598.608 ; 11.638 ; 196.518.618 ; 70 ; 153.624.508 ; 66 ; 173.110.047 ; 136 ; 326.734.555 ; 11.774 ; 523.253.173 ;;;;
33;28.195.667;BANCO ABC BRASIL S.A.; 70 ; 36.627.103 ; 92 ; 17.937.197 ; 29 ; 6.815.737 ; 270 ; 9.635.194 ; 461 ; 71.015.230 ; 7 ; 7.668.291 ; 27 ; 399.669.723 ; 34 ; 407.338.014 ; 495 ; 478.353.244 ;;;;
34;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ñ BANCO DE INVESTIMENTO; 4 ; 8.403.084 ; 7 ; 8.649.696 ; 3 ; 221 ; 92 ; 54.870.799 ; 106 ; 71.923.801 ; 21 ; 230.059.638 ; 21 ; 174.544.421 ; 42 ; 404.604.059 ; 148 ; 476.527.860 ;;;;
35;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 11 ; 1.023.763 ; 12 ; 169.185 ; 21 ; 3.825.351 ; 69 ; 3.041.731 ; 113 ; 8.060.029 ; 74 ; 228.000.000 ; 94 ; 230.000.000 ; 168 ; 458.000.000 ; 281 ; 466.060.029 ;;;;
36;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES; 13 ; 2.119.648 ; 6 ; 318.531 ; 3 ; 7.646 ; 5 ; 54.866 ; 27 ; 2.500.692 ; 54 ; 231.020.000 ; 57 ; 220.410.000 ; 111 ; 451.430.000 ; 138 ; 453.930.692 ;;;;
37;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 4 ; 7.645.009 ; 2 ; 56.704 ; 170 ; 49.988.385 ; 115 ; 25.937.081 ; 291 ; 83.627.179 ; 35 ; 165.467.783 ; 39 ; 181.748.002 ; 74 ; 347.215.784 ; 365 ; 430.842.963 ;;;;
38;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 2 ; 325.976 ; 3 ; 759.138 ; 12 ; 383.618 ; 27 ; 1.568.877 ; 44 ; 3.037.609 ; 16 ; 205.139.538 ; 20 ; 208.890.308 ; 36 ; 414.029.846 ; 80 ; 417.067.455 ;;;;
39;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 779 ; 83.913.900 ; 1.263 ; 92.110.554 ; 418 ; 12.101.948 ; 1.774 ; 51.688.170 ; 4.234 ; 239.814.572 ; 35 ; 97.523.508 ; 29 ; 49.567.647 ; 64 ; 147.091.155 ; 4.298 ; 386.905.728 ;;;;
40;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÈLTIPLO; 10 ; 96.831.036 ; 9 ; 38.179.025 ; 1 ; 50.000.000 ; 40 ; 4.874.823 ; 60 ; 189.884.884 ; 9 ; 43.065.172 ; 13 ; 135.565.272 ; 22 ; 178.630.444 ; 82 ; 368.515.328 ;;;;
41;49.336.860;ING BANK N.V.; 9 ; 30.000.056 ;;; 5 ; 17.506.138 ; 97 ; 26.264.572 ; 111 ; 73.770.767 ; 4 ; 40.196.788 ; 18 ; 251.259.198 ; 22 ; 291.455.986 ; 133 ; 365.226.753 ;;;;
42;13.059.145;BEXS BANCO DE C∂MBIO S/A; 35 ; 61.367.639 ; 146 ; 8.219.956 ; 124 ; 6.042.731 ; 340 ; 13.209.675 ; 645 ; 88.840.002 ; 356 ; 115.140.952 ; 319 ; 161.165.353 ; 675 ; 276.306.305 ; 1.320 ; 365.146.307 ;;;;
