Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Fevereiro/2025.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
28;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 4 ; 15.277.885 ; 1 ; 4.000.000 ; 135 ; 800.009.257 ; 120 ; 542.344.758 ; 260 ; 1.361.631.900 ; 6 ; 75.020.326 ; 17 ; 407.022.625 ; 23 ; 482.042.951 ; 283 ; 1.843.674.851 ;
29;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 5 ; 132.000.000 ; 2 ; 693.253 ; 21 ; 140.539.286 ; 42 ; 48.073.074 ; 70 ; 321.305.613 ; 72 ; 564.895.363 ; 69 ; 695.373.807 ; 141 ; 1.260.269.170 ; 211 ; 1.581.574.783 ;
30;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 362 ; 56.177.536 ; 2.037 ; 280.799.221 ; 4.827 ; 139.407.896 ; 7.689 ; 259.672.985 ; 14.915 ; 736.057.638 ; 143 ; 594.899.758 ; 138 ; 245.304.486 ; 281 ; 840.204.244 ; 15.196 ; 1.576.261.882 ;
31;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL; 139 ; 103.417.799 ; 581 ; 75.430.990 ; 331 ; 223.706.540 ; 425 ; 190.738.323 ; 1.476 ; 593.293.652 ; 86 ; 418.385.317 ; 86 ; 459.237.072 ; 172 ; 877.622.389 ; 1.648 ; 1.470.916.041 ;
32;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 6.997 ; 1.918.820 ; 205 ; 240.542 ; 1.157.628 ; 380.682.090 ; 1.417.019 ; 524.032.526 ; 2.581.849 ; 906.873.978 ; 963 ; 318.536.673 ; 898 ; 181.515.742 ; 1.861 ; 500.052.415 ; 2.583.710 ; 1.406.926.393 ;
33;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 384 ; 111.577.777 ; 1.379 ; 207.479.531 ; 59.692 ; 347.934.929 ; 31.334 ; 324.468.559 ; 92.789 ; 991.460.796 ; 355 ; 230.591.525 ; 1.790 ; 155.128.875 ; 2.145 ; 385.720.400 ; 94.934 ; 1.377.181.196 ;
34;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 67 ; 62.509.201 ; 220 ; 241.735.784 ; 4.831 ; 118.083.466 ; 1.025 ; 168.561.898 ; 6.143 ; 590.890.349 ; 54 ; 523.366.452 ; 31 ; 260.764.602 ; 85 ; 784.131.054 ; 6.228 ; 1.375.021.403 ;
35;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;SCOTIABANK BRASIL - PRUDENCIAL; 1 ; 2.335.000 ; -   ; -   ; 8 ; 84.661.908 ; 71 ; 441.291.648 ; 80 ; 528.288.556 ; 15 ; 500.809.689 ; 8 ; 188.537.029 ; 23 ; 689.346.718 ; 103 ; 1.217.635.274 ;
36;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 17 ; 6.784.804 ; 78 ; 18.669.654 ; 44 ; 143.428.827 ; 277 ; 87.094.636 ; 416 ; 255.977.921 ; 113 ; 424.346.089 ; 103 ; 421.559.162 ; 216 ; 845.905.251 ; 632 ; 1.101.883.172 ;
37;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 110 ; 100.659.148 ; 593 ; 111.827.010 ; 77 ; 27.007.898 ; 606 ; 84.625.942 ; 1.386 ; 324.119.998 ; 128 ; 348.949.429 ; 154 ; 372.182.802 ; 282 ; 721.132.231 ; 1.668 ; 1.045.252.229 ;
38;13.059.145;EBURY BANCO DE CÂMBIO S.A.;EBURY BANCO DE CÂMBIO - PRUDENCIAL; 162 ; 260.762.553 ; 534 ; 34.393.609 ; 16.164 ; 54.944.153 ; 27.009 ; 220.103.802 ; 43.869 ; 570.204.117 ; 1.233 ; 198.953.697 ; 1.255 ; 251.291.432 ; 2.488 ; 450.245.129 ; 46.357 ; 1.020.449.246 ;
39;11.703.662;BANCO TRAVELEX S.A.;BANCO TRAVELEX - PRUDENCIAL; 488 ; 129.531.985 ; 1.816 ; 62.422.432 ; 5.816 ; 112.835.094 ; 4.894 ; 189.911.639 ; 13.014 ; 494.701.150 ; 1.840 ; 251.236.764 ; 3.454 ; 260.638.754 ; 5.294 ; 511.875.518 ; 18.308 ; 1.006.576.668 ;
40;68.900.810;BANCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL; 35 ; 3.125.854 ; 454 ; 20.914.981 ; 161.200 ; 309.403.261 ; 4.835 ; 99.783.228 ; 166.524 ; 433.227.324 ; 1.402 ; 153.299.185 ; 4.663 ; 352.239.803 ; 6.065 ; 505.538.988 ; 172.589 ; 938.766.312 ;
41;07.656.500;BANCO KDB DO BRASIL S.A.;BCO KDB BRASIL S.A. - PRUDENCIAL; -   ; -   ; 2 ; 2.223.906 ; 161 ; 172.343.532 ; 283 ; 56.436.468 ; 446 ; 231.003.906 ; 69 ; 218.757.461 ; 106 ; 282.500.000 ; 175 ; 501.257.461 ; 621 ; 732.261.367 ;
42;45.246.410;BANCO GENIAL S.A.;GENIAL - PRUDENCIAL; 5 ; 219.753 ; 36 ; 2.284.310 ; 386 ; 67.976.974 ; 621 ; 279.665.150 ; 1.048 ; 350.146.187 ; 69 ; 296.632.940 ; 15 ; 83.876.375 ; 84 ; 380.509.315 ; 1.132 ; 730.655.502 ;
43;00.997.185;BANCO B3 S.A.;BANCO B3 - PRUDENCIAL; -   ; -   ; -   ; -   ; 168 ; 225.042.526 ; 156 ; 200.428.775 ; 324 ; 425.471.301 ; 37 ; 87.763.103 ; 34 ; 112.371.643 ; 71 ; 200.134.746 ; 395 ; 625.606.047 ;
44;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;BANRISUL - PRUDENCIAL; 549 ; 154.309.391 ; 800 ; 50.483.930 ; 366 ; 102.563.046 ; 439 ; 15.136.156 ; 2.154 ; 322.492.523 ; 25 ; 41.865.225 ; 103 ; 233.550.617 ; 128 ; 275.415.842 ; 2.282 ; 597.908.365 ;
45;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;UBS (BRASIL) - PRUDENCIAL; -   ; -   ; -   ; -   ; 43 ; 89.735.836 ; 188 ; 186.795.229 ; 231 ; 276.531.065 ; 17 ; 128.917.598 ; 18 ; 153.910.824 ; 35 ; 282.828.422 ; 266 ; 559.359.487 ;
46;10.690.848;BANCO DA CHINA BRASIL S.A.;BANK OF CHINA (BRASIL) - PRUDENCIAL; 22 ; 130.325.785 ; 13 ; 6.340.205 ; 66 ; 35.635.871 ; 94 ; 27.047.047 ; 195 ; 199.348.908 ; 60 ; 83.064.909 ; 70 ; 215.644.614 ; 130 ; 298.709.523 ; 325 ; 498.058.431 ;
47;62.144.175;BANCO PINE S.A.;PINE - PRUDENCIAL; 36 ; 89.096.347 ; 483 ; 60.694.278 ; 32 ; 3.041.579 ; 428 ; 41.205.315 ; 979 ; 194.037.519 ; 21 ; 126.664.680 ; 18 ; 143.355.782 ; 39 ; 270.020.462 ; 1.018 ; 464.057.981 ;
