Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Fev/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
28;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 1.214 ; 184.497.819 ; 3.009 ; 99.654.738 ; 3.003 ; 221.240.212 ; 6.475 ; 573.500.444 ; 13.701 ; 1.078.893.213 ; 3.441 ; 517.503.349 ; 6.117 ; 247.742.622 ; 9.558 ; 765.245.970 ; 23.259 ; 1.844.139.183 ;
29;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 249 ; 569.683.786 ; 23 ; 9.277.198 ; 129 ; 101.293.318 ; 416 ; 386.088.548 ; 817 ; 1.066.342.849 ; 58 ; 297.124.798 ; 63 ; 444.103.714 ; 121 ; 741.228.512 ; 938 ; 1.807.571.360 ;
30;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 309 ; 144.274.428 ; 1.208 ; 140.569.597 ; 622 ; 272.018.506 ; 825 ; 56.092.662 ; 2.964 ; 612.955.194 ; 208 ; 354.711.022 ; 207 ; 469.821.288 ; 415 ; 824.532.310 ; 3.379 ; 1.437.487.504 ;
31;78.632.767;BANCO OURINVEST S.A.; 1.410 ; 149.386.027 ; 3.703 ; 304.175.073 ; 9.653 ; 182.913.330 ; 4.721 ; 178.798.778 ; 19.487 ; 815.273.208 ; 1.569 ; 280.235.241 ; 1.720 ; 117.817.974 ; 3.289 ; 398.053.215 ; 22.776 ; 1.213.326.423 ;
32;07.679.404;BANCO TOPÁZIO S.A.; 98 ; 46.903.735 ; 51 ; 8.647.937 ; 567 ; 92.830.585 ; 844 ; 411.836.428 ; 1.560 ; 560.218.685 ; 698 ; 465.721.923 ; 1.552 ; 184.953.782 ; 2.250 ; 650.675.705 ; 3.810 ; 1.210.894.390 ;
33;62.232.889;BANCO DAYCOVAL S.A.; 995 ; 166.522.559 ; 1.702 ; 165.223.748 ; 124.551 ; 210.292.601 ; 2.345 ; 97.805.953 ; 129.593 ; 639.844.861 ; 407 ; 188.259.414 ; 583 ; 253.431.646 ; 990 ; 441.691.059 ; 130.583 ; 1.081.535.920 ;
34;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 220 ; 42.498.518 ; 667 ; 501.560.768 ; 887 ; 544.059.286 ; 113 ; 466.640.671 ; 12 ; 37.100.000 ; 125 ; 503.740.671 ; 1.012 ; 1.047.799.958 ;
35;33.264.668;BANCO XP S.A.; 141 ; 209.946.369 ; 871 ; 132.488.810 ; 494 ; 235.076.469 ; 1.248 ; 199.932.814 ; 2.754 ; 777.444.461 ; 19 ; 53.385.810 ; 12 ; 156.000.000 ; 31 ; 209.385.810 ; 2.785 ; 986.830.271 ;
36;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 2 ; 64.015 ; 36 ; 14.049.174 ; 102 ; 8.424.254 ; 139 ; 252.131.826 ; 279 ; 274.669.268 ; 56 ; 429.198.143 ; 15 ; 171.463.766 ; 71 ; 600.661.909 ; 350 ; 875.331.177 ;
37;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 137 ; 146.655.481 ; 726 ; 143.601.144 ; 36 ; 152.621.844 ; 447 ; 88.064.451 ; 1.346 ; 530.942.920 ; 78 ; 160.725.785 ; 41 ; 143.002.276 ; 119 ; 303.728.061 ; 1.465 ; 834.670.981 ;
38;58.616.418;BANCO FIBRA S.A.; 168 ; 76.387.265 ; 1.623 ; 217.222.078 ; 68 ; 25.167.455 ; 289 ; 57.167.064 ; 2.148 ; 375.943.862 ; 160 ; 297.790.450 ; 133 ; 108.228.704 ; 293 ; 406.019.154 ; 2.441 ; 781.963.016 ;
39;33.042.953;CITIBANK N.A.;;;;; 2 ; 658 ; 15 ; 268.272 ; 17 ; 268.930 ;;; 2 ; 771.000.000 ; 2 ; 771.000.000 ; 19 ; 771.268.930 ;
40;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 96 ; 104.318.877 ; 285 ; 64.224.350 ; 99 ; 47.550.256 ; 236 ; 62.581.014 ; 716 ; 278.674.496 ; 127 ; 249.785.486 ; 123 ; 200.967.124 ; 250 ; 450.752.609 ; 966 ; 729.427.106 ;
41;13.059.145;BEXS BANCO DE CÂMBIO S/A; 22 ; 72.117.239 ; 13 ; 1.451.956 ; 10.284 ; 61.271.782 ; 92.256 ; 258.309.292 ; 102.575 ; 393.150.269 ; 168 ; 223.740.959 ; 53 ; 97.057.051 ; 221 ; 320.798.010 ; 102.796 ; 713.948.278 ;
42;62.144.175;BANCO PINE S.A.; 43 ; 21.290.397 ; 473 ; 52.398.776 ; 6 ; 3.913.751 ; 93 ; 13.598.925 ; 615 ; 91.201.848 ; 57 ; 325.422.700 ; 168 ; 263.804.471 ; 225 ; 589.227.171 ; 840 ; 680.429.019 ;
43;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 45 ; 98.645.922 ;;; 57 ; 22.931.874 ; 7 ; 77.044 ; 109 ; 121.654.840 ; 6 ; 118.831.036 ; 19 ; 428.805.624 ; 25 ; 547.636.660 ; 134 ; 669.291.500 ;
44;45.246.410;BANCO GENIAL S.A.; 14 ; 1.725.226 ; 54 ; 6.248.625 ; 362 ; 26.741.726 ; 771 ; 304.183.253 ; 1.201 ; 338.898.829 ; 107 ; 283.455.426 ; 10 ; 1.491.601 ; 117 ; 284.947.027 ; 1.318 ; 623.845.856 ;
45;71.027.866;BANCO BS2 S.A.; 536 ; 68.097.562 ; 1.943 ; 78.383.375 ; 10.821 ; 183.041.535 ; 21.714 ; 141.014.828 ; 35.014 ; 470.537.300 ; 61 ; 61.258.182 ; 139 ; 85.792.552 ; 200 ; 147.050.733 ; 35.214 ; 617.588.033 ;
46;33.923.798;BANCO MÁXIMA S.A.; 185 ; 15.822.142 ; 556 ; 16.917.281 ; 21.070 ; 229.910.167 ; 60.058 ; 222.852.075 ; 81.869 ; 485.501.666 ; 102 ; 62.394.938 ; 73 ; 57.812.058 ; 175 ; 120.206.996 ; 82.044 ; 605.708.661 ;
47;00.997.185;BANCO B3 S.A.;;;;; 196 ; 219.486.481 ; 178 ; 253.054.375 ; 374 ; 472.540.855 ; 74 ; 81.942.000 ; 57 ; 48.393.700 ; 131 ; 130.335.700 ; 505 ; 602.876.555 ;
48;10.690.848;BANCO DA CHINA BRASIL S.A.; 27 ; 47.031.241 ; 31 ; 5.867.697 ; 38 ; 172.355.037 ; 90 ; 40.250.171 ; 186 ; 265.504.146 ; 52 ; 48.929.212 ; 77 ; 222.298.020 ; 129 ; 271.227.231 ; 315 ; 536.731.377 ;
49;09.274.232;STATE STREET BRASIL S.A. – BANCO COMERCIAL;;;;; 19 ; 165.871.637 ; 24 ; 79.827.214 ; 43 ; 245.698.851 ; 11 ; 34.995.632 ; 22 ; 174.486.518 ; 33 ; 209.482.150 ; 76 ; 455.181.001 ;
50;00.360.305;CAIXA ECONOMICA FEDERAL; 199 ; 35.039.809 ; 120 ; 5.078.711 ; 16.421 ; 63.263.005 ; 824 ; 72.329.240 ; 17.564 ; 175.710.766 ; 350 ; 133.417.462 ; 395 ; 142.378.979 ; 745 ; 275.796.441 ; 18.309 ; 451.507.208 ;
51;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 30 ; 4.923.866 ; 72 ; 3.770.508 ; 5.635 ; 188.671.130 ; 365 ; 10.360.237 ; 6.102 ; 207.725.740 ; 90 ; 6.089.986 ; 260 ; 185.552.807 ; 350 ; 191.642.793 ; 6.452 ; 399.368.533 ;
52;15.114.366;BANCO BOCOM BBM S.A.; 21 ; 8.136.359 ; 6 ; 7.124.626 ; 32 ; 16.002.288 ; 282 ; 21.282.391 ; 341 ; 52.545.664 ; 9 ; 62.589.405 ; 30 ; 267.577.804 ; 39 ; 330.167.209 ; 380 ; 382.712.873 ;
53;03.609.817;BANCO CARGILL S.A.; 63 ; 71.485.801 ; 1 ; 19.588 ; 11 ; 5.070.750 ; 38 ; 5.152.685 ; 113 ; 81.728.824 ; 2 ; 100.000.000 ; 6 ; 185.000.000 ; 8 ; 285.000.000 ; 121 ; 366.728.824 ;
54;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 351 ; 7.494.815 ; 1.804 ; 56.059.773 ; 8.506 ; 53.681.126 ; 4.828 ; 63.202.639 ; 15.489 ; 180.438.353 ; 1.035 ; 104.124.974 ; 534 ; 46.211.570 ; 1.569 ; 150.336.543 ; 17.058 ; 330.774.897 ;
55;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 410 ; 10.452.810 ; 3.213 ; 62.637.007 ; 3.004 ; 39.475.677 ; 6.029 ; 62.335.375 ; 12.656 ; 174.900.869 ; 831 ; 109.344.921 ; 192 ; 34.253.716 ; 1.023 ; 143.598.637 ; 13.679 ; 318.499.505 ;
56;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 53 ; 133.604.089 ; 11 ; 9.230.736 ; 64 ; 142.834.825 ; 4 ; 5.400.426 ; 41 ; 130.714.000 ; 45 ; 136.114.426 ; 109 ; 278.949.251 ;
57;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 1.191 ; 76.629.011 ; 1.065 ; 52.150.535 ; 676 ; 14.700.293 ; 819 ; 47.585.958 ; 3.751 ; 191.065.798 ; 31 ; 48.047.655 ; 32 ; 36.047.063 ; 63 ; 84.094.718 ; 3.814 ; 275.160.516 ;
58;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 62 ; 47.847.293 ; 329 ; 39.830.984 ; 26 ; 6.865.818 ; 106 ; 23.116.827 ; 523 ; 117.660.922 ; 59 ; 82.209.906 ; 59 ; 72.260.886 ; 118 ; 154.470.793 ; 641 ; 272.131.715 ;
59;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 14 ; 41.872.110 ; 19 ; 1.398.656 ; 18 ; 61.106.802 ; 92 ; 586.535 ; 143 ; 104.964.103 ; 6 ; 1.544.359 ; 13 ; 152.303.606 ; 19 ; 153.847.965 ; 162 ; 258.812.068 ;
60;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 4 ; 1.150.436 ; 134 ; 3.949.339 ; 272 ; 46.584.674 ; 1.096 ; 69.728.972 ; 1.506 ; 121.413.420 ; 285 ; 80.600.610 ; 125 ; 54.096.125 ; 410 ; 134.696.735 ; 1.916 ; 256.110.155 ;
61;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 49 ; 69.070.196 ; 80 ; 15.991.081 ; 93 ; 29.562.264 ; 111 ; 31.190.490 ; 333 ; 145.814.031 ; 58 ; 26.775.092 ; 45 ; 78.200.640 ; 103 ; 104.975.732 ; 436 ; 250.789.763 ;
62;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 4 ; 18.153.841 ; 220 ; 24.998.841 ; 5 ; 31.838.882 ; 173 ; 25.440.257 ; 402 ; 100.431.821 ; 19 ; 65.188.705 ; 7 ; 65.294.390 ; 26 ; 130.483.095 ; 428 ; 230.914.916 ;
63;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 1.435 ; 72.051.647 ; 1.101 ; 51.064.098 ; 889 ; 17.175.050 ; 589 ; 15.237.700 ; 4.014 ; 155.528.495 ; 23 ; 10.470.142 ; 16 ; 34.080.501 ; 39 ; 44.550.642 ; 4.053 ; 200.079.137 ;
64;59.118.133;BANCO LUSO BRASILEIRO S.A.; 121 ; 10.905.026 ; 480 ; 42.151.234 ; 70 ; 24.497.495 ; 332 ; 18.842.499 ; 1.003 ; 96.396.255 ; 432 ; 62.321.669 ; 179 ; 36.726.127 ; 611 ; 99.047.796 ; 1.614 ; 195.444.051 ;
65;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 263 ; 5.754.679 ; 2.195 ; 53.518.133 ; 642 ; 12.020.697 ; 1.857 ; 22.426.004 ; 4.957 ; 93.719.513 ; 837 ; 63.709.831 ; 84 ; 5.449.941 ; 921 ; 69.159.773 ; 5.878 ; 162.879.286 ;
66;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 212 ; 4.124.126 ; 1.770 ; 46.052.277 ; 966 ; 17.766.211 ; 1.823 ; 21.315.985 ; 4.771 ; 89.258.599 ; 880 ; 57.867.036 ; 105 ; 12.485.605 ; 985 ; 70.352.641 ; 5.756 ; 159.611.240 ;
67;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 6.910 ; 70.123.000 ; 14.975 ; 66.073.048 ; 21.885 ; 136.196.048 ; 45 ; 3.657.727 ; 66 ; 8.899.547 ; 111 ; 12.557.275 ; 21.996 ; 148.753.322 ;
68;61.186.680;BANCO BMG S.A.; 5 ; 10.293.279 ; 2 ; 3.206.451 ; 4 ; 394.535 ; 68 ; 1.894.216 ; 79 ; 15.788.481 ; 5 ; 70.368.460 ; 4 ; 61.938.491 ; 9 ; 132.306.951 ; 88 ; 148.095.433 ;
69;30.723.886;BANCO MODAL S.A.; 1 ; 36.052 ; 55 ; 7.834.649 ; 235 ; 65.303.098 ; 197 ; 23.232.259 ; 488 ; 96.406.058 ; 5 ; 5.044.578 ; 11 ; 43.550.145 ; 16 ; 48.594.724 ; 504 ; 145.000.782 ;
70;92.894.922;BANCO ORIGINAL S.A.; 8 ; 1.139.787 ; 6 ; 22.195.785 ; 93 ; 2.800.710 ; 218 ; 21.483.148 ; 325 ; 47.619.430 ; 7 ; 25.113.527 ; 8 ; 70.113.406 ; 15 ; 95.226.933 ; 340 ; 142.846.363 ;
71;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 425 ; 9.988.241 ; 1.630 ; 48.612.353 ; 974 ; 11.808.069 ; 887 ; 9.715.409 ; 3.916 ; 80.124.073 ; 586 ; 48.785.121 ; 142 ; 12.252.269 ; 728 ; 61.037.390 ; 4.644 ; 141.161.463 ;
72;00.416.968;BANCO INTER S.A.; 13 ; 198.014 ; 17 ; 374.368 ; 9.524 ; 50.873.073 ; 1.218 ; 54.859.031 ; 10.772 ; 106.304.485 ; 126 ; 8.925.490 ; 124 ; 3.180.246 ; 250 ; 12.105.736 ; 11.022 ; 118.410.221 ;
73;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 128 ; 2.080.698 ; 1.204 ; 30.710.483 ; 801 ; 10.364.542 ; 1.834 ; 16.396.668 ; 3.967 ; 59.552.392 ; 1.662 ; 42.948.196 ; 267 ; 8.301.541 ; 1.929 ; 51.249.737 ; 5.896 ; 110.802.129 ;
74;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 3 ; 78.410 ; 122 ; 36.065.433 ; 145 ; 10.809.803 ; 263 ; 15.322.401 ; 533 ; 62.276.048 ; 120 ; 43.519.260 ; 28 ; 3.077.000 ; 148 ; 46.596.260 ; 681 ; 108.872.309 ;
75;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 20 ; 22.683.270 ; 14 ; 5.762.714 ; 19 ; 9.724.269 ; 85 ; 27.674.179 ; 138 ; 65.844.432 ; 8 ; 25.094.466 ; 8 ; 15.593.624 ; 16 ; 40.688.090 ; 154 ; 106.532.522 ;
76;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 59 ; 1.066.918 ; 1.008 ; 34.935.750 ; 376 ; 7.368.346 ; 887 ; 11.628.740 ; 2.330 ; 54.999.753 ; 1.336 ; 43.960.207 ; 231 ; 5.773.773 ; 1.567 ; 49.733.981 ; 3.897 ; 104.733.734 ;
77;60.889.128;BANCO SOFISA S.A.; 211 ; 50.157.733 ; 77 ; 4.804.328 ; 20 ; 3.446.502 ; 100 ; 2.068.891 ; 408 ; 60.477.455 ; 5 ; 739.780 ; 19 ; 41.992.247 ; 24 ; 42.732.027 ; 432 ; 103.209.482 ;
