Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Dez/2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 902 ; 3.946.638.160 ; 254 ; 265.717.677 ; 1.172 ; 3.870.135.166 ; 3.172 ; 2.976.514.716 ; 5.500 ; 11.059.005.719 ; 920 ; 4.371.934.618 ; 1.110 ; 9.120.716.692 ; 2.030 ; 13.492.651.310 ; 7.530 ; 24.551.657.029 ;
26;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 842 ; 1.371.621.938 ; 2.167 ; 708.341.752 ; 942 ; 2.184.231.606 ; 1.651 ; 2.673.898.184 ; 5.602 ; 6.938.093.481 ; 1.113 ; 7.287.330.941 ; 1.240 ; 7.538.828.080 ; 2.353 ; 14.826.159.021 ; 7.955 ; 21.764.252.502 ;
27;78.632.767;BANCO OURINVEST S.A.; 12.920 ; 1.343.025.063 ; 28.061 ; 1.894.402.842 ; 222.992 ; 3.218.757.850 ; 502.826 ; 4.781.057.714 ; 766.799 ; 11.237.243.469 ; 8.478 ; 5.976.308.539 ; 136.307 ; 3.890.202.808 ; 144.785 ; 9.866.511.347 ; 911.584 ; 21.103.754.816 ;
28;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 136 ; 779.263.218 ; 94 ; 312.236.370 ; 208 ; 3.784.620.203 ; 1.517 ; 2.309.926.897 ; 1.955 ; 7.186.046.688 ; 349 ; 5.485.325.395 ; 511 ; 8.052.386.558 ; 860 ; 13.537.711.953 ; 2.815 ; 20.723.758.641 ;
29;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;; 1 ; 72.779 ; 1.859 ; 6.381.485.959 ; 2.242 ; 6.958.164.478 ; 4.102 ; 13.339.723.216 ; 300 ; 4.056.573.165 ; 268 ; 3.002.663.731 ; 568 ; 7.059.236.895 ; 4.670 ; 20.398.960.111 ;
30;07.679.404;BANCO TOPÁZIO S.A.; 1.290 ; 387.011.977 ; 2.207 ; 64.344.812 ; 128.858 ; 1.205.684.808 ; 407.543 ; 7.234.694.628 ; 539.898 ; 8.891.736.225 ; 10.006 ; 8.553.970.915 ; 27.689 ; 2.844.708.095 ; 37.695 ; 11.398.679.010 ; 577.593 ; 20.290.415.235 ;
31;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 996 ; 46.827.780 ; 9.207 ; 580.232.482 ; 3.122 ; 310.333.903 ; 137.627 ; 347.386.533 ; 150.952 ; 1.284.780.698 ; 4.734 ; 9.290.503.622 ; 5.520 ; 8.718.761.782 ; 10.254 ; 18.009.265.404 ; 161.206 ; 19.294.046.103 ;
32;62.232.889;BANCO DAYCOVAL S.A.; 6.495 ; 1.277.238.426 ; 17.107 ; 1.884.474.337 ; 590.210 ; 2.524.911.265 ; 40.113 ; 2.550.587.328 ; 653.925 ; 8.237.211.356 ; 5.369 ; 4.367.295.226 ; 16.863 ; 3.504.483.015 ; 22.232 ; 7.871.778.241 ; 676.157 ; 16.108.989.597 ;
33;58.160.789;BANCO SAFRA S.A.; 3.774 ; 1.324.165.835 ; 10.972 ; 1.755.139.574 ; 12.040 ; 3.425.363.305 ; 23.916 ; 2.191.611.375 ; 50.702 ; 8.696.280.089 ; 3.299 ; 3.010.656.643 ; 3.297 ; 3.592.372.755 ; 6.596 ; 6.603.029.398 ; 57.298 ; 15.299.309.486 ;
34;68.900.810;BANCO RENDIMENTO S.A.; 524 ; 60.221.578 ; 2.325 ; 708.892.999 ; 2.031.702 ; 4.098.612.280 ; 30.509 ; 1.210.108.881 ; 2.065.060 ; 6.077.835.738 ; 16.295 ; 2.852.041.714 ; 95.906 ; 5.109.385.714 ; 112.201 ; 7.961.427.427 ; 2.177.261 ; 14.039.263.165 ;
35;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.593 ; 1.922.068.549 ; 8.286 ; 1.345.246.782 ; 3.914 ; 2.331.358.553 ; 5.857 ; 1.293.985.424 ; 19.650 ; 6.892.659.308 ; 767 ; 1.959.039.984 ; 877 ; 3.540.907.727 ; 1.644 ; 5.499.947.711 ; 21.294 ; 12.392.607.019 ;
36;58.616.418;BANCO FIBRA S.A.; 1.230 ; 1.542.715.654 ; 10.021 ; 1.714.849.989 ; 406 ; 424.845.992 ; 3.082 ; 351.759.037 ; 14.739 ; 4.034.170.671 ; 977 ; 3.537.411.036 ; 933 ; 3.430.712.073 ; 1.910 ; 6.968.123.109 ; 16.649 ; 11.002.293.780 ;
37;71.027.866;BANCO BS2 S.A.; 4.491 ; 1.449.435.280 ; 13.918 ; 942.749.623 ; 102.934 ; 2.011.485.786 ; 191.150 ; 1.589.320.413 ; 312.493 ; 5.992.991.102 ; 413 ; 853.409.489 ; 528 ; 1.759.732.708 ; 941 ; 2.613.142.197 ; 313.434 ; 8.606.133.299 ;
38;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;;;;; 1.597.062 ; 1.914.536.918 ; 4.038.278 ; 2.474.103.642 ; 5.635.340 ; 4.388.640.560 ; 13.781 ; 2.143.354.766 ; 13.683 ; 1.583.796.745 ; 27.464 ; 3.727.151.511 ; 5.662.804 ; 8.115.792.071 ;
39;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 838 ; 1.166.674.049 ; 3.493 ; 699.879.257 ; 282 ; 1.135.493.381 ; 3.091 ; 1.594.452.859 ; 7.704 ; 4.596.499.546 ; 507 ; 1.626.842.918 ; 373 ; 1.803.501.901 ; 880 ; 3.430.344.819 ; 8.584 ; 8.026.844.365 ;
40;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 53 ; 573.473.243 ; 59 ; 19.858.874 ; 23 ; 57.763.854 ; 3.638 ; 2.031.739.168 ; 3.773 ; 2.682.835.138 ; 235 ; 2.567.467.165 ; 88 ; 1.133.996.414 ; 323 ; 3.701.463.579 ; 4.096 ; 6.384.298.717 ;
41;10.690.848;BANCO DA CHINA BRASIL S.A.; 231 ; 1.296.266.372 ; 224 ; 75.103.448 ; 326 ; 1.068.052.157 ; 917 ; 297.558.458 ; 1.698 ; 2.736.980.435 ; 467 ; 612.785.894 ; 634 ; 2.604.479.171 ; 1.101 ; 3.217.265.066 ; 2.799 ; 5.954.245.501 ;
42;15.114.366;BANCO BOCOM BBM S.A.; 147 ; 187.284.976 ; 897 ; 182.156.469 ; 458 ; 956.676.694 ; 2.691 ; 689.282.154 ; 4.193 ; 2.015.400.292 ; 162 ; 1.336.654.547 ; 225 ; 1.883.094.675 ; 387 ; 3.219.749.222 ; 4.580 ; 5.235.149.515 ;
43;00.997.185;BANCO B3 S.A.;;;;; 2.106 ; 1.845.883.916 ; 1.932 ; 2.123.777.101 ; 4.038 ; 3.969.661.017 ; 448 ; 668.716.791 ; 457 ; 390.736.992 ; 905 ; 1.059.453.783 ; 4.943 ; 5.029.114.800 ;
44;33.923.798;BANCO MASTER S/A; 1.165 ; 749.255.464 ; 2.481 ; 137.129.916 ; 144.881 ; 794.750.162 ; 354.566 ; 991.876.027 ; 503.093 ; 2.673.011.569 ; 538 ; 952.335.558 ; 523 ; 1.270.881.606 ; 1.061 ; 2.223.217.164 ; 504.154 ; 4.896.228.733 ;
45;13.059.145;BEXS BANCO DE CÂMBIO S/A; 534 ; 814.145.918 ; 1.742 ; 98.210.806 ; 132.530 ; 414.165.575 ; 1.079.177 ; 1.301.918.115 ; 1.213.983 ; 2.628.440.414 ; 3.747 ; 1.168.202.702 ; 537 ; 999.135.442 ; 4.284 ; 2.167.338.144 ; 1.218.267 ; 4.795.778.558 ;
