Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em DEZEMBRO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
32;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 63 ; 5.269.593 ; 372 ; 35.547.582 ; 411 ; 28.182.861 ; 1.508 ; 42.741.197 ; 2.354 ; 111.741.233 ; 1.339 ; 311.501.121 ; 7.642 ; 265.544.439 ; 8.981 ; 577.045.560 ; 11.335 ; 688.786.793 ;;;;
33;62.232.889;BANCO DAYCOVAL S.A.; 228 ; 28.663.133 ; 327 ; 35.732.952 ; 537 ; 9.464.363 ; 1.494 ; 51.089.944 ; 2.586 ; 124.950.392 ; 372 ; 295.019.251 ; 1.409 ; 189.436.089 ; 1.781 ; 484.455.339 ; 4.367 ; 609.405.732 ;;;;
34;61.146.577;BANCO BARCLAYS S.A.;;;;; 70 ; 42.623.242 ; 108 ; 104.666.557 ; 178 ; 147.289.800 ; 114 ; 175.395.854 ; 141 ; 126.845.551 ; 255 ; 302.241.405 ; 433 ; 449.531.205 ;;;;
35;78.632.767;BANCO OURINVEST S.A.; 23 ; 10.886.599 ; 52 ; 2.373.907 ; 219 ; 24.224.240 ; 512 ; 7.415.703 ; 806 ; 44.900.449 ; 350 ; 161.854.112 ; 5.325 ; 229.306.181 ; 5.675 ; 391.160.293 ; 6.481 ; 436.060.742 ;;;;
36;68.900.810;BANCO RENDIMENTO S.A.; 13 ; 895.448 ; 56 ; 13.072.940 ; 6.746 ; 115.831.568 ; 1.327 ; 41.618.162 ; 8.142 ; 171.418.119 ; 459 ; 101.829.262 ; 6.420 ; 150.935.750 ; 6.879 ; 252.765.011 ; 15.021 ; 424.183.130 ;;;;
37;03.609.817;BANCO CARGILL S.A.; 40 ; 178.718.185 ; 2 ; 111.949 ; 7 ; 3.548.130 ; 12 ; 23.686.927 ; 61 ; 206.065.191 ; 1 ; 15.000.000 ; 12 ; 173.750.000 ; 13 ; 188.750.000 ; 74 ; 394.815.191 ;;;;
38;33.923.798;BANCO MÁXIMA S.A.; 37 ; 699.063 ; 282 ; 11.236.275 ; 153 ; 130.931.217 ; 307 ; 121.136.077 ; 779 ; 264.002.632 ; 124 ; 62.379.842 ; 627 ; 61.739.248 ; 751 ; 124.119.090 ; 1.530 ; 388.121.722 ;;;;
39;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 986 ; 58.730.932 ; 887 ; 36.872.301 ; 371 ; 71.501.107 ; 1.250 ; 22.391.621 ; 3.494 ; 189.495.961 ; 22 ; 49.967.473 ; 38 ; 121.124.713 ; 60 ; 171.092.185 ; 3.554 ; 360.588.146 ;;;;
40;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 22 ; 6.998.244 ; 32 ; 3.466.415 ; 45 ; 57.630.377 ; 76 ; 18.325.838 ; 175 ; 86.420.875 ; 103 ; 94.373.213 ; 107 ; 140.504.600 ; 210 ; 234.877.812 ; 385 ; 321.298.687 ;;;;
41;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 18 ; 17.875.604 ; 17 ; 7.163.577 ; 53 ; 99.325.652 ; 57 ; 113.909.248 ; 145 ; 238.274.081 ; 15 ; 25.810.800 ; 7 ; 21.015.712 ; 22 ; 46.826.512 ; 167 ; 285.100.593 ;;;;
42;62.144.175;BANCO PINE S.A.; 13 ; 20.604.341 ; 9 ; 4.513.982 ; 11 ; 12.435.871 ; 62 ; 129.241.109 ; 95 ; 166.795.304 ; 6 ; 43.161.462 ; 6 ; 73.170.314 ; 12 ; 116.331.776 ; 107 ; 283.127.080 ;;;;
43;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 1 ; 4.100.000 ; 2 ; 907.770 ; 26 ; 42.853.241 ; 72 ; 50.276.136 ; 101 ; 98.137.146 ; 22 ; 77.442.933 ; 23 ; 71.663.123 ; 45 ; 149.106.055 ; 146 ; 247.243.202 ;;;;
44;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 17 ; 42.444.864 ; 13 ; 25.246.586 ; 13 ; 83.505.306 ; 98 ; 37.772.853 ; 141 ; 188.969.610 ; 3 ; 1.027.112 ; 9 ; 46.030.176 ; 12 ; 47.057.288 ; 153 ; 236.026.898 ;;;;
45;13.059.145;BEXS BANCO DE CÂMBIO S/A; 33 ; 16.575.365 ; 140 ; 4.614.323 ; 244 ; 25.407.996 ; 501 ; 53.173.020 ; 918 ; 99.770.704 ; 227 ; 56.746.396 ; 190 ; 40.801.118 ; 417 ; 97.547.513 ; 1.335 ; 197.318.217 ;;;;
46;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 67 ; 1.382.322 ; 543 ; 13.581.020 ; 877 ; 10.261.920 ; 1.790 ; 34.232.676 ; 3.277 ; 59.457.938 ; 2.120 ; 74.725.562 ; 349 ; 38.800.957 ; 2.469 ; 113.526.519 ; 5.746 ; 172.984.458 ;;;;
47;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 4 ; 64.200 ; 3 ; 97.416 ; 23 ; 68.495.135 ; 30 ; 67.599.030 ; 60 ; 136.255.780 ;;; 3 ; 2.000.000 ; 3 ; 2.000.000 ; 63 ; 138.255.780 ;;;;
48;15.114.366;BANCO BBM S/A; 25 ; 11.728.939 ; 1 ; 24.970 ; 10 ; 48.654.658 ; 48 ; 49.791.083 ; 84 ; 110.199.650 ; 5 ; 6.491.308 ; 5 ; 11.493.440 ; 10 ; 17.984.748 ; 94 ; 128.184.399 ;;;;
49;59.118.133;BANCO LUSO BRASILEIRO S.A.; 27 ; 8.337.800 ; 510 ; 41.597.621 ; 18 ; 391.730 ; 303 ; 8.433.980 ; 858 ; 58.761.130 ; 364 ; 54.433.968 ; 49 ; 13.485.060 ; 413 ; 67.919.028 ; 1.271 ; 126.680.158 ;;;;
50;30.723.886;BANCO MODAL S.A.; 12 ; 3.311.031 ; 139 ; 10.216.428 ; 39 ; 46.727.549 ; 81 ; 19.825.469 ; 271 ; 80.080.477 ; 29 ; 6.734.405 ; 32 ; 28.683.177 ; 61 ; 35.417.582 ; 332 ; 115.498.059 ;;;;
51;17.184.037;BANCO MERCANTIL DO BRASIL S.A.; 3 ; 261.534 ; 5 ; 297.533 ; 19 ; 22.565.291 ; 51 ; 45.536.510 ; 78 ; 68.660.868 ; 30 ; 45.698.156 ; 9 ; 468.249 ; 39 ; 46.166.405 ; 117 ; 114.827.273 ;;;;
