Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Junho/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
27;78.632.767;OURIBANK S.A. BANCO MÚLTIPLO;OURIBANK - PRUDENCIAL; 3.879 ; 550.874.242 ; 20.033 ; 1.170.463.698 ; 231.858 ; 2.336.419.581 ; 235.080 ; 3.494.169.529 ; 490.850 ; 7.551.927.050 ; 5.857 ; 3.789.351.727 ; 50.113 ; 1.932.848.063 ; 55.970 ; 5.722.199.790 ; 546.820 ; 13.274.126.840 ;
28;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 692 ; 615.195.071 ; 2.950 ; 464.831.556 ; 318 ; 468.363.944 ; 2.522 ; 913.802.838 ; 6.482 ; 2.462.193.409 ; 629 ; 4.684.417.649 ; 830 ; 4.086.374.572 ; 1.459 ; 8.770.792.221 ; 7.941 ; 11.232.985.630 ;
29;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 2.497 ; 578.912.740 ; 11.273 ; 1.170.908.744 ; 323.780 ; 2.487.001.512 ; 227.478 ; 1.482.727.608 ; 565.028 ; 5.719.550.604 ; 2.167 ; 2.504.097.236 ; 11.877 ; 2.868.578.214 ; 14.044 ; 5.372.675.450 ; 579.072 ; 11.092.226.054 ;
30;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 72 ; 936.983.835 ; 34 ; 20.650.531 ; 147 ; 199.291.289 ; 296 ; 100.505.236 ; 549 ; 1.257.430.891 ; 404 ; 4.314.900.543 ; 438 ; 5.313.538.167 ; 842 ; 9.628.438.710 ; 1.391 ; 10.885.869.601 ;
31;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 2.662 ; 450.448.899 ; 11.399 ; 2.377.010.797 ; 37.184 ; 942.579.870 ; 38.040 ; 953.560.338 ; 89.285 ; 4.723.599.904 ; 661 ; 3.825.161.010 ; 543 ; 1.875.180.759 ; 1.204 ; 5.700.341.769 ; 90.489 ; 10.423.941.673 ;
32;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 614 ; 811.923.762 ; 1.466 ; 1.713.135.984 ; 19.862 ; 474.054.028 ; 2.966 ; 570.353.686 ; 24.908 ; 3.569.467.460 ; 346 ; 3.417.651.774 ; 286 ; 2.366.704.428 ; 632 ; 5.784.356.202 ; 25.540 ; 9.353.823.662 ;
33;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 287 ; 162.550.095 ; 334 ; 170.894.003 ; 255 ; 1.129.620.747 ; 1.380 ; 861.596.836 ; 2.256 ; 2.324.661.681 ; 339 ; 2.823.467.452 ; 388 ; 3.071.631.291 ; 727 ; 5.895.098.743 ; 2.983 ; 8.219.760.424 ;
34;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 36.127 ; 10.055.637 ; 101 ; 49.716 ; 6.556.927 ; 2.574.565.733 ; 7.628.550 ; 2.677.519.560 ; 14.221.705 ; 5.262.190.646 ; 5.609 ; 1.202.114.436 ; 5.590 ; 1.111.637.226 ; 11.199 ; 2.313.751.662 ; 14.232.904 ; 7.575.942.308 ;
35;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;SCOTIABANK BRASIL - PRUDENCIAL; 7 ; 8.348.832 ; 6 ; 16.560.244 ; 138 ; 510.003.968 ; 648 ; 1.320.285.821 ; 799 ; 1.855.198.865 ; 88 ; 2.474.469.784 ; 50 ; 1.664.251.450 ; 138 ; 4.138.721.234 ; 937 ; 5.993.920.099 ;
36;68.900.810;BANCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL; 135 ; 7.387.446 ; 1.926 ; 146.386.956 ; 1.004.671 ; 1.833.281.519 ; 22.175 ; 462.902.829 ; 1.028.907 ; 2.449.958.750 ; 8.478 ; 1.095.740.890 ; 29.339 ; 2.320.305.414 ; 37.817 ; 3.416.046.304 ; 1.066.724 ; 5.866.005.054 ;
37;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 653 ; 381.573.221 ; 3.467 ; 1.131.489.466 ; 223 ; 157.582.521 ; 894 ; 125.576.927 ; 5.237 ; 1.796.222.135 ; 428 ; 2.105.569.870 ; 357 ; 1.438.776.031 ; 785 ; 3.544.345.901 ; 6.022 ; 5.340.568.036 ;
38;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL; 925 ; 531.002.038 ; 3.361 ; 522.733.366 ; 1.923 ; 1.086.041.648 ; 2.716 ; 485.370.007 ; 8.925 ; 2.625.147.059 ; 351 ; 958.694.437 ; 362 ; 1.553.122.081 ; 713 ; 2.511.816.518 ; 9.638 ; 5.136.963.577 ;
39;13.059.145;EBURY BANCO DE CÂMBIO S.A.;EBURY BANCO DE CÂMBIO - PRUDENCIAL; 659 ; 961.435.293 ; 2.827 ; 153.945.928 ; 39.654 ; 882.621.466 ; 108.989 ; 1.344.955.550 ; 152.129 ; 3.342.958.237 ; 724 ; 715.759.543 ; 960 ; 1.021.508.559 ; 1.684 ; 1.737.268.102 ; 153.813 ; 5.080.226.339 ;
