Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Mar/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 91 ; 622.763.076 ; 104 ; 37.068.731 ; 163 ; 408.719.172 ; 545 ; 360.593.594 ; 903 ; 1.429.144.572 ; 92 ; 724.199.506 ; 112 ; 1.384.215.557 ; 204,0 ; 2.108.415.063,3 ; 1.107 ; 3.537.559.636 ;
26;62.232.889;BANCO DAYCOVAL S.A.; 354 ; 143.809.469 ; 1.255 ; 168.059.057 ; 1.638 ; 590.177.086 ; 8.960 ; 310.780.132 ; 12.207 ; 1.212.825.744 ; 841 ; 882.466.118 ; 964 ; 1.137.976.140 ; 1.805,0 ; 2.020.442.257,2 ; 14.012 ; 3.233.268.001 ;
27;68.900.810;BANCO RENDIMENTO S.A.; 104 ; 2.623.471 ; 468 ; 18.015.678 ; 9.997 ; 206.174.806 ; 9.450 ; 552.989.933 ; 20.019 ; 779.803.888 ; 1.079 ; 1.339.292.935 ; 18.851 ; 907.559.809 ; 19.930,0 ; 2.246.852.744,3 ; 39.949 ; 3.026.656.632 ;
28;75.647.891;BANCO CRêDIT AGRICOLE BRASIL S.A.; 46 ; 140.861.761 ; 19 ; 4.073.126 ; 40 ; 288.095.993 ; 155 ; 31.669.144 ; 260 ; 464.700.024 ; 135 ; 1.047.471.062 ; 157 ; 1.513.824.363 ; 292,0 ; 2.561.295.424,9 ; 552 ; 3.025.995.449 ;
29;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 374 ; 433.609.019 ; 948 ; 370.250.176 ; 837 ; 501.335.557 ; 1.298 ; 216.969.148 ; 3.457 ; 1.522.163.901 ; 126 ; 482.612.048 ; 150 ; 816.964.036 ; 276,0 ; 1.299.576.084,0 ; 3.733 ; 2.821.739.985 ;
30;28.195.667;BANCO ABC BRASIL S.A.; 160 ; 112.026.469 ; 318 ; 45.726.395 ; 57 ; 100.042.483 ; 719 ; 111.165.785 ; 1.254 ; 368.961.132 ; 35 ; 763.242.665 ; 61 ; 867.759.417 ; 96,0 ; 1.631.002.082,2 ; 1.350 ; 1.999.963.214 ;
31;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 31 ; 759.150.000 ; 4 ; 174.200.000 ; 35 ; 933.350.000 ; 4 ; 174.200.000 ; 31 ; 759.150.000 ; 35,0 ; 933.350.000,0 ; 70 ; 1.866.700.000 ;
32;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ñ BANCO DE INVESTIMENTO; 27 ; 135.333.580 ; 22 ; 22.926.726 ; 46 ; 19.433.894 ; 201 ; 107.827.309 ; 296 ; 285.521.509 ; 85 ; 749.130.394 ; 109 ; 779.907.535 ; 194,0 ; 1.529.037.929,0 ; 490 ; 1.814.559.438 ;
33;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 340 ; 417.445.951 ; 346 ; 234.146.019 ; 686 ; 651.591.970 ; 30 ; 426.399.019 ; 147 ; 610.034.071 ; 177,0 ; 1.036.433.090,5 ; 863 ; 1.688.025.061 ;
34;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 9 ; 8.212.106 ; 3 ; 59.709 ; 410 ; 151.412.516 ; 349 ; 85.901.670 ; 771 ; 245.586.000 ; 151 ; 647.943.383 ; 165 ; 786.591.566 ; 316,0 ; 1.434.534.949,1 ; 1.087 ; 1.680.120.949 ;
